STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,1998Q1,Other nationalities (7),In employment,14.0
Persons aged 15 years and over,1998Q1,Other nationalities (7),Unemployed,1.5
Persons aged 15 years and over,1998Q1,Other nationalities (7),Not in labour force,12.5
Persons aged 15 years and over,1998Q2,All nationalities,All ILO economic status,2872.4
Persons aged 15 years and over,1998Q2,All nationalities,In labour force,1710.7
Persons aged 15 years and over,1998Q2,All nationalities,In employment,1572.0
Persons aged 15 years and over,1998Q2,All nationalities,Unemployed,138.7
Persons aged 15 years and over,1998Q2,All nationalities,Not in labour force,1161.7
Persons aged 15 years and over,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,10.2
Persons aged 15 years and over,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,7.1
Persons aged 15 years and over,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,6.6
Persons aged 15 years and over,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.1
Persons aged 15 years and over,1998Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1998Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1998Q2,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1998Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1998Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1998Q2,UK,All ILO economic status,56.2
Persons aged 15 years and over,1998Q2,UK,In labour force,33.8
Persons aged 15 years and over,1998Q2,UK,In employment,29.5
Persons aged 15 years and over,1998Q2,UK,Unemployed,4.3
Persons aged 15 years and over,1998Q2,UK,Not in labour force,22.4
Persons aged 15 years and over,1998Q2,Irish,All ILO economic status,2779.0
Persons aged 15 years and over,1998Q2,Irish,In labour force,1655.0
Persons aged 15 years and over,1998Q2,Irish,In employment,1522.5
Persons aged 15 years and over,1998Q2,Irish,Unemployed,132.5
Persons aged 15 years and over,1998Q2,Irish,Not in labour force,1124.1
Persons aged 15 years and over,1998Q2,Non-Irish,All ILO economic status,93.4
Persons aged 15 years and over,1998Q2,Non-Irish,In labour force,55.8
Persons aged 15 years and over,1998Q2,Non-Irish,In employment,49.5
Persons aged 15 years and over,1998Q2,Non-Irish,Unemployed,6.3
Persons aged 15 years and over,1998Q2,Non-Irish,Not in labour force,37.6
Persons aged 15 years and over,1998Q2,Other nationalities (7),All ILO economic status,27.0
Persons aged 15 years and over,1998Q2,Other nationalities (7),In labour force,14.8
Persons aged 15 years and over,1998Q2,Other nationalities (7),In employment,13.4
Persons aged 15 years and over,1998Q2,Other nationalities (7),Unemployed,1.4
Persons aged 15 years and over,1998Q2,Other nationalities (7),Not in labour force,12.1
Persons aged 15 years and over,1998Q3,All nationalities,All ILO economic status,2888.5
Persons aged 15 years and over,1998Q3,All nationalities,In labour force,1766.7
Persons aged 15 years and over,1998Q3,All nationalities,In employment,1636.3
Persons aged 15 years and over,1998Q3,All nationalities,Unemployed,130.4
Persons aged 15 years and over,1998Q3,All nationalities,Not in labour force,1121.8
Persons aged 15 years and over,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,9.7
Persons aged 15 years and over,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,7.3
Persons aged 15 years and over,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,6.7
Persons aged 15 years and over,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,2.3
Persons aged 15 years and over,1998Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1998Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1998Q3,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1998Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1998Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1998Q3,UK,All ILO economic status,58.3
Persons aged 15 years and over,1998Q3,UK,In labour force,35.6
Persons aged 15 years and over,1998Q3,UK,In employment,31.3
Persons aged 15 years and over,1998Q3,UK,Unemployed,4.3
Persons aged 15 years and over,1998Q3,UK,Not in labour force,22.7
Persons aged 15 years and over,1998Q3,Irish,All ILO economic status,2794.9
Persons aged 15 years and over,1998Q3,Irish,In labour force,1708.9
Persons aged 15 years and over,1998Q3,Irish,In employment,1584.9
Persons aged 15 years and over,1998Q3,Irish,Unemployed,124.0
Persons aged 15 years and over,1998Q3,Irish,Not in labour force,1086.0
Persons aged 15 years and over,1998Q3,Non-Irish,All ILO economic status,93.6
Persons aged 15 years and over,1998Q3,Non-Irish,In labour force,57.8
Persons aged 15 years and over,1998Q3,Non-Irish,In employment,51.4
Persons aged 15 years and over,1998Q3,Non-Irish,Unemployed,6.4
Persons aged 15 years and over,1998Q3,Non-Irish,Not in labour force,35.8
Persons aged 15 years and over,1998Q3,Other nationalities (7),All ILO economic status,25.6
Persons aged 15 years and over,1998Q3,Other nationalities (7),In labour force,14.9
Persons aged 15 years and over,1998Q3,Other nationalities (7),In employment,13.5
Persons aged 15 years and over,1998Q3,Other nationalities (7),Unemployed,1.4
Persons aged 15 years and over,1998Q3,Other nationalities (7),Not in labour force,10.7
Persons aged 15 years and over,1998Q4,All nationalities,All ILO economic status,2900.5
Persons aged 15 years and over,1998Q4,All nationalities,In labour force,1724.6
Persons aged 15 years and over,1998Q4,All nationalities,In employment,1615.7
Persons aged 15 years and over,1998Q4,All nationalities,Unemployed,108.8
Persons aged 15 years and over,1998Q4,All nationalities,Not in labour force,1175.9
Persons aged 15 years and over,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,10.1
Persons aged 15 years and over,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,6.8
Persons aged 15 years and over,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,6.5
Persons aged 15 years and over,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.2
Persons aged 15 years and over,1998Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1998Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1998Q4,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1998Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1998Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1998Q4,UK,All ILO economic status,58.4
Persons aged 15 years and over,1998Q4,UK,In labour force,35.6
Persons aged 15 years and over,1998Q4,UK,In employment,31.7
Persons aged 15 years and over,1998Q4,UK,Unemployed,3.9
Persons aged 15 years and over,1998Q4,UK,Not in labour force,22.8
Persons aged 15 years and over,1998Q4,Irish,All ILO economic status,2805.0
Persons aged 15 years and over,1998Q4,Irish,In labour force,1667.7
Persons aged 15 years and over,1998Q4,Irish,In employment,1564.3
Persons aged 15 years and over,1998Q4,Irish,Unemployed,103.4
Persons aged 15 years and over,1998Q4,Irish,Not in labour force,1137.2
Persons aged 15 years and over,1998Q4,Non-Irish,All ILO economic status,95.5
Persons aged 15 years and over,1998Q4,Non-Irish,In labour force,56.8
Persons aged 15 years and over,1998Q4,Non-Irish,In employment,51.4
Persons aged 15 years and over,1998Q4,Non-Irish,Unemployed,5.4
Persons aged 15 years and over,1998Q4,Non-Irish,Not in labour force,38.7
Persons aged 15 years and over,1998Q4,Other nationalities (7),All ILO economic status,27.0
Persons aged 15 years and over,1998Q4,Other nationalities (7),In labour force,14.4
Persons aged 15 years and over,1998Q4,Other nationalities (7),In employment,13.2
Persons aged 15 years and over,1998Q4,Other nationalities (7),Unemployed,
Persons aged 15 years and over,1998Q4,Other nationalities (7),Not in labour force,12.6
Persons aged 15 years and over,1999Q1,All nationalities,All ILO economic status,2906.3
Persons aged 15 years and over,1999Q1,All nationalities,In labour force,1753.6
Persons aged 15 years and over,1999Q1,All nationalities,In employment,1644.4
Persons aged 15 years and over,1999Q1,All nationalities,Unemployed,109.2
Persons aged 15 years and over,1999Q1,All nationalities,Not in labour force,1152.7
Persons aged 15 years and over,1999Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,11.5
Persons aged 15 years and over,1999Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,8.2
Persons aged 15 years and over,1999Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,7.7
Persons aged 15 years and over,1999Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1999Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.3
Persons aged 15 years and over,1999Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1999Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1999Q1,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1999Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1999Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1999Q1,UK,All ILO economic status,57.4
Persons aged 15 years and over,1999Q1,UK,In labour force,35.7
Persons aged 15 years and over,1999Q1,UK,In employment,32.6
Persons aged 15 years and over,1999Q1,UK,Unemployed,3.1
Persons aged 15 years and over,1999Q1,UK,Not in labour force,21.8
Persons aged 15 years and over,1999Q1,Irish,All ILO economic status,2809.2
Persons aged 15 years and over,1999Q1,Irish,In labour force,1695.0
Persons aged 15 years and over,1999Q1,Irish,In employment,1590.3
Persons aged 15 years and over,1999Q1,Irish,Unemployed,104.7
Persons aged 15 years and over,1999Q1,Irish,Not in labour force,1114.2
Persons aged 15 years and over,1999Q1,Non-Irish,All ILO economic status,97.1
Persons aged 15 years and over,1999Q1,Non-Irish,In labour force,58.6
Persons aged 15 years and over,1999Q1,Non-Irish,In employment,54.1
Persons aged 15 years and over,1999Q1,Non-Irish,Unemployed,4.5
Persons aged 15 years and over,1999Q1,Non-Irish,Not in labour force,38.5
Persons aged 15 years and over,1999Q1,Other nationalities (7),All ILO economic status,28.2
Persons aged 15 years and over,1999Q1,Other nationalities (7),In labour force,14.8
Persons aged 15 years and over,1999Q1,Other nationalities (7),In employment,13.9
Persons aged 15 years and over,1999Q1,Other nationalities (7),Unemployed,
Persons aged 15 years and over,1999Q1,Other nationalities (7),Not in labour force,13.4
Persons aged 15 years and over,1999Q2,All nationalities,All ILO economic status,2915.0
Persons aged 15 years and over,1999Q2,All nationalities,In labour force,1789.8
Persons aged 15 years and over,1999Q2,All nationalities,In employment,1679.2
Persons aged 15 years and over,1999Q2,All nationalities,Unemployed,110.6
Persons aged 15 years and over,1999Q2,All nationalities,Not in labour force,1125.2
Persons aged 15 years and over,1999Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,11.4
Persons aged 15 years and over,1999Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,7.9
Persons aged 15 years and over,1999Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,7.6
Persons aged 15 years and over,1999Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1999Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.5
Persons aged 15 years and over,1999Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1999Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1999Q2,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1999Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1999Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1999Q2,UK,All ILO economic status,56.4
Persons aged 15 years and over,1999Q2,UK,In labour force,35.5
Persons aged 15 years and over,1999Q2,UK,In employment,32.5
Persons aged 15 years and over,1999Q2,UK,Unemployed,3.0
Persons aged 15 years and over,1999Q2,UK,Not in labour force,20.9
Persons aged 15 years and over,1999Q2,Irish,All ILO economic status,2818.4
Persons aged 15 years and over,1999Q2,Irish,In labour force,1730.2
Persons aged 15 years and over,1999Q2,Irish,In employment,1623.9
Persons aged 15 years and over,1999Q2,Irish,Unemployed,106.3
Persons aged 15 years and over,1999Q2,Irish,Not in labour force,1088.2
Persons aged 15 years and over,1999Q2,Non-Irish,All ILO economic status,96.6
Persons aged 15 years and over,1999Q2,Non-Irish,In labour force,59.6
Persons aged 15 years and over,1999Q2,Non-Irish,In employment,55.3
Persons aged 15 years and over,1999Q2,Non-Irish,Unemployed,4.3
Persons aged 15 years and over,1999Q2,Non-Irish,Not in labour force,37.0
Persons aged 15 years and over,1999Q2,Other nationalities (7),All ILO economic status,28.8
Persons aged 15 years and over,1999Q2,Other nationalities (7),In labour force,16.1
Persons aged 15 years and over,1999Q2,Other nationalities (7),In employment,15.1
Persons aged 15 years and over,1999Q2,Other nationalities (7),Unemployed,
Persons aged 15 years and over,1999Q2,Other nationalities (7),Not in labour force,12.7
Persons aged 15 years and over,1999Q3,All nationalities,All ILO economic status,2930.5
Persons aged 15 years and over,1999Q3,All nationalities,In labour force,1849.0
Persons aged 15 years and over,1999Q3,All nationalities,In employment,1746.8
Persons aged 15 years and over,1999Q3,All nationalities,Unemployed,102.2
Persons aged 15 years and over,1999Q3,All nationalities,Not in labour force,1081.6
Persons aged 15 years and over,1999Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,12.0
Persons aged 15 years and over,1999Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,9.1
Persons aged 15 years and over,1999Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,8.8
Persons aged 15 years and over,1999Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1999Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.0
Persons aged 15 years and over,1999Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1999Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1999Q3,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1999Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1999Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1999Q3,UK,All ILO economic status,57.3
Persons aged 15 years and over,1999Q3,UK,In labour force,37.3
Persons aged 15 years and over,1999Q3,UK,In employment,34.3
Persons aged 15 years and over,1999Q3,UK,Unemployed,3.0
Persons aged 15 years and over,1999Q3,UK,Not in labour force,20.0
Persons aged 15 years and over,1999Q3,Irish,All ILO economic status,2832.5
Persons aged 15 years and over,1999Q3,Irish,In labour force,1786.1
Persons aged 15 years and over,1999Q3,Irish,In employment,1688.4
Persons aged 15 years and over,1999Q3,Irish,Unemployed,97.7
Persons aged 15 years and over,1999Q3,Irish,Not in labour force,1046.4
Persons aged 15 years and over,1999Q3,Non-Irish,All ILO economic status,98.1
Persons aged 15 years and over,1999Q3,Non-Irish,In labour force,62.9
Persons aged 15 years and over,1999Q3,Non-Irish,In employment,58.4
Persons aged 15 years and over,1999Q3,Non-Irish,Unemployed,4.5
Persons aged 15 years and over,1999Q3,Non-Irish,Not in labour force,35.2
Persons aged 15 years and over,1999Q3,Other nationalities (7),All ILO economic status,28.7
Persons aged 15 years and over,1999Q3,Other nationalities (7),In labour force,16.5
Persons aged 15 years and over,1999Q3,Other nationalities (7),In employment,15.3
Persons aged 15 years and over,1999Q3,Other nationalities (7),Unemployed,1.2
Persons aged 15 years and over,1999Q3,Other nationalities (7),Not in labour force,12.2
Persons aged 15 years and over,1999Q4,All nationalities,All ILO economic status,2947.4
Persons aged 15 years and over,1999Q4,All nationalities,In labour force,1813.9
Persons aged 15 years and over,1999Q4,All nationalities,In employment,1723.1
Persons aged 15 years and over,1999Q4,All nationalities,Unemployed,90.8
Persons aged 15 years and over,1999Q4,All nationalities,Not in labour force,1133.5
Persons aged 15 years and over,1999Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,12.7
Persons aged 15 years and over,1999Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,9.2
Persons aged 15 years and over,1999Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,8.9
Persons aged 15 years and over,1999Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,1999Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.5
Persons aged 15 years and over,1999Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,1999Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,1999Q4,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,1999Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,1999Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,1999Q4,UK,All ILO economic status,58.2
Persons aged 15 years and over,1999Q4,UK,In labour force,37.6
Persons aged 15 years and over,1999Q4,UK,In employment,34.7
Persons aged 15 years and over,1999Q4,UK,Unemployed,2.9
Persons aged 15 years and over,1999Q4,UK,Not in labour force,20.7
Persons aged 15 years and over,1999Q4,Irish,All ILO economic status,2844.6
Persons aged 15 years and over,1999Q4,Irish,In labour force,1749.0
Persons aged 15 years and over,1999Q4,Irish,In employment,1662.7
Persons aged 15 years and over,1999Q4,Irish,Unemployed,86.3
Persons aged 15 years and over,1999Q4,Irish,Not in labour force,1095.6
Persons aged 15 years and over,1999Q4,Non-Irish,All ILO economic status,102.7
Persons aged 15 years and over,1999Q4,Non-Irish,In labour force,64.9
Persons aged 15 years and over,1999Q4,Non-Irish,In employment,60.4
Persons aged 15 years and over,1999Q4,Non-Irish,Unemployed,4.5
Persons aged 15 years and over,1999Q4,Non-Irish,Not in labour force,37.8
Persons aged 15 years and over,1999Q4,Other nationalities (7),All ILO economic status,31.8
Persons aged 15 years and over,1999Q4,Other nationalities (7),In labour force,18.1
Persons aged 15 years and over,1999Q4,Other nationalities (7),In employment,16.8
Persons aged 15 years and over,1999Q4,Other nationalities (7),Unemployed,1.3
Persons aged 15 years and over,1999Q4,Other nationalities (7),Not in labour force,13.7
Persons aged 15 years and over,2000Q1,All nationalities,All ILO economic status,2954.2
Persons aged 15 years and over,2000Q1,All nationalities,In labour force,1813.2
Persons aged 15 years and over,2000Q1,All nationalities,In employment,1726.8
Persons aged 15 years and over,2000Q1,All nationalities,Unemployed,86.4
Persons aged 15 years and over,2000Q1,All nationalities,Not in labour force,1141.0
Persons aged 15 years and over,2000Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,14.3
Persons aged 15 years and over,2000Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,10.4
Persons aged 15 years and over,2000Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,10.1
Persons aged 15 years and over,2000Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2000Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,4.0
Persons aged 15 years and over,2000Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2000Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2000Q1,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2000Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2000Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2000Q1,UK,All ILO economic status,58.3
Persons aged 15 years and over,2000Q1,UK,In labour force,36.8
Persons aged 15 years and over,2000Q1,UK,In employment,33.8
Persons aged 15 years and over,2000Q1,UK,Unemployed,3.0
Persons aged 15 years and over,2000Q1,UK,Not in labour force,21.4
Persons aged 15 years and over,2000Q1,Irish,All ILO economic status,2847.1
Persons aged 15 years and over,2000Q1,Irish,In labour force,1745.9
Persons aged 15 years and over,2000Q1,Irish,In employment,1663.6
Persons aged 15 years and over,2000Q1,Irish,Unemployed,82.3
Persons aged 15 years and over,2000Q1,Irish,Not in labour force,1101.2
Persons aged 15 years and over,2000Q1,Non-Irish,All ILO economic status,107.0
Persons aged 15 years and over,2000Q1,Non-Irish,In labour force,67.3
Persons aged 15 years and over,2000Q1,Non-Irish,In employment,63.1
Persons aged 15 years and over,2000Q1,Non-Irish,Unemployed,4.1
Persons aged 15 years and over,2000Q1,Non-Irish,Not in labour force,39.8
Persons aged 15 years and over,2000Q1,Other nationalities (7),All ILO economic status,34.5
Persons aged 15 years and over,2000Q1,Other nationalities (7),In labour force,20.1
Persons aged 15 years and over,2000Q1,Other nationalities (7),In employment,19.2
Persons aged 15 years and over,2000Q1,Other nationalities (7),Unemployed,
Persons aged 15 years and over,2000Q1,Other nationalities (7),Not in labour force,14.4
Persons aged 15 years and over,2000Q2,All nationalities,All ILO economic status,2965.0
Persons aged 15 years and over,2000Q2,All nationalities,In labour force,1845.8
Persons aged 15 years and over,2000Q2,All nationalities,In employment,1758.2
Persons aged 15 years and over,2000Q2,All nationalities,Unemployed,87.6
Persons aged 15 years and over,2000Q2,All nationalities,Not in labour force,1119.1
Persons aged 15 years and over,2000Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,14.7
Persons aged 15 years and over,2000Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,11.0
Persons aged 15 years and over,2000Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,10.7
Persons aged 15 years and over,2000Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2000Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.7
Persons aged 15 years and over,2000Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2000Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2000Q2,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2000Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2000Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2000Q2,UK,All ILO economic status,57.1
Persons aged 15 years and over,2000Q2,UK,In labour force,37.3
Persons aged 15 years and over,2000Q2,UK,In employment,34.5
Persons aged 15 years and over,2000Q2,UK,Unemployed,2.8
Persons aged 15 years and over,2000Q2,UK,Not in labour force,19.8
Persons aged 15 years and over,2000Q2,Irish,All ILO economic status,2853.7
Persons aged 15 years and over,2000Q2,Irish,In labour force,1775.3
Persons aged 15 years and over,2000Q2,Irish,In employment,1692.0
Persons aged 15 years and over,2000Q2,Irish,Unemployed,83.3
Persons aged 15 years and over,2000Q2,Irish,Not in labour force,1078.5
Persons aged 15 years and over,2000Q2,Non-Irish,All ILO economic status,111.2
Persons aged 15 years and over,2000Q2,Non-Irish,In labour force,70.6
Persons aged 15 years and over,2000Q2,Non-Irish,In employment,66.2
Persons aged 15 years and over,2000Q2,Non-Irish,Unemployed,4.3
Persons aged 15 years and over,2000Q2,Non-Irish,Not in labour force,40.7
Persons aged 15 years and over,2000Q2,Other nationalities (7),All ILO economic status,39.4
Persons aged 15 years and over,2000Q2,Other nationalities (7),In labour force,22.3
Persons aged 15 years and over,2000Q2,Other nationalities (7),In employment,21.0
Persons aged 15 years and over,2000Q2,Other nationalities (7),Unemployed,1.2
Persons aged 15 years and over,2000Q2,Other nationalities (7),Not in labour force,17.1
Persons aged 15 years and over,2000Q3,All nationalities,All ILO economic status,2981.9
Persons aged 15 years and over,2000Q3,All nationalities,In labour force,1900.4
Persons aged 15 years and over,2000Q3,All nationalities,In employment,1818.4
