Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Information and communication (J),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,"Professional, scientific and technical activities (M)",40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Administrative and support service activities (N),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Public administration and defence; compulsory social security (O),38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Education (P),28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Human health and social work activities (Q),34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Industry (B to E),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,"Financial, insurance and real estate activities (K, L)",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Other NACE activities (R to U),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Industry and Construction (B to F),40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Services (G to U),36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Not stated,33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,All NACE economic sectors,38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,"Agriculture, forestry and fishing (A)",53.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Construction (F),41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Transportation and storage (H),41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Accommodation and food service activities (I),35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Information and communication (J),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,"Professional, scientific and technical activities (M)",40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Administrative and support service activities (N),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Public administration and defence; compulsory social security (O),38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Education (P),29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Human health and social work activities (Q),34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Industry (B to E),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,"Financial, insurance and real estate activities (K, L)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Other NACE activities (R to U),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Industry and Construction (B to F),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Services (G to U),36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q3,Not stated,34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,All NACE economic sectors,38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,"Agriculture, forestry and fishing (A)",52.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Construction (F),41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Transportation and storage (H),41.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Accommodation and food service activities (I),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Information and communication (J),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,"Professional, scientific and technical activities (M)",40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Administrative and support service activities (N),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Public administration and defence; compulsory social security (O),38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Education (P),29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Human health and social work activities (Q),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Industry (B to E),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,"Financial, insurance and real estate activities (K, L)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Other NACE activities (R to U),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Industry and Construction (B to F),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Services (G to U),35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,Not stated,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,All NACE economic sectors,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,"Agriculture, forestry and fishing (A)",51.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Construction (F),41.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Transportation and storage (H),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Accommodation and food service activities (I),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Information and communication (J),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,"Professional, scientific and technical activities (M)",39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Administrative and support service activities (N),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Public administration and defence; compulsory social security (O),38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Education (P),28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Human health and social work activities (Q),34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Industry (B to E),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Other NACE activities (R to U),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Industry and Construction (B to F),40.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Services (G to U),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,Not stated,33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,All NACE economic sectors,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,"Agriculture, forestry and fishing (A)",51.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Construction (F),41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Transportation and storage (H),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Accommodation and food service activities (I),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Information and communication (J),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,"Professional, scientific and technical activities (M)",39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Administrative and support service activities (N),35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Public administration and defence; compulsory social security (O),38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Education (P),28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Human health and social work activities (Q),33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Industry (B to E),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,"Financial, insurance and real estate activities (K, L)",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Other NACE activities (R to U),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Industry and Construction (B to F),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Services (G to U),35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,Not stated,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,All NACE economic sectors,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,"Agriculture, forestry and fishing (A)",51.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Construction (F),41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Transportation and storage (H),40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Accommodation and food service activities (I),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Information and communication (J),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,"Professional, scientific and technical activities (M)",40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Administrative and support service activities (N),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Public administration and defence; compulsory social security (O),37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Education (P),29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Human health and social work activities (Q),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Industry (B to E),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,"Financial, insurance and real estate activities (K, L)",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Other NACE activities (R to U),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Industry and Construction (B to F),40.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Services (G to U),35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,Not stated,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,All NACE economic sectors,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,"Agriculture, forestry and fishing (A)",50.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Construction (F),41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Transportation and storage (H),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Accommodation and food service activities (I),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Information and communication (J),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,"Professional, scientific and technical activities (M)",40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Administrative and support service activities (N),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Education (P),28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Human health and social work activities (Q),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Industry (B to E),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Other NACE activities (R to U),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Services (G to U),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,Not stated,33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,All NACE economic sectors,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,"Agriculture, forestry and fishing (A)",51.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Construction (F),41.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Transportation and storage (H),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Accommodation and food service activities (I),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Information and communication (J),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,"Professional, scientific and technical activities (M)",39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Administrative and support service activities (N),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Public administration and defence; compulsory social security (O),37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Education (P),28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Human health and social work activities (Q),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Industry (B to E),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,"Financial, insurance and real estate activities (K, L)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Other NACE activities (R to U),32.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Services (G to U),35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,Not stated,34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,All NACE economic sectors,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,"Agriculture, forestry and fishing (A)",51.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Construction (F),41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Transportation and storage (H),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Accommodation and food service activities (I),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Information and communication (J),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,"Professional, scientific and technical activities (M)",40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Administrative and support service activities (N),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Public administration and defence; compulsory social security (O),37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Education (P),29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Human health and social work activities (Q),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Industry (B to E),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,"Financial, insurance and real estate activities (K, L)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Other NACE activities (R to U),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Industry and Construction (B to F),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Services (G to U),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,Not stated,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,All NACE economic sectors,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,"Agriculture, forestry and fishing (A)",51.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Construction (F),41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Transportation and storage (H),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Accommodation and food service activities (I),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Information and communication (J),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,"Professional, scientific and technical activities (M)",40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Administrative and support service activities (N),35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Public administration and defence; compulsory social security (O),37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Education (P),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Human health and social work activities (Q),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Industry (B to E),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,"Financial, insurance and real estate activities (K, L)",38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Other NACE activities (R to U),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Industry and Construction (B to F),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Services (G to U),35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,Not stated,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,All NACE economic sectors,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,"Agriculture, forestry and fishing (A)",50.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Construction (F),41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Transportation and storage (H),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Accommodation and food service activities (I),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Information and communication (J),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,"Professional, scientific and technical activities (M)",39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Administrative and support service activities (N),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Education (P),29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Human health and social work activities (Q),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Industry (B to E),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,"Financial, insurance and real estate activities (K, L)",37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Other NACE activities (R to U),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Services (G to U),35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,Not stated,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,All NACE economic sectors,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,"Agriculture, forestry and fishing (A)",50.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Construction (F),41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Transportation and storage (H),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Accommodation and food service activities (I),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Information and communication (J),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,"Professional, scientific and technical activities (M)",39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Administrative and support service activities (N),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Public administration and defence; compulsory social security (O),37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Education (P),29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Human health and social work activities (Q),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Industry (B to E),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,"Financial, insurance and real estate activities (K, L)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Other NACE activities (R to U),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Services (G to U),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,Not stated,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,All NACE economic sectors,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,"Agriculture, forestry and fishing (A)",51.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Construction (F),41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Transportation and storage (H),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Accommodation and food service activities (I),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Information and communication (J),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,"Professional, scientific and technical activities (M)",39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Administrative and support service activities (N),35.3
