Statistic,Quarter,NACE Rev 2 Economic Sector,value
Actual hours worked per week,1999Q2,"Agriculture, forestry and fishing (A)",7.5
Actual hours worked per week,1999Q2,Construction (F),4.9
Actual hours worked per week,1999Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.1
Actual hours worked per week,1999Q2,Transportation and storage (H),3.0
Actual hours worked per week,1999Q2,Accommodation and food service activities (I),3.7
Actual hours worked per week,1999Q2,Information and communication (J),2.8
Actual hours worked per week,1999Q2,"Professional, scientific and technical activities (M)",3.1
Actual hours worked per week,1999Q2,Administrative and support service activities (N),1.9
Actual hours worked per week,1999Q2,"Public administration and defence, compulsory social security (O)",2.6
Actual hours worked per week,1999Q2,Education (P),2.4
Actual hours worked per week,1999Q2,Human health and social work activities (Q),4.1
Actual hours worked per week,1999Q2,Industry (B to E),12.4
Actual hours worked per week,1999Q2,Industry and Construction (B to F),17.3
Actual hours worked per week,1999Q2,Services (G to U),36.9
Actual hours worked per week,1999Q2,"Financial, insurance and real estate activities (K,L)",2.5
Actual hours worked per week,1999Q2,Other NACE activities (R to U),2.6
Actual hours worked per week,1999Q2,Not stated,0.3
Actual hours worked per week,1999Q3,All NACE economic sectors,62.0
Actual hours worked per week,1999Q3,"Agriculture, forestry and fishing (A)",7.7
Actual hours worked per week,1999Q3,Construction (F),5.0
Actual hours worked per week,1999Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.5
Actual hours worked per week,1999Q3,Transportation and storage (H),2.9
Actual hours worked per week,1999Q3,Accommodation and food service activities (I),4.0
Actual hours worked per week,1999Q3,Information and communication (J),2.8
Actual hours worked per week,1999Q3,"Professional, scientific and technical activities (M)",3.0
Actual hours worked per week,1999Q3,Administrative and support service activities (N),1.9
Actual hours worked per week,1999Q3,"Public administration and defence, compulsory social security (O)",2.5
Actual hours worked per week,1999Q3,Education (P),1.6
Actual hours worked per week,1999Q3,Human health and social work activities (Q),4.1
Actual hours worked per week,1999Q3,Industry (B to E),12.3
Actual hours worked per week,1999Q3,Industry and Construction (B to F),17.3
Actual hours worked per week,1999Q3,Services (G to U),36.6
Actual hours worked per week,1999Q3,"Financial, insurance and real estate activities (K,L)",2.6
Actual hours worked per week,1999Q3,Other NACE activities (R to U),2.6
Actual hours worked per week,1999Q3,Not stated,0.4
Actual hours worked per week,1999Q4,All NACE economic sectors,63.5
Actual hours worked per week,1999Q4,"Agriculture, forestry and fishing (A)",7.1
Actual hours worked per week,1999Q4,Construction (F),5.3
Actual hours worked per week,1999Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.5
Actual hours worked per week,1999Q4,Transportation and storage (H),3.1
Actual hours worked per week,1999Q4,Accommodation and food service activities (I),3.6
Actual hours worked per week,1999Q4,Information and communication (J),3.0
Actual hours worked per week,1999Q4,"Professional, scientific and technical activities (M)",3.2
Actual hours worked per week,1999Q4,Administrative and support service activities (N),2.0
Actual hours worked per week,1999Q4,"Public administration and defence, compulsory social security (O)",2.7
Actual hours worked per week,1999Q4,Education (P),2.6
Actual hours worked per week,1999Q4,Human health and social work activities (Q),4.3
Actual hours worked per week,1999Q4,Industry (B to E),12.5
Actual hours worked per week,1999Q4,Industry and Construction (B to F),17.8
Actual hours worked per week,1999Q4,Services (G to U),38.2
Actual hours worked per week,1999Q4,"Financial, insurance and real estate activities (K,L)",2.7
Actual hours worked per week,1999Q4,Other NACE activities (R to U),2.7
Actual hours worked per week,1999Q4,Not stated,0.3
Actual hours worked per week,2000Q1,All NACE economic sectors,60.9
Actual hours worked per week,2000Q1,"Agriculture, forestry and fishing (A)",7.0
Actual hours worked per week,2000Q1,Construction (F),5.1
Actual hours worked per week,2000Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.0
Actual hours worked per week,2000Q1,Transportation and storage (H),2.9
Actual hours worked per week,2000Q1,Accommodation and food service activities (I),3.6
Actual hours worked per week,2000Q1,Information and communication (J),2.7
Actual hours worked per week,2000Q1,"Professional, scientific and technical activities (M)",3.1
Actual hours worked per week,2000Q1,Administrative and support service activities (N),2.0
Actual hours worked per week,2000Q1,"Public administration and defence, compulsory social security (O)",2.5
Actual hours worked per week,2000Q1,Education (P),2.5
Actual hours worked per week,2000Q1,Human health and social work activities (Q),4.2
Actual hours worked per week,2000Q1,Industry (B to E),11.8
Actual hours worked per week,2000Q1,Industry and Construction (B to F),17.0
Actual hours worked per week,2000Q1,Services (G to U),36.6
Actual hours worked per week,2000Q1,"Financial, insurance and real estate activities (K,L)",2.5
Actual hours worked per week,2000Q1,Other NACE activities (R to U),2.5
Actual hours worked per week,2000Q1,Not stated,0.3
Actual hours worked per week,2000Q2,All NACE economic sectors,64.6
Actual hours worked per week,2000Q2,"Agriculture, forestry and fishing (A)",7.0
Actual hours worked per week,2000Q2,Construction (F),5.8
Actual hours worked per week,2000Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.6
Actual hours worked per week,2000Q2,Transportation and storage (H),3.1
Actual hours worked per week,2000Q2,Accommodation and food service activities (I),3.8
Actual hours worked per week,2000Q2,Information and communication (J),2.8
Actual hours worked per week,2000Q2,"Professional, scientific and technical activities (M)",3.3
Actual hours worked per week,2000Q2,Administrative and support service activities (N),2.1
Actual hours worked per week,2000Q2,"Public administration and defence, compulsory social security (O)",2.7
Actual hours worked per week,2000Q2,Education (P),2.6
Actual hours worked per week,2000Q2,Human health and social work activities (Q),4.5
Actual hours worked per week,2000Q2,Industry (B to E),12.5
Actual hours worked per week,2000Q2,Industry and Construction (B to F),18.3
Actual hours worked per week,2000Q2,Services (G to U),38.9
Actual hours worked per week,2000Q2,"Financial, insurance and real estate activities (K,L)",2.8
Actual hours worked per week,2000Q2,Other NACE activities (R to U),2.7
Actual hours worked per week,2000Q2,Not stated,0.4
Actual hours worked per week,2000Q3,All NACE economic sectors,64.4
Actual hours worked per week,2000Q3,"Agriculture, forestry and fishing (A)",6.9
Actual hours worked per week,2000Q3,Construction (F),5.9
Actual hours worked per week,2000Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.0
Actual hours worked per week,2000Q3,Transportation and storage (H),3.1
Actual hours worked per week,2000Q3,Accommodation and food service activities (I),4.1
Actual hours worked per week,2000Q3,Information and communication (J),2.9
Actual hours worked per week,2000Q3,"Professional, scientific and technical activities (M)",3.2
Actual hours worked per week,2000Q3,Administrative and support service activities (N),2.1
Actual hours worked per week,2000Q3,"Public administration and defence, compulsory social security (O)",2.6
Actual hours worked per week,2000Q3,Education (P),1.6
Actual hours worked per week,2000Q3,Human health and social work activities (Q),4.4
Actual hours worked per week,2000Q3,Industry (B to E),12.5
Actual hours worked per week,2000Q3,Industry and Construction (B to F),18.4
Actual hours worked per week,2000Q3,Services (G to U),38.7
Actual hours worked per week,2000Q3,"Financial, insurance and real estate activities (K,L)",2.8
Actual hours worked per week,2000Q3,Other NACE activities (R to U),2.7
Actual hours worked per week,2000Q3,Not stated,0.4
Actual hours worked per week,2000Q4,All NACE economic sectors,66.0
Actual hours worked per week,2000Q4,"Agriculture, forestry and fishing (A)",6.1
Actual hours worked per week,2000Q4,Construction (F),6.1
Actual hours worked per week,2000Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.9
Actual hours worked per week,2000Q4,Transportation and storage (H),3.2
Actual hours worked per week,2000Q4,Accommodation and food service activities (I),3.7
Actual hours worked per week,2000Q4,Information and communication (J),2.9
Actual hours worked per week,2000Q4,"Professional, scientific and technical activities (M)",3.4
Actual hours worked per week,2000Q4,Administrative and support service activities (N),2.2
Actual hours worked per week,2000Q4,"Public administration and defence, compulsory social security (O)",2.7
Actual hours worked per week,2000Q4,Education (P),2.9
Actual hours worked per week,2000Q4,Human health and social work activities (Q),4.8
Actual hours worked per week,2000Q4,Industry (B to E),13.0
Actual hours worked per week,2000Q4,Industry and Construction (B to F),19.2
Actual hours worked per week,2000Q4,Services (G to U),40.4
Actual hours worked per week,2000Q4,"Financial, insurance and real estate activities (K,L)",2.9
Actual hours worked per week,2000Q4,Other NACE activities (R to U),2.7
Actual hours worked per week,2000Q4,Not stated,0.4
Actual hours worked per week,2001Q1,All NACE economic sectors,62.0
Actual hours worked per week,2001Q1,"Agriculture, forestry and fishing (A)",6.1
Actual hours worked per week,2001Q1,Construction (F),5.6
Actual hours worked per week,2001Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.3
Actual hours worked per week,2001Q1,Transportation and storage (H),3.1
Actual hours worked per week,2001Q1,Accommodation and food service activities (I),3.5
Actual hours worked per week,2001Q1,Information and communication (J),2.7
Actual hours worked per week,2001Q1,"Professional, scientific and technical activities (M)",3.3
Actual hours worked per week,2001Q1,Administrative and support service activities (N),2.0
Actual hours worked per week,2001Q1,"Public administration and defence, compulsory social security (O)",2.6
Actual hours worked per week,2001Q1,Education (P),2.6
Actual hours worked per week,2001Q1,Human health and social work activities (Q),4.5
Actual hours worked per week,2001Q1,Industry (B to E),12.1
Actual hours worked per week,2001Q1,Industry and Construction (B to F),17.7
Actual hours worked per week,2001Q1,Services (G to U),37.9
Actual hours worked per week,2001Q1,"Financial, insurance and real estate activities (K,L)",2.8
Actual hours worked per week,2001Q1,Other NACE activities (R to U),2.5
Actual hours worked per week,2001Q1,Not stated,0.3
Actual hours worked per week,2001Q2,All NACE economic sectors,65.5
Actual hours worked per week,2001Q2,"Agriculture, forestry and fishing (A)",6.3
Actual hours worked per week,2001Q2,Construction (F),6.1
Actual hours worked per week,2001Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.9
Actual hours worked per week,2001Q2,Transportation and storage (H),3.4
Actual hours worked per week,2001Q2,Accommodation and food service activities (I),3.7
Actual hours worked per week,2001Q2,Information and communication (J),2.9
Actual hours worked per week,2001Q2,"Professional, scientific and technical activities (M)",3.5
Actual hours worked per week,2001Q2,Administrative and support service activities (N),2.2
Actual hours worked per week,2001Q2,"Public administration and defence, compulsory social security (O)",2.7
Actual hours worked per week,2001Q2,Education (P),2.6
Actual hours worked per week,2001Q2,Human health and social work activities (Q),4.7
Actual hours worked per week,2001Q2,Industry (B to E),12.7
Actual hours worked per week,2001Q2,Industry and Construction (B to F),18.8
Actual hours worked per week,2001Q2,Services (G to U),40.1
Actual hours worked per week,2001Q2,"Financial, insurance and real estate activities (K,L)",2.8
Actual hours worked per week,2001Q2,Other NACE activities (R to U),2.7
Actual hours worked per week,2001Q2,Not stated,0.3
Actual hours worked per week,2001Q3,All NACE economic sectors,65.3
Actual hours worked per week,2001Q3,"Agriculture, forestry and fishing (A)",6.8
Actual hours worked per week,2001Q3,Construction (F),6.2
Actual hours worked per week,2001Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.8
Actual hours worked per week,2001Q3,Transportation and storage (H),3.3
Actual hours worked per week,2001Q3,Accommodation and food service activities (I),4.1
Actual hours worked per week,2001Q3,Information and communication (J),2.9
Actual hours worked per week,2001Q3,"Professional, scientific and technical activities (M)",3.3
Actual hours worked per week,2001Q3,Administrative and support service activities (N),2.3
Actual hours worked per week,2001Q3,"Public administration and defence, compulsory social security (O)",2.7
Actual hours worked per week,2001Q3,Education (P),1.8
Actual hours worked per week,2001Q3,Human health and social work activities (Q),4.9
Actual hours worked per week,2001Q3,Industry (B to E),12.4
Actual hours worked per week,2001Q3,Industry and Construction (B to F),18.6
Actual hours worked per week,2001Q3,Services (G to U),39.7
Actual hours worked per week,2001Q3,"Financial, insurance and real estate activities (K,L)",2.9
Actual hours worked per week,2001Q3,Other NACE activities (R to U),2.7
Actual hours worked per week,2001Q3,Not stated,0.3
Actual hours worked per week,2001Q4,All NACE economic sectors,67.0
Actual hours worked per week,2001Q4,"Agriculture, forestry and fishing (A)",6.3
Actual hours worked per week,2001Q4,Construction (F),6.3
Actual hours worked per week,2001Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.9
Actual hours worked per week,2001Q4,Transportation and storage (H),3.4
Actual hours worked per week,2001Q4,Accommodation and food service activities (I),3.7
Actual hours worked per week,2001Q4,Information and communication (J),3.1
Actual hours worked per week,2001Q4,"Professional, scientific and technical activities (M)",3.5
Actual hours worked per week,2001Q4,Administrative and support service activities (N),2.3
Actual hours worked per week,2001Q4,"Public administration and defence, compulsory social security (O)",2.8
Actual hours worked per week,2001Q4,Education (P),2.8
Actual hours worked per week,2001Q4,Human health and social work activities (Q),5.2
Actual hours worked per week,2001Q4,Industry (B to E),12.8
Actual hours worked per week,2001Q4,Industry and Construction (B to F),19.1
Actual hours worked per week,2001Q4,Services (G to U),41.4
Actual hours worked per week,2001Q4,"Financial, insurance and real estate activities (K,L)",3.0
Actual hours worked per week,2001Q4,Other NACE activities (R to U),2.8
Actual hours worked per week,2001Q4,Not stated,0.3
Actual hours worked per week,2002Q1,All NACE economic sectors,62.7
Actual hours worked per week,2002Q1,"Agriculture, forestry and fishing (A)",6.0
Actual hours worked per week,2002Q1,Construction (F),5.7
Actual hours worked per week,2002Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2002Q1,Transportation and storage (H),3.2
Actual hours worked per week,2002Q1,Accommodation and food service activities (I),3.6
Actual hours worked per week,2002Q1,Information and communication (J),2.8
Actual hours worked per week,2002Q1,"Professional, scientific and technical activities (M)",3.2
Actual hours worked per week,2002Q1,Administrative and support service activities (N),2.0
Actual hours worked per week,2002Q1,"Public administration and defence, compulsory social security (O)",2.7
Actual hours worked per week,2002Q1,Education (P),2.6
Actual hours worked per week,2002Q1,Human health and social work activities (Q),5.1
Actual hours worked per week,2002Q1,Industry (B to E),11.6
Actual hours worked per week,2002Q1,Industry and Construction (B to F),17.2
Actual hours worked per week,2002Q1,Services (G to U),39.2
Actual hours worked per week,2002Q1,"Financial, insurance and real estate activities (K,L)",2.8
Actual hours worked per week,2002Q1,Other NACE activities (R to U),2.6
Actual hours worked per week,2002Q1,Not stated,0.3
Actual hours worked per week,2002Q2,All NACE economic sectors,65.9
Actual hours worked per week,2002Q2,"Agriculture, forestry and fishing (A)",6.4
Actual hours worked per week,2002Q2,Construction (F),6.1
Actual hours worked per week,2002Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.7
Actual hours worked per week,2002Q2,Transportation and storage (H),3.5
Actual hours worked per week,2002Q2,Accommodation and food service activities (I),3.7
Actual hours worked per week,2002Q2,Information and communication (J),2.9
Actual hours worked per week,2002Q2,"Professional, scientific and technical activities (M)",3.4
Actual hours worked per week,2002Q2,Administrative and support service activities (N),2.2
Actual hours worked per week,2002Q2,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2002Q2,Education (P),2.7
Actual hours worked per week,2002Q2,Human health and social work activities (Q),5.3
Actual hours worked per week,2002Q2,Industry (B to E),12.0
Actual hours worked per week,2002Q2,Industry and Construction (B to F),18.1
Actual hours worked per week,2002Q2,Services (G to U),41.1
Actual hours worked per week,2002Q2,"Financial, insurance and real estate activities (K,L)",2.9
Actual hours worked per week,2002Q2,Other NACE activities (R to U),2.8
Actual hours worked per week,2002Q2,Not stated,0.4
Actual hours worked per week,2002Q3,All NACE economic sectors,65.8
Actual hours worked per week,2002Q3,"Agriculture, forestry and fishing (A)",6.4
Actual hours worked per week,2002Q3,Construction (F),6.3
Actual hours worked per week,2002Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.0
Actual hours worked per week,2002Q3,Transportation and storage (H),3.5
Actual hours worked per week,2002Q3,Accommodation and food service activities (I),4.0
Actual hours worked per week,2002Q3,Information and communication (J),2.9
Actual hours worked per week,2002Q3,"Professional, scientific and technical activities (M)",3.4
Actual hours worked per week,2002Q3,Administrative and support service activities (N),2.3
Actual hours worked per week,2002Q3,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2002Q3,Education (P),1.8
Actual hours worked per week,2002Q3,Human health and social work activities (Q),5.3
Actual hours worked per week,2002Q3,Industry (B to E),12.0
Actual hours worked per week,2002Q3,Industry and Construction (B to F),18.3
Actual hours worked per week,2002Q3,Services (G to U),40.8
Actual hours worked per week,2002Q3,"Financial, insurance and real estate activities (K,L)",2.9
Actual hours worked per week,2002Q3,Other NACE activities (R to U),2.9
Actual hours worked per week,2002Q3,Not stated,0.3
Actual hours worked per week,2002Q4,All NACE economic sectors,67.2
Actual hours worked per week,2002Q4,"Agriculture, forestry and fishing (A)",5.7
Actual hours worked per week,2002Q4,Construction (F),6.3
Actual hours worked per week,2002Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.0
Actual hours worked per week,2002Q4,Transportation and storage (H),3.5
Actual hours worked per week,2002Q4,Accommodation and food service activities (I),3.7
Actual hours worked per week,2002Q4,Information and communication (J),3.1
Actual hours worked per week,2002Q4,"Professional, scientific and technical activities (M)",3.6
Actual hours worked per week,2002Q4,Administrative and support service activities (N),2.3
Actual hours worked per week,2002Q4,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2002Q4,Education (P),3.1
Actual hours worked per week,2002Q4,Human health and social work activities (Q),5.6
Actual hours worked per week,2002Q4,Industry (B to E),12.2
Actual hours worked per week,2002Q4,Industry and Construction (B to F),18.5
Actual hours worked per week,2002Q4,Services (G to U),42.7
Actual hours worked per week,2002Q4,"Financial, insurance and real estate activities (K,L)",2.9
Actual hours worked per week,2002Q4,Other NACE activities (R to U),2.9
Actual hours worked per week,2002Q4,Not stated,0.3
Actual hours worked per week,2003Q1,All NACE economic sectors,62.2
Actual hours worked per week,2003Q1,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2003Q1,Construction (F),5.6
Actual hours worked per week,2003Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2003Q1,Transportation and storage (H),3.2
Actual hours worked per week,2003Q1,Accommodation and food service activities (I),3.5
Actual hours worked per week,2003Q1,Information and communication (J),2.6
Actual hours worked per week,2003Q1,"Professional, scientific and technical activities (M)",3.3
Actual hours worked per week,2003Q1,Administrative and support service activities (N),2.1
Actual hours worked per week,2003Q1,"Public administration and defence, compulsory social security (O)",2.8
Actual hours worked per week,2003Q1,Education (P),2.8
Actual hours worked per week,2003Q1,Human health and social work activities (Q),5.3
Actual hours worked per week,2003Q1,Industry (B to E),11.2
Actual hours worked per week,2003Q1,Industry and Construction (B to F),16.8
Actual hours worked per week,2003Q1,Services (G to U),39.6
Actual hours worked per week,2003Q1,"Financial, insurance and real estate activities (K,L)",2.8
Actual hours worked per week,2003Q1,Other NACE activities (R to U),2.7
Actual hours worked per week,2003Q1,Not stated,0.2
Actual hours worked per week,2003Q2,All NACE economic sectors,66.0
Actual hours worked per week,2003Q2,"Agriculture, forestry and fishing (A)",5.9
Actual hours worked per week,2003Q2,Construction (F),6.3
Actual hours worked per week,2003Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.6
Actual hours worked per week,2003Q2,Transportation and storage (H),3.4
Actual hours worked per week,2003Q2,Accommodation and food service activities (I),3.8
Actual hours worked per week,2003Q2,Information and communication (J),2.8
Actual hours worked per week,2003Q2,"Professional, scientific and technical activities (M)",3.6
Actual hours worked per week,2003Q2,Administrative and support service activities (N),2.2
Actual hours worked per week,2003Q2,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2003Q2,Education (P),2.8
Actual hours worked per week,2003Q2,Human health and social work activities (Q),5.5
Actual hours worked per week,2003Q2,Industry (B to E),11.9
Actual hours worked per week,2003Q2,Industry and Construction (B to F),18.1
Actual hours worked per week,2003Q2,Services (G to U),41.6
Actual hours worked per week,2003Q2,"Financial, insurance and real estate activities (K,L)",3.0
Actual hours worked per week,2003Q2,Other NACE activities (R to U),2.9
Actual hours worked per week,2003Q2,Not stated,0.3
Actual hours worked per week,2003Q3,All NACE economic sectors,65.5
Actual hours worked per week,2003Q3,"Agriculture, forestry and fishing (A)",6.0
Actual hours worked per week,2003Q3,Construction (F),6.3
Actual hours worked per week,2003Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.0
Actual hours worked per week,2003Q3,Transportation and storage (H),3.3
Actual hours worked per week,2003Q3,Accommodation and food service activities (I),4.2
Actual hours worked per week,2003Q3,Information and communication (J),2.8
Actual hours worked per week,2003Q3,"Professional, scientific and technical activities (M)",3.5
Actual hours worked per week,2003Q3,Administrative and support service activities (N),2.3
Actual hours worked per week,2003Q3,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2003Q3,Education (P),2.0
Actual hours worked per week,2003Q3,Human health and social work activities (Q),5.5
Actual hours worked per week,2003Q3,Industry (B to E),11.6
Actual hours worked per week,2003Q3,Industry and Construction (B to F),17.9
Actual hours worked per week,2003Q3,Services (G to U),41.3
Actual hours worked per week,2003Q3,"Financial, insurance and real estate activities (K,L)",3.0
Actual hours worked per week,2003Q3,Other NACE activities (R to U),2.9
Actual hours worked per week,2003Q3,Not stated,0.2
Actual hours worked per week,2003Q4,All NACE economic sectors,68.5
Actual hours worked per week,2003Q4,"Agriculture, forestry and fishing (A)",5.9
Actual hours worked per week,2003Q4,Construction (F),6.6
Actual hours worked per week,2003Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.2
Actual hours worked per week,2003Q4,Transportation and storage (H),3.5
Actual hours worked per week,2003Q4,Accommodation and food service activities (I),3.8
Actual hours worked per week,2003Q4,Information and communication (J),2.9
Actual hours worked per week,2003Q4,"Professional, scientific and technical activities (M)",3.8
Actual hours worked per week,2003Q4,Administrative and support service activities (N),2.3
Actual hours worked per week,2003Q4,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2003Q4,Education (P),3.2
Actual hours worked per week,2003Q4,Human health and social work activities (Q),5.8
Actual hours worked per week,2003Q4,Industry (B to E),11.8
Actual hours worked per week,2003Q4,Industry and Construction (B to F),18.4
Actual hours worked per week,2003Q4,Services (G to U),43.8
