Statistic,Quarter,Full and Part Time Status,Sex,value
Persons in employment (ILO),2001Q1,All employment status,Female,726.5
Persons in employment (ILO),2001Q1,Full-time,Both sexes,1474.9
Persons in employment (ILO),2001Q1,Full-time,Male,976.2
Persons in employment (ILO),2001Q1,Full-time,Female,498.7
Persons in employment (ILO),2001Q1,Part-time,Both sexes,305.5
Persons in employment (ILO),2001Q1,Part-time,Male,77.7
Persons in employment (ILO),2001Q1,Part-time,Female,227.8
Persons in employment (ILO),2001Q2,All employment status,Both sexes,1809.7
Persons in employment (ILO),2001Q2,All employment status,Male,1068.7
Persons in employment (ILO),2001Q2,All employment status,Female,741.0
Persons in employment (ILO),2001Q2,Full-time,Both sexes,1497.7
Persons in employment (ILO),2001Q2,Full-time,Male,990.0
Persons in employment (ILO),2001Q2,Full-time,Female,507.7
Persons in employment (ILO),2001Q2,Part-time,Both sexes,312.0
Persons in employment (ILO),2001Q2,Part-time,Male,78.8
Persons in employment (ILO),2001Q2,Part-time,Female,233.3
Persons in employment (ILO),2001Q3,All employment status,Both sexes,1866.8
Persons in employment (ILO),2001Q3,All employment status,Male,1094.8
Persons in employment (ILO),2001Q3,All employment status,Female,772.0
Persons in employment (ILO),2001Q3,Full-time,Both sexes,1548.8
Persons in employment (ILO),2001Q3,Full-time,Male,1012.4
Persons in employment (ILO),2001Q3,Full-time,Female,536.4
Persons in employment (ILO),2001Q3,Part-time,Both sexes,318.0
Persons in employment (ILO),2001Q3,Part-time,Male,82.4
Persons in employment (ILO),2001Q3,Part-time,Female,235.6
Persons in employment (ILO),2001Q4,All employment status,Both sexes,1833.1
Persons in employment (ILO),2001Q4,All employment status,Male,1071.6
Persons in employment (ILO),2001Q4,All employment status,Female,761.5
Persons in employment (ILO),2001Q4,Full-time,Both sexes,1515.6
Persons in employment (ILO),2001Q4,Full-time,Male,990.1
Persons in employment (ILO),2001Q4,Full-time,Female,525.5
Persons in employment (ILO),2001Q4,Part-time,Both sexes,317.5
Persons in employment (ILO),2001Q4,Part-time,Male,81.5
Persons in employment (ILO),2001Q4,Part-time,Female,235.9
Persons in employment (ILO),2002Q1,All employment status,Both sexes,1825.1
Persons in employment (ILO),2002Q1,All employment status,Male,1064.5
Persons in employment (ILO),2002Q1,All employment status,Female,760.6
Persons in employment (ILO),2002Q1,Full-time,Both sexes,1506.1
Persons in employment (ILO),2002Q1,Full-time,Male,982.7
Persons in employment (ILO),2002Q1,Full-time,Female,523.5
Persons in employment (ILO),2002Q1,Part-time,Both sexes,318.9
Persons in employment (ILO),2002Q1,Part-time,Male,81.8
Persons in employment (ILO),2002Q1,Part-time,Female,237.1
Persons in employment (ILO),2002Q2,All employment status,Both sexes,1840.3
Persons in employment (ILO),2002Q2,All employment status,Male,1072.1
Persons in employment (ILO),2002Q2,All employment status,Female,768.2
Persons in employment (ILO),2002Q2,Full-time,Both sexes,1526.6
Persons in employment (ILO),2002Q2,Full-time,Male,995.0
Persons in employment (ILO),2002Q2,Full-time,Female,531.6
Persons in employment (ILO),2002Q2,Part-time,Both sexes,313.7
Persons in employment (ILO),2002Q2,Part-time,Male,77.2
Persons in employment (ILO),2002Q2,Part-time,Female,236.6
Persons in employment (ILO),2002Q3,All employment status,Both sexes,1883.6
Persons in employment (ILO),2002Q3,All employment status,Male,1095.2
Persons in employment (ILO),2002Q3,All employment status,Female,788.4
Persons in employment (ILO),2002Q3,Full-time,Both sexes,1566.0
Persons in employment (ILO),2002Q3,Full-time,Male,1017.5
Persons in employment (ILO),2002Q3,Full-time,Female,548.5
Persons in employment (ILO),2002Q3,Part-time,Both sexes,317.5
Persons in employment (ILO),2002Q3,Part-time,Male,77.7
Persons in employment (ILO),2002Q3,Part-time,Female,239.8
Persons in employment (ILO),2002Q4,All employment status,Both sexes,1850.3
Persons in employment (ILO),2002Q4,All employment status,Male,1075.2
Persons in employment (ILO),2002Q4,All employment status,Female,775.1
Persons in employment (ILO),2002Q4,Full-time,Both sexes,1528.3
Persons in employment (ILO),2002Q4,Full-time,Male,995.8
Persons in employment (ILO),2002Q4,Full-time,Female,532.5
Persons in employment (ILO),2002Q4,Part-time,Both sexes,322.0
Persons in employment (ILO),2002Q4,Part-time,Male,79.4
Persons in employment (ILO),2002Q4,Part-time,Female,242.6
Persons in employment (ILO),2003Q1,All employment status,Both sexes,1855.6
Persons in employment (ILO),2003Q1,All employment status,Male,1078.1
Persons in employment (ILO),2003Q1,All employment status,Female,777.6
Persons in employment (ILO),2003Q1,Full-time,Both sexes,1530.7
Persons in employment (ILO),2003Q1,Full-time,Male,996.9
Persons in employment (ILO),2003Q1,Full-time,Female,533.8
Persons in employment (ILO),2003Q1,Part-time,Both sexes,324.9
Persons in employment (ILO),2003Q1,Part-time,Male,81.2
Persons in employment (ILO),2003Q1,Part-time,Female,243.7
Persons in employment (ILO),2003Q2,All employment status,Both sexes,1874.0
Persons in employment (ILO),2003Q2,All employment status,Male,1086.5
Persons in employment (ILO),2003Q2,All employment status,Female,787.4
Persons in employment (ILO),2003Q2,Full-time,Both sexes,1547.8
Persons in employment (ILO),2003Q2,Full-time,Male,1006.2
Persons in employment (ILO),2003Q2,Full-time,Female,541.7
Persons in employment (ILO),2003Q2,Part-time,Both sexes,326.1
Persons in employment (ILO),2003Q2,Part-time,Male,80.4
Persons in employment (ILO),2003Q2,Part-time,Female,245.8
Persons in employment (ILO),2003Q3,All employment status,Both sexes,1912.8
Persons in employment (ILO),2003Q3,All employment status,Male,1110.3
Persons in employment (ILO),2003Q3,All employment status,Female,802.5
Persons in employment (ILO),2003Q3,Full-time,Both sexes,1577.0
Persons in employment (ILO),2003Q3,Full-time,Male,1025.6
Persons in employment (ILO),2003Q3,Full-time,Female,551.4
Persons in employment (ILO),2003Q3,Part-time,Both sexes,335.8
Persons in employment (ILO),2003Q3,Part-time,Male,84.7
Persons in employment (ILO),2003Q3,Part-time,Female,251.1
Persons in employment (ILO),2003Q4,All employment status,Both sexes,1899.4
Persons in employment (ILO),2003Q4,All employment status,Male,1101.0
Persons in employment (ILO),2003Q4,All employment status,Female,798.4
Persons in employment (ILO),2003Q4,Full-time,Both sexes,1567.7
Persons in employment (ILO),2003Q4,Full-time,Male,1021.0
Persons in employment (ILO),2003Q4,Full-time,Female,546.7
Persons in employment (ILO),2003Q4,Part-time,Both sexes,331.7
Persons in employment (ILO),2003Q4,Part-time,Male,80.0
Persons in employment (ILO),2003Q4,Part-time,Female,251.7
Persons in employment (ILO),2004Q1,All employment status,Both sexes,1902.3
Persons in employment (ILO),2004Q1,All employment status,Male,1102.8
Persons in employment (ILO),2004Q1,All employment status,Female,799.5
Persons in employment (ILO),2004Q1,Full-time,Both sexes,1564.8
Persons in employment (ILO),2004Q1,Full-time,Male,1022.0
Persons in employment (ILO),2004Q1,Full-time,Female,542.8
Persons in employment (ILO),2004Q1,Part-time,Both sexes,337.5
Persons in employment (ILO),2004Q1,Part-time,Male,80.8
Persons in employment (ILO),2004Q1,Part-time,Female,256.7
Persons in employment (ILO),2004Q2,All employment status,Both sexes,1925.8
Persons in employment (ILO),2004Q2,All employment status,Male,1116.7
Persons in employment (ILO),2004Q2,All employment status,Female,809.0
Persons in employment (ILO),2004Q2,Full-time,Both sexes,1590.6
Persons in employment (ILO),2004Q2,Full-time,Male,1039.0
Persons in employment (ILO),2004Q2,Full-time,Female,551.6
Persons in employment (ILO),2004Q2,Part-time,Both sexes,335.2
Persons in employment (ILO),2004Q2,Part-time,Male,77.7
Persons in employment (ILO),2004Q2,Part-time,Female,257.5
Persons in employment (ILO),2004Q3,All employment status,Both sexes,1984.1
Persons in employment (ILO),2004Q3,All employment status,Male,1148.6
Persons in employment (ILO),2004Q3,All employment status,Female,835.5
Persons in employment (ILO),2004Q3,Full-time,Both sexes,1638.1
Persons in employment (ILO),2004Q3,Full-time,Male,1067.4
Persons in employment (ILO),2004Q3,Full-time,Female,570.8
Persons in employment (ILO),2004Q3,Part-time,Both sexes,346.0
Persons in employment (ILO),2004Q3,Part-time,Male,81.2
Persons in employment (ILO),2004Q3,Part-time,Female,264.8
Persons in employment (ILO),2004Q4,All employment status,Both sexes,1973.8
Persons in employment (ILO),2004Q4,All employment status,Male,1138.4
Persons in employment (ILO),2004Q4,All employment status,Female,835.4
Persons in employment (ILO),2004Q4,Full-time,Both sexes,1629.1
Persons in employment (ILO),2004Q4,Full-time,Male,1060.7
Persons in employment (ILO),2004Q4,Full-time,Female,568.3
Persons in employment (ILO),2004Q4,Part-time,Both sexes,344.7
Persons in employment (ILO),2004Q4,Part-time,Male,77.6
Persons in employment (ILO),2004Q4,Part-time,Female,267.1
Persons in employment (ILO),2005Q1,All employment status,Both sexes,1989.7
Persons in employment (ILO),2005Q1,All employment status,Male,1147.8
Persons in employment (ILO),2005Q1,All employment status,Female,841.9
Persons in employment (ILO),2005Q1,Full-time,Both sexes,1635.4
Persons in employment (ILO),2005Q1,Full-time,Male,1065.2
Persons in employment (ILO),2005Q1,Full-time,Female,570.2
Persons in employment (ILO),2005Q1,Part-time,Both sexes,354.3
Persons in employment (ILO),2005Q1,Part-time,Male,82.5
Persons in employment (ILO),2005Q1,Part-time,Female,271.8
Persons in employment (ILO),2005Q2,All employment status,Both sexes,2018.0
Persons in employment (ILO),2005Q2,All employment status,Male,1160.6
Persons in employment (ILO),2005Q2,All employment status,Female,857.4
Persons in employment (ILO),2005Q2,Full-time,Both sexes,1661.0
Persons in employment (ILO),2005Q2,Full-time,Male,1076.3
Persons in employment (ILO),2005Q2,Full-time,Female,584.7
Persons in employment (ILO),2005Q2,Part-time,Both sexes,357.0
Persons in employment (ILO),2005Q2,Part-time,Male,84.3
Persons in employment (ILO),2005Q2,Part-time,Female,272.7
Persons in employment (ILO),2005Q3,All employment status,Both sexes,2073.3
Persons in employment (ILO),2005Q3,All employment status,Male,1196.9
Persons in employment (ILO),2005Q3,All employment status,Female,876.4
Persons in employment (ILO),2005Q3,Full-time,Both sexes,1701.1
Persons in employment (ILO),2005Q3,Full-time,Male,1107.1
Persons in employment (ILO),2005Q3,Full-time,Female,594.0
Persons in employment (ILO),2005Q3,Part-time,Both sexes,372.2
Persons in employment (ILO),2005Q3,Part-time,Male,89.8
Persons in employment (ILO),2005Q3,Part-time,Female,282.4
Persons in employment (ILO),2005Q4,All employment status,Both sexes,2070.0
Persons in employment (ILO),2005Q4,All employment status,Male,1194.2
Persons in employment (ILO),2005Q4,All employment status,Female,875.9
Persons in employment (ILO),2005Q4,Full-time,Both sexes,1694.8
Persons in employment (ILO),2005Q4,Full-time,Male,1101.7
Persons in employment (ILO),2005Q4,Full-time,Female,593.1
Persons in employment (ILO),2005Q4,Part-time,Both sexes,375.2
Persons in employment (ILO),2005Q4,Part-time,Male,92.5
Persons in employment (ILO),2005Q4,Part-time,Female,282.8
Persons in employment (ILO),2006Q1,All employment status,Both sexes,2082.3
Persons in employment (ILO),2006Q1,All employment status,Male,1203.2
Persons in employment (ILO),2006Q1,All employment status,Female,879.1
Persons in employment (ILO),2006Q1,Full-time,Both sexes,1707.2
Persons in employment (ILO),2006Q1,Full-time,Male,1111.7
Persons in employment (ILO),2006Q1,Full-time,Female,595.5
Persons in employment (ILO),2006Q1,Part-time,Both sexes,375.1
Persons in employment (ILO),2006Q1,Part-time,Male,91.5
Persons in employment (ILO),2006Q1,Part-time,Female,283.5
Persons in employment (ILO),2006Q2,All employment status,Both sexes,2109.0
Persons in employment (ILO),2006Q2,All employment status,Male,1216.2
Persons in employment (ILO),2006Q2,All employment status,Female,892.7
Persons in employment (ILO),2006Q2,Full-time,Both sexes,1731.3
Persons in employment (ILO),2006Q2,Full-time,Male,1121.1
Persons in employment (ILO),2006Q2,Full-time,Female,610.2
Persons in employment (ILO),2006Q2,Part-time,Both sexes,377.6
Persons in employment (ILO),2006Q2,Part-time,Male,95.2
Persons in employment (ILO),2006Q2,Part-time,Female,282.5
Persons in employment (ILO),2006Q3,All employment status,Both sexes,2159.1
Persons in employment (ILO),2006Q3,All employment status,Male,1245.3
Persons in employment (ILO),2006Q3,All employment status,Female,913.7
Persons in employment (ILO),2006Q3,Full-time,Both sexes,1782.4
Persons in employment (ILO),2006Q3,Full-time,Male,1152.5
Persons in employment (ILO),2006Q3,Full-time,Female,629.8
Persons in employment (ILO),2006Q3,Part-time,Both sexes,376.7
Persons in employment (ILO),2006Q3,Part-time,Male,92.8
Persons in employment (ILO),2006Q3,Part-time,Female,283.9
Persons in employment (ILO),2006Q4,All employment status,Both sexes,2166.8
Persons in employment (ILO),2006Q4,All employment status,Male,1246.6
Persons in employment (ILO),2006Q4,All employment status,Female,920.2
Persons in employment (ILO),2006Q4,Full-time,Both sexes,1783.4
Persons in employment (ILO),2006Q4,Full-time,Male,1152.6
Persons in employment (ILO),2006Q4,Full-time,Female,630.8
Persons in employment (ILO),2006Q4,Part-time,Both sexes,383.5
Persons in employment (ILO),2006Q4,Part-time,Male,94.0
Persons in employment (ILO),2006Q4,Part-time,Female,289.4
Persons in employment (ILO),2007Q1,All employment status,Both sexes,2185.6
Persons in employment (ILO),2007Q1,All employment status,Male,1252.3
Persons in employment (ILO),2007Q1,All employment status,Female,933.2
Persons in employment (ILO),2007Q1,Full-time,Both sexes,1796.9
Persons in employment (ILO),2007Q1,Full-time,Male,1156.0
Persons in employment (ILO),2007Q1,Full-time,Female,640.8
Persons in employment (ILO),2007Q1,Part-time,Both sexes,388.7
Persons in employment (ILO),2007Q1,Part-time,Male,96.3
Persons in employment (ILO),2007Q1,Part-time,Female,292.4
Persons in employment (ILO),2007Q2,All employment status,Both sexes,2211.8
Persons in employment (ILO),2007Q2,All employment status,Male,1263.1
Persons in employment (ILO),2007Q2,All employment status,Female,948.7
Persons in employment (ILO),2007Q2,Full-time,Both sexes,1804.9
Persons in employment (ILO),2007Q2,Full-time,Male,1161.7
Persons in employment (ILO),2007Q2,Full-time,Female,643.2
Persons in employment (ILO),2007Q2,Part-time,Both sexes,406.9
Persons in employment (ILO),2007Q2,Part-time,Male,101.4
Persons in employment (ILO),2007Q2,Part-time,Female,305.5
Persons in employment (ILO),2007Q3,All employment status,Both sexes,2251.0
Persons in employment (ILO),2007Q3,All employment status,Male,1282.2
Persons in employment (ILO),2007Q3,All employment status,Female,968.8
Persons in employment (ILO),2007Q3,Full-time,Both sexes,1835.2
Persons in employment (ILO),2007Q3,Full-time,Male,1175.1
Persons in employment (ILO),2007Q3,Full-time,Female,660.1
Persons in employment (ILO),2007Q3,Part-time,Both sexes,415.8
Persons in employment (ILO),2007Q3,Part-time,Male,107.1
Persons in employment (ILO),2007Q3,Part-time,Female,308.7
Persons in employment (ILO),2007Q4,All employment status,Both sexes,2230.7
Persons in employment (ILO),2007Q4,All employment status,Male,1264.6
Persons in employment (ILO),2007Q4,All employment status,Female,966.1
Persons in employment (ILO),2007Q4,Full-time,Both sexes,1816.5
Persons in employment (ILO),2007Q4,Full-time,Male,1163.3
Persons in employment (ILO),2007Q4,Full-time,Female,653.2
Persons in employment (ILO),2007Q4,Part-time,Both sexes,414.2
Persons in employment (ILO),2007Q4,Part-time,Male,101.3
Persons in employment (ILO),2007Q4,Part-time,Female,312.9
Persons in employment (ILO),2008Q1,All employment status,Both sexes,2217.8
Persons in employment (ILO),2008Q1,All employment status,Male,1250.6
Persons in employment (ILO),2008Q1,All employment status,Female,967.1
Persons in employment (ILO),2008Q1,Full-time,Both sexes,1802.5
Persons in employment (ILO),2008Q1,Full-time,Male,1147.5
Persons in employment (ILO),2008Q1,Full-time,Female,654.9
Persons in employment (ILO),2008Q1,Part-time,Both sexes,415.3
Persons in employment (ILO),2008Q1,Part-time,Male,103.1
Persons in employment (ILO),2008Q1,Part-time,Female,312.2
Persons in employment (ILO),2008Q2,All employment status,Both sexes,2217.8
Persons in employment (ILO),2008Q2,All employment status,Male,1248.4
Persons in employment (ILO),2008Q2,All employment status,Female,969.4
Persons in employment (ILO),2008Q2,Full-time,Both sexes,1799.5
Persons in employment (ILO),2008Q2,Full-time,Male,1140.3
Persons in employment (ILO),2008Q2,Full-time,Female,659.3
Persons in employment (ILO),2008Q2,Part-time,Both sexes,418.3
Persons in employment (ILO),2008Q2,Part-time,Male,108.1
Persons in employment (ILO),2008Q2,Part-time,Female,310.1
Persons in employment (ILO),2008Q3,All employment status,Both sexes,2209.4
Persons in employment (ILO),2008Q3,All employment status,Male,1238.3
Persons in employment (ILO),2008Q3,All employment status,Female,971.1
Persons in employment (ILO),2008Q3,Full-time,Both sexes,1784.5
Persons in employment (ILO),2008Q3,Full-time,Male,1123.7
Persons in employment (ILO),2008Q3,Full-time,Female,660.8
Persons in employment (ILO),2008Q3,Part-time,Both sexes,424.9
Persons in employment (ILO),2008Q3,Part-time,Male,114.6
Persons in employment (ILO),2008Q3,Part-time,Female,310.3
Persons in employment (ILO),2008Q4,All employment status,Both sexes,2145.6
Persons in employment (ILO),2008Q4,All employment status,Male,1192.1
Persons in employment (ILO),2008Q4,All employment status,Female,953.5
Persons in employment (ILO),2008Q4,Full-time,Both sexes,1726.2
Persons in employment (ILO),2008Q4,Full-time,Male,1084.7
Persons in employment (ILO),2008Q4,Full-time,Female,641.5
Persons in employment (ILO),2008Q4,Part-time,Both sexes,419.4
Persons in employment (ILO),2008Q4,Part-time,Male,107.4
Persons in employment (ILO),2008Q4,Part-time,Female,311.9
Persons in employment (ILO),2009Q1,All employment status,Both sexes,2054.5
Persons in employment (ILO),2009Q1,All employment status,Male,1123.9
Persons in employment (ILO),2009Q1,All employment status,Female,930.6
Persons in employment (ILO),2009Q1,Full-time,Both sexes,1623.4
Persons in employment (ILO),2009Q1,Full-time,Male,1008.1
Persons in employment (ILO),2009Q1,Full-time,Female,615.3
Persons in employment (ILO),2009Q1,Part-time,Both sexes,431.1
Persons in employment (ILO),2009Q1,Part-time,Male,115.8
Persons in employment (ILO),2009Q1,Part-time,Female,315.4
Persons in employment (ILO),2009Q2,All employment status,Both sexes,2028.6
Persons in employment (ILO),2009Q2,All employment status,Male,1100.6
Persons in employment (ILO),2009Q2,All employment status,Female,928.0
Persons in employment (ILO),2009Q2,Full-time,Both sexes,1594.6
Persons in employment (ILO),2009Q2,Full-time,Male,977.1
Persons in employment (ILO),2009Q2,Full-time,Female,617.6
Persons in employment (ILO),2009Q2,Part-time,Both sexes,433.9
Persons in employment (ILO),2009Q2,Part-time,Male,123.5
Persons in employment (ILO),2009Q2,Part-time,Female,310.4
Persons in employment (ILO),2009Q3,All employment status,Both sexes,2006.2
Persons in employment (ILO),2009Q3,All employment status,Male,1083.1
Persons in employment (ILO),2009Q3,All employment status,Female,923.1
Persons in employment (ILO),2009Q3,Full-time,Both sexes,1564.8
Persons in employment (ILO),2009Q3,Full-time,Male,951.0
Persons in employment (ILO),2009Q3,Full-time,Female,613.8
Persons in employment (ILO),2009Q3,Part-time,Both sexes,441.4
Persons in employment (ILO),2009Q3,Part-time,Male,132.1
Persons in employment (ILO),2009Q3,Part-time,Female,309.3
Persons in employment (ILO),2009Q4,All employment status,Both sexes,1970.6
Persons in employment (ILO),2009Q4,All employment status,Male,1059.7
Persons in employment (ILO),2009Q4,All employment status,Female,910.9
Persons in employment (ILO),2009Q4,Full-time,Both sexes,1525.2
Persons in employment (ILO),2009Q4,Full-time,Male,928.4
Persons in employment (ILO),2009Q4,Full-time,Female,596.8
Persons in employment (ILO),2009Q4,Part-time,Both sexes,445.4
Persons in employment (ILO),2009Q4,Part-time,Male,131.3
Persons in employment (ILO),2009Q4,Part-time,Female,314.1
Persons in employment (ILO),2010Q1,All employment status,Both sexes,1934.6
Persons in employment (ILO),2010Q1,All employment status,Male,1036.7
Persons in employment (ILO),2010Q1,All employment status,Female,897.9
Persons in employment (ILO),2010Q1,Full-time,Both sexes,1495.1
Persons in employment (ILO),2010Q1,Full-time,Male,908.3
Persons in employment (ILO),2010Q1,Full-time,Female,586.8
Persons in employment (ILO),2010Q1,Part-time,Both sexes,439.4
Persons in employment (ILO),2010Q1,Part-time,Male,128.4
Persons in employment (ILO),2010Q1,Part-time,Female,311.0
Persons in employment (ILO),2010Q2,All employment status,Both sexes,1936.5
Persons in employment (ILO),2010Q2,All employment status,Male,1038.9
Persons in employment (ILO),2010Q2,All employment status,Female,897.6
Persons in employment (ILO),2010Q2,Full-time,Both sexes,1502.4
Persons in employment (ILO),2010Q2,Full-time,Male,910.1
Persons in employment (ILO),2010Q2,Full-time,Female,592.3
Persons in employment (ILO),2010Q2,Part-time,Both sexes,434.1
Persons in employment (ILO),2010Q2,Part-time,Male,128.8
Persons in employment (ILO),2010Q2,Part-time,Female,305.3
Persons in employment (ILO),2010Q3,All employment status,Both sexes,1930.3
Persons in employment (ILO),2010Q3,All employment status,Male,1038.8
Persons in employment (ILO),2010Q3,All employment status,Female,891.6
Persons in employment (ILO),2010Q3,Full-time,Both sexes,1490.7
Persons in employment (ILO),2010Q3,Full-time,Male,907.5
Persons in employment (ILO),2010Q3,Full-time,Female,583.2
Persons in employment (ILO),2010Q3,Part-time,Both sexes,439.7
Persons in employment (ILO),2010Q3,Part-time,Male,131.3
Persons in employment (ILO),2010Q3,Part-time,Female,308.4
