Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,X1 Other/Not stated,1361.0
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,All occupational groups,275.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,X1 Other/Not stated,275.3
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,All occupational groups,1615.7
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,X1 Other/Not stated,1615.7
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,All occupational groups,1346.7
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,X1 Other/Not stated,1346.7
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,All occupational groups,269.0
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,X1 Other/Not stated,269.0
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,All occupational groups,1644.4
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,X1 Other/Not stated,1644.4
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,All occupational groups,1363.7
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,X1 Other/Not stated,1363.7
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,All occupational groups,280.7
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,X1 Other/Not stated,280.7
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,All occupational groups,1679.2
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,X1 Other/Not stated,1679.2
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,All occupational groups,1389.8
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,X1 Other/Not stated,1389.8
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,All occupational groups,289.4
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,X1 Other/Not stated,289.4
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,All occupational groups,1746.8
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,X1 Other/Not stated,1746.8
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,All occupational groups,1447.2
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,X1 Other/Not stated,1447.2
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,All occupational groups,299.6
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,X1 Other/Not stated,299.6
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,All occupational groups,1723.1
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,X1 Other/Not stated,1723.1
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,All occupational groups,1427.3
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q4,Full-time,X1 Other/Not stated,1427.3
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,All occupational groups,295.8
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),1999Q4,Part-time,X1 Other/Not stated,295.8
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,All occupational groups,1726.8
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q1,All employment status,X1 Other/Not stated,1726.8
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,All occupational groups,1427.8
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q1,Full-time,X1 Other/Not stated,1427.8
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,All occupational groups,299.0
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q1,Part-time,X1 Other/Not stated,299.0
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,All occupational groups,1758.2
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q2,All employment status,X1 Other/Not stated,1758.2
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,All occupational groups,1456.5
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q2,Full-time,X1 Other/Not stated,1456.5
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,All occupational groups,301.7
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,"1 Managers, directors and senior officials",
