STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,1998Q1,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),214.4
Persons aged 15 years and over in Employment,1998Q1,Irish,Transportation and storage (H),63.9
Persons aged 15 years and over in Employment,1998Q1,Irish,Accommodation and food service activities (I),93.8
Persons aged 15 years and over in Employment,1998Q1,Irish,Information and communication (J),57.4
Persons aged 15 years and over in Employment,1998Q1,Irish,"Professional, scientific and technical activities (M)",68.5
Persons aged 15 years and over in Employment,1998Q1,Irish,Administrative and support service activities (N),46.6
Persons aged 15 years and over in Employment,1998Q1,Irish,Public administration and defence; compulsory social security (O),67.3
Persons aged 15 years and over in Employment,1998Q1,Irish,Education (P),90.4
Persons aged 15 years and over in Employment,1998Q1,Irish,Human health and social work activities (Q),116.8
Persons aged 15 years and over in Employment,1998Q1,Irish,Industry (B to E),303.8
Persons aged 15 years and over in Employment,1998Q1,Irish,"Financial, insurance and real estate activities (K, L)",61.1
Persons aged 15 years and over in Employment,1998Q1,Irish,Other NACE activities (R to U),72.6
Persons aged 15 years and over in Employment,1998Q1,Irish,Not stated,7.3
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,All NACE economic sectors,50.5
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,"Agriculture, forestry and fishing (A)",1.3
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Construction (F),2.3
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.1
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Transportation and storage (H),1.6
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Accommodation and food service activities (I),5.8
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Information and communication (J),3.5
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,"Professional, scientific and technical activities (M)",2.8
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Administrative and support service activities (N),2.4
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Education (P),3.5
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Human health and social work activities (Q),4.9
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Industry (B to E),9.5
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,"Financial, insurance and real estate activities (K, L)",1.5
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Other NACE activities (R to U),5.4
Persons aged 15 years and over in Employment,1998Q1,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),All NACE economic sectors,14.0
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Construction (F),
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1.1
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Accommodation and food service activities (I),2.1
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Human health and social work activities (Q),2.1
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Industry (B to E),2.1
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Other NACE activities (R to U),2.0
Persons aged 15 years and over in Employment,1998Q1,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,1998Q2,All nationalities,All NACE economic sectors,1572.0
Persons aged 15 years and over in Employment,1998Q2,All nationalities,"Agriculture, forestry and fishing (A)",135.2
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Construction (F),105.0
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),222.1
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Transportation and storage (H),65.9
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Accommodation and food service activities (I),104.2
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Information and communication (J),63.3
Persons aged 15 years and over in Employment,1998Q2,All nationalities,"Professional, scientific and technical activities (M)",73.0
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Administrative and support service activities (N),50.6
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Public administration and defence; compulsory social security (O),66.9
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Education (P),93.6
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Human health and social work activities (Q),122.7
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Industry (B to E),319.1
Persons aged 15 years and over in Employment,1998Q2,All nationalities,"Financial, insurance and real estate activities (K, L)",63.6
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Other NACE activities (R to U),78.2
Persons aged 15 years and over in Employment,1998Q2,All nationalities,Not stated,8.4
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,6.6
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),1.2
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),1.1
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,1998Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Construction (F),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,1998Q2,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,1998Q2,UK,All NACE economic sectors,29.5
Persons aged 15 years and over in Employment,1998Q2,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q2,UK,Construction (F),1.5
Persons aged 15 years and over in Employment,1998Q2,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.5
Persons aged 15 years and over in Employment,1998Q2,UK,Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q2,UK,Accommodation and food service activities (I),2.2
Persons aged 15 years and over in Employment,1998Q2,UK,Information and communication (J),1.8
Persons aged 15 years and over in Employment,1998Q2,UK,"Professional, scientific and technical activities (M)",1.7
Persons aged 15 years and over in Employment,1998Q2,UK,Administrative and support service activities (N),1.5
Persons aged 15 years and over in Employment,1998Q2,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q2,UK,Education (P),2.2
Persons aged 15 years and over in Employment,1998Q2,UK,Human health and social work activities (Q),2.6
Persons aged 15 years and over in Employment,1998Q2,UK,Industry (B to E),7.1
Persons aged 15 years and over in Employment,1998Q2,UK,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q2,UK,Other NACE activities (R to U),2.0
Persons aged 15 years and over in Employment,1998Q2,UK,Not stated,
Persons aged 15 years and over in Employment,1998Q2,Irish,All NACE economic sectors,1522.5
Persons aged 15 years and over in Employment,1998Q2,Irish,"Agriculture, forestry and fishing (A)",134.0
Persons aged 15 years and over in Employment,1998Q2,Irish,Construction (F),103.2
Persons aged 15 years and over in Employment,1998Q2,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),217.1
Persons aged 15 years and over in Employment,1998Q2,Irish,Transportation and storage (H),64.3
Persons aged 15 years and over in Employment,1998Q2,Irish,Accommodation and food service activities (I),98.5
Persons aged 15 years and over in Employment,1998Q2,Irish,Information and communication (J),59.7
Persons aged 15 years and over in Employment,1998Q2,Irish,"Professional, scientific and technical activities (M)",70.1
Persons aged 15 years and over in Employment,1998Q2,Irish,Administrative and support service activities (N),48.2
Persons aged 15 years and over in Employment,1998Q2,Irish,Public administration and defence; compulsory social security (O),66.5
Persons aged 15 years and over in Employment,1998Q2,Irish,Education (P),90.4
Persons aged 15 years and over in Employment,1998Q2,Irish,Human health and social work activities (Q),117.5
Persons aged 15 years and over in Employment,1998Q2,Irish,Industry (B to E),308.8
Persons aged 15 years and over in Employment,1998Q2,Irish,"Financial, insurance and real estate activities (K, L)",62.2
Persons aged 15 years and over in Employment,1998Q2,Irish,Other NACE activities (R to U),74.0
Persons aged 15 years and over in Employment,1998Q2,Irish,Not stated,8.0
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,All NACE economic sectors,49.5
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,"Agriculture, forestry and fishing (A)",1.2
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Construction (F),1.8
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.0
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Transportation and storage (H),1.7
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Accommodation and food service activities (I),5.7
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Information and communication (J),3.6
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,"Professional, scientific and technical activities (M)",2.9
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Administrative and support service activities (N),2.4
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Education (P),3.2
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Human health and social work activities (Q),5.3
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Industry (B to E),10.3
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,"Financial, insurance and real estate activities (K, L)",1.4
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Other NACE activities (R to U),4.2
Persons aged 15 years and over in Employment,1998Q2,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),All NACE economic sectors,13.4
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Construction (F),
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1.0
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Accommodation and food service activities (I),2.3
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Human health and social work activities (Q),2.3
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Industry (B to E),2.2
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Other NACE activities (R to U),1.4
Persons aged 15 years and over in Employment,1998Q2,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,1998Q3,All nationalities,All NACE economic sectors,1636.3
Persons aged 15 years and over in Employment,1998Q3,All nationalities,"Agriculture, forestry and fishing (A)",137.4
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Construction (F),112.0
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),233.6
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Transportation and storage (H),68.3
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Accommodation and food service activities (I),113.4
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Information and communication (J),68.0
Persons aged 15 years and over in Employment,1998Q3,All nationalities,"Professional, scientific and technical activities (M)",74.8
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Administrative and support service activities (N),52.7
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Public administration and defence; compulsory social security (O),67.7
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Education (P),91.7
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Human health and social work activities (Q),127.0
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Industry (B to E),329.3
Persons aged 15 years and over in Employment,1998Q3,All nationalities,"Financial, insurance and real estate activities (K, L)",67.6
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Other NACE activities (R to U),83.7
Persons aged 15 years and over in Employment,1998Q3,All nationalities,Not stated,9.1
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,6.7
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),1.5
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),1.1
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,1998Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Construction (F),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,1998Q3,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,1998Q3,UK,All NACE economic sectors,31.3
Persons aged 15 years and over in Employment,1998Q3,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q3,UK,Construction (F),1.7
