Statistic,Quarter,Region,value
Persons aged 15 years and over in Employment,2013Q3,West,188.5
Persons aged 15 years and over in Employment,2013Q3,Southern,660.4
Persons aged 15 years and over in Employment,2013Q3,Mid-West,198.1
Persons aged 15 years and over in Employment,2013Q3,South-East,162.3
Persons aged 15 years and over in Employment,2013Q3,South-West,300.0
Persons aged 15 years and over in Employment,2013Q3,Eastern and Midland,954.7
Persons aged 15 years and over in Employment,2013Q3,Dublin,576.4
Persons aged 15 years and over in Employment,2013Q3,Mid-East,272.0
Persons aged 15 years and over in Employment,2013Q3,Midland,106.3
Persons aged 15 years and over in Employment,2013Q4,State,1969.6
Persons aged 15 years and over in Employment,2013Q4,Northern and Western,348.9
Persons aged 15 years and over in Employment,2013Q4,Border,160.2
Persons aged 15 years and over in Employment,2013Q4,West,188.6
Persons aged 15 years and over in Employment,2013Q4,Southern,653.5
Persons aged 15 years and over in Employment,2013Q4,Mid-West,196.7
Persons aged 15 years and over in Employment,2013Q4,South-East,164.5
Persons aged 15 years and over in Employment,2013Q4,South-West,292.2
Persons aged 15 years and over in Employment,2013Q4,Eastern and Midland,967.2
Persons aged 15 years and over in Employment,2013Q4,Dublin,578.4
Persons aged 15 years and over in Employment,2013Q4,Mid-East,282.5
Persons aged 15 years and over in Employment,2013Q4,Midland,106.3
Persons aged 15 years and over in Employment,2014Q1,State,1950.8
Persons aged 15 years and over in Employment,2014Q1,Northern and Western,345.0
Persons aged 15 years and over in Employment,2014Q1,Border,160.6
Persons aged 15 years and over in Employment,2014Q1,West,184.4
Persons aged 15 years and over in Employment,2014Q1,Southern,639.1
Persons aged 15 years and over in Employment,2014Q1,Mid-West,190.3
Persons aged 15 years and over in Employment,2014Q1,South-East,163.3
Persons aged 15 years and over in Employment,2014Q1,South-West,285.5
Persons aged 15 years and over in Employment,2014Q1,Eastern and Midland,966.7
Persons aged 15 years and over in Employment,2014Q1,Dublin,580.6
Persons aged 15 years and over in Employment,2014Q1,Mid-East,281.3
Persons aged 15 years and over in Employment,2014Q1,Midland,104.7
Persons aged 15 years and over in Employment,2014Q2,State,1968.9
Persons aged 15 years and over in Employment,2014Q2,Northern and Western,341.1
Persons aged 15 years and over in Employment,2014Q2,Border,161.2
Persons aged 15 years and over in Employment,2014Q2,West,180.0
Persons aged 15 years and over in Employment,2014Q2,Southern,647.2
Persons aged 15 years and over in Employment,2014Q2,Mid-West,193.6
Persons aged 15 years and over in Employment,2014Q2,South-East,166.1
Persons aged 15 years and over in Employment,2014Q2,South-West,287.6
Persons aged 15 years and over in Employment,2014Q2,Eastern and Midland,980.6
Persons aged 15 years and over in Employment,2014Q2,Dublin,589.3
Persons aged 15 years and over in Employment,2014Q2,Mid-East,284.2
Persons aged 15 years and over in Employment,2014Q2,Midland,107.1
Persons aged 15 years and over in Employment,2014Q3,State,2009.4
Persons aged 15 years and over in Employment,2014Q3,Northern and Western,352.9
Persons aged 15 years and over in Employment,2014Q3,Border,168.3
Persons aged 15 years and over in Employment,2014Q3,West,184.7
Persons aged 15 years and over in Employment,2014Q3,Southern,666.9
Persons aged 15 years and over in Employment,2014Q3,Mid-West,202.9
Persons aged 15 years and over in Employment,2014Q3,South-East,170.7
Persons aged 15 years and over in Employment,2014Q3,South-West,293.4
Persons aged 15 years and over in Employment,2014Q3,Eastern and Midland,989.6
Persons aged 15 years and over in Employment,2014Q3,Dublin,593.4
Persons aged 15 years and over in Employment,2014Q3,Mid-East,288.9
Persons aged 15 years and over in Employment,2014Q3,Midland,107.3
Persons aged 15 years and over in Employment,2014Q4,State,2025.0
Persons aged 15 years and over in Employment,2014Q4,Northern and Western,350.1
Persons aged 15 years and over in Employment,2014Q4,Border,165.4
Persons aged 15 years and over in Employment,2014Q4,West,184.7
Persons aged 15 years and over in Employment,2014Q4,Southern,664.4
Persons aged 15 years and over in Employment,2014Q4,Mid-West,200.2
Persons aged 15 years and over in Employment,2014Q4,South-East,172.2
Persons aged 15 years and over in Employment,2014Q4,South-West,292.0
Persons aged 15 years and over in Employment,2014Q4,Eastern and Midland,1010.6
Persons aged 15 years and over in Employment,2014Q4,Dublin,606.4
Persons aged 15 years and over in Employment,2014Q4,Mid-East,296.4
Persons aged 15 years and over in Employment,2014Q4,Midland,107.8
Persons aged 15 years and over in Employment,2015Q1,State,2012.4
Persons aged 15 years and over in Employment,2015Q1,Northern and Western,349.9
Persons aged 15 years and over in Employment,2015Q1,Border,169.4
Persons aged 15 years and over in Employment,2015Q1,West,180.5
Persons aged 15 years and over in Employment,2015Q1,Southern,659.6
Persons aged 15 years and over in Employment,2015Q1,Mid-West,195.9
Persons aged 15 years and over in Employment,2015Q1,South-East,168.9
Persons aged 15 years and over in Employment,2015Q1,South-West,294.8
Persons aged 15 years and over in Employment,2015Q1,Eastern and Midland,1002.9
Persons aged 15 years and over in Employment,2015Q1,Dublin,600.1
Persons aged 15 years and over in Employment,2015Q1,Mid-East,294.6
Persons aged 15 years and over in Employment,2015Q1,Midland,108.3
Persons aged 15 years and over in Employment,2015Q2,State,2047.7
Persons aged 15 years and over in Employment,2015Q2,Northern and Western,359.3
Persons aged 15 years and over in Employment,2015Q2,Border,172.8
Persons aged 15 years and over in Employment,2015Q2,West,186.5
Persons aged 15 years and over in Employment,2015Q2,Southern,675.1
Persons aged 15 years and over in Employment,2015Q2,Mid-West,200.2
Persons aged 15 years and over in Employment,2015Q2,South-East,174.9
Persons aged 15 years and over in Employment,2015Q2,South-West,300.0
Persons aged 15 years and over in Employment,2015Q2,Eastern and Midland,1013.3
Persons aged 15 years and over in Employment,2015Q2,Dublin,609.5
Persons aged 15 years and over in Employment,2015Q2,Mid-East,294.5
Persons aged 15 years and over in Employment,2015Q2,Midland,109.2
Persons aged 15 years and over in Employment,2015Q3,State,2078.6
Persons aged 15 years and over in Employment,2015Q3,Northern and Western,359.0
Persons aged 15 years and over in Employment,2015Q3,Border,174.2
Persons aged 15 years and over in Employment,2015Q3,West,184.8
Persons aged 15 years and over in Employment,2015Q3,Southern,687.2
Persons aged 15 years and over in Employment,2015Q3,Mid-West,206.9
Persons aged 15 years and over in Employment,2015Q3,South-East,175.9
Persons aged 15 years and over in Employment,2015Q3,South-West,304.4
Persons aged 15 years and over in Employment,2015Q3,Eastern and Midland,1032.3
Persons aged 15 years and over in Employment,2015Q3,Dublin,621.7
Persons aged 15 years and over in Employment,2015Q3,Mid-East,298.6
Persons aged 15 years and over in Employment,2015Q3,Midland,112.0
Persons aged 15 years and over in Employment,2015Q4,State,2083.9
Persons aged 15 years and over in Employment,2015Q4,Northern and Western,359.1
Persons aged 15 years and over in Employment,2015Q4,Border,175.0
Persons aged 15 years and over in Employment,2015Q4,West,184.1
Persons aged 15 years and over in Employment,2015Q4,Southern,678.6
Persons aged 15 years and over in Employment,2015Q4,Mid-West,202.5
Persons aged 15 years and over in Employment,2015Q4,South-East,173.6
Persons aged 15 years and over in Employment,2015Q4,South-West,302.5
Persons aged 15 years and over in Employment,2015Q4,Eastern and Midland,1046.3
Persons aged 15 years and over in Employment,2015Q4,Dublin,628.7
Persons aged 15 years and over in Employment,2015Q4,Mid-East,304.0
Persons aged 15 years and over in Employment,2015Q4,Midland,113.6
Persons aged 15 years and over in Employment,2016Q1,State,2079.0
Persons aged 15 years and over in Employment,2016Q1,Northern and Western,357.0
Persons aged 15 years and over in Employment,2016Q1,Border,174.9
Persons aged 15 years and over in Employment,2016Q1,West,182.1
Persons aged 15 years and over in Employment,2016Q1,Southern,679.1
Persons aged 15 years and over in Employment,2016Q1,Mid-West,201.1
Persons aged 15 years and over in Employment,2016Q1,South-East,174.3
Persons aged 15 years and over in Employment,2016Q1,South-West,303.7
Persons aged 15 years and over in Employment,2016Q1,Eastern and Midland,1042.9
Persons aged 15 years and over in Employment,2016Q1,Dublin,633.7
Persons aged 15 years and over in Employment,2016Q1,Mid-East,298.6
Persons aged 15 years and over in Employment,2016Q1,Midland,110.5
Persons aged 15 years and over in Employment,2016Q2,State,2124.4
Persons aged 15 years and over in Employment,2016Q2,Northern and Western,368.1
Persons aged 15 years and over in Employment,2016Q2,Border,176.8
Persons aged 15 years and over in Employment,2016Q2,West,191.3
Persons aged 15 years and over in Employment,2016Q2,Southern,695.1
Persons aged 15 years and over in Employment,2016Q2,Mid-West,206.9
Persons aged 15 years and over in Employment,2016Q2,South-East,182.7
Persons aged 15 years and over in Employment,2016Q2,South-West,305.6
Persons aged 15 years and over in Employment,2016Q2,Eastern and Midland,1061.2
Persons aged 15 years and over in Employment,2016Q2,Dublin,640.4
Persons aged 15 years and over in Employment,2016Q2,Mid-East,309.2
Persons aged 15 years and over in Employment,2016Q2,Midland,111.5
Persons aged 15 years and over in Employment,2016Q3,State,2159.9
Persons aged 15 years and over in Employment,2016Q3,Northern and Western,372.5
Persons aged 15 years and over in Employment,2016Q3,Border,179.9
Persons aged 15 years and over in Employment,2016Q3,West,192.6
Persons aged 15 years and over in Employment,2016Q3,Southern,720.6
Persons aged 15 years and over in Employment,2016Q3,Mid-West,214.0
Persons aged 15 years and over in Employment,2016Q3,South-East,185.1
Persons aged 15 years and over in Employment,2016Q3,South-West,321.6
Persons aged 15 years and over in Employment,2016Q3,Eastern and Midland,1066.8
Persons aged 15 years and over in Employment,2016Q3,Dublin,649.4
Persons aged 15 years and over in Employment,2016Q3,Mid-East,302.3
Persons aged 15 years and over in Employment,2016Q3,Midland,115.1
Persons aged 15 years and over in Employment,2016Q4,State,2165.5
Persons aged 15 years and over in Employment,2016Q4,Northern and Western,375.1
Persons aged 15 years and over in Employment,2016Q4,Border,182.1
Persons aged 15 years and over in Employment,2016Q4,West,193.0
Persons aged 15 years and over in Employment,2016Q4,Southern,713.9
Persons aged 15 years and over in Employment,2016Q4,Mid-West,217.3
Persons aged 15 years and over in Employment,2016Q4,South-East,184.8
Persons aged 15 years and over in Employment,2016Q4,South-West,311.7
Persons aged 15 years and over in Employment,2016Q4,Eastern and Midland,1076.4
Persons aged 15 years and over in Employment,2016Q4,Dublin,652.9
Persons aged 15 years and over in Employment,2016Q4,Mid-East,305.9
Persons aged 15 years and over in Employment,2016Q4,Midland,117.6
Persons aged 15 years and over in Employment,2017Q1,State,2162.8
Persons aged 15 years and over in Employment,2017Q1,Northern and Western,378.3
Persons aged 15 years and over in Employment,2017Q1,Border,178.7
Persons aged 15 years and over in Employment,2017Q1,West,199.6
Persons aged 15 years and over in Employment,2017Q1,Southern,707.7
Persons aged 15 years and over in Employment,2017Q1,Mid-West,209.5
Persons aged 15 years and over in Employment,2017Q1,South-East,184.9
Persons aged 15 years and over in Employment,2017Q1,South-West,313.3
Persons aged 15 years and over in Employment,2017Q1,Eastern and Midland,1076.8
Persons aged 15 years and over in Employment,2017Q1,Dublin,649.4
Persons aged 15 years and over in Employment,2017Q1,Mid-East,309.2
Persons aged 15 years and over in Employment,2017Q1,Midland,118.3
Persons aged 15 years and over in Employment,2017Q2,State,2187.4
Persons aged 15 years and over in Employment,2017Q2,Northern and Western,381.8
Persons aged 15 years and over in Employment,2017Q2,Border,186.2
Persons aged 15 years and over in Employment,2017Q2,West,195.6
Persons aged 15 years and over in Employment,2017Q2,Southern,726.2
Persons aged 15 years and over in Employment,2017Q2,Mid-West,219.4
Persons aged 15 years and over in Employment,2017Q2,South-East,181.3
Persons aged 15 years and over in Employment,2017Q2,South-West,325.5
Persons aged 15 years and over in Employment,2017Q2,Eastern and Midland,1079.4
Persons aged 15 years and over in Employment,2017Q2,Dublin,653.2
Persons aged 15 years and over in Employment,2017Q2,Mid-East,308.5
Persons aged 15 years and over in Employment,2017Q2,Midland,117.7
Persons aged 15 years and over in Employment,2017Q3,State,2212.3
Persons aged 15 years and over in Employment,2017Q3,Northern and Western,385.1
Persons aged 15 years and over in Employment,2017Q3,Border,181.6
Persons aged 15 years and over in Employment,2017Q3,West,203.5
Persons aged 15 years and over in Employment,2017Q3,Southern,724.0
Persons aged 15 years and over in Employment,2017Q3,Mid-West,217.3
Persons aged 15 years and over in Employment,2017Q3,South-East,186.6
Persons aged 15 years and over in Employment,2017Q3,South-West,320.1
Persons aged 15 years and over in Employment,2017Q3,Eastern and Midland,1103.2
Persons aged 15 years and over in Employment,2017Q3,Dublin,661.1
Persons aged 15 years and over in Employment,2017Q3,Mid-East,321.1
Persons aged 15 years and over in Employment,2017Q3,Midland,121.1
Persons aged 15 years and over in Employment,2017Q4,State,2234.7
Persons aged 15 years and over in Employment,2017Q4,Northern and Western,385.8
Persons aged 15 years and over in Employment,2017Q4,Border,181.5
Persons aged 15 years and over in Employment,2017Q4,West,204.4
Persons aged 15 years and over in Employment,2017Q4,Southern,723.4
Persons aged 15 years and over in Employment,2017Q4,Mid-West,223.2
Persons aged 15 years and over in Employment,2017Q4,South-East,183.7
Persons aged 15 years and over in Employment,2017Q4,South-West,316.4
Persons aged 15 years and over in Employment,2017Q4,Eastern and Midland,1125.5
Persons aged 15 years and over in Employment,2017Q4,Dublin,671.9
Persons aged 15 years and over in Employment,2017Q4,Mid-East,327.9
Persons aged 15 years and over in Employment,2017Q4,Midland,125.7
Persons aged 15 years and over in Employment,2018Q1,State,2225.3
Persons aged 15 years and over in Employment,2018Q1,Northern and Western,386.3
Persons aged 15 years and over in Employment,2018Q1,Border,178.3
Persons aged 15 years and over in Employment,2018Q1,West,207.9
Persons aged 15 years and over in Employment,2018Q1,Southern,714.8
Persons aged 15 years and over in Employment,2018Q1,Mid-West,215.5
Persons aged 15 years and over in Employment,2018Q1,South-East,182.1
Persons aged 15 years and over in Employment,2018Q1,South-West,317.1
Persons aged 15 years and over in Employment,2018Q1,Eastern and Midland,1124.3
Persons aged 15 years and over in Employment,2018Q1,Dublin,680.0
Persons aged 15 years and over in Employment,2018Q1,Mid-East,318.9
Persons aged 15 years and over in Employment,2018Q1,Midland,125.3
Persons aged 15 years and over in Employment,2018Q2,State,2261.7
Persons aged 15 years and over in Employment,2018Q2,Northern and Western,377.5
Persons aged 15 years and over in Employment,2018Q2,Border,174.9
Persons aged 15 years and over in Employment,2018Q2,West,202.6
Persons aged 15 years and over in Employment,2018Q2,Southern,738.6
Persons aged 15 years and over in Employment,2018Q2,Mid-West,218.0
Persons aged 15 years and over in Employment,2018Q2,South-East,191.4
Persons aged 15 years and over in Employment,2018Q2,South-West,329.2
Persons aged 15 years and over in Employment,2018Q2,Eastern and Midland,1145.5
Persons aged 15 years and over in Employment,2018Q2,Dublin,691.5
Persons aged 15 years and over in Employment,2018Q2,Mid-East,329.3
Persons aged 15 years and over in Employment,2018Q2,Midland,124.7
Persons aged 15 years and over in Employment,2018Q3,State,2282.7
Persons aged 15 years and over in Employment,2018Q3,Northern and Western,387.9
Persons aged 15 years and over in Employment,2018Q3,Border,179.4
Persons aged 15 years and over in Employment,2018Q3,West,208.5
Persons aged 15 years and over in Employment,2018Q3,Southern,743.1
Persons aged 15 years and over in Employment,2018Q3,Mid-West,219.6
Persons aged 15 years and over in Employment,2018Q3,South-East,188.0
Persons aged 15 years and over in Employment,2018Q3,South-West,335.5
Persons aged 15 years and over in Employment,2018Q3,Eastern and Midland,1151.7
Persons aged 15 years and over in Employment,2018Q3,Dublin,693.6
Persons aged 15 years and over in Employment,2018Q3,Mid-East,328.8
Persons aged 15 years and over in Employment,2018Q3,Midland,129.3
Persons aged 15 years and over in Employment,2018Q4,State,2290.4
Persons aged 15 years and over in Employment,2018Q4,Northern and Western,389.5
Persons aged 15 years and over in Employment,2018Q4,Border,177.4
Persons aged 15 years and over in Employment,2018Q4,West,212.1
Persons aged 15 years and over in Employment,2018Q4,Southern,731.6
Persons aged 15 years and over in Employment,2018Q4,Mid-West,215.4
Persons aged 15 years and over in Employment,2018Q4,South-East,189.1
Persons aged 15 years and over in Employment,2018Q4,South-West,327.0
Persons aged 15 years and over in Employment,2018Q4,Eastern and Midland,1169.4
Persons aged 15 years and over in Employment,2018Q4,Dublin,697.7
Persons aged 15 years and over in Employment,2018Q4,Mid-East,340.9
Persons aged 15 years and over in Employment,2018Q4,Midland,130.8
Persons aged 15 years and over in Employment,2019Q1,State,2312.8
Persons aged 15 years and over in Employment,2019Q1,Northern and Western,397.7
Persons aged 15 years and over in Employment,2019Q1,Border,184.0
Persons aged 15 years and over in Employment,2019Q1,West,213.7
Persons aged 15 years and over in Employment,2019Q1,Southern,741.0
Persons aged 15 years and over in Employment,2019Q1,Mid-West,219.9
Persons aged 15 years and over in Employment,2019Q1,South-East,189.9
Persons aged 15 years and over in Employment,2019Q1,South-West,331.1
Persons aged 15 years and over in Employment,2019Q1,Eastern and Midland,1174.2
Persons aged 15 years and over in Employment,2019Q1,Dublin,702.2
Persons aged 15 years and over in Employment,2019Q1,Mid-East,342.9
Persons aged 15 years and over in Employment,2019Q1,Midland,129.0
Persons aged 15 years and over in Employment,2019Q2,State,2311.5
Persons aged 15 years and over in Employment,2019Q2,Northern and Western,395.1
Persons aged 15 years and over in Employment,2019Q2,Border,181.7
Persons aged 15 years and over in Employment,2019Q2,West,213.4
Persons aged 15 years and over in Employment,2019Q2,Southern,732.6
Persons aged 15 years and over in Employment,2019Q2,Mid-West,221.1
Persons aged 15 years and over in Employment,2019Q2,South-East,189.0
Persons aged 15 years and over in Employment,2019Q2,South-West,322.6
Persons aged 15 years and over in Employment,2019Q2,Eastern and Midland,1183.8
Persons aged 15 years and over in Employment,2019Q2,Dublin,713.3
Persons aged 15 years and over in Employment,2019Q2,Mid-East,340.7
Persons aged 15 years and over in Employment,2019Q2,Midland,129.8
Persons aged 15 years and over in Employment,2019Q3,State,2341.6
Persons aged 15 years and over in Employment,2019Q3,Northern and Western,398.2
Persons aged 15 years and over in Employment,2019Q3,Border,178.0
Persons aged 15 years and over in Employment,2019Q3,West,220.1
Persons aged 15 years and over in Employment,2019Q3,Southern,747.7
Persons aged 15 years and over in Employment,2019Q3,Mid-West,222.3
Persons aged 15 years and over in Employment,2019Q3,South-East,192.8
Persons aged 15 years and over in Employment,2019Q3,South-West,332.5
Persons aged 15 years and over in Employment,2019Q3,Eastern and Midland,1195.7
Persons aged 15 years and over in Employment,2019Q3,Dublin,715.6
Persons aged 15 years and over in Employment,2019Q3,Mid-East,346.1
Persons aged 15 years and over in Employment,2019Q3,Midland,134.0
Persons aged 15 years and over in Employment,2019Q4,State,2377.8
Persons aged 15 years and over in Employment,2019Q4,Northern and Western,407.7
Persons aged 15 years and over in Employment,2019Q4,Border,185.4
Persons aged 15 years and over in Employment,2019Q4,West,222.3
Persons aged 15 years and over in Employment,2019Q4,Southern,761.0
Persons aged 15 years and over in Employment,2019Q4,Mid-West,220.5
Persons aged 15 years and over in Employment,2019Q4,South-East,198.8
Persons aged 15 years and over in Employment,2019Q4,South-West,341.7
Persons aged 15 years and over in Employment,2019Q4,Eastern and Midland,1209.0
Persons aged 15 years and over in Employment,2019Q4,Dublin,722.7
Persons aged 15 years and over in Employment,2019Q4,Mid-East,349.8
Persons aged 15 years and over in Employment,2019Q4,Midland,136.5
Persons aged 15 years and over in Employment,2020Q1,State,2368.8
Persons aged 15 years and over in Employment,2020Q1,Northern and Western,402.0
Persons aged 15 years and over in Employment,2020Q1,Border,178.6
Persons aged 15 years and over in Employment,2020Q1,West,223.4
Persons aged 15 years and over in Employment,2020Q1,Southern,768.7
Persons aged 15 years and over in Employment,2020Q1,Mid-West,222.2
Persons aged 15 years and over in Employment,2020Q1,South-East,198.9
Persons aged 15 years and over in Employment,2020Q1,South-West,347.7
Persons aged 15 years and over in Employment,2020Q1,Eastern and Midland,1198.0
Persons aged 15 years and over in Employment,2020Q1,Dublin,715.9
Persons aged 15 years and over in Employment,2020Q1,Mid-East,344.6
Persons aged 15 years and over in Employment,2020Q1,Midland,137.4
Persons aged 15 years and over in Employment,2020Q2,State,2161.3
Persons aged 15 years and over in Employment,2020Q2,Northern and Western,357.4
Persons aged 15 years and over in Employment,2020Q2,Border,156.0
Persons aged 15 years and over in Employment,2020Q2,West,201.4
Persons aged 15 years and over in Employment,2020Q2,Southern,697.0
Persons aged 15 years and over in Employment,2020Q2,Mid-West,205.3
Persons aged 15 years and over in Employment,2020Q2,South-East,178.6
Persons aged 15 years and over in Employment,2020Q2,South-West,313.1
Persons aged 15 years and over in Employment,2020Q2,Eastern and Midland,1106.9
Persons aged 15 years and over in Employment,2020Q2,Dublin,661.2
Persons aged 15 years and over in Employment,2020Q2,Mid-East,316.6
Persons aged 15 years and over in Employment,2020Q2,Midland,129.1
Persons aged 15 years and over in Employment,2020Q3,State,2275.0
Persons aged 15 years and over in Employment,2020Q3,Northern and Western,385.3
Persons aged 15 years and over in Employment,2020Q3,Border,167.1
Persons aged 15 years and over in Employment,2020Q3,West,218.2
Persons aged 15 years and over in Employment,2020Q3,Southern,737.8
Persons aged 15 years and over in Employment,2020Q3,Mid-West,215.4
Persons aged 15 years and over in Employment,2020Q3,South-East,191.1
Persons aged 15 years and over in Employment,2020Q3,South-West,331.4
Persons aged 15 years and over in Employment,2020Q3,Eastern and Midland,1151.8
Persons aged 15 years and over in Employment,2020Q3,Dublin,677.1
Persons aged 15 years and over in Employment,2020Q3,Mid-East,339.0
Persons aged 15 years and over in Employment,2020Q3,Midland,135.8
Persons aged 15 years and over in Employment,2020Q4,State,2305.1
Persons aged 15 years and over in Employment,2020Q4,Northern and Western,396.5
Persons aged 15 years and over in Employment,2020Q4,Border,177.6
Persons aged 15 years and over in Employment,2020Q4,West,218.9
Persons aged 15 years and over in Employment,2020Q4,Southern,736.5
Persons aged 15 years and over in Employment,2020Q4,Mid-West,216.0
Persons aged 15 years and over in Employment,2020Q4,South-East,192.1
Persons aged 15 years and over in Employment,2020Q4,South-West,328.4
Persons aged 15 years and over in Employment,2020Q4,Eastern and Midland,1172.0
Persons aged 15 years and over in Employment,2020Q4,Dublin,684.5
Persons aged 15 years and over in Employment,2020Q4,Mid-East,343.5
Persons aged 15 years and over in Employment,2020Q4,Midland,144.1
Persons aged 15 years and over in Employment,2021Q1,State,2259.9
Persons aged 15 years and over in Employment,2021Q1,Northern and Western,393.3
Persons aged 15 years and over in Employment,2021Q1,Border,176.5
Persons aged 15 years and over in Employment,2021Q1,West,216.8
Persons aged 15 years and over in Employment,2021Q1,Southern,712.8
Persons aged 15 years and over in Employment,2021Q1,Mid-West,211.5
Persons aged 15 years and over in Employment,2021Q1,South-East,183.5
Persons aged 15 years and over in Employment,2021Q1,South-West,317.8
Persons aged 15 years and over in Employment,2021Q1,Eastern and Midland,1153.8
Persons aged 15 years and over in Employment,2021Q1,Dublin,675.4
Persons aged 15 years and over in Employment,2021Q1,Mid-East,336.9
Persons aged 15 years and over in Employment,2021Q1,Midland,141.6
Persons aged 15 years and over in Employment,2021Q2,State,2382.2
Persons aged 15 years and over in Employment,2021Q2,Northern and Western,411.5
Persons aged 15 years and over in Employment,2021Q2,Border,186.6
Persons aged 15 years and over in Employment,2021Q2,West,225.0
Persons aged 15 years and over in Employment,2021Q2,Southern,766.8
Persons aged 15 years and over in Employment,2021Q2,Mid-West,231.6
Persons aged 15 years and over in Employment,2021Q2,South-East,198.6
Persons aged 15 years and over in Employment,2021Q2,South-West,336.6
Persons aged 15 years and over in Employment,2021Q2,Eastern and Midland,1203.9
