Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2021Q1,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",17.9
Persons aged 15 years and over in Employment,2021Q1,"Professional, scientific and technical activities (M)",All Countries,147.1
Persons aged 15 years and over in Employment,2021Q1,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,"Professional, scientific and technical activities (M)",Ireland,122.9
Persons aged 15 years and over in Employment,2021Q1,"Professional, scientific and technical activities (M)",All countries excluding Ireland,24.3
Persons aged 15 years and over in Employment,2021Q1,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Administrative and support service activities (N),All Countries,82.7
Persons aged 15 years and over in Employment,2021Q1,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Administrative and support service activities (N),Ireland,62.4
Persons aged 15 years and over in Employment,2021Q1,Administrative and support service activities (N),All countries excluding Ireland,20.4
Persons aged 15 years and over in Employment,2021Q1,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,"Public administration and defence, compulsory social security (O)",All Countries,126.0
Persons aged 15 years and over in Employment,2021Q1,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,"Public administration and defence, compulsory social security (O)",Ireland,124.0
Persons aged 15 years and over in Employment,2021Q1,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q1,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Education (P),All Countries,209.9
Persons aged 15 years and over in Employment,2021Q1,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Education (P),Ireland,189.5
Persons aged 15 years and over in Employment,2021Q1,Education (P),All countries excluding Ireland,20.4
Persons aged 15 years and over in Employment,2021Q1,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Human health and social work activities (Q),All Countries,299.8
Persons aged 15 years and over in Employment,2021Q1,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),12.2
Persons aged 15 years and over in Employment,2021Q1,Human health and social work activities (Q),United Kingdom,6.9
Persons aged 15 years and over in Employment,2021Q1,Human health and social work activities (Q),Ireland,248.2
Persons aged 15 years and over in Employment,2021Q1,Human health and social work activities (Q),All countries excluding Ireland,51.6
Persons aged 15 years and over in Employment,2021Q1,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",24.2
Persons aged 15 years and over in Employment,2021Q1,Industry (B to E),All Countries,308.4
Persons aged 15 years and over in Employment,2021Q1,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),10.9
Persons aged 15 years and over in Employment,2021Q1,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),28.1
Persons aged 15 years and over in Employment,2021Q1,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Industry (B to E),Ireland,252.8
Persons aged 15 years and over in Employment,2021Q1,Industry (B to E),All countries excluding Ireland,55.6
Persons aged 15 years and over in Employment,2021Q1,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Industry and Construction (B to F),All Countries,433.2
Persons aged 15 years and over in Employment,2021Q1,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),11.1
Persons aged 15 years and over in Employment,2021Q1,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),36.2
Persons aged 15 years and over in Employment,2021Q1,Industry and Construction (B to F),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Industry and Construction (B to F),Ireland,366.6
Persons aged 15 years and over in Employment,2021Q1,Industry and Construction (B to F),All countries excluding Ireland,66.6
Persons aged 15 years and over in Employment,2021Q1,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Services (G to U),All Countries,1715.3
Persons aged 15 years and over in Employment,2021Q1,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),49.4
Persons aged 15 years and over in Employment,2021Q1,Services (G to U),EU15 to EU27 (accession countries joined post 2004),97.5
Persons aged 15 years and over in Employment,2021Q1,Services (G to U),United Kingdom,40.5
Persons aged 15 years and over in Employment,2021Q1,Services (G to U),Ireland,1424.4
Persons aged 15 years and over in Employment,2021Q1,Services (G to U),All countries excluding Ireland,290.9
Persons aged 15 years and over in Employment,2021Q1,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",103.6
Persons aged 15 years and over in Employment,2021Q1,"Financial, insurance and real estate activities (K,L)",All Countries,124.0
Persons aged 15 years and over in Employment,2021Q1,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,"Financial, insurance and real estate activities (K,L)",Ireland,107.1
Persons aged 15 years and over in Employment,2021Q1,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,16.9
Persons aged 15 years and over in Employment,2021Q1,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Other NACE activities (R to U),All Countries,83.6
Persons aged 15 years and over in Employment,2021Q1,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Other NACE activities (R to U),Ireland,65.7
Persons aged 15 years and over in Employment,2021Q1,Other NACE activities (R to U),All countries excluding Ireland,17.8
Persons aged 15 years and over in Employment,2021Q1,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q1,Not stated,All Countries,
Persons aged 15 years and over in Employment,2021Q1,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q1,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q1,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2021Q1,Not stated,Ireland,
Persons aged 15 years and over in Employment,2021Q1,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q1,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,All NACE economic sectors,All Countries,2382.2
Persons aged 15 years and over in Employment,2021Q2,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),60.9
Persons aged 15 years and over in Employment,2021Q2,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),147.0
Persons aged 15 years and over in Employment,2021Q2,All NACE economic sectors,United Kingdom,53.8
Persons aged 15 years and over in Employment,2021Q2,All NACE economic sectors,Ireland,1986.3
Persons aged 15 years and over in Employment,2021Q2,All NACE economic sectors,All countries excluding Ireland,395.9
Persons aged 15 years and over in Employment,2021Q2,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",134.2
Persons aged 15 years and over in Employment,2021Q2,"Agriculture, forestry and fishing (A)",All Countries,110.0
Persons aged 15 years and over in Employment,2021Q2,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,"Agriculture, forestry and fishing (A)",Ireland,105.6
Persons aged 15 years and over in Employment,2021Q2,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q2,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Construction (F),All Countries,129.7
Persons aged 15 years and over in Employment,2021Q2,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Construction (F),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Construction (F),Ireland,114.8
Persons aged 15 years and over in Employment,2021Q2,Construction (F),All countries excluding Ireland,14.9
Persons aged 15 years and over in Employment,2021Q2,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,306.0
Persons aged 15 years and over in Employment,2021Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),25.1
Persons aged 15 years and over in Employment,2021Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,256.7
Persons aged 15 years and over in Employment,2021Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,49.3
Persons aged 15 years and over in Employment,2021Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Transportation and storage (H),All Countries,101.7
Persons aged 15 years and over in Employment,2021Q2,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Transportation and storage (H),Ireland,88.5
Persons aged 15 years and over in Employment,2021Q2,Transportation and storage (H),All countries excluding Ireland,13.2
Persons aged 15 years and over in Employment,2021Q2,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Accommodation and food service activities (I),All Countries,121.8
Persons aged 15 years and over in Employment,2021Q2,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),18.0
Persons aged 15 years and over in Employment,2021Q2,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Accommodation and food service activities (I),Ireland,85.4
Persons aged 15 years and over in Employment,2021Q2,Accommodation and food service activities (I),All countries excluding Ireland,36.4
Persons aged 15 years and over in Employment,2021Q2,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Information and communication (J),All Countries,143.8
Persons aged 15 years and over in Employment,2021Q2,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),12.1
Persons aged 15 years and over in Employment,2021Q2,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Information and communication (J),Ireland,100.1
Persons aged 15 years and over in Employment,2021Q2,Information and communication (J),All countries excluding Ireland,43.7
Persons aged 15 years and over in Employment,2021Q2,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",21.1
Persons aged 15 years and over in Employment,2021Q2,"Professional, scientific and technical activities (M)",All Countries,159.0
Persons aged 15 years and over in Employment,2021Q2,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,"Professional, scientific and technical activities (M)",Ireland,132.5
Persons aged 15 years and over in Employment,2021Q2,"Professional, scientific and technical activities (M)",All countries excluding Ireland,26.4
Persons aged 15 years and over in Employment,2021Q2,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Administrative and support service activities (N),All Countries,97.7
Persons aged 15 years and over in Employment,2021Q2,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Administrative and support service activities (N),Ireland,74.1
Persons aged 15 years and over in Employment,2021Q2,Administrative and support service activities (N),All countries excluding Ireland,23.6
Persons aged 15 years and over in Employment,2021Q2,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,"Public administration and defence, compulsory social security (O)",All Countries,131.1
Persons aged 15 years and over in Employment,2021Q2,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,"Public administration and defence, compulsory social security (O)",Ireland,127.2
Persons aged 15 years and over in Employment,2021Q2,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q2,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Education (P),All Countries,216.4
Persons aged 15 years and over in Employment,2021Q2,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Education (P),Ireland,198.6
Persons aged 15 years and over in Employment,2021Q2,Education (P),All countries excluding Ireland,17.8
Persons aged 15 years and over in Employment,2021Q2,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Human health and social work activities (Q),All Countries,312.2
Persons aged 15 years and over in Employment,2021Q2,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),11.5
Persons aged 15 years and over in Employment,2021Q2,Human health and social work activities (Q),United Kingdom,7.5
Persons aged 15 years and over in Employment,2021Q2,Human health and social work activities (Q),Ireland,259.2
Persons aged 15 years and over in Employment,2021Q2,Human health and social work activities (Q),All countries excluding Ireland,53.0
Persons aged 15 years and over in Employment,2021Q2,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",29.0
Persons aged 15 years and over in Employment,2021Q2,Industry (B to E),All Countries,315.7
Persons aged 15 years and over in Employment,2021Q2,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),36.7
Persons aged 15 years and over in Employment,2021Q2,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Industry (B to E),Ireland,246.9
Persons aged 15 years and over in Employment,2021Q2,Industry (B to E),All countries excluding Ireland,68.8
Persons aged 15 years and over in Employment,2021Q2,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",17.2
Persons aged 15 years and over in Employment,2021Q2,Industry and Construction (B to F),All Countries,445.4
Persons aged 15 years and over in Employment,2021Q2,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),11.4
Persons aged 15 years and over in Employment,2021Q2,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),44.2
Persons aged 15 years and over in Employment,2021Q2,Industry and Construction (B to F),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Industry and Construction (B to F),Ireland,361.7
Persons aged 15 years and over in Employment,2021Q2,Industry and Construction (B to F),All countries excluding Ireland,83.7
Persons aged 15 years and over in Employment,2021Q2,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",21.1
Persons aged 15 years and over in Employment,2021Q2,Services (G to U),All Countries,1821.3
Persons aged 15 years and over in Employment,2021Q2,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),49.5
Persons aged 15 years and over in Employment,2021Q2,Services (G to U),EU15 to EU27 (accession countries joined post 2004),100.3
Persons aged 15 years and over in Employment,2021Q2,Services (G to U),United Kingdom,45.2
Persons aged 15 years and over in Employment,2021Q2,Services (G to U),Ireland,1515.5
Persons aged 15 years and over in Employment,2021Q2,Services (G to U),All countries excluding Ireland,305.9
Persons aged 15 years and over in Employment,2021Q2,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",110.8
Persons aged 15 years and over in Employment,2021Q2,"Financial, insurance and real estate activities (K,L)",All Countries,133.3
Persons aged 15 years and over in Employment,2021Q2,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,"Financial, insurance and real estate activities (K,L)",Ireland,114.4
Persons aged 15 years and over in Employment,2021Q2,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,18.8
Persons aged 15 years and over in Employment,2021Q2,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Other NACE activities (R to U),All Countries,98.5
Persons aged 15 years and over in Employment,2021Q2,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Other NACE activities (R to U),Ireland,78.7
Persons aged 15 years and over in Employment,2021Q2,Other NACE activities (R to U),All countries excluding Ireland,19.8
Persons aged 15 years and over in Employment,2021Q2,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q2,Not stated,All Countries,
Persons aged 15 years and over in Employment,2021Q2,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q2,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q2,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2021Q2,Not stated,Ireland,
Persons aged 15 years and over in Employment,2021Q2,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q2,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,All NACE economic sectors,All Countries,2515.0
Persons aged 15 years and over in Employment,2021Q3,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),71.3
Persons aged 15 years and over in Employment,2021Q3,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),152.4
Persons aged 15 years and over in Employment,2021Q3,All NACE economic sectors,United Kingdom,51.5
Persons aged 15 years and over in Employment,2021Q3,All NACE economic sectors,Ireland,2102.5
Persons aged 15 years and over in Employment,2021Q3,All NACE economic sectors,All countries excluding Ireland,412.6
Persons aged 15 years and over in Employment,2021Q3,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",137.4
Persons aged 15 years and over in Employment,2021Q3,"Agriculture, forestry and fishing (A)",All Countries,109.4
Persons aged 15 years and over in Employment,2021Q3,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q3,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,"Agriculture, forestry and fishing (A)",Ireland,106.1
Persons aged 15 years and over in Employment,2021Q3,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q3,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
