STATISTIC,Quarter,Sex,NACE Rev 2 Economic Sector,Region,value
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),Dublin,30.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),Mid-East,11.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),Midland,3.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),State,120.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),Border,9.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),West,12.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),Mid-West,12.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),South-East,10.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),South-West,23.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),Dublin,31.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),Mid-East,15.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),Midland,6.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),State,92.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),West,6.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),Mid-West,7.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),South-East,3.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),South-West,9.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),Dublin,44.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),Mid-East,14.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),Midland,2.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",State,103.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",Border,5.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",West,8.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",Mid-West,8.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",South-East,7.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",South-West,13.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",Dublin,43.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",Mid-East,14.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",Midland,3.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),State,75.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),Border,4.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),West,4.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),Mid-West,6.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),South-East,5.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),South-West,11.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),Dublin,25.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),Mid-East,12.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),Midland,4.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",State,88.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Border,7.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",West,8.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Mid-West,9.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",South-East,6.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",South-West,11.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,25.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Mid-East,13.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Midland,6.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),State,138.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),Border,10.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),West,14.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),Mid-West,12.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),South-East,12.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),South-West,20.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),Dublin,39.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),Mid-East,20.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),Midland,7.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),State,251.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),Border,20.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),West,24.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),Mid-West,22.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),South-East,19.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),South-West,37.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),Dublin,77.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),Mid-East,36.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),Midland,11.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),State,236.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),Border,19.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),West,28.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),Mid-West,30.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),South-East,23.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),South-West,42.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),Dublin,39.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),Mid-East,36.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),Midland,14.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),State,320.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),Border,27.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),West,36.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),Mid-West,40.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),South-East,31.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),South-West,56.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),Dublin,56.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),Mid-East,50.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),Midland,20.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),State,1434.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),Border,98.1
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),West,123.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),Mid-West,131.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),South-East,105.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),South-West,203.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),Dublin,482.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),Mid-East,219.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),Midland,69.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",State,101.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Border,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",West,5.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Mid-West,6.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",South-East,4.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",South-West,8.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,52.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Mid-East,17.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Midland,2.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),State,104.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),Border,7.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),West,8.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),Mid-West,10.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),South-East,6.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),South-West,11.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),Dublin,37.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),Mid-East,17.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),Midland,4.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,State,4.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,Border,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,West,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,Mid-West,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,South-East,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,South-West,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,Dublin,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,Mid-East,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,Midland,
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,State,991.3
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,Border,79.1
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,West,93.0
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,Mid-West,102.7
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,South-East,83.9
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,South-West,147.8
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,Dublin,280.6
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,Mid-East,149.0
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,Midland,55.2
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",State,90.0
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",Border,17.1
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",West,13.4
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",Mid-West,12.8
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",South-East,14.4
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",South-West,14.0
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",Mid-East,9.2
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",Midland,7.2
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),State,79.4
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),Border,7.5
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),West,7.8
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),Mid-West,9.8
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),South-East,6.7
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),South-West,13.4
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),Dublin,15.9
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),Mid-East,12.5
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),Midland,5.8
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",State,134.1
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Border,10.1
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",West,11.9
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-West,13.6
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-East,11.6
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-West,20.7
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,36.3
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-East,21.4
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Midland,8.4
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),State,66.2
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),Border,4.8
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),West,4.3
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),Mid-West,7.6
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),South-East,5.2
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),South-West,8.7
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),Dublin,22.9
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),Mid-East,9.4
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),Midland,3.3
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),State,60.5
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),Border,4.4
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),West,5.3
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),Mid-West,5.7
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),South-East,4.6
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),South-West,11.9
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),Dublin,18.1
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),Mid-East,7.6
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),Midland,2.8
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),State,60.2
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),West,4.7
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),Mid-West,4.6
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),South-East,
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),South-West,6.8
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),Dublin,27.8
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),Mid-East,10.3
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),Midland,
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",State,63.5
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",Border,3.6
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",West,4.7
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",Mid-West,5.7
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",South-East,4.0
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",South-West,8.8
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",Dublin,24.9
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",Mid-East,9.5
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",Midland,2.4
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),State,44.3
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),Border,
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),West,
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),Mid-West,3.8
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),South-East,3.6
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),South-West,6.5
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),Dublin,14.8
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),Mid-East,8.9
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),Midland,
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",State,47.1
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",Border,3.3
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",West,4.0
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",Mid-West,4.4
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",South-East,3.5
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",South-West,6.7
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",Dublin,13.7
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",Mid-East,8.3
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",Midland,3.1
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),State,35.7
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),Border,
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),West,4.1
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),Mid-West,2.8
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),South-East,3.3
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),South-West,5.2
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),Dublin,12.1
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),Mid-East,4.7
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),Midland,
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),State,50.6
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),Border,4.0
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),West,5.7
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),Mid-West,2.7
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),South-East,3.8
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),South-West,7.0
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),Dublin,18.4
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),Mid-East,6.4
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),Midland,
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),State,165.4
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),Border,13.7
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),West,18.9
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),Mid-West,21.7
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),South-East,16.8
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),South-West,29.5
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),Dublin,26.5
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),Mid-East,27.8
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),Midland,10.5
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),State,244.8
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),Border,21.1
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),West,26.6
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),Mid-West,31.5
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),South-East,23.5
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),South-West,42.9
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),Dublin,42.4
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),Mid-East,40.3
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),Midland,16.3
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),State,653.9
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),Border,40.7
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),West,52.7
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),Mid-West,57.8
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),South-East,45.9
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),South-West,90.1
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),Dublin,236.0
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),Mid-East,99.1
