Statistic,Quarter,NACE Rev 2 Economic Sector,value
Students aged 15 years and over in employment (PES),1999Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),1999Q2,Accommodation and food service activities (I),22.0
Students aged 15 years and over in employment (PES),1999Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),1999Q2,"Professional, scientific and technical activities (M)",1.7
Students aged 15 years and over in employment (PES),1999Q2,Administrative and support service activities (N),1.9
Students aged 15 years and over in employment (PES),1999Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1999Q2,Education (P),1.4
Students aged 15 years and over in employment (PES),1999Q2,Human health and social work activities (Q),2.5
Students aged 15 years and over in employment (PES),1999Q2,Industry (B to E),5.6
Students aged 15 years and over in employment (PES),1999Q2,"Financial, insurance and real estate activities (K, L)",1.4
Students aged 15 years and over in employment (PES),1999Q2,Other NACE activities (R to U),6.4
Students aged 15 years and over in employment (PES),1999Q2,Industry and Construction (B to F),7.8
Students aged 15 years and over in employment (PES),1999Q2,Services (G to U),68.3
Students aged 15 years and over in employment (PES),1999Q2,Not stated,
Students aged 15 years and over in employment (PES),1999Q3,All NACE economic sectors,111.8
Students aged 15 years and over in employment (PES),1999Q3,"Agriculture, forestry and fishing (A)",7.3
Students aged 15 years and over in employment (PES),1999Q3,Construction (F),4.1
Students aged 15 years and over in employment (PES),1999Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.7
Students aged 15 years and over in employment (PES),1999Q3,Transportation and storage (H),1.9
Students aged 15 years and over in employment (PES),1999Q3,Accommodation and food service activities (I),26.9
Students aged 15 years and over in employment (PES),1999Q3,Information and communication (J),2.7
Students aged 15 years and over in employment (PES),1999Q3,"Professional, scientific and technical activities (M)",2.3
Students aged 15 years and over in employment (PES),1999Q3,Administrative and support service activities (N),3.7
Students aged 15 years and over in employment (PES),1999Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1999Q3,Education (P),1.8
Students aged 15 years and over in employment (PES),1999Q3,Human health and social work activities (Q),3.4
Students aged 15 years and over in employment (PES),1999Q3,Industry (B to E),10.5
Students aged 15 years and over in employment (PES),1999Q3,"Financial, insurance and real estate activities (K, L)",2.2
Students aged 15 years and over in employment (PES),1999Q3,Other NACE activities (R to U),7.5
Students aged 15 years and over in employment (PES),1999Q3,Industry and Construction (B to F),14.5
Students aged 15 years and over in employment (PES),1999Q3,Services (G to U),89.2
Students aged 15 years and over in employment (PES),1999Q3,Not stated,
Students aged 15 years and over in employment (PES),1999Q4,All NACE economic sectors,72.8
Students aged 15 years and over in employment (PES),1999Q4,"Agriculture, forestry and fishing (A)",3.4
Students aged 15 years and over in employment (PES),1999Q4,Construction (F),
Students aged 15 years and over in employment (PES),1999Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.2
Students aged 15 years and over in employment (PES),1999Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),1999Q4,Accommodation and food service activities (I),18.5
Students aged 15 years and over in employment (PES),1999Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),1999Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),1999Q4,Administrative and support service activities (N),2.6
Students aged 15 years and over in employment (PES),1999Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1999Q4,Education (P),1.5
Students aged 15 years and over in employment (PES),1999Q4,Human health and social work activities (Q),2.2
Students aged 15 years and over in employment (PES),1999Q4,Industry (B to E),3.7
Students aged 15 years and over in employment (PES),1999Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),1999Q4,Other NACE activities (R to U),5.4
Students aged 15 years and over in employment (PES),1999Q4,Industry and Construction (B to F),4.7
Students aged 15 years and over in employment (PES),1999Q4,Services (G to U),64.6
Students aged 15 years and over in employment (PES),1999Q4,Not stated,
Students aged 15 years and over in employment (PES),2000Q1,All NACE economic sectors,74.7
Students aged 15 years and over in employment (PES),2000Q1,"Agriculture, forestry and fishing (A)",3.1
Students aged 15 years and over in employment (PES),2000Q1,Construction (F),
Students aged 15 years and over in employment (PES),2000Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.7
Students aged 15 years and over in employment (PES),2000Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2000Q1,Accommodation and food service activities (I),20.0
Students aged 15 years and over in employment (PES),2000Q1,Information and communication (J),1.7
Students aged 15 years and over in employment (PES),2000Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2000Q1,Administrative and support service activities (N),2.4
Students aged 15 years and over in employment (PES),2000Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2000Q1,Education (P),1.3
Students aged 15 years and over in employment (PES),2000Q1,Human health and social work activities (Q),2.2
Students aged 15 years and over in employment (PES),2000Q1,Industry (B to E),3.1
Students aged 15 years and over in employment (PES),2000Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2000Q1,Other NACE activities (R to U),5.6
Students aged 15 years and over in employment (PES),2000Q1,Industry and Construction (B to F),4.1
Students aged 15 years and over in employment (PES),2000Q1,Services (G to U),67.1
Students aged 15 years and over in employment (PES),2000Q1,Not stated,
Students aged 15 years and over in employment (PES),2000Q2,All NACE economic sectors,89.1
Students aged 15 years and over in employment (PES),2000Q2,"Agriculture, forestry and fishing (A)",3.8
Students aged 15 years and over in employment (PES),2000Q2,Construction (F),1.9
Students aged 15 years and over in employment (PES),2000Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.7
Students aged 15 years and over in employment (PES),2000Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2000Q2,Accommodation and food service activities (I),24.7
Students aged 15 years and over in employment (PES),2000Q2,Information and communication (J),2.4
Students aged 15 years and over in employment (PES),2000Q2,"Professional, scientific and technical activities (M)",1.8
Students aged 15 years and over in employment (PES),2000Q2,Administrative and support service activities (N),2.5
Students aged 15 years and over in employment (PES),2000Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2000Q2,Education (P),1.3
Students aged 15 years and over in employment (PES),2000Q2,Human health and social work activities (Q),2.5
Students aged 15 years and over in employment (PES),2000Q2,Industry (B to E),5.3
Students aged 15 years and over in employment (PES),2000Q2,"Financial, insurance and real estate activities (K, L)",1.4
Students aged 15 years and over in employment (PES),2000Q2,Other NACE activities (R to U),5.3
Students aged 15 years and over in employment (PES),2000Q2,Industry and Construction (B to F),7.2
Students aged 15 years and over in employment (PES),2000Q2,Services (G to U),77.6
Students aged 15 years and over in employment (PES),2000Q2,Not stated,
Students aged 15 years and over in employment (PES),2000Q3,All NACE economic sectors,123.5
Students aged 15 years and over in employment (PES),2000Q3,"Agriculture, forestry and fishing (A)",6.0
Students aged 15 years and over in employment (PES),2000Q3,Construction (F),4.5
Students aged 15 years and over in employment (PES),2000Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),42.1
Students aged 15 years and over in employment (PES),2000Q3,Transportation and storage (H),1.3
Students aged 15 years and over in employment (PES),2000Q3,Accommodation and food service activities (I),30.1
Students aged 15 years and over in employment (PES),2000Q3,Information and communication (J),3.6
Students aged 15 years and over in employment (PES),2000Q3,"Professional, scientific and technical activities (M)",3.2
Students aged 15 years and over in employment (PES),2000Q3,Administrative and support service activities (N),4.2
Students aged 15 years and over in employment (PES),2000Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2000Q3,Education (P),
Students aged 15 years and over in employment (PES),2000Q3,Human health and social work activities (Q),4.4
Students aged 15 years and over in employment (PES),2000Q3,Industry (B to E),11.5
Students aged 15 years and over in employment (PES),2000Q3,"Financial, insurance and real estate activities (K, L)",2.6
Students aged 15 years and over in employment (PES),2000Q3,Other NACE activities (R to U),7.4
Students aged 15 years and over in employment (PES),2000Q3,Industry and Construction (B to F),16.0
Students aged 15 years and over in employment (PES),2000Q3,Services (G to U),101.0
Students aged 15 years and over in employment (PES),2000Q3,Not stated,
Students aged 15 years and over in employment (PES),2000Q4,All NACE economic sectors,75.3
Students aged 15 years and over in employment (PES),2000Q4,"Agriculture, forestry and fishing (A)",2.4
Students aged 15 years and over in employment (PES),2000Q4,Construction (F),
Students aged 15 years and over in employment (PES),2000Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.8
Students aged 15 years and over in employment (PES),2000Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2000Q4,Accommodation and food service activities (I),20.9
Students aged 15 years and over in employment (PES),2000Q4,Information and communication (J),1.7
Students aged 15 years and over in employment (PES),2000Q4,"Professional, scientific and technical activities (M)",1.9
Students aged 15 years and over in employment (PES),2000Q4,Administrative and support service activities (N),2.5
Students aged 15 years and over in employment (PES),2000Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2000Q4,Education (P),1.8
Students aged 15 years and over in employment (PES),2000Q4,Human health and social work activities (Q),2.2
Students aged 15 years and over in employment (PES),2000Q4,Industry (B to E),3.0
Students aged 15 years and over in employment (PES),2000Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2000Q4,Other NACE activities (R to U),3.3
Students aged 15 years and over in employment (PES),2000Q4,Industry and Construction (B to F),4.0
Students aged 15 years and over in employment (PES),2000Q4,Services (G to U),68.9
Students aged 15 years and over in employment (PES),2000Q4,Not stated,
Students aged 15 years and over in employment (PES),2001Q1,All NACE economic sectors,74.9
Students aged 15 years and over in employment (PES),2001Q1,"Agriculture, forestry and fishing (A)",2.1
Students aged 15 years and over in employment (PES),2001Q1,Construction (F),
Students aged 15 years and over in employment (PES),2001Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.8
Students aged 15 years and over in employment (PES),2001Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2001Q1,Accommodation and food service activities (I),19.7
Students aged 15 years and over in employment (PES),2001Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2001Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2001Q1,Administrative and support service activities (N),3.3
Students aged 15 years and over in employment (PES),2001Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2001Q1,Education (P),1.8
Students aged 15 years and over in employment (PES),2001Q1,Human health and social work activities (Q),2.6
Students aged 15 years and over in employment (PES),2001Q1,Industry (B to E),2.5
Students aged 15 years and over in employment (PES),2001Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2001Q1,Other NACE activities (R to U),4.0
Students aged 15 years and over in employment (PES),2001Q1,Industry and Construction (B to F),3.2
Students aged 15 years and over in employment (PES),2001Q1,Services (G to U),69.5
Students aged 15 years and over in employment (PES),2001Q1,Not stated,
Students aged 15 years and over in employment (PES),2001Q2,All NACE economic sectors,77.7
Students aged 15 years and over in employment (PES),2001Q2,"Agriculture, forestry and fishing (A)",2.7
Students aged 15 years and over in employment (PES),2001Q2,Construction (F),
Students aged 15 years and over in employment (PES),2001Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.7
Students aged 15 years and over in employment (PES),2001Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2001Q2,Accommodation and food service activities (I),18.9
Students aged 15 years and over in employment (PES),2001Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2001Q2,"Professional, scientific and technical activities (M)",1.7
Students aged 15 years and over in employment (PES),2001Q2,Administrative and support service activities (N),2.9
Students aged 15 years and over in employment (PES),2001Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2001Q2,Education (P),1.9
Students aged 15 years and over in employment (PES),2001Q2,Human health and social work activities (Q),2.3
Students aged 15 years and over in employment (PES),2001Q2,Industry (B to E),3.6
Students aged 15 years and over in employment (PES),2001Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2001Q2,Other NACE activities (R to U),4.6
Students aged 15 years and over in employment (PES),2001Q2,Industry and Construction (B to F),4.7
Students aged 15 years and over in employment (PES),2001Q2,Services (G to U),70.2
Students aged 15 years and over in employment (PES),2001Q2,Not stated,
Students aged 15 years and over in employment (PES),2001Q3,All NACE economic sectors,114.6
Students aged 15 years and over in employment (PES),2001Q3,"Agriculture, forestry and fishing (A)",6.0
Students aged 15 years and over in employment (PES),2001Q3,Construction (F),4.7
Students aged 15 years and over in employment (PES),2001Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),39.4
Students aged 15 years and over in employment (PES),2001Q3,Transportation and storage (H),1.6
Students aged 15 years and over in employment (PES),2001Q3,Accommodation and food service activities (I),28.3
Students aged 15 years and over in employment (PES),2001Q3,Information and communication (J),2.8
Students aged 15 years and over in employment (PES),2001Q3,"Professional, scientific and technical activities (M)",2.5
Students aged 15 years and over in employment (PES),2001Q3,Administrative and support service activities (N),3.9
Students aged 15 years and over in employment (PES),2001Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2001Q3,Education (P),1.7
Students aged 15 years and over in employment (PES),2001Q3,Human health and social work activities (Q),4.1
Students aged 15 years and over in employment (PES),2001Q3,Industry (B to E),8.5
Students aged 15 years and over in employment (PES),2001Q3,"Financial, insurance and real estate activities (K, L)",2.3
Students aged 15 years and over in employment (PES),2001Q3,Other NACE activities (R to U),7.1
Students aged 15 years and over in employment (PES),2001Q3,Industry and Construction (B to F),13.3
Students aged 15 years and over in employment (PES),2001Q3,Services (G to U),94.8
Students aged 15 years and over in employment (PES),2001Q3,Not stated,
Students aged 15 years and over in employment (PES),2001Q4,All NACE economic sectors,75.3
Students aged 15 years and over in employment (PES),2001Q4,"Agriculture, forestry and fishing (A)",2.8
Students aged 15 years and over in employment (PES),2001Q4,Construction (F),
Students aged 15 years and over in employment (PES),2001Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.6
Students aged 15 years and over in employment (PES),2001Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2001Q4,Accommodation and food service activities (I),22.0
Students aged 15 years and over in employment (PES),2001Q4,Information and communication (J),1.9
Students aged 15 years and over in employment (PES),2001Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2001Q4,Administrative and support service activities (N),1.9
Students aged 15 years and over in employment (PES),2001Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2001Q4,Education (P),1.7
Students aged 15 years and over in employment (PES),2001Q4,Human health and social work activities (Q),2.5
Students aged 15 years and over in employment (PES),2001Q4,Industry (B to E),2.2
Students aged 15 years and over in employment (PES),2001Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2001Q4,Other NACE activities (R to U),5.0
Students aged 15 years and over in employment (PES),2001Q4,Industry and Construction (B to F),3.0
Students aged 15 years and over in employment (PES),2001Q4,Services (G to U),69.2
Students aged 15 years and over in employment (PES),2001Q4,Not stated,
Students aged 15 years and over in employment (PES),2002Q1,All NACE economic sectors,73.9
Students aged 15 years and over in employment (PES),2002Q1,"Agriculture, forestry and fishing (A)",2.2
Students aged 15 years and over in employment (PES),2002Q1,Construction (F),
Students aged 15 years and over in employment (PES),2002Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.4
Students aged 15 years and over in employment (PES),2002Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2002Q1,Accommodation and food service activities (I),20.3
Students aged 15 years and over in employment (PES),2002Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2002Q1,"Professional, scientific and technical activities (M)",1.7
Students aged 15 years and over in employment (PES),2002Q1,Administrative and support service activities (N),2.0
Students aged 15 years and over in employment (PES),2002Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2002Q1,Education (P),1.5
Students aged 15 years and over in employment (PES),2002Q1,Human health and social work activities (Q),2.7
Students aged 15 years and over in employment (PES),2002Q1,Industry (B to E),2.0
Students aged 15 years and over in employment (PES),2002Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2002Q1,Other NACE activities (R to U),4.4
Students aged 15 years and over in employment (PES),2002Q1,Industry and Construction (B to F),2.7
Students aged 15 years and over in employment (PES),2002Q1,Services (G to U),68.8
Students aged 15 years and over in employment (PES),2002Q1,Not stated,
Students aged 15 years and over in employment (PES),2002Q2,All NACE economic sectors,71.6
Students aged 15 years and over in employment (PES),2002Q2,"Agriculture, forestry and fishing (A)",2.8
Students aged 15 years and over in employment (PES),2002Q2,Construction (F),1.5
Students aged 15 years and over in employment (PES),2002Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.2
Students aged 15 years and over in employment (PES),2002Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2002Q2,Accommodation and food service activities (I),18.5
Students aged 15 years and over in employment (PES),2002Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2002Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2002Q2,Administrative and support service activities (N),1.8
Students aged 15 years and over in employment (PES),2002Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2002Q2,Education (P),1.6
Students aged 15 years and over in employment (PES),2002Q2,Human health and social work activities (Q),2.0
Students aged 15 years and over in employment (PES),2002Q2,Industry (B to E),3.1
Students aged 15 years and over in employment (PES),2002Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2002Q2,Other NACE activities (R to U),4.0
Students aged 15 years and over in employment (PES),2002Q2,Industry and Construction (B to F),4.6
Students aged 15 years and over in employment (PES),2002Q2,Services (G to U),64.1
Students aged 15 years and over in employment (PES),2002Q2,Not stated,
Students aged 15 years and over in employment (PES),2002Q3,All NACE economic sectors,107.1
Students aged 15 years and over in employment (PES),2002Q3,"Agriculture, forestry and fishing (A)",5.4
Students aged 15 years and over in employment (PES),2002Q3,Construction (F),3.9
Students aged 15 years and over in employment (PES),2002Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),41.2
Students aged 15 years and over in employment (PES),2002Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2002Q3,Accommodation and food service activities (I),24.7
Students aged 15 years and over in employment (PES),2002Q3,Information and communication (J),2.1
Students aged 15 years and over in employment (PES),2002Q3,"Professional, scientific and technical activities (M)",2.6
Students aged 15 years and over in employment (PES),2002Q3,Administrative and support service activities (N),3.0
Students aged 15 years and over in employment (PES),2002Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2002Q3,Education (P),2.1
Students aged 15 years and over in employment (PES),2002Q3,Human health and social work activities (Q),3.7
Students aged 15 years and over in employment (PES),2002Q3,Industry (B to E),6.9
Students aged 15 years and over in employment (PES),2002Q3,"Financial, insurance and real estate activities (K, L)",1.9
Students aged 15 years and over in employment (PES),2002Q3,Other NACE activities (R to U),6.5
Students aged 15 years and over in employment (PES),2002Q3,Industry and Construction (B to F),10.8
Students aged 15 years and over in employment (PES),2002Q3,Services (G to U),90.3
Students aged 15 years and over in employment (PES),2002Q3,Not stated,
Students aged 15 years and over in employment (PES),2002Q4,All NACE economic sectors,76.2
Students aged 15 years and over in employment (PES),2002Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2002Q4,Construction (F),
Students aged 15 years and over in employment (PES),2002Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.5
Students aged 15 years and over in employment (PES),2002Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2002Q4,Accommodation and food service activities (I),22.1
Students aged 15 years and over in employment (PES),2002Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2002Q4,"Professional, scientific and technical activities (M)",1.9
Students aged 15 years and over in employment (PES),2002Q4,Administrative and support service activities (N),2.0
Students aged 15 years and over in employment (PES),2002Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2002Q4,Education (P),2.0
Students aged 15 years and over in employment (PES),2002Q4,Human health and social work activities (Q),2.3
Students aged 15 years and over in employment (PES),2002Q4,Industry (B to E),2.5
Students aged 15 years and over in employment (PES),2002Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2002Q4,Other NACE activities (R to U),4.1
Students aged 15 years and over in employment (PES),2002Q4,Industry and Construction (B to F),3.5
Students aged 15 years and over in employment (PES),2002Q4,Services (G to U),71.1
Students aged 15 years and over in employment (PES),2002Q4,Not stated,
Students aged 15 years and over in employment (PES),2003Q1,All NACE economic sectors,77.0
Students aged 15 years and over in employment (PES),2003Q1,"Agriculture, forestry and fishing (A)",2.3
Students aged 15 years and over in employment (PES),2003Q1,Construction (F),
