NUTS 3 Regions,Quarter,Statistic,value
State,2005Q4,Persons aged 15 years and over in Labour Force (Thousand),2162.0
State,2005Q4,ILO Unemployment Rate (15 - 74 years) (%),4.3
State,2005Q4,ILO Participation Rate (15 years and over) (%),64.7
State,2006Q1,Persons aged 15 years and over in Employment (Thousand),2083.1
State,2006Q1,Unemployed Persons aged 15 years and over (Thousand),101.5
State,2006Q1,Persons aged 15 years and over in Labour Force (Thousand),2184.6
State,2006Q1,ILO Unemployment Rate (15 - 74 years) (%),4.7
State,2006Q1,ILO Participation Rate (15 years and over) (%),65.0
State,2006Q2,Persons aged 15 years and over in Employment (Thousand),2110.5
State,2006Q2,Unemployed Persons aged 15 years and over (Thousand),108.7
State,2006Q2,Persons aged 15 years and over in Labour Force (Thousand),2219.1
State,2006Q2,ILO Unemployment Rate (15 - 74 years) (%),4.9
State,2006Q2,ILO Participation Rate (15 years and over) (%),65.7
State,2006Q3,Persons aged 15 years and over in Employment (Thousand),2159.6
State,2006Q3,Unemployed Persons aged 15 years and over (Thousand),116.8
State,2006Q3,Persons aged 15 years and over in Labour Force (Thousand),2276.5
State,2006Q3,ILO Unemployment Rate (15 - 74 years) (%),5.1
State,2006Q3,ILO Participation Rate (15 years and over) (%),66.7
State,2006Q4,Persons aged 15 years and over in Employment (Thousand),2167.6
State,2006Q4,Unemployed Persons aged 15 years and over (Thousand),98.3
State,2006Q4,Persons aged 15 years and over in Labour Force (Thousand),2265.9
State,2006Q4,ILO Unemployment Rate (15 - 74 years) (%),4.4
State,2006Q4,ILO Participation Rate (15 years and over) (%),65.7
State,2007Q1,Persons aged 15 years and over in Employment (Thousand),2186.9
State,2007Q1,Unemployed Persons aged 15 years and over (Thousand),111.2
State,2007Q1,Persons aged 15 years and over in Labour Force (Thousand),2298.2
State,2007Q1,ILO Unemployment Rate (15 - 74 years) (%),4.9
State,2007Q1,ILO Participation Rate (15 years and over) (%),66.2
State,2007Q2,Persons aged 15 years and over in Employment (Thousand),2213.4
State,2007Q2,Unemployed Persons aged 15 years and over (Thousand),120.1
State,2007Q2,Persons aged 15 years and over in Labour Force (Thousand),2333.5
State,2007Q2,ILO Unemployment Rate (15 - 74 years) (%),5.2
State,2007Q2,ILO Participation Rate (15 years and over) (%),66.7
State,2007Q3,Persons aged 15 years and over in Employment (Thousand),2252.2
State,2007Q3,Unemployed Persons aged 15 years and over (Thousand),119.7
State,2007Q3,Persons aged 15 years and over in Labour Force (Thousand),2371.9
State,2007Q3,ILO Unemployment Rate (15 - 74 years) (%),5.1
State,2007Q3,ILO Participation Rate (15 years and over) (%),67.4
State,2007Q4,Persons aged 15 years and over in Employment (Thousand),2232.9
State,2007Q4,Unemployed Persons aged 15 years and over (Thousand),114.7
State,2007Q4,Persons aged 15 years and over in Labour Force (Thousand),2347.6
State,2007Q4,ILO Unemployment Rate (15 - 74 years) (%),4.9
State,2007Q4,ILO Participation Rate (15 years and over) (%),66.2
State,2008Q1,Persons aged 15 years and over in Employment (Thousand),2219.5
State,2008Q1,Unemployed Persons aged 15 years and over (Thousand),124.4
State,2008Q1,Persons aged 15 years and over in Labour Force (Thousand),2343.9
State,2008Q1,ILO Unemployment Rate (15 - 74 years) (%),5.3
State,2008Q1,ILO Participation Rate (15 years and over) (%),65.8
State,2008Q2,Persons aged 15 years and over in Employment (Thousand),2220.1
State,2008Q2,Unemployed Persons aged 15 years and over (Thousand),144.5
State,2008Q2,Persons aged 15 years and over in Labour Force (Thousand),2364.6
State,2008Q2,ILO Unemployment Rate (15 - 74 years) (%),6.1
State,2008Q2,ILO Participation Rate (15 years and over) (%),66.1
State,2008Q3,Persons aged 15 years and over in Employment (Thousand),2209.8
State,2008Q3,Unemployed Persons aged 15 years and over (Thousand),180.9
State,2008Q3,Persons aged 15 years and over in Labour Force (Thousand),2390.7
State,2008Q3,ILO Unemployment Rate (15 - 74 years) (%),7.6
State,2008Q3,ILO Participation Rate (15 years and over) (%),66.7
State,2008Q4,Persons aged 15 years and over in Employment (Thousand),2146.6
State,2008Q4,Unemployed Persons aged 15 years and over (Thousand),189.4
State,2008Q4,Persons aged 15 years and over in Labour Force (Thousand),2336.0
State,2008Q4,ILO Unemployment Rate (15 - 74 years) (%),8.1
State,2008Q4,ILO Participation Rate (15 years and over) (%),65.1
State,2009Q1,Persons aged 15 years and over in Employment (Thousand),2054.1
State,2009Q1,Unemployed Persons aged 15 years and over (Thousand),247.6
State,2009Q1,Persons aged 15 years and over in Labour Force (Thousand),2301.8
State,2009Q1,ILO Unemployment Rate (15 - 74 years) (%),10.8
State,2009Q1,ILO Participation Rate (15 years and over) (%),64.0
State,2009Q2,Persons aged 15 years and over in Employment (Thousand),2029.3
State,2009Q2,Unemployed Persons aged 15 years and over (Thousand),299.4
State,2009Q2,Persons aged 15 years and over in Labour Force (Thousand),2328.8
State,2009Q2,ILO Unemployment Rate (15 - 74 years) (%),12.9
State,2009Q2,ILO Participation Rate (15 years and over) (%),64.7
State,2009Q3,Persons aged 15 years and over in Employment (Thousand),2006.8
State,2009Q3,Unemployed Persons aged 15 years and over (Thousand),315.1
State,2009Q3,Persons aged 15 years and over in Labour Force (Thousand),2321.8
State,2009Q3,ILO Unemployment Rate (15 - 74 years) (%),13.6
State,2009Q3,ILO Participation Rate (15 years and over) (%),64.5
State,2009Q4,Persons aged 15 years and over in Employment (Thousand),1970.4
State,2009Q4,Unemployed Persons aged 15 years and over (Thousand),300.9
State,2009Q4,Persons aged 15 years and over in Labour Force (Thousand),2271.3
State,2009Q4,ILO Unemployment Rate (15 - 74 years) (%),13.3
State,2009Q4,ILO Participation Rate (15 years and over) (%),63.1
State,2010Q1,Persons aged 15 years and over in Employment (Thousand),1936.0
State,2010Q1,Unemployed Persons aged 15 years and over (Thousand),306.2
State,2010Q1,Persons aged 15 years and over in Labour Force (Thousand),2242.2
State,2010Q1,ILO Unemployment Rate (15 - 74 years) (%),13.7
State,2010Q1,ILO Participation Rate (15 years and over) (%),62.3
State,2010Q2,Persons aged 15 years and over in Employment (Thousand),1938.0
State,2010Q2,Unemployed Persons aged 15 years and over (Thousand),331.0
State,2010Q2,Persons aged 15 years and over in Labour Force (Thousand),2269.1
State,2010Q2,ILO Unemployment Rate (15 - 74 years) (%),14.6
State,2010Q2,ILO Participation Rate (15 years and over) (%),63.1
State,2010Q3,Persons aged 15 years and over in Employment (Thousand),1930.6
State,2010Q3,Unemployed Persons aged 15 years and over (Thousand),336.8
State,2010Q3,Persons aged 15 years and over in Labour Force (Thousand),2267.4
State,2010Q3,ILO Unemployment Rate (15 - 74 years) (%),14.9
State,2010Q3,ILO Participation Rate (15 years and over) (%),63.0
State,2010Q4,Persons aged 15 years and over in Employment (Thousand),1897.7
State,2010Q4,Unemployed Persons aged 15 years and over (Thousand),335.7
State,2010Q4,Persons aged 15 years and over in Labour Force (Thousand),2233.3
State,2010Q4,ILO Unemployment Rate (15 - 74 years) (%),15.1
State,2010Q4,ILO Participation Rate (15 years and over) (%),62.1
State,2011Q1,Persons aged 15 years and over in Employment (Thousand),1880.4
State,2011Q1,Unemployed Persons aged 15 years and over (Thousand),331.1
State,2011Q1,Persons aged 15 years and over in Labour Force (Thousand),2211.5
State,2011Q1,ILO Unemployment Rate (15 - 74 years) (%),15.0
State,2011Q1,ILO Participation Rate (15 years and over) (%),61.4
State,2011Q2,Persons aged 15 years and over in Employment (Thousand),1900.1
State,2011Q2,Unemployed Persons aged 15 years and over (Thousand),342.6
State,2011Q2,Persons aged 15 years and over in Labour Force (Thousand),2242.7
State,2011Q2,ILO Unemployment Rate (15 - 74 years) (%),15.3
State,2011Q2,ILO Participation Rate (15 years and over) (%),62.3
State,2011Q3,Persons aged 15 years and over in Employment (Thousand),1885.2
State,2011Q3,Unemployed Persons aged 15 years and over (Thousand),356.2
State,2011Q3,Persons aged 15 years and over in Labour Force (Thousand),2241.4
State,2011Q3,ILO Unemployment Rate (15 - 74 years) (%),15.9
State,2011Q3,ILO Participation Rate (15 years and over) (%),62.3
State,2011Q4,Persons aged 15 years and over in Employment (Thousand),1888.2
State,2011Q4,Unemployed Persons aged 15 years and over (Thousand),340.1
State,2011Q4,Persons aged 15 years and over in Labour Force (Thousand),2228.3
State,2011Q4,ILO Unemployment Rate (15 - 74 years) (%),15.3
State,2011Q4,ILO Participation Rate (15 years and over) (%),61.9
Border,1998Q1,Persons aged 15 years and over in Employment (Thousand),163.0
Border,1998Q1,Unemployed Persons aged 15 years and over (Thousand),17.6
Border,1998Q1,Persons aged 15 years and over in Labour Force (Thousand),180.6
Border,1998Q1,ILO Unemployment Rate (15 - 74 years) (%),9.8
Border,1998Q1,ILO Participation Rate (15 years and over) (%),57.6
Border,1998Q2,Persons aged 15 years and over in Employment (Thousand),166.2
Border,1998Q2,Unemployed Persons aged 15 years and over (Thousand),15.3
Border,1998Q2,Persons aged 15 years and over in Labour Force (Thousand),181.5
Border,1998Q2,ILO Unemployment Rate (15 - 74 years) (%),8.5
Border,1998Q2,ILO Participation Rate (15 years and over) (%),57.7
Border,1998Q3,Persons aged 15 years and over in Employment (Thousand),171.5
Border,1998Q3,Unemployed Persons aged 15 years and over (Thousand),13.9
Border,1998Q3,Persons aged 15 years and over in Labour Force (Thousand),185.4
Border,1998Q3,ILO Unemployment Rate (15 - 74 years) (%),7.5
Border,1998Q3,ILO Participation Rate (15 years and over) (%),58.6
Border,1998Q4,Persons aged 15 years and over in Employment (Thousand),171.4
Border,1998Q4,Unemployed Persons aged 15 years and over (Thousand),13.5
Border,1998Q4,Persons aged 15 years and over in Labour Force (Thousand),184.9
Border,1998Q4,ILO Unemployment Rate (15 - 74 years) (%),7.3
Border,1998Q4,ILO Participation Rate (15 years and over) (%),58.2
Border,1999Q1,Persons aged 15 years and over in Employment (Thousand),176.1
Border,1999Q1,Unemployed Persons aged 15 years and over (Thousand),14.4
Border,1999Q1,Persons aged 15 years and over in Labour Force (Thousand),190.5
Border,1999Q1,ILO Unemployment Rate (15 - 74 years) (%),7.6
Border,1999Q1,ILO Participation Rate (15 years and over) (%),59.9
Border,1999Q2,Persons aged 15 years and over in Employment (Thousand),179.0
Border,1999Q2,Unemployed Persons aged 15 years and over (Thousand),14.4
Border,1999Q2,Persons aged 15 years and over in Labour Force (Thousand),193.4
Border,1999Q2,ILO Unemployment Rate (15 - 74 years) (%),7.5
Border,1999Q2,ILO Participation Rate (15 years and over) (%),60.6
Border,1999Q3,Persons aged 15 years and over in Employment (Thousand),183.1
Border,1999Q3,Unemployed Persons aged 15 years and over (Thousand),13.8
Border,1999Q3,Persons aged 15 years and over in Labour Force (Thousand),196.9
Border,1999Q3,ILO Unemployment Rate (15 - 74 years) (%),7.0
Border,1999Q3,ILO Participation Rate (15 years and over) (%),61.4
Border,1999Q4,Persons aged 15 years and over in Employment (Thousand),180.5
Border,1999Q4,Unemployed Persons aged 15 years and over (Thousand),12.7
Border,1999Q4,Persons aged 15 years and over in Labour Force (Thousand),193.2
Border,1999Q4,ILO Unemployment Rate (15 - 74 years) (%),6.6
Border,1999Q4,ILO Participation Rate (15 years and over) (%),59.9
Border,2000Q1,Persons aged 15 years and over in Employment (Thousand),181.1
Border,2000Q1,Unemployed Persons aged 15 years and over (Thousand),11.4
Border,2000Q1,Persons aged 15 years and over in Labour Force (Thousand),192.5
Border,2000Q1,ILO Unemployment Rate (15 - 74 years) (%),5.9
Border,2000Q1,ILO Participation Rate (15 years and over) (%),59.6
Border,2000Q2,Persons aged 15 years and over in Employment (Thousand),186.5
Border,2000Q2,Unemployed Persons aged 15 years and over (Thousand),11.4
Border,2000Q2,Persons aged 15 years and over in Labour Force (Thousand),197.9
Border,2000Q2,ILO Unemployment Rate (15 - 74 years) (%),5.8
Border,2000Q2,ILO Participation Rate (15 years and over) (%),61.0
Border,2000Q3,Persons aged 15 years and over in Employment (Thousand),191.9
Border,2000Q3,Unemployed Persons aged 15 years and over (Thousand),9.6
Border,2000Q3,Persons aged 15 years and over in Labour Force (Thousand),201.5
Border,2000Q3,ILO Unemployment Rate (15 - 74 years) (%),4.8
Border,2000Q3,ILO Participation Rate (15 years and over) (%),61.9
Border,2000Q4,Persons aged 15 years and over in Employment (Thousand),192.0
Border,2000Q4,Unemployed Persons aged 15 years and over (Thousand),8.7
Border,2000Q4,Persons aged 15 years and over in Labour Force (Thousand),200.7
Border,2000Q4,ILO Unemployment Rate (15 - 74 years) (%),4.3
Border,2000Q4,ILO Participation Rate (15 years and over) (%),61.3
Border,2001Q1,Persons aged 15 years and over in Employment (Thousand),191.1
Border,2001Q1,Unemployed Persons aged 15 years and over (Thousand),9.7
Border,2001Q1,Persons aged 15 years and over in Labour Force (Thousand),200.8
Border,2001Q1,ILO Unemployment Rate (15 - 74 years) (%),4.8
Border,2001Q1,ILO Participation Rate (15 years and over) (%),61.3
Border,2001Q2,Persons aged 15 years and over in Employment (Thousand),195.4
Border,2001Q2,Unemployed Persons aged 15 years and over (Thousand),10.2
Border,2001Q2,Persons aged 15 years and over in Labour Force (Thousand),205.7
Border,2001Q2,ILO Unemployment Rate (15 - 74 years) (%),5.0
Border,2001Q2,ILO Participation Rate (15 years and over) (%),62.5
Border,2001Q3,Persons aged 15 years and over in Employment (Thousand),197.4
Border,2001Q3,Unemployed Persons aged 15 years and over (Thousand),11.6
Border,2001Q3,Persons aged 15 years and over in Labour Force (Thousand),209.0
Border,2001Q3,ILO Unemployment Rate (15 - 74 years) (%),5.6
Border,2001Q3,ILO Participation Rate (15 years and over) (%),63.2
Border,2001Q4,Persons aged 15 years and over in Employment (Thousand),195.1
Border,2001Q4,Unemployed Persons aged 15 years and over (Thousand),10.8
Border,2001Q4,Persons aged 15 years and over in Labour Force (Thousand),205.9
Border,2001Q4,ILO Unemployment Rate (15 - 74 years) (%),5.3
Border,2001Q4,ILO Participation Rate (15 years and over) (%),61.9
Border,2002Q1,Persons aged 15 years and over in Employment (Thousand),193.1
Border,2002Q1,Unemployed Persons aged 15 years and over (Thousand),11.3
Border,2002Q1,Persons aged 15 years and over in Labour Force (Thousand),204.4
Border,2002Q1,ILO Unemployment Rate (15 - 74 years) (%),5.5
Border,2002Q1,ILO Participation Rate (15 years and over) (%),61.2
Border,2002Q2,Persons aged 15 years and over in Employment (Thousand),194.9
Border,2002Q2,Unemployed Persons aged 15 years and over (Thousand),12.5
Border,2002Q2,Persons aged 15 years and over in Labour Force (Thousand),207.4
Border,2002Q2,ILO Unemployment Rate (15 - 74 years) (%),6.0
Border,2002Q2,ILO Participation Rate (15 years and over) (%),61.8
Border,2002Q3,Persons aged 15 years and over in Employment (Thousand),199.1
Border,2002Q3,Unemployed Persons aged 15 years and over (Thousand),11.1
Border,2002Q3,Persons aged 15 years and over in Labour Force (Thousand),210.2
Border,2002Q3,ILO Unemployment Rate (15 - 74 years) (%),5.3
Border,2002Q3,ILO Participation Rate (15 years and over) (%),62.3
Border,2002Q4,Persons aged 15 years and over in Employment (Thousand),199.1
Border,2002Q4,Unemployed Persons aged 15 years and over (Thousand),12.3
Border,2002Q4,Persons aged 15 years and over in Labour Force (Thousand),211.5
Border,2002Q4,ILO Unemployment Rate (15 - 74 years) (%),5.9
Border,2002Q4,ILO Participation Rate (15 years and over) (%),62.3
Border,2003Q1,Persons aged 15 years and over in Employment (Thousand),197.7
Border,2003Q1,Unemployed Persons aged 15 years and over (Thousand),11.8
Border,2003Q1,Persons aged 15 years and over in Labour Force (Thousand),209.4
Border,2003Q1,ILO Unemployment Rate (15 - 74 years) (%),5.7
Border,2003Q1,ILO Participation Rate (15 years and over) (%),61.4
Border,2003Q2,Persons aged 15 years and over in Employment (Thousand),200.9
Border,2003Q2,Unemployed Persons aged 15 years and over (Thousand),11.1
Border,2003Q2,Persons aged 15 years and over in Labour Force (Thousand),212.0
Border,2003Q2,ILO Unemployment Rate (15 - 74 years) (%),5.3
Border,2003Q2,ILO Participation Rate (15 years and over) (%),61.9
Border,2003Q3,Persons aged 15 years and over in Employment (Thousand),207.1
Border,2003Q3,Unemployed Persons aged 15 years and over (Thousand),11.2
Border,2003Q3,Persons aged 15 years and over in Labour Force (Thousand),218.3
Border,2003Q3,ILO Unemployment Rate (15 - 74 years) (%),5.2
Border,2003Q3,ILO Participation Rate (15 years and over) (%),63.2
Border,2003Q4,Persons aged 15 years and over in Employment (Thousand),210.1
Border,2003Q4,Unemployed Persons aged 15 years and over (Thousand),10.3
Border,2003Q4,Persons aged 15 years and over in Labour Force (Thousand),220.3
Border,2003Q4,ILO Unemployment Rate (15 - 74 years) (%),4.7
Border,2003Q4,ILO Participation Rate (15 years and over) (%),63.2
Border,2004Q1,Persons aged 15 years and over in Employment (Thousand),212.3
Border,2004Q1,Unemployed Persons aged 15 years and over (Thousand),10.6
Border,2004Q1,Persons aged 15 years and over in Labour Force (Thousand),223.0
Border,2004Q1,ILO Unemployment Rate (15 - 74 years) (%),4.8
Border,2004Q1,ILO Participation Rate (15 years and over) (%),63.7
Border,2004Q2,Persons aged 15 years and over in Employment (Thousand),215.2
Border,2004Q2,Unemployed Persons aged 15 years and over (Thousand),10.8
Border,2004Q2,Persons aged 15 years and over in Labour Force (Thousand),225.9
