STATISTIC,Quarter,Age Group,Sex,Marital Status,value
ILO Participation Rates  (%),1998Q1,20 - 24 years,Both sexes,All marital status,83.6
ILO Participation Rates  (%),1998Q1,20 - 24 years,Male,Single - never married,86.1
ILO Participation Rates  (%),1998Q1,20 - 24 years,Male,Married,94.4
ILO Participation Rates  (%),1998Q1,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),1998Q1,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),1998Q1,20 - 24 years,Male,All marital status,86.3
ILO Participation Rates  (%),1998Q1,20 - 24 years,Female,Single - never married,81.4
ILO Participation Rates  (%),1998Q1,20 - 24 years,Female,Married,68.2
ILO Participation Rates  (%),1998Q1,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),1998Q1,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),1998Q1,20 - 24 years,Female,All marital status,80.7
ILO Participation Rates  (%),1998Q1,25 - 34 years,Both sexes,Single - never married,88.2
ILO Participation Rates  (%),1998Q1,25 - 34 years,Both sexes,Married,79.0
ILO Participation Rates  (%),1998Q1,25 - 34 years,Both sexes,Widowed,66.4
ILO Participation Rates  (%),1998Q1,25 - 34 years,Both sexes,Separated or divorced,71.4
ILO Participation Rates  (%),1998Q1,25 - 34 years,Both sexes,All marital status,83.5
ILO Participation Rates  (%),1998Q1,25 - 34 years,Male,Single - never married,90.6
ILO Participation Rates  (%),1998Q1,25 - 34 years,Male,Married,96.8
ILO Participation Rates  (%),1998Q1,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),1998Q1,25 - 34 years,Male,Separated or divorced,93.9
ILO Participation Rates  (%),1998Q1,25 - 34 years,Male,All marital status,93.2
ILO Participation Rates  (%),1998Q1,25 - 34 years,Female,Single - never married,85.1
ILO Participation Rates  (%),1998Q1,25 - 34 years,Female,Married,65.2
ILO Participation Rates  (%),1998Q1,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),1998Q1,25 - 34 years,Female,Separated or divorced,64.2
ILO Participation Rates  (%),1998Q1,25 - 34 years,Female,All marital status,73.9
ILO Participation Rates  (%),1998Q1,35 - 44 years,Both sexes,Single - never married,83.4
ILO Participation Rates  (%),1998Q1,35 - 44 years,Both sexes,Married,75.8
ILO Participation Rates  (%),1998Q1,35 - 44 years,Both sexes,Widowed,69.3
ILO Participation Rates  (%),1998Q1,35 - 44 years,Both sexes,Separated or divorced,71.5
ILO Participation Rates  (%),1998Q1,35 - 44 years,Both sexes,All marital status,76.7
ILO Participation Rates  (%),1998Q1,35 - 44 years,Male,Single - never married,84.1
ILO Participation Rates  (%),1998Q1,35 - 44 years,Male,Married,96.1
ILO Participation Rates  (%),1998Q1,35 - 44 years,Male,Widowed,91.5
ILO Participation Rates  (%),1998Q1,35 - 44 years,Male,Separated or divorced,85.1
ILO Participation Rates  (%),1998Q1,35 - 44 years,Male,All marital status,93.4
ILO Participation Rates  (%),1998Q1,35 - 44 years,Female,Single - never married,82.3
ILO Participation Rates  (%),1998Q1,35 - 44 years,Female,Married,56.4
ILO Participation Rates  (%),1998Q1,35 - 44 years,Female,Widowed,57.8
ILO Participation Rates  (%),1998Q1,35 - 44 years,Female,Separated or divorced,63.7
ILO Participation Rates  (%),1998Q1,35 - 44 years,Female,All marital status,60.3
ILO Participation Rates  (%),1998Q1,45 - 54 years,Both sexes,Single - never married,73.3
ILO Participation Rates  (%),1998Q1,45 - 54 years,Both sexes,Married,67.5
ILO Participation Rates  (%),1998Q1,45 - 54 years,Both sexes,Widowed,54.8
ILO Participation Rates  (%),1998Q1,45 - 54 years,Both sexes,Separated or divorced,65.2
ILO Participation Rates  (%),1998Q1,45 - 54 years,Both sexes,All marital status,67.6
ILO Participation Rates  (%),1998Q1,45 - 54 years,Male,Single - never married,74.6
ILO Participation Rates  (%),1998Q1,45 - 54 years,Male,Married,90.3
ILO Participation Rates  (%),1998Q1,45 - 54 years,Male,Widowed,76.4
ILO Participation Rates  (%),1998Q1,45 - 54 years,Male,Separated or divorced,81.5
ILO Participation Rates  (%),1998Q1,45 - 54 years,Male,All marital status,87.6
ILO Participation Rates  (%),1998Q1,45 - 54 years,Female,Single - never married,71.0
ILO Participation Rates  (%),1998Q1,45 - 54 years,Female,Married,44.0
ILO Participation Rates  (%),1998Q1,45 - 54 years,Female,Widowed,47.6
ILO Participation Rates  (%),1998Q1,45 - 54 years,Female,Separated or divorced,55.6
ILO Participation Rates  (%),1998Q1,45 - 54 years,Female,All marital status,47.2
ILO Participation Rates  (%),1998Q1,55 - 59 years,Both sexes,Single - never married,56.8
ILO Participation Rates  (%),1998Q1,55 - 59 years,Both sexes,Married,53.0
ILO Participation Rates  (%),1998Q1,55 - 59 years,Both sexes,Widowed,35.3
ILO Participation Rates  (%),1998Q1,55 - 59 years,Both sexes,Separated or divorced,50.1
ILO Participation Rates  (%),1998Q1,55 - 59 years,Both sexes,All marital status,52.1
ILO Participation Rates  (%),1998Q1,55 - 59 years,Male,Single - never married,60.4
ILO Participation Rates  (%),1998Q1,55 - 59 years,Male,Married,75.3
ILO Participation Rates  (%),1998Q1,55 - 59 years,Male,Widowed,75.7
ILO Participation Rates  (%),1998Q1,55 - 59 years,Male,Separated or divorced,60.4
ILO Participation Rates  (%),1998Q1,55 - 59 years,Male,All marital status,72.6
ILO Participation Rates  (%),1998Q1,55 - 59 years,Female,Single - never married,49.4
ILO Participation Rates  (%),1998Q1,55 - 59 years,Female,Married,29.2
ILO Participation Rates  (%),1998Q1,55 - 59 years,Female,Widowed,25.7
ILO Participation Rates  (%),1998Q1,55 - 59 years,Female,Separated or divorced,42.7
ILO Participation Rates  (%),1998Q1,55 - 59 years,Female,All marital status,31.1
ILO Participation Rates  (%),1998Q1,60 - 64 years,Both sexes,Single - never married,40.9
ILO Participation Rates  (%),1998Q1,60 - 64 years,Both sexes,Married,35.8
ILO Participation Rates  (%),1998Q1,60 - 64 years,Both sexes,Widowed,25.6
ILO Participation Rates  (%),1998Q1,60 - 64 years,Both sexes,Separated or divorced,35.1
ILO Participation Rates  (%),1998Q1,60 - 64 years,Both sexes,All marital status,35.2
ILO Participation Rates  (%),1998Q1,60 - 64 years,Male,Single - never married,47.6
ILO Participation Rates  (%),1998Q1,60 - 64 years,Male,Married,54.4
ILO Participation Rates  (%),1998Q1,60 - 64 years,Male,Widowed,41.9
ILO Participation Rates  (%),1998Q1,60 - 64 years,Male,Separated or divorced,44.6
ILO Participation Rates  (%),1998Q1,60 - 64 years,Male,All marital status,52.3
ILO Participation Rates  (%),1998Q1,60 - 64 years,Female,Single - never married,30.4
ILO Participation Rates  (%),1998Q1,60 - 64 years,Female,Married,15.5
ILO Participation Rates  (%),1998Q1,60 - 64 years,Female,Widowed,21.1
ILO Participation Rates  (%),1998Q1,60 - 64 years,Female,Separated or divorced,24.1
ILO Participation Rates  (%),1998Q1,60 - 64 years,Female,All marital status,18.3
ILO Participation Rates  (%),1998Q1,65 years and over,Both sexes,Single - never married,13.8
ILO Participation Rates  (%),1998Q1,65 years and over,Both sexes,Married,9.7
ILO Participation Rates  (%),1998Q1,65 years and over,Both sexes,Widowed,3.4
ILO Participation Rates  (%),1998Q1,65 years and over,Both sexes,Separated or divorced,10.0
ILO Participation Rates  (%),1998Q1,65 years and over,Both sexes,All marital status,8.2
ILO Participation Rates  (%),1998Q1,65 years and over,Male,Single - never married,20.8
ILO Participation Rates  (%),1998Q1,65 years and over,Male,Married,14.8
ILO Participation Rates  (%),1998Q1,65 years and over,Male,Widowed,7.8
ILO Participation Rates  (%),1998Q1,65 years and over,Male,Separated or divorced,13.1
ILO Participation Rates  (%),1998Q1,65 years and over,Male,All marital status,14.9
ILO Participation Rates  (%),1998Q1,65 years and over,Female,Single - never married,6.4
ILO Participation Rates  (%),1998Q1,65 years and over,Female,Married,2.8
ILO Participation Rates  (%),1998Q1,65 years and over,Female,Widowed,2.4
ILO Participation Rates  (%),1998Q1,65 years and over,Female,Separated or divorced,7.2
ILO Participation Rates  (%),1998Q1,65 years and over,Female,All marital status,3.1
ILO Participation Rates  (%),1998Q2,15 - 19 years,Both sexes,Single - never married,42.4
ILO Participation Rates  (%),1998Q2,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Both sexes,All marital status,42.5
ILO Participation Rates  (%),1998Q2,15 - 19 years,Male,Single - never married,49.1
ILO Participation Rates  (%),1998Q2,15 - 19 years,Male,Married,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Male,All marital status,49.1
ILO Participation Rates  (%),1998Q2,15 - 19 years,Female,Single - never married,35.4
ILO Participation Rates  (%),1998Q2,15 - 19 years,Female,Married,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),1998Q2,15 - 19 years,Female,All marital status,35.5
ILO Participation Rates  (%),1998Q2,15 years and over,Both sexes,Single - never married,66.8
ILO Participation Rates  (%),1998Q2,15 years and over,Both sexes,Married,60.1
ILO Participation Rates  (%),1998Q2,15 years and over,Both sexes,Widowed,12.0
ILO Participation Rates  (%),1998Q2,15 years and over,Both sexes,Separated or divorced,61.4
ILO Participation Rates  (%),1998Q2,15 years and over,Both sexes,All marital status,59.6
ILO Participation Rates  (%),1998Q2,15 years and over,Male,Single - never married,71.5
ILO Participation Rates  (%),1998Q2,15 years and over,Male,Married,76.7
ILO Participation Rates  (%),1998Q2,15 years and over,Male,Widowed,23.4
ILO Participation Rates  (%),1998Q2,15 years and over,Male,Separated or divorced,73.3
ILO Participation Rates  (%),1998Q2,15 years and over,Male,All marital status,72.9
ILO Participation Rates  (%),1998Q2,15 years and over,Female,Single - never married,61.4
ILO Participation Rates  (%),1998Q2,15 years and over,Female,Married,43.4
ILO Participation Rates  (%),1998Q2,15 years and over,Female,Widowed,9.2
ILO Participation Rates  (%),1998Q2,15 years and over,Female,Separated or divorced,54.6
ILO Participation Rates  (%),1998Q2,15 years and over,Female,All marital status,46.7
ILO Participation Rates  (%),1998Q2,20 - 24 years,Both sexes,Single - never married,84.7
ILO Participation Rates  (%),1998Q2,20 - 24 years,Both sexes,Married,80.4
ILO Participation Rates  (%),1998Q2,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),1998Q2,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),1998Q2,20 - 24 years,Both sexes,All marital status,84.6
ILO Participation Rates  (%),1998Q2,20 - 24 years,Male,Single - never married,87.9
ILO Participation Rates  (%),1998Q2,20 - 24 years,Male,Married,96.5
ILO Participation Rates  (%),1998Q2,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),1998Q2,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),1998Q2,20 - 24 years,Male,All marital status,88.0
ILO Participation Rates  (%),1998Q2,20 - 24 years,Female,Single - never married,81.4
ILO Participation Rates  (%),1998Q2,20 - 24 years,Female,Married,74.0
ILO Participation Rates  (%),1998Q2,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),1998Q2,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),1998Q2,20 - 24 years,Female,All marital status,81.0
ILO Participation Rates  (%),1998Q2,25 - 34 years,Both sexes,Single - never married,88.6
ILO Participation Rates  (%),1998Q2,25 - 34 years,Both sexes,Married,78.4
ILO Participation Rates  (%),1998Q2,25 - 34 years,Both sexes,Widowed,60.8
ILO Participation Rates  (%),1998Q2,25 - 34 years,Both sexes,Separated or divorced,66.7
ILO Participation Rates  (%),1998Q2,25 - 34 years,Both sexes,All marital status,83.4
ILO Participation Rates  (%),1998Q2,25 - 34 years,Male,Single - never married,91.3
ILO Participation Rates  (%),1998Q2,25 - 34 years,Male,Married,96.7
ILO Participation Rates  (%),1998Q2,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),1998Q2,25 - 34 years,Male,Separated or divorced,90.9
ILO Participation Rates  (%),1998Q2,25 - 34 years,Male,All marital status,93.5
ILO Participation Rates  (%),1998Q2,25 - 34 years,Female,Single - never married,85.2
ILO Participation Rates  (%),1998Q2,25 - 34 years,Female,Married,64.0
ILO Participation Rates  (%),1998Q2,25 - 34 years,Female,Widowed,48.4
ILO Participation Rates  (%),1998Q2,25 - 34 years,Female,Separated or divorced,59.8
ILO Participation Rates  (%),1998Q2,25 - 34 years,Female,All marital status,73.3
ILO Participation Rates  (%),1998Q2,35 - 44 years,Both sexes,Single - never married,82.3
ILO Participation Rates  (%),1998Q2,35 - 44 years,Both sexes,Married,75.5
ILO Participation Rates  (%),1998Q2,35 - 44 years,Both sexes,Widowed,69.3
ILO Participation Rates  (%),1998Q2,35 - 44 years,Both sexes,Separated or divorced,72.1
ILO Participation Rates  (%),1998Q2,35 - 44 years,Both sexes,All marital status,76.3
ILO Participation Rates  (%),1998Q2,35 - 44 years,Male,Single - never married,84.3
ILO Participation Rates  (%),1998Q2,35 - 44 years,Male,Married,95.8
ILO Participation Rates  (%),1998Q2,35 - 44 years,Male,Widowed,93.0
ILO Participation Rates  (%),1998Q2,35 - 44 years,Male,Separated or divorced,87.7
ILO Participation Rates  (%),1998Q2,35 - 44 years,Male,All marital status,93.3
ILO Participation Rates  (%),1998Q2,35 - 44 years,Female,Single - never married,79.5
ILO Participation Rates  (%),1998Q2,35 - 44 years,Female,Married,56.0
ILO Participation Rates  (%),1998Q2,35 - 44 years,Female,Widowed,58.3
ILO Participation Rates  (%),1998Q2,35 - 44 years,Female,Separated or divorced,63.0
ILO Participation Rates  (%),1998Q2,35 - 44 years,Female,All marital status,59.6
ILO Participation Rates  (%),1998Q2,45 - 54 years,Both sexes,Single - never married,72.7
ILO Participation Rates  (%),1998Q2,45 - 54 years,Both sexes,Married,67.0
ILO Participation Rates  (%),1998Q2,45 - 54 years,Both sexes,Widowed,54.6
ILO Participation Rates  (%),1998Q2,45 - 54 years,Both sexes,Separated or divorced,65.2
ILO Participation Rates  (%),1998Q2,45 - 54 years,Both sexes,All marital status,67.2
ILO Participation Rates  (%),1998Q2,45 - 54 years,Male,Single - never married,73.3
ILO Participation Rates  (%),1998Q2,45 - 54 years,Male,Married,89.9
ILO Participation Rates  (%),1998Q2,45 - 54 years,Male,Widowed,75.9
ILO Participation Rates  (%),1998Q2,45 - 54 years,Male,Separated or divorced,80.4
ILO Participation Rates  (%),1998Q2,45 - 54 years,Male,All marital status,87.0
ILO Participation Rates  (%),1998Q2,45 - 54 years,Female,Single - never married,71.5
ILO Participation Rates  (%),1998Q2,45 - 54 years,Female,Married,43.4
ILO Participation Rates  (%),1998Q2,45 - 54 years,Female,Widowed,47.9
ILO Participation Rates  (%),1998Q2,45 - 54 years,Female,Separated or divorced,56.5
ILO Participation Rates  (%),1998Q2,45 - 54 years,Female,All marital status,47.0
ILO Participation Rates  (%),1998Q2,55 - 59 years,Both sexes,Single - never married,54.9
ILO Participation Rates  (%),1998Q2,55 - 59 years,Both sexes,Married,51.9
ILO Participation Rates  (%),1998Q2,55 - 59 years,Both sexes,Widowed,32.4
ILO Participation Rates  (%),1998Q2,55 - 59 years,Both sexes,Separated or divorced,50.9
ILO Participation Rates  (%),1998Q2,55 - 59 years,Both sexes,All marital status,51.0
ILO Participation Rates  (%),1998Q2,55 - 59 years,Male,Single - never married,58.6
ILO Participation Rates  (%),1998Q2,55 - 59 years,Male,Married,73.7
ILO Participation Rates  (%),1998Q2,55 - 59 years,Male,Widowed,61.6
ILO Participation Rates  (%),1998Q2,55 - 59 years,Male,Separated or divorced,58.2
ILO Participation Rates  (%),1998Q2,55 - 59 years,Male,All marital status,70.7
ILO Participation Rates  (%),1998Q2,55 - 59 years,Female,Single - never married,46.8
ILO Participation Rates  (%),1998Q2,55 - 59 years,Female,Married,29.0
ILO Participation Rates  (%),1998Q2,55 - 59 years,Female,Widowed,24.5
ILO Participation Rates  (%),1998Q2,55 - 59 years,Female,Separated or divorced,46.2
ILO Participation Rates  (%),1998Q2,55 - 59 years,Female,All marital status,30.8
ILO Participation Rates  (%),1998Q2,60 - 64 years,Both sexes,Single - never married,38.1
ILO Participation Rates  (%),1998Q2,60 - 64 years,Both sexes,Married,35.7
ILO Participation Rates  (%),1998Q2,60 - 64 years,Both sexes,Widowed,23.6
ILO Participation Rates  (%),1998Q2,60 - 64 years,Both sexes,Separated or divorced,33.4
ILO Participation Rates  (%),1998Q2,60 - 64 years,Both sexes,All marital status,34.5
ILO Participation Rates  (%),1998Q2,60 - 64 years,Male,Single - never married,45.1
ILO Participation Rates  (%),1998Q2,60 - 64 years,Male,Married,54.5
ILO Participation Rates  (%),1998Q2,60 - 64 years,Male,Widowed,45.0
ILO Participation Rates  (%),1998Q2,60 - 64 years,Male,Separated or divorced,44.6
ILO Participation Rates  (%),1998Q2,60 - 64 years,Male,All marital status,52.2
ILO Participation Rates  (%),1998Q2,60 - 64 years,Female,Single - never married,27.5
ILO Participation Rates  (%),1998Q2,60 - 64 years,Female,Married,14.8
ILO Participation Rates  (%),1998Q2,60 - 64 years,Female,Widowed,18.0
ILO Participation Rates  (%),1998Q2,60 - 64 years,Female,Separated or divorced,19.8
ILO Participation Rates  (%),1998Q2,60 - 64 years,Female,All marital status,16.8
ILO Participation Rates  (%),1998Q2,65 years and over,Both sexes,Single - never married,13.8
ILO Participation Rates  (%),1998Q2,65 years and over,Both sexes,Married,9.7
ILO Participation Rates  (%),1998Q2,65 years and over,Both sexes,Widowed,3.3
ILO Participation Rates  (%),1998Q2,65 years and over,Both sexes,Separated or divorced,12.0
ILO Participation Rates  (%),1998Q2,65 years and over,Both sexes,All marital status,8.1
ILO Participation Rates  (%),1998Q2,65 years and over,Male,Single - never married,21.7
ILO Participation Rates  (%),1998Q2,65 years and over,Male,Married,14.6
ILO Participation Rates  (%),1998Q2,65 years and over,Male,Widowed,7.4
ILO Participation Rates  (%),1998Q2,65 years and over,Male,Separated or divorced,15.2
ILO Participation Rates  (%),1998Q2,65 years and over,Male,All marital status,14.9
ILO Participation Rates  (%),1998Q2,65 years and over,Female,Single - never married,5.2
ILO Participation Rates  (%),1998Q2,65 years and over,Female,Married,2.9
ILO Participation Rates  (%),1998Q2,65 years and over,Female,Widowed,2.3
ILO Participation Rates  (%),1998Q2,65 years and over,Female,Separated or divorced,8.7
ILO Participation Rates  (%),1998Q2,65 years and over,Female,All marital status,3.0
ILO Participation Rates  (%),1998Q3,15 - 19 years,Both sexes,Single - never married,51.4
ILO Participation Rates  (%),1998Q3,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Both sexes,All marital status,51.4
ILO Participation Rates  (%),1998Q3,15 - 19 years,Male,Single - never married,58.7
ILO Participation Rates  (%),1998Q3,15 - 19 years,Male,Married,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Male,All marital status,58.7
ILO Participation Rates  (%),1998Q3,15 - 19 years,Female,Single - never married,43.6
ILO Participation Rates  (%),1998Q3,15 - 19 years,Female,Married,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),1998Q3,15 - 19 years,Female,All marital status,43.7
ILO Participation Rates  (%),1998Q3,15 years and over,Both sexes,Single - never married,71.1
ILO Participation Rates  (%),1998Q3,15 years and over,Both sexes,Married,60.0
ILO Participation Rates  (%),1998Q3,15 years and over,Both sexes,Widowed,12.1
ILO Participation Rates  (%),1998Q3,15 years and over,Both sexes,Separated or divorced,60.6
ILO Participation Rates  (%),1998Q3,15 years and over,Both sexes,All marital status,61.2
ILO Participation Rates  (%),1998Q3,15 years and over,Male,Single - never married,75.6
ILO Participation Rates  (%),1998Q3,15 years and over,Male,Married,76.6
ILO Participation Rates  (%),1998Q3,15 years and over,Male,Widowed,24.0
ILO Participation Rates  (%),1998Q3,15 years and over,Male,Separated or divorced,71.5
ILO Participation Rates  (%),1998Q3,15 years and over,Male,All marital status,74.6
ILO Participation Rates  (%),1998Q3,15 years and over,Female,Single - never married,65.8
ILO Participation Rates  (%),1998Q3,15 years and over,Female,Married,43.3
ILO Participation Rates  (%),1998Q3,15 years and over,Female,Widowed,9.1
ILO Participation Rates  (%),1998Q3,15 years and over,Female,Separated or divorced,54.0
ILO Participation Rates  (%),1998Q3,15 years and over,Female,All marital status,48.2
ILO Participation Rates  (%),1998Q3,20 - 24 years,Both sexes,Single - never married,89.4
ILO Participation Rates  (%),1998Q3,20 - 24 years,Both sexes,Married,79.5
ILO Participation Rates  (%),1998Q3,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),1998Q3,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),1998Q3,20 - 24 years,Both sexes,All marital status,89.1
ILO Participation Rates  (%),1998Q3,20 - 24 years,Male,Single - never married,92.1
ILO Participation Rates  (%),1998Q3,20 - 24 years,Male,Married,97.8
ILO Participation Rates  (%),1998Q3,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),1998Q3,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),1998Q3,20 - 24 years,Male,All marital status,92.2
ILO Participation Rates  (%),1998Q3,20 - 24 years,Female,Single - never married,86.5
ILO Participation Rates  (%),1998Q3,20 - 24 years,Female,Married,71.6
ILO Participation Rates  (%),1998Q3,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),1998Q3,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),1998Q3,20 - 24 years,Female,All marital status,85.9
ILO Participation Rates  (%),1998Q3,25 - 34 years,Both sexes,Single - never married,89.5
ILO Participation Rates  (%),1998Q3,25 - 34 years,Both sexes,Married,78.1
ILO Participation Rates  (%),1998Q3,25 - 34 years,Both sexes,Widowed,55.2
ILO Participation Rates  (%),1998Q3,25 - 34 years,Both sexes,Separated or divorced,68.9
ILO Participation Rates  (%),1998Q3,25 - 34 years,Both sexes,All marital status,83.8
ILO Participation Rates  (%),1998Q3,25 - 34 years,Male,Single - never married,92.0
ILO Participation Rates  (%),1998Q3,25 - 34 years,Male,Married,96.6
ILO Participation Rates  (%),1998Q3,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),1998Q3,25 - 34 years,Male,Separated or divorced,91.3
ILO Participation Rates  (%),1998Q3,25 - 34 years,Male,All marital status,93.8
ILO Participation Rates  (%),1998Q3,25 - 34 years,Female,Single - never married,86.3
ILO Participation Rates  (%),1998Q3,25 - 34 years,Female,Married,63.7
ILO Participation Rates  (%),1998Q3,25 - 34 years,Female,Widowed,43.0
ILO Participation Rates  (%),1998Q3,25 - 34 years,Female,Separated or divorced,62.7
ILO Participation Rates  (%),1998Q3,25 - 34 years,Female,All marital status,73.9
ILO Participation Rates  (%),1998Q3,35 - 44 years,Both sexes,Single - never married,83.4
ILO Participation Rates  (%),1998Q3,35 - 44 years,Both sexes,Married,75.5
ILO Participation Rates  (%),1998Q3,35 - 44 years,Both sexes,Widowed,65.1
ILO Participation Rates  (%),1998Q3,35 - 44 years,Both sexes,Separated or divorced,69.9
ILO Participation Rates  (%),1998Q3,35 - 44 years,Both sexes,All marital status,76.4
ILO Participation Rates  (%),1998Q3,35 - 44 years,Male,Single - never married,85.6
ILO Participation Rates  (%),1998Q3,35 - 44 years,Male,Married,95.7
ILO Participation Rates  (%),1998Q3,35 - 44 years,Male,Widowed,90.4
ILO Participation Rates  (%),1998Q3,35 - 44 years,Male,Separated or divorced,85.5
ILO Participation Rates  (%),1998Q3,35 - 44 years,Male,All marital status,93.4
ILO Participation Rates  (%),1998Q3,35 - 44 years,Female,Single - never married,80.6
ILO Participation Rates  (%),1998Q3,35 - 44 years,Female,Married,56.1
ILO Participation Rates  (%),1998Q3,35 - 44 years,Female,Widowed,53.4
ILO Participation Rates  (%),1998Q3,35 - 44 years,Female,Separated or divorced,60.4
ILO Participation Rates  (%),1998Q3,35 - 44 years,Female,All marital status,59.6
ILO Participation Rates  (%),1998Q3,45 - 54 years,Both sexes,Single - never married,71.2
ILO Participation Rates  (%),1998Q3,45 - 54 years,Both sexes,Married,66.9
ILO Participation Rates  (%),1998Q3,45 - 54 years,Both sexes,Widowed,55.3
ILO Participation Rates  (%),1998Q3,45 - 54 years,Both sexes,Separated or divorced,64.3
ILO Participation Rates  (%),1998Q3,45 - 54 years,Both sexes,All marital status,66.8
ILO Participation Rates  (%),1998Q3,45 - 54 years,Male,Single - never married,72.8
ILO Participation Rates  (%),1998Q3,45 - 54 years,Male,Married,89.6
