Statistic,Quarter,Sex,ILO Economic Status,value
Persons aged 15 years and over,1998Q3,Both sexes,Unemployed seeking full-time work/future job-starter,106.5
Persons aged 15 years and over,1998Q3,Both sexes,Unemployed seeking part-time work,20.6
Persons aged 15 years and over,1998Q3,Both sexes,Not in labour force,1121.8
Persons aged 15 years and over,1998Q3,Both sexes,Potential additional labour force,25.5
Persons aged 15 years and over,1998Q3,Both sexes,Others not in labour force,1096.3
Persons aged 15 years and over,1998Q3,Both sexes,Unemployed seeking work as self-employed,3.3
Persons aged 15 years and over,1998Q3,Male,All ILO economic status,1420.4
Persons aged 15 years and over,1998Q3,Male,In labour force,1059.0
Persons aged 15 years and over,1998Q3,Male,In employment,982.8
Persons aged 15 years and over,1998Q3,Male,In employment full-time,902.6
Persons aged 15 years and over,1998Q3,Male,In employment part-time,80.2
Persons aged 15 years and over,1998Q3,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q3,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q3,Male,Unemployed,76.3
Persons aged 15 years and over,1998Q3,Male,Unemployed seeking full-time work/future job-starter,70.7
Persons aged 15 years and over,1998Q3,Male,Unemployed seeking part-time work,3.1
Persons aged 15 years and over,1998Q3,Male,Not in labour force,361.3
Persons aged 15 years and over,1998Q3,Male,Potential additional labour force,13.0
Persons aged 15 years and over,1998Q3,Male,Others not in labour force,348.4
Persons aged 15 years and over,1998Q3,Male,Unemployed seeking work as self-employed,2.5
Persons aged 15 years and over,1998Q3,Female,All ILO economic status,1468.1
Persons aged 15 years and over,1998Q3,Female,In labour force,707.7
Persons aged 15 years and over,1998Q3,Female,In employment,653.5
Persons aged 15 years and over,1998Q3,Female,In employment full-time,458.4
Persons aged 15 years and over,1998Q3,Female,In employment part-time,195.1
Persons aged 15 years and over,1998Q3,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q3,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q3,Female,Unemployed,54.1
Persons aged 15 years and over,1998Q3,Female,Unemployed seeking full-time work/future job-starter,35.7
Persons aged 15 years and over,1998Q3,Female,Unemployed seeking part-time work,17.5
Persons aged 15 years and over,1998Q3,Female,Not in labour force,760.4
Persons aged 15 years and over,1998Q3,Female,Potential additional labour force,12.6
Persons aged 15 years and over,1998Q3,Female,Others not in labour force,747.9
Persons aged 15 years and over,1998Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,1998Q4,Both sexes,All ILO economic status,2900.5
Persons aged 15 years and over,1998Q4,Both sexes,In labour force,1724.6
Persons aged 15 years and over,1998Q4,Both sexes,In employment,1615.7
Persons aged 15 years and over,1998Q4,Both sexes,In employment full-time,1346.7
Persons aged 15 years and over,1998Q4,Both sexes,In employment part-time,269.0
Persons aged 15 years and over,1998Q4,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q4,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q4,Both sexes,Unemployed,108.8
Persons aged 15 years and over,1998Q4,Both sexes,Unemployed seeking full-time work/future job-starter,88.2
Persons aged 15 years and over,1998Q4,Both sexes,Unemployed seeking part-time work,17.3
Persons aged 15 years and over,1998Q4,Both sexes,Not in labour force,1175.9
Persons aged 15 years and over,1998Q4,Both sexes,Potential additional labour force,23.8
Persons aged 15 years and over,1998Q4,Both sexes,Others not in labour force,1152.0
Persons aged 15 years and over,1998Q4,Both sexes,Unemployed seeking work as self-employed,3.3
Persons aged 15 years and over,1998Q4,Male,All ILO economic status,1426.5
Persons aged 15 years and over,1998Q4,Male,In labour force,1038.3
Persons aged 15 years and over,1998Q4,Male,In employment,973.9
Persons aged 15 years and over,1998Q4,Male,In employment full-time,900.2
Persons aged 15 years and over,1998Q4,Male,In employment part-time,73.8
Persons aged 15 years and over,1998Q4,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q4,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q4,Male,Unemployed,64.3
Persons aged 15 years and over,1998Q4,Male,Unemployed seeking full-time work/future job-starter,60.3
Persons aged 15 years and over,1998Q4,Male,Unemployed seeking part-time work,1.5
Persons aged 15 years and over,1998Q4,Male,Not in labour force,388.2
Persons aged 15 years and over,1998Q4,Male,Potential additional labour force,14.6
Persons aged 15 years and over,1998Q4,Male,Others not in labour force,373.7
Persons aged 15 years and over,1998Q4,Male,Unemployed seeking work as self-employed,2.5
Persons aged 15 years and over,1998Q4,Female,All ILO economic status,1474.0
Persons aged 15 years and over,1998Q4,Female,In labour force,686.3
Persons aged 15 years and over,1998Q4,Female,In employment,641.8
Persons aged 15 years and over,1998Q4,Female,In employment full-time,446.5
Persons aged 15 years and over,1998Q4,Female,In employment part-time,195.3
Persons aged 15 years and over,1998Q4,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1998Q4,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1998Q4,Female,Unemployed,44.5
Persons aged 15 years and over,1998Q4,Female,Unemployed seeking full-time work/future job-starter,27.9
Persons aged 15 years and over,1998Q4,Female,Unemployed seeking part-time work,15.7
Persons aged 15 years and over,1998Q4,Female,Not in labour force,787.6
Persons aged 15 years and over,1998Q4,Female,Potential additional labour force,9.3
Persons aged 15 years and over,1998Q4,Female,Others not in labour force,778.4
Persons aged 15 years and over,1998Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,1999Q1,Both sexes,All ILO economic status,2906.3
Persons aged 15 years and over,1999Q1,Both sexes,In labour force,1753.6
Persons aged 15 years and over,1999Q1,Both sexes,In employment,1644.4
Persons aged 15 years and over,1999Q1,Both sexes,In employment full-time,1363.7
Persons aged 15 years and over,1999Q1,Both sexes,In employment part-time,280.7
Persons aged 15 years and over,1999Q1,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q1,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q1,Both sexes,Unemployed,109.2
Persons aged 15 years and over,1999Q1,Both sexes,Unemployed seeking full-time work/future job-starter,86.0
Persons aged 15 years and over,1999Q1,Both sexes,Unemployed seeking part-time work,19.7
Persons aged 15 years and over,1999Q1,Both sexes,Not in labour force,1152.7
Persons aged 15 years and over,1999Q1,Both sexes,Potential additional labour force,26.0
Persons aged 15 years and over,1999Q1,Both sexes,Others not in labour force,1126.7
Persons aged 15 years and over,1999Q1,Both sexes,Unemployed seeking work as self-employed,3.5
Persons aged 15 years and over,1999Q1,Male,All ILO economic status,1429.5
Persons aged 15 years and over,1999Q1,Male,In labour force,1045.6
Persons aged 15 years and over,1999Q1,Male,In employment,982.9
Persons aged 15 years and over,1999Q1,Male,In employment full-time,905.1
Persons aged 15 years and over,1999Q1,Male,In employment part-time,77.9
Persons aged 15 years and over,1999Q1,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q1,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q1,Male,Unemployed,62.7
Persons aged 15 years and over,1999Q1,Male,Unemployed seeking full-time work/future job-starter,58.5
Persons aged 15 years and over,1999Q1,Male,Unemployed seeking part-time work,1.9
Persons aged 15 years and over,1999Q1,Male,Not in labour force,383.9
Persons aged 15 years and over,1999Q1,Male,Potential additional labour force,14.1
Persons aged 15 years and over,1999Q1,Male,Others not in labour force,369.7
Persons aged 15 years and over,1999Q1,Male,Unemployed seeking work as self-employed,2.2
Persons aged 15 years and over,1999Q1,Female,All ILO economic status,1476.8
Persons aged 15 years and over,1999Q1,Female,In labour force,708.0
Persons aged 15 years and over,1999Q1,Female,In employment,661.5
Persons aged 15 years and over,1999Q1,Female,In employment full-time,458.6
Persons aged 15 years and over,1999Q1,Female,In employment part-time,202.8
Persons aged 15 years and over,1999Q1,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q1,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q1,Female,Unemployed,46.5
Persons aged 15 years and over,1999Q1,Female,Unemployed seeking full-time work/future job-starter,27.5
Persons aged 15 years and over,1999Q1,Female,Unemployed seeking part-time work,17.7
Persons aged 15 years and over,1999Q1,Female,Not in labour force,768.8
Persons aged 15 years and over,1999Q1,Female,Potential additional labour force,11.9
Persons aged 15 years and over,1999Q1,Female,Others not in labour force,757.0
Persons aged 15 years and over,1999Q1,Female,Unemployed seeking work as self-employed,1.3
Persons aged 15 years and over,1999Q2,Both sexes,All ILO economic status,2915.0
Persons aged 15 years and over,1999Q2,Both sexes,In labour force,1789.8
Persons aged 15 years and over,1999Q2,Both sexes,In employment,1679.2
Persons aged 15 years and over,1999Q2,Both sexes,In employment full-time,1389.8
Persons aged 15 years and over,1999Q2,Both sexes,In employment part-time,289.4
Persons aged 15 years and over,1999Q2,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q2,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q2,Both sexes,Unemployed,110.6
Persons aged 15 years and over,1999Q2,Both sexes,Unemployed seeking full-time work/future job-starter,86.2
Persons aged 15 years and over,1999Q2,Both sexes,Unemployed seeking part-time work,20.9
Persons aged 15 years and over,1999Q2,Both sexes,Not in labour force,1125.2
Persons aged 15 years and over,1999Q2,Both sexes,Potential additional labour force,30.1
Persons aged 15 years and over,1999Q2,Both sexes,Others not in labour force,1095.1
Persons aged 15 years and over,1999Q2,Both sexes,Unemployed seeking work as self-employed,3.4
Persons aged 15 years and over,1999Q2,Male,All ILO economic status,1433.9
Persons aged 15 years and over,1999Q2,Male,In labour force,1065.8
Persons aged 15 years and over,1999Q2,Male,In employment,1001.8
Persons aged 15 years and over,1999Q2,Male,In employment full-time,921.5
Persons aged 15 years and over,1999Q2,Male,In employment part-time,80.4
Persons aged 15 years and over,1999Q2,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q2,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q2,Male,Unemployed,64.0
Persons aged 15 years and over,1999Q2,Male,Unemployed seeking full-time work/future job-starter,58.3
Persons aged 15 years and over,1999Q2,Male,Unemployed seeking part-time work,3.5
Persons aged 15 years and over,1999Q2,Male,Not in labour force,368.1
Persons aged 15 years and over,1999Q2,Male,Potential additional labour force,15.9
Persons aged 15 years and over,1999Q2,Male,Others not in labour force,352.3
Persons aged 15 years and over,1999Q2,Male,Unemployed seeking work as self-employed,2.1
Persons aged 15 years and over,1999Q2,Female,All ILO economic status,1481.1
Persons aged 15 years and over,1999Q2,Female,In labour force,724.0
Persons aged 15 years and over,1999Q2,Female,In employment,677.4
Persons aged 15 years and over,1999Q2,Female,In employment full-time,468.3
Persons aged 15 years and over,1999Q2,Female,In employment part-time,209.1
Persons aged 15 years and over,1999Q2,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q2,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q2,Female,Unemployed,46.6
Persons aged 15 years and over,1999Q2,Female,Unemployed seeking full-time work/future job-starter,27.9
Persons aged 15 years and over,1999Q2,Female,Unemployed seeking part-time work,17.4
Persons aged 15 years and over,1999Q2,Female,Not in labour force,757.1
Persons aged 15 years and over,1999Q2,Female,Potential additional labour force,14.3
Persons aged 15 years and over,1999Q2,Female,Others not in labour force,742.8
Persons aged 15 years and over,1999Q2,Female,Unemployed seeking work as self-employed,1.3
Persons aged 15 years and over,1999Q3,Both sexes,All ILO economic status,2930.5
Persons aged 15 years and over,1999Q3,Both sexes,In labour force,1849.0
Persons aged 15 years and over,1999Q3,Both sexes,In employment,1746.8
Persons aged 15 years and over,1999Q3,Both sexes,In employment full-time,1447.2
Persons aged 15 years and over,1999Q3,Both sexes,In employment part-time,299.6
Persons aged 15 years and over,1999Q3,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q3,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q3,Both sexes,Unemployed,102.2
Persons aged 15 years and over,1999Q3,Both sexes,Unemployed seeking full-time work/future job-starter,81.6
Persons aged 15 years and over,1999Q3,Both sexes,Unemployed seeking part-time work,17.2
Persons aged 15 years and over,1999Q3,Both sexes,Not in labour force,1081.6
Persons aged 15 years and over,1999Q3,Both sexes,Potential additional labour force,24.5
Persons aged 15 years and over,1999Q3,Both sexes,Others not in labour force,1057.1
Persons aged 15 years and over,1999Q3,Both sexes,Unemployed seeking work as self-employed,3.4
Persons aged 15 years and over,1999Q3,Male,All ILO economic status,1441.9
Persons aged 15 years and over,1999Q3,Male,In labour force,1097.1
Persons aged 15 years and over,1999Q3,Male,In employment,1039.4
Persons aged 15 years and over,1999Q3,Male,In employment full-time,954.6
Persons aged 15 years and over,1999Q3,Male,In employment part-time,84.8
Persons aged 15 years and over,1999Q3,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q3,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q3,Male,Unemployed,57.7
Persons aged 15 years and over,1999Q3,Male,Unemployed seeking full-time work/future job-starter,52.9
Persons aged 15 years and over,1999Q3,Male,Unemployed seeking part-time work,2.5
Persons aged 15 years and over,1999Q3,Male,Not in labour force,344.8
Persons aged 15 years and over,1999Q3,Male,Potential additional labour force,12.6
Persons aged 15 years and over,1999Q3,Male,Others not in labour force,332.2
Persons aged 15 years and over,1999Q3,Male,Unemployed seeking work as self-employed,2.3
Persons aged 15 years and over,1999Q3,Female,All ILO economic status,1488.6
Persons aged 15 years and over,1999Q3,Female,In labour force,751.9
Persons aged 15 years and over,1999Q3,Female,In employment,707.4
Persons aged 15 years and over,1999Q3,Female,In employment full-time,492.5
Persons aged 15 years and over,1999Q3,Female,In employment part-time,214.8
Persons aged 15 years and over,1999Q3,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q3,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q3,Female,Unemployed,44.5
Persons aged 15 years and over,1999Q3,Female,Unemployed seeking full-time work/future job-starter,28.7
Persons aged 15 years and over,1999Q3,Female,Unemployed seeking part-time work,14.7
Persons aged 15 years and over,1999Q3,Female,Not in labour force,736.8
Persons aged 15 years and over,1999Q3,Female,Potential additional labour force,11.9
Persons aged 15 years and over,1999Q3,Female,Others not in labour force,724.9
Persons aged 15 years and over,1999Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,1999Q4,Both sexes,All ILO economic status,2947.4
Persons aged 15 years and over,1999Q4,Both sexes,In labour force,1813.9
Persons aged 15 years and over,1999Q4,Both sexes,In employment,1723.1
Persons aged 15 years and over,1999Q4,Both sexes,In employment full-time,1427.3
Persons aged 15 years and over,1999Q4,Both sexes,In employment part-time,295.8
Persons aged 15 years and over,1999Q4,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q4,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q4,Both sexes,Unemployed,90.8
Persons aged 15 years and over,1999Q4,Both sexes,Unemployed seeking full-time work/future job-starter,69.6
Persons aged 15 years and over,1999Q4,Both sexes,Unemployed seeking part-time work,17.9
Persons aged 15 years and over,1999Q4,Both sexes,Not in labour force,1133.5
Persons aged 15 years and over,1999Q4,Both sexes,Potential additional labour force,22.4
Persons aged 15 years and over,1999Q4,Both sexes,Others not in labour force,1111.1
Persons aged 15 years and over,1999Q4,Both sexes,Unemployed seeking work as self-employed,3.3
Persons aged 15 years and over,1999Q4,Male,All ILO economic status,1450.5
Persons aged 15 years and over,1999Q4,Male,In labour force,1077.3
Persons aged 15 years and over,1999Q4,Male,In employment,1026.1
Persons aged 15 years and over,1999Q4,Male,In employment full-time,946.4
Persons aged 15 years and over,1999Q4,Male,In employment part-time,79.7
Persons aged 15 years and over,1999Q4,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q4,Male,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q4,Male,Unemployed,51.2
Persons aged 15 years and over,1999Q4,Male,Unemployed seeking full-time work/future job-starter,46.4
Persons aged 15 years and over,1999Q4,Male,Unemployed seeking part-time work,2.6
Persons aged 15 years and over,1999Q4,Male,Not in labour force,373.2
Persons aged 15 years and over,1999Q4,Male,Potential additional labour force,12.7
Persons aged 15 years and over,1999Q4,Male,Others not in labour force,360.5
Persons aged 15 years and over,1999Q4,Male,Unemployed seeking work as self-employed,2.2
Persons aged 15 years and over,1999Q4,Female,All ILO economic status,1496.8
Persons aged 15 years and over,1999Q4,Female,In labour force,736.6
Persons aged 15 years and over,1999Q4,Female,In employment,696.9
Persons aged 15 years and over,1999Q4,Female,In employment full-time,480.9
Persons aged 15 years and over,1999Q4,Female,In employment part-time,216.1
Persons aged 15 years and over,1999Q4,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,1999Q4,Female,In employment part-time - underemployed,
Persons aged 15 years and over,1999Q4,Female,Unemployed,39.6
Persons aged 15 years and over,1999Q4,Female,Unemployed seeking full-time work/future job-starter,23.2
Persons aged 15 years and over,1999Q4,Female,Unemployed seeking part-time work,15.3
Persons aged 15 years and over,1999Q4,Female,Not in labour force,760.3
Persons aged 15 years and over,1999Q4,Female,Potential additional labour force,9.7
Persons aged 15 years and over,1999Q4,Female,Others not in labour force,750.6
Persons aged 15 years and over,1999Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2000Q1,Both sexes,All ILO economic status,2954.2
Persons aged 15 years and over,2000Q1,Both sexes,In labour force,1813.2
Persons aged 15 years and over,2000Q1,Both sexes,In employment,1726.8
Persons aged 15 years and over,2000Q1,Both sexes,In employment full-time,1427.8
Persons aged 15 years and over,2000Q1,Both sexes,In employment part-time,299.0
Persons aged 15 years and over,2000Q1,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q1,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q1,Both sexes,Unemployed,86.4
Persons aged 15 years and over,2000Q1,Both sexes,Unemployed seeking full-time work/future job-starter,65.5
Persons aged 15 years and over,2000Q1,Both sexes,Unemployed seeking part-time work,17.2
Persons aged 15 years and over,2000Q1,Both sexes,Not in labour force,1141.0
Persons aged 15 years and over,2000Q1,Both sexes,Potential additional labour force,21.7
Persons aged 15 years and over,2000Q1,Both sexes,Others not in labour force,1119.3
Persons aged 15 years and over,2000Q1,Both sexes,Unemployed seeking work as self-employed,3.7
Persons aged 15 years and over,2000Q1,Male,All ILO economic status,1454.0
Persons aged 15 years and over,2000Q1,Male,In labour force,1077.5
Persons aged 15 years and over,2000Q1,Male,In employment,1029.2
Persons aged 15 years and over,2000Q1,Male,In employment full-time,948.3
Persons aged 15 years and over,2000Q1,Male,In employment part-time,80.9
Persons aged 15 years and over,2000Q1,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q1,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q1,Male,Unemployed,48.4
Persons aged 15 years and over,2000Q1,Male,Unemployed seeking full-time work/future job-starter,43.7
Persons aged 15 years and over,2000Q1,Male,Unemployed seeking part-time work,2.0
Persons aged 15 years and over,2000Q1,Male,Not in labour force,376.5
Persons aged 15 years and over,2000Q1,Male,Potential additional labour force,11.1
Persons aged 15 years and over,2000Q1,Male,Others not in labour force,365.4
Persons aged 15 years and over,2000Q1,Male,Unemployed seeking work as self-employed,2.7
Persons aged 15 years and over,2000Q1,Female,All ILO economic status,1500.1
Persons aged 15 years and over,2000Q1,Female,In labour force,735.7
Persons aged 15 years and over,2000Q1,Female,In employment,697.6
Persons aged 15 years and over,2000Q1,Female,In employment full-time,479.5
Persons aged 15 years and over,2000Q1,Female,In employment part-time,218.1
Persons aged 15 years and over,2000Q1,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q1,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q1,Female,Unemployed,38.1
Persons aged 15 years and over,2000Q1,Female,Unemployed seeking full-time work/future job-starter,21.9
Persons aged 15 years and over,2000Q1,Female,Unemployed seeking part-time work,15.2
Persons aged 15 years and over,2000Q1,Female,Not in labour force,764.5
Persons aged 15 years and over,2000Q1,Female,Potential additional labour force,10.6
Persons aged 15 years and over,2000Q1,Female,Others not in labour force,753.9
Persons aged 15 years and over,2000Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2000Q2,Both sexes,All ILO economic status,2965.0
Persons aged 15 years and over,2000Q2,Both sexes,In labour force,1845.8
Persons aged 15 years and over,2000Q2,Both sexes,In employment,1758.2
Persons aged 15 years and over,2000Q2,Both sexes,In employment full-time,1456.5
Persons aged 15 years and over,2000Q2,Both sexes,In employment part-time,301.7
Persons aged 15 years and over,2000Q2,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q2,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q2,Both sexes,Unemployed,87.6
Persons aged 15 years and over,2000Q2,Both sexes,Unemployed seeking full-time work/future job-starter,66.3
Persons aged 15 years and over,2000Q2,Both sexes,Unemployed seeking part-time work,18.1
Persons aged 15 years and over,2000Q2,Both sexes,Not in labour force,1119.1
Persons aged 15 years and over,2000Q2,Both sexes,Potential additional labour force,26.1
Persons aged 15 years and over,2000Q2,Both sexes,Others not in labour force,1093.1
Persons aged 15 years and over,2000Q2,Both sexes,Unemployed seeking work as self-employed,3.2
Persons aged 15 years and over,2000Q2,Male,All ILO economic status,1459.6
Persons aged 15 years and over,2000Q2,Male,In labour force,1090.3
Persons aged 15 years and over,2000Q2,Male,In employment,1041.8
