Statistic,Quarter,Detailed Occupational Group,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q4,X1 Other/Not stated,38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,All occupational groups,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q1,X1 Other/Not stated,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,All occupational groups,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q2,X1 Other/Not stated,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,All occupational groups,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q3,X1 Other/Not stated,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,All occupational groups,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1999Q4,X1 Other/Not stated,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,All occupational groups,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q1,X1 Other/Not stated,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,All occupational groups,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q2,X1 Other/Not stated,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,All occupational groups,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q3,X1 Other/Not stated,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,All occupational groups,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2000Q4,X1 Other/Not stated,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,All occupational groups,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q1,X1 Other/Not stated,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,All occupational groups,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,X1 Other/Not stated,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,All occupational groups,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,X1 Other/Not stated,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,All occupational groups,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,X1 Other/Not stated,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,All occupational groups,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,X1 Other/Not stated,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,All occupational groups,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,X1 Other/Not stated,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,All occupational groups,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q3,X1 Other/Not stated,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,All occupational groups,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q4,X1 Other/Not stated,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,All occupational groups,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q1,X1 Other/Not stated,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,All occupational groups,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q2,X1 Other/Not stated,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,All occupational groups,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q3,X1 Other/Not stated,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,All occupational groups,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,"8 Process, plant and machine operatives",
