STATISTIC,Quarter,Age Group,value
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,45 - 54 years,39.1
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,55 - 59 years,39.6
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,60 - 64 years,40.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q3,65 years and over,41.9
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,15 - 19 years,30.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,15 - 64 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,15 - 74 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,15 years and over,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,20 - 24 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,25 - 34 years,39.5
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,35 - 44 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,45 - 54 years,38.7
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,55 - 59 years,39.7
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,60 - 64 years,39.8
Average hours worked per week for persons aged 15-89 years in Employment,1998Q4,65 years and over,41.1
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,15 - 19 years,28.8
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,15 - 64 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,15 - 74 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,15 years and over,37.7
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,20 - 24 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,25 - 34 years,39.3
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,35 - 44 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,45 - 54 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,55 - 59 years,38.9
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,60 - 64 years,39.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q1,65 years and over,40.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,15 - 19 years,29.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,15 - 64 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,15 - 74 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,15 years and over,37.7
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,20 - 24 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,25 - 34 years,39.3
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,35 - 44 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,45 - 54 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,55 - 59 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,60 - 64 years,38.7
Average hours worked per week for persons aged 15-89 years in Employment,1999Q2,65 years and over,40.4
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,15 - 19 years,32.2
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,15 - 64 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,15 - 74 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,15 years and over,38.0
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,20 - 24 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,25 - 34 years,39.4
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,35 - 44 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,45 - 54 years,38.4
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,55 - 59 years,38.6
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,60 - 64 years,39.4
Average hours worked per week for persons aged 15-89 years in Employment,1999Q3,65 years and over,40.2
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,15 - 19 years,28.9
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,15 - 64 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,15 - 74 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,15 years and over,37.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,20 - 24 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,25 - 34 years,39.1
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,35 - 44 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,45 - 54 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,55 - 59 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,60 - 64 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,1999Q4,65 years and over,40.9
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,15 - 19 years,28.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,15 - 64 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,15 - 74 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,15 years and over,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,20 - 24 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,25 - 34 years,39.2
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,35 - 44 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,45 - 54 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,55 - 59 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,60 - 64 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2000Q1,65 years and over,39.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,15 - 19 years,29.7
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,15 - 64 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,15 - 74 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,15 years and over,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,20 - 24 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,25 - 34 years,39.1
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,35 - 44 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,45 - 54 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,55 - 59 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,60 - 64 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2000Q2,65 years and over,39.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,15 - 19 years,31.7
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,15 - 64 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,15 - 74 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,15 years and over,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,20 - 24 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,25 - 34 years,39.2
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,35 - 44 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,45 - 54 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,55 - 59 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,60 - 64 years,38.6
Average hours worked per week for persons aged 15-89 years in Employment,2000Q3,65 years and over,40.1
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,15 - 19 years,28.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,15 - 64 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,15 - 74 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,15 years and over,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,20 - 24 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,25 - 34 years,39.0
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,45 - 54 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,55 - 59 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,60 - 64 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,2000Q4,65 years and over,38.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,15 - 19 years,28.1
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,15 - 64 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,15 - 74 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,15 years and over,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,20 - 24 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,25 - 34 years,38.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,35 - 44 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,45 - 54 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,55 - 59 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,60 - 64 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,2001Q1,65 years and over,38.7
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,15 - 19 years,29.6
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,15 - 64 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,15 - 74 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,15 years and over,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,20 - 24 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,25 - 34 years,39.0
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,35 - 44 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,45 - 54 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,55 - 59 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,60 - 64 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q2,65 years and over,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,15 - 19 years,31.7
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,15 - 64 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,15 - 74 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,15 years and over,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,20 - 24 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,25 - 34 years,39.0
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,35 - 44 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,45 - 54 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,55 - 59 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,60 - 64 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2001Q3,65 years and over,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,15 - 19 years,27.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,15 - 64 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,15 - 74 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,15 years and over,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,20 - 24 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,25 - 34 years,38.8
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,45 - 54 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,55 - 59 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,60 - 64 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2001Q4,65 years and over,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,15 - 19 years,26.9
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,15 - 64 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,15 - 74 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,15 years and over,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,20 - 24 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,25 - 34 years,38.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,45 - 54 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,55 - 59 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,60 - 64 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q1,65 years and over,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,15 - 19 years,28.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,15 - 64 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,15 - 74 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,15 years and over,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,20 - 24 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,25 - 34 years,38.7
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,45 - 54 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,55 - 59 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,60 - 64 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2002Q2,65 years and over,38.2
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,15 - 19 years,30.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,15 - 64 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,15 - 74 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,15 years and over,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,20 - 24 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,25 - 34 years,38.6
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,45 - 54 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,55 - 59 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,60 - 64 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2002Q3,65 years and over,38.1
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,15 - 19 years,27.7
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,15 - 64 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,15 - 74 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,15 years and over,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,20 - 24 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,25 - 34 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,35 - 44 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,45 - 54 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,55 - 59 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,60 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2002Q4,65 years and over,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,15 - 19 years,27.4
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,15 - 64 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,15 - 74 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,15 years and over,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,20 - 24 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,25 - 34 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,35 - 44 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,45 - 54 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,55 - 59 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,60 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2003Q1,65 years and over,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,15 - 19 years,28.6
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,15 - 64 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,15 - 74 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,15 years and over,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,20 - 24 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,25 - 34 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,35 - 44 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,45 - 54 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,55 - 59 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,60 - 64 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2003Q2,65 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,15 - 19 years,30.1
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,15 - 64 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,15 - 74 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,15 years and over,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,20 - 24 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,25 - 34 years,38.6
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,35 - 44 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,45 - 54 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,55 - 59 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,60 - 64 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2003Q3,65 years and over,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,15 - 19 years,26.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,15 - 64 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,15 - 74 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,15 years and over,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,20 - 24 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,25 - 34 years,38.5
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,35 - 44 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,45 - 54 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,55 - 59 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,60 - 64 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2003Q4,65 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,15 - 19 years,26.9
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,15 - 64 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,15 - 74 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,15 years and over,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,20 - 24 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,25 - 34 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,35 - 44 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,45 - 54 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,55 - 59 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,60 - 64 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2004Q1,65 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,15 - 19 years,27.9
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,15 - 64 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,15 - 74 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,15 years and over,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,20 - 24 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,25 - 34 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,35 - 44 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,45 - 54 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,55 - 59 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,60 - 64 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2004Q2,65 years and over,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,15 - 19 years,30.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,15 - 64 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,15 - 74 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,15 years and over,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,20 - 24 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,25 - 34 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,35 - 44 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,45 - 54 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,55 - 59 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,60 - 64 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2004Q3,65 years and over,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,15 - 19 years,27.8
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,15 - 64 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,15 - 74 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,15 years and over,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,20 - 24 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,25 - 34 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,35 - 44 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,45 - 54 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,55 - 59 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,60 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2004Q4,65 years and over,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,15 - 19 years,27.0
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,15 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,15 - 74 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,15 years and over,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,20 - 24 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,25 - 34 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,35 - 44 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,45 - 54 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,55 - 59 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,60 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q1,65 years and over,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,15 - 19 years,28.6
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,15 - 64 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,15 - 74 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,15 years and over,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,20 - 24 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,25 - 34 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,35 - 44 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,45 - 54 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,55 - 59 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,60 - 64 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2005Q2,65 years and over,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,15 - 19 years,29.7
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,15 - 64 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,15 - 74 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,15 years and over,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,20 - 24 years,36.5
