Statistic,Quarter,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),2002Q1,Person usually works at home,187.5
Persons aged 15 years and over in employment (ILO),2002Q1,Person sometimes works at home,99.6
Persons aged 15 years and over in employment (ILO),2002Q1,Person never works at home,1386.1
Persons aged 15 years and over in employment (ILO),2002Q1,Not stated,151.9
Persons aged 15 years and over in employment (ILO),2002Q1,All persons in employment,1825.1
Persons aged 15 years and over in employment (ILO),2002Q2,Person usually works at home,182.1
Persons aged 15 years and over in employment (ILO),2002Q2,Person sometimes works at home,92.7
Persons aged 15 years and over in employment (ILO),2002Q2,Person never works at home,1486.4
Persons aged 15 years and over in employment (ILO),2002Q2,Not stated,79.1
Persons aged 15 years and over in employment (ILO),2002Q2,All persons in employment,1840.3
Persons aged 15 years and over in employment (ILO),2002Q3,Person usually works at home,175.3
Persons aged 15 years and over in employment (ILO),2002Q3,Person sometimes works at home,73.0
Persons aged 15 years and over in employment (ILO),2002Q3,Person never works at home,1615.8
Persons aged 15 years and over in employment (ILO),2002Q3,Not stated,19.5
Persons aged 15 years and over in employment (ILO),2002Q3,All persons in employment,1883.6
Persons aged 15 years and over in employment (ILO),2002Q4,Person usually works at home,177.8
Persons aged 15 years and over in employment (ILO),2002Q4,Person sometimes works at home,89.5
Persons aged 15 years and over in employment (ILO),2002Q4,Person never works at home,1544.5
Persons aged 15 years and over in employment (ILO),2002Q4,Not stated,38.6
Persons aged 15 years and over in employment (ILO),2002Q4,All persons in employment,1850.3
Persons aged 15 years and over in employment (ILO),2003Q1,Person usually works at home,179.9
Persons aged 15 years and over in employment (ILO),2003Q1,Person sometimes works at home,92.7
Persons aged 15 years and over in employment (ILO),2003Q1,Person never works at home,1525.9
Persons aged 15 years and over in employment (ILO),2003Q1,Not stated,57.1
Persons aged 15 years and over in employment (ILO),2003Q1,All persons in employment,1855.6
Persons aged 15 years and over in employment (ILO),2003Q2,Person usually works at home,183.1
Persons aged 15 years and over in employment (ILO),2003Q2,Person sometimes works at home,102.1
Persons aged 15 years and over in employment (ILO),2003Q2,Person never works at home,1579.7
Persons aged 15 years and over in employment (ILO),2003Q2,Not stated,9.1
Persons aged 15 years and over in employment (ILO),2003Q2,All persons in employment,1874.0
Persons aged 15 years and over in employment (ILO),2003Q3,Person usually works at home,186.4
Persons aged 15 years and over in employment (ILO),2003Q3,Person sometimes works at home,100.5
Persons aged 15 years and over in employment (ILO),2003Q3,Person never works at home,1618.4
Persons aged 15 years and over in employment (ILO),2003Q3,Not stated,7.5
Persons aged 15 years and over in employment (ILO),2003Q3,All persons in employment,1912.8
Persons aged 15 years and over in employment (ILO),2003Q4,Person usually works at home,186.9
Persons aged 15 years and over in employment (ILO),2003Q4,Person sometimes works at home,105.2
Persons aged 15 years and over in employment (ILO),2003Q4,Person never works at home,1600.1
Persons aged 15 years and over in employment (ILO),2003Q4,Not stated,7.2
Persons aged 15 years and over in employment (ILO),2003Q4,All persons in employment,1899.4
Persons aged 15 years and over in employment (ILO),2004Q1,Person usually works at home,190.0
Persons aged 15 years and over in employment (ILO),2004Q1,Person sometimes works at home,105.1
Persons aged 15 years and over in employment (ILO),2004Q1,Person never works at home,1604.4
Persons aged 15 years and over in employment (ILO),2004Q1,Not stated,2.8
Persons aged 15 years and over in employment (ILO),2004Q1,All persons in employment,1902.3
Persons aged 15 years and over in employment (ILO),2004Q2,Person usually works at home,180.3
Persons aged 15 years and over in employment (ILO),2004Q2,Person sometimes works at home,94.2
Persons aged 15 years and over in employment (ILO),2004Q2,Person never works at home,1646.4
Persons aged 15 years and over in employment (ILO),2004Q2,Not stated,4.8
Persons aged 15 years and over in employment (ILO),2004Q2,All persons in employment,1925.8
Persons aged 15 years and over in employment (ILO),2004Q3,Person usually works at home,180.5
Persons aged 15 years and over in employment (ILO),2004Q3,Person sometimes works at home,97.8
Persons aged 15 years and over in employment (ILO),2004Q3,Person never works at home,1698.3
Persons aged 15 years and over in employment (ILO),2004Q3,Not stated,7.5
Persons aged 15 years and over in employment (ILO),2004Q3,All persons in employment,1984.1
Persons aged 15 years and over in employment (ILO),2004Q4,Person usually works at home,182.7
Persons aged 15 years and over in employment (ILO),2004Q4,Person sometimes works at home,98.3
Persons aged 15 years and over in employment (ILO),2004Q4,Person never works at home,1686.3
Persons aged 15 years and over in employment (ILO),2004Q4,Not stated,6.6
Persons aged 15 years and over in employment (ILO),2004Q4,All persons in employment,1973.8
Persons aged 15 years and over in employment (ILO),2005Q1,Person usually works at home,186.1
Persons aged 15 years and over in employment (ILO),2005Q1,Person sometimes works at home,104.6
Persons aged 15 years and over in employment (ILO),2005Q1,Person never works at home,1693.4
Persons aged 15 years and over in employment (ILO),2005Q1,Not stated,5.6
Persons aged 15 years and over in employment (ILO),2005Q1,All persons in employment,1989.7
Persons aged 15 years and over in employment (ILO),2005Q2,Person usually works at home,187.4
Persons aged 15 years and over in employment (ILO),2005Q2,Person sometimes works at home,103.5
Persons aged 15 years and over in employment (ILO),2005Q2,Person never works at home,1725.2
Persons aged 15 years and over in employment (ILO),2005Q2,Not stated,1.9
Persons aged 15 years and over in employment (ILO),2005Q2,All persons in employment,2018.0
Persons aged 15 years and over in employment (ILO),2005Q3,Person usually works at home,178.9
Persons aged 15 years and over in employment (ILO),2005Q3,Person sometimes works at home,103.1
Persons aged 15 years and over in employment (ILO),2005Q3,Person never works at home,1789.2
Persons aged 15 years and over in employment (ILO),2005Q3,Not stated,2.2
Persons aged 15 years and over in employment (ILO),2005Q3,All persons in employment,2073.3
Persons aged 15 years and over in employment (ILO),2005Q4,Person usually works at home,175.4
Persons aged 15 years and over in employment (ILO),2005Q4,Person sometimes works at home,104.1
Persons aged 15 years and over in employment (ILO),2005Q4,Person never works at home,1787.5
Persons aged 15 years and over in employment (ILO),2005Q4,Not stated,3.1
Persons aged 15 years and over in employment (ILO),2005Q4,All persons in employment,2070.0
Persons aged 15 years and over in employment (ILO),2006Q1,Person usually works at home,165.3
Persons aged 15 years and over in employment (ILO),2006Q1,Person sometimes works at home,103.0
Persons aged 15 years and over in employment (ILO),2006Q1,Person never works at home,1809.7
Persons aged 15 years and over in employment (ILO),2006Q1,Not stated,4.2
Persons aged 15 years and over in employment (ILO),2006Q1,All persons in employment,2082.3
Persons aged 15 years and over in employment (ILO),2006Q2,Person usually works at home,157.3
Persons aged 15 years and over in employment (ILO),2006Q2,Person sometimes works at home,98.8
Persons aged 15 years and over in employment (ILO),2006Q2,Person never works at home,1849.7
Persons aged 15 years and over in employment (ILO),2006Q2,Not stated,3.1
Persons aged 15 years and over in employment (ILO),2006Q2,All persons in employment,2109.0
Persons aged 15 years and over in employment (ILO),2006Q3,Person usually works at home,142.8
Persons aged 15 years and over in employment (ILO),2006Q3,Person sometimes works at home,93.6
Persons aged 15 years and over in employment (ILO),2006Q3,Person never works at home,1918.9
Persons aged 15 years and over in employment (ILO),2006Q3,Not stated,3.8
Persons aged 15 years and over in employment (ILO),2006Q3,All persons in employment,2159.1
Persons aged 15 years and over in employment (ILO),2006Q4,Person usually works at home,145.0
Persons aged 15 years and over in employment (ILO),2006Q4,Person sometimes works at home,98.2
Persons aged 15 years and over in employment (ILO),2006Q4,Person never works at home,1919.0
Persons aged 15 years and over in employment (ILO),2006Q4,Not stated,4.7
Persons aged 15 years and over in employment (ILO),2006Q4,All persons in employment,2166.8
Persons aged 15 years and over in employment (ILO),2007Q1,Person usually works at home,151.4
Persons aged 15 years and over in employment (ILO),2007Q1,Person sometimes works at home,106.5
Persons aged 15 years and over in employment (ILO),2007Q1,Person never works at home,1922.7
Persons aged 15 years and over in employment (ILO),2007Q1,Not stated,5.0
Persons aged 15 years and over in employment (ILO),2007Q1,All persons in employment,2185.6
Persons aged 15 years and over in employment (ILO),2007Q2,Person usually works at home,159.3
Persons aged 15 years and over in employment (ILO),2007Q2,Person sometimes works at home,112.1
Persons aged 15 years and over in employment (ILO),2007Q2,Person never works at home,1936.0
Persons aged 15 years and over in employment (ILO),2007Q2,Not stated,4.4
Persons aged 15 years and over in employment (ILO),2007Q2,All persons in employment,2211.8
Persons aged 15 years and over in employment (ILO),2007Q3,Person usually works at home,161.8
Persons aged 15 years and over in employment (ILO),2007Q3,Person sometimes works at home,112.8
Persons aged 15 years and over in employment (ILO),2007Q3,Person never works at home,1970.1
Persons aged 15 years and over in employment (ILO),2007Q3,Not stated,6.3
Persons aged 15 years and over in employment (ILO),2007Q3,All persons in employment,2251.0
Persons aged 15 years and over in employment (ILO),2007Q4,Person usually works at home,167.8
Persons aged 15 years and over in employment (ILO),2007Q4,Person sometimes works at home,120.0
Persons aged 15 years and over in employment (ILO),2007Q4,Person never works at home,1939.4
Persons aged 15 years and over in employment (ILO),2007Q4,Not stated,3.5
Persons aged 15 years and over in employment (ILO),2007Q4,All persons in employment,2230.7
Persons aged 15 years and over in employment (ILO),2008Q1,Person usually works at home,160.5
Persons aged 15 years and over in employment (ILO),2008Q1,Person sometimes works at home,119.9
Persons aged 15 years and over in employment (ILO),2008Q1,Person never works at home,1934.1
Persons aged 15 years and over in employment (ILO),2008Q1,Not stated,3.2
Persons aged 15 years and over in employment (ILO),2008Q1,All persons in employment,2217.8
Persons aged 15 years and over in employment (ILO),2008Q2,Person usually works at home,160.3
Persons aged 15 years and over in employment (ILO),2008Q2,Person sometimes works at home,131.9
Persons aged 15 years and over in employment (ILO),2008Q2,Person never works at home,1923.5
Persons aged 15 years and over in employment (ILO),2008Q2,Not stated,2.1
Persons aged 15 years and over in employment (ILO),2008Q2,All persons in employment,2217.8
Persons aged 15 years and over in employment (ILO),2008Q3,Person usually works at home,159.7
Persons aged 15 years and over in employment (ILO),2008Q3,Person sometimes works at home,130.7
Persons aged 15 years and over in employment (ILO),2008Q3,Person never works at home,1916.0
Persons aged 15 years and over in employment (ILO),2008Q3,Not stated,3.0
Persons aged 15 years and over in employment (ILO),2008Q3,All persons in employment,2209.4
Persons aged 15 years and over in employment (ILO),2008Q4,Person usually works at home,172.0
Persons aged 15 years and over in employment (ILO),2008Q4,Person sometimes works at home,142.1
Persons aged 15 years and over in employment (ILO),2008Q4,Person never works at home,1828.2
Persons aged 15 years and over in employment (ILO),2008Q4,Not stated,3.3
Persons aged 15 years and over in employment (ILO),2008Q4,All persons in employment,2145.6
Persons aged 15 years and over in employment (ILO),2009Q1,Person usually works at home,158.2
Persons aged 15 years and over in employment (ILO),2009Q1,Person sometimes works at home,141.1
Persons aged 15 years and over in employment (ILO),2009Q1,Person never works at home,1751.3
Persons aged 15 years and over in employment (ILO),2009Q1,Not stated,3.9
Persons aged 15 years and over in employment (ILO),2009Q1,All persons in employment,2054.5
Persons aged 15 years and over in employment (ILO),2009Q2,Person usually works at home,163.5
Persons aged 15 years and over in employment (ILO),2009Q2,Person sometimes works at home,138.0
Persons aged 15 years and over in employment (ILO),2009Q2,Person never works at home,1723.5
Persons aged 15 years and over in employment (ILO),2009Q2,Not stated,3.6
Persons aged 15 years and over in employment (ILO),2009Q2,All persons in employment,2028.6
Persons aged 15 years and over in employment (ILO),2009Q3,Person usually works at home,160.3
Persons aged 15 years and over in employment (ILO),2009Q3,Person sometimes works at home,135.1
Persons aged 15 years and over in employment (ILO),2009Q3,Person never works at home,1707.6
Persons aged 15 years and over in employment (ILO),2009Q3,Not stated,3.2
Persons aged 15 years and over in employment (ILO),2009Q3,All persons in employment,2006.2
Persons aged 15 years and over in employment (ILO),2009Q4,Person usually works at home,157.6
Persons aged 15 years and over in employment (ILO),2009Q4,Person sometimes works at home,130.1
Persons aged 15 years and over in employment (ILO),2009Q4,Person never works at home,1678.3
Persons aged 15 years and over in employment (ILO),2009Q4,Not stated,4.6
Persons aged 15 years and over in employment (ILO),2009Q4,All persons in employment,1970.6
Persons aged 15 years and over in employment (ILO),2010Q1,Person usually works at home,149.8
Persons aged 15 years and over in employment (ILO),2010Q1,Person sometimes works at home,125.0
Persons aged 15 years and over in employment (ILO),2010Q1,Person never works at home,1655.8
Persons aged 15 years and over in employment (ILO),2010Q1,Not stated,4.0
Persons aged 15 years and over in employment (ILO),2010Q1,All persons in employment,1934.6
Persons aged 15 years and over in employment (ILO),2010Q2,Person usually works at home,149.9
Persons aged 15 years and over in employment (ILO),2010Q2,Person sometimes works at home,124.5
Persons aged 15 years and over in employment (ILO),2010Q2,Person never works at home,1658.2
Persons aged 15 years and over in employment (ILO),2010Q2,Not stated,3.9
Persons aged 15 years and over in employment (ILO),2010Q2,All persons in employment,1936.5
Persons aged 15 years and over in employment (ILO),2010Q3,Person usually works at home,149.5
Persons aged 15 years and over in employment (ILO),2010Q3,Person sometimes works at home,125.2
Persons aged 15 years and over in employment (ILO),2010Q3,Person never works at home,1651.0
Persons aged 15 years and over in employment (ILO),2010Q3,Not stated,4.6
Persons aged 15 years and over in employment (ILO),2010Q3,All persons in employment,1930.3
Persons aged 15 years and over in employment (ILO),2010Q4,Person usually works at home,144.9
Persons aged 15 years and over in employment (ILO),2010Q4,Person sometimes works at home,124.6
Persons aged 15 years and over in employment (ILO),2010Q4,Person never works at home,1623.0
Persons aged 15 years and over in employment (ILO),2010Q4,Not stated,4.1
Persons aged 15 years and over in employment (ILO),2010Q4,All persons in employment,1896.6
Persons aged 15 years and over in employment (ILO),2011Q1,Person usually works at home,143.7
Persons aged 15 years and over in employment (ILO),2011Q1,Person sometimes works at home,130.1
Persons aged 15 years and over in employment (ILO),2011Q1,Person never works at home,1600.4
Persons aged 15 years and over in employment (ILO),2011Q1,Not stated,3.8
Persons aged 15 years and over in employment (ILO),2011Q1,All persons in employment,1878.1
Persons aged 15 years and over in employment (ILO),2011Q2,Person usually works at home,149.4
Persons aged 15 years and over in employment (ILO),2011Q2,Person sometimes works at home,141.5
Persons aged 15 years and over in employment (ILO),2011Q2,Person never works at home,1605.3
Persons aged 15 years and over in employment (ILO),2011Q2,Not stated,3.3
Persons aged 15 years and over in employment (ILO),2011Q2,All persons in employment,1899.6
Persons aged 15 years and over in employment (ILO),2011Q3,Person usually works at home,143.8
Persons aged 15 years and over in employment (ILO),2011Q3,Person sometimes works at home,139.3
Persons aged 15 years and over in employment (ILO),2011Q3,Person never works at home,1598.5
Persons aged 15 years and over in employment (ILO),2011Q3,Not stated,4.1
Persons aged 15 years and over in employment (ILO),2011Q3,All persons in employment,1885.7
Persons aged 15 years and over in employment (ILO),2011Q4,Person usually works at home,144.7
Persons aged 15 years and over in employment (ILO),2011Q4,Person sometimes works at home,140.6
Persons aged 15 years and over in employment (ILO),2011Q4,Person never works at home,1598.7
Persons aged 15 years and over in employment (ILO),2011Q4,Not stated,2.5
Persons aged 15 years and over in employment (ILO),2011Q4,All persons in employment,1886.4
Persons aged 15 years and over in employment (ILO),2012Q1,Person usually works at home,141.9
Persons aged 15 years and over in employment (ILO),2012Q1,Person sometimes works at home,147.0
Persons aged 15 years and over in employment (ILO),2012Q1,Person never works at home,1570.3
Persons aged 15 years and over in employment (ILO),2012Q1,Not stated,3.4
Persons aged 15 years and over in employment (ILO),2012Q1,All persons in employment,1862.6
Persons aged 15 years and over in employment (ILO),2012Q2,Person usually works at home,87.6
Persons aged 15 years and over in employment (ILO),2012Q2,Person sometimes works at home,227.0
Persons aged 15 years and over in employment (ILO),2012Q2,Person never works at home,1555.4
Persons aged 15 years and over in employment (ILO),2012Q2,Not stated,6.8
Persons aged 15 years and over in employment (ILO),2012Q2,All persons in employment,1876.8
Persons aged 15 years and over in employment (ILO),2012Q3,Person usually works at home,75.2
Persons aged 15 years and over in employment (ILO),2012Q3,Person sometimes works at home,178.8
Persons aged 15 years and over in employment (ILO),2012Q3,Person never works at home,1627.2
Persons aged 15 years and over in employment (ILO),2012Q3,Not stated,7.2
Persons aged 15 years and over in employment (ILO),2012Q3,All persons in employment,1888.5
Persons aged 15 years and over in employment (ILO),2012Q4,Person usually works at home,83.1
Persons aged 15 years and over in employment (ILO),2012Q4,Person sometimes works at home,198.9
Persons aged 15 years and over in employment (ILO),2012Q4,Person never works at home,1605.4
Persons aged 15 years and over in employment (ILO),2012Q4,Not stated,5.5
Persons aged 15 years and over in employment (ILO),2012Q4,All persons in employment,1892.9
Persons aged 15 years and over in employment (ILO),2013Q1,Person usually works at home,86.2
Persons aged 15 years and over in employment (ILO),2013Q1,Person sometimes works at home,201.7
Persons aged 15 years and over in employment (ILO),2013Q1,Person never works at home,1598.1
Persons aged 15 years and over in employment (ILO),2013Q1,Not stated,7.3
Persons aged 15 years and over in employment (ILO),2013Q1,All persons in employment,1893.2
Persons aged 15 years and over in employment (ILO),2013Q2,Person usually works at home,87.6
Persons aged 15 years and over in employment (ILO),2013Q2,Person sometimes works at home,202.2
Persons aged 15 years and over in employment (ILO),2013Q2,Person never works at home,1629.9
Persons aged 15 years and over in employment (ILO),2013Q2,Not stated,4.5
Persons aged 15 years and over in employment (ILO),2013Q2,All persons in employment,1924.2
Persons aged 15 years and over in employment (ILO),2013Q3,Person usually works at home,80.8
Persons aged 15 years and over in employment (ILO),2013Q3,Person sometimes works at home,185.1
Persons aged 15 years and over in employment (ILO),2013Q3,Person never works at home,1689.1
Persons aged 15 years and over in employment (ILO),2013Q3,Not stated,6.9
Persons aged 15 years and over in employment (ILO),2013Q3,All persons in employment,1962.0
Persons aged 15 years and over in employment (ILO),2013Q4,Person usually works at home,84.8
Persons aged 15 years and over in employment (ILO),2013Q4,Person sometimes works at home,200.5
Persons aged 15 years and over in employment (ILO),2013Q4,Person never works at home,1677.1
Persons aged 15 years and over in employment (ILO),2013Q4,Not stated,7.1
Persons aged 15 years and over in employment (ILO),2013Q4,All persons in employment,1969.6
Persons aged 15 years and over in employment (ILO),2014Q1,Person usually works at home,80.3
Persons aged 15 years and over in employment (ILO),2014Q1,Person sometimes works at home,214.5
Persons aged 15 years and over in employment (ILO),2014Q1,Person never works at home,1649.2
Persons aged 15 years and over in employment (ILO),2014Q1,Not stated,6.8
Persons aged 15 years and over in employment (ILO),2014Q1,All persons in employment,1950.8
Persons aged 15 years and over in employment (ILO),2014Q2,Person usually works at home,74.8
Persons aged 15 years and over in employment (ILO),2014Q2,Person sometimes works at home,205.8
Persons aged 15 years and over in employment (ILO),2014Q2,Person never works at home,1682.9
Persons aged 15 years and over in employment (ILO),2014Q2,Not stated,5.5
Persons aged 15 years and over in employment (ILO),2014Q2,All persons in employment,1968.9
Persons aged 15 years and over in employment (ILO),2014Q3,Person usually works at home,74.3
Persons aged 15 years and over in employment (ILO),2014Q3,Person sometimes works at home,186.8
Persons aged 15 years and over in employment (ILO),2014Q3,Person never works at home,1741.6
Persons aged 15 years and over in employment (ILO),2014Q3,Not stated,6.7
Persons aged 15 years and over in employment (ILO),2014Q3,All persons in employment,2009.4
Persons aged 15 years and over in employment (ILO),2014Q4,Person usually works at home,74.7
Persons aged 15 years and over in employment (ILO),2014Q4,Person sometimes works at home,182.3
Persons aged 15 years and over in employment (ILO),2014Q4,Person never works at home,1761.7
Persons aged 15 years and over in employment (ILO),2014Q4,Not stated,6.4
Persons aged 15 years and over in employment (ILO),2014Q4,All persons in employment,2025.0
Persons aged 15 years and over in employment (ILO),2015Q1,Person usually works at home,74.5
Persons aged 15 years and over in employment (ILO),2015Q1,Person sometimes works at home,191.8
Persons aged 15 years and over in employment (ILO),2015Q1,Person never works at home,1739.6
Persons aged 15 years and over in employment (ILO),2015Q1,Not stated,6.6
Persons aged 15 years and over in employment (ILO),2015Q1,All persons in employment,2012.4
Persons aged 15 years and over in employment (ILO),2015Q2,Person usually works at home,88.7
Persons aged 15 years and over in employment (ILO),2015Q2,Person sometimes works at home,213.1
Persons aged 15 years and over in employment (ILO),2015Q2,Person never works at home,1740.0
Persons aged 15 years and over in employment (ILO),2015Q2,Not stated,6.0
Persons aged 15 years and over in employment (ILO),2015Q2,All persons in employment,2047.7
Persons aged 15 years and over in employment (ILO),2015Q3,Person usually works at home,82.8
Persons aged 15 years and over in employment (ILO),2015Q3,Person sometimes works at home,183.9
Persons aged 15 years and over in employment (ILO),2015Q3,Person never works at home,1803.8
Persons aged 15 years and over in employment (ILO),2015Q3,Not stated,8.1
Persons aged 15 years and over in employment (ILO),2015Q3,All persons in employment,2078.6
Persons aged 15 years and over in employment (ILO),2015Q4,Person usually works at home,87.6
Persons aged 15 years and over in employment (ILO),2015Q4,Person sometimes works at home,208.8
Persons aged 15 years and over in employment (ILO),2015Q4,Person never works at home,1778.3
Persons aged 15 years and over in employment (ILO),2015Q4,Not stated,9.3
Persons aged 15 years and over in employment (ILO),2015Q4,All persons in employment,2083.9
Persons aged 15 years and over in employment (ILO),2016Q1,Person usually works at home,77.3
Persons aged 15 years and over in employment (ILO),2016Q1,Person sometimes works at home,185.2
Persons aged 15 years and over in employment (ILO),2016Q1,Person never works at home,1806.7
Persons aged 15 years and over in employment (ILO),2016Q1,Not stated,9.8
Persons aged 15 years and over in employment (ILO),2016Q1,All persons in employment,2079.0
Persons aged 15 years and over in employment (ILO),2016Q2,Person usually works at home,82.7
Persons aged 15 years and over in employment (ILO),2016Q2,Person sometimes works at home,214.3
Persons aged 15 years and over in employment (ILO),2016Q2,Person never works at home,1819.2
Persons aged 15 years and over in employment (ILO),2016Q2,Not stated,8.2
Persons aged 15 years and over in employment (ILO),2016Q2,All persons in employment,2124.4
Persons aged 15 years and over in employment (ILO),2016Q3,Person usually works at home,73.1
Persons aged 15 years and over in employment (ILO),2016Q3,Person sometimes works at home,192.0
Persons aged 15 years and over in employment (ILO),2016Q3,Person never works at home,1882.1
Persons aged 15 years and over in employment (ILO),2016Q3,Not stated,12.7
Persons aged 15 years and over in employment (ILO),2016Q3,All persons in employment,2159.9
Persons aged 15 years and over in employment (ILO),2016Q4,Person usually works at home,76.6
Persons aged 15 years and over in employment (ILO),2016Q4,Person sometimes works at home,210.5
Persons aged 15 years and over in employment (ILO),2016Q4,Person never works at home,1868.6
Persons aged 15 years and over in employment (ILO),2016Q4,Not stated,9.7
Persons aged 15 years and over in employment (ILO),2016Q4,All persons in employment,2165.5
Persons aged 15 years and over in employment (ILO),2017Q1,Person usually works at home,74.9
Persons aged 15 years and over in employment (ILO),2017Q1,Person sometimes works at home,239.4
