Statistic,Sex,NACE Rev 2 Economic Sector,Region,Quarter,value
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2001Q2,195.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2001Q3,197.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2001Q4,195.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2002Q1,193.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2002Q2,194.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2002Q3,199.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2002Q4,199.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2003Q1,197.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2003Q2,200.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2003Q3,207.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2003Q4,210.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2004Q1,212.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2004Q2,215.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2004Q3,221.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2004Q4,220.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2005Q1,221.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2005Q2,221.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2005Q3,226.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2005Q4,227.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2006Q1,229.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2006Q2,235.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2006Q3,239.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2006Q4,243.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2007Q1,243.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2007Q2,247.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2007Q3,248.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2007Q4,246.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2008Q1,243.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2008Q2,242.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2008Q3,240.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2008Q4,240.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2009Q1,220.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2009Q2,218.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2009Q3,219.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2009Q4,210.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2010Q1,209.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2010Q2,209.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2010Q3,210.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2010Q4,206.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2011Q1,205.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2011Q2,205.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2011Q3,204.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Border,2011Q4,200.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1998Q1,73.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1998Q2,77.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1998Q3,78.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1998Q4,77.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1999Q1,78.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1999Q2,81.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1999Q3,83.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,1999Q4,83.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2000Q1,84.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2000Q2,85.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2000Q3,87.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2000Q4,86.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2001Q1,86.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2001Q2,89.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2001Q3,90.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2001Q4,89.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2002Q1,90.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2002Q2,95.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2002Q3,94.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2002Q4,94.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2003Q1,96.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2003Q2,96.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2003Q3,98.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2003Q4,98.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2004Q1,98.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2004Q2,99.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2004Q3,104.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2004Q4,101.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2005Q1,104.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2005Q2,105.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2005Q3,108.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2005Q4,108.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2006Q1,109.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2006Q2,111.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2006Q3,115.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2006Q4,114.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2007Q1,115.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2007Q2,118.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2007Q3,122.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2007Q4,120.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2008Q1,119.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2008Q2,115.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2008Q3,115.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2008Q4,112.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2009Q1,105.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2009Q2,104.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2009Q3,105.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2009Q4,103.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2010Q1,103.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2010Q2,99.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2010Q3,98.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2010Q4,97.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2011Q1,98.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2011Q2,101.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2011Q3,95.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Midland,2011Q4,96.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1998Q1,137.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1998Q2,138.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1998Q3,146.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1998Q4,144.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1999Q1,146.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1999Q2,150.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1999Q3,157.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,1999Q4,155.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2000Q1,156.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2000Q2,157.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2000Q3,162.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2000Q4,160.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2001Q1,161.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2001Q2,163.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2001Q3,172.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2001Q4,168.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2002Q1,168.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2002Q2,168.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2002Q3,174.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2002Q4,171.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2003Q1,173.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2003Q2,173.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2003Q3,177.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2003Q4,178.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2004Q1,178.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2004Q2,180.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2004Q3,189.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2004Q4,186.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2005Q1,187.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2005Q2,191.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2005Q3,194.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2005Q4,193.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2006Q1,193.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2006Q2,195.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2006Q3,199.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2006Q4,198.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2007Q1,201.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2007Q2,203.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2007Q3,208.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2007Q4,207.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2008Q1,205.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2008Q2,207.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2008Q3,205.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2008Q4,198.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2009Q1,193.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2009Q2,194.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2009Q3,189.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2009Q4,185.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2010Q1,181.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2010Q2,182.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2010Q3,179.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2010Q4,179.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2011Q1,175.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2011Q2,177.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2011Q3,179.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,West,2011Q4,177.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1998Q1,493.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1998Q2,496.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1998Q3,515.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1998Q4,509.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1999Q1,517.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1999Q2,527.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1999Q3,542.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,1999Q4,537.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2000Q1,539.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2000Q2,548.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2000Q3,567.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2000Q4,561.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2001Q1,559.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2001Q2,560.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2001Q3,573.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2001Q4,566.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2002Q1,561.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2002Q2,560.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2002Q3,568.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2002Q4,562.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2003Q1,559.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2003Q2,565.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2003Q3,568.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2003Q4,567.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2004Q1,562.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2004Q2,565.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2004Q3,578.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2004Q4,581.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2005Q1,580.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2005Q2,591.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2005Q3,603.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2005Q4,605.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2006Q1,611.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2006Q2,610.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2006Q3,628.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2006Q4,637.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2007Q1,642.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2007Q2,643.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2007Q3,656.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2007Q4,654.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2008Q1,649.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2008Q2,650.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2008Q3,649.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2008Q4,627.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2009Q1,607.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2009Q2,595.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2009Q3,583.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2009Q4,581.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2010Q1,570.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2010Q2,567.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2010Q3,564.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2010Q4,557.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2011Q1,550.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2011Q2,559.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2011Q3,547.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Dublin,2011Q4,551.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1998Q1,160.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1998Q2,164.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1998Q3,172.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1998Q4,170.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1999Q1,174.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1999Q2,178.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1999Q3,186.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,1999Q4,183.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2000Q1,184.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2000Q2,187.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2000Q3,193.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2000Q4,191.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2001Q1,194.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2001Q2,197.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2001Q3,202.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2001Q4,200.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2002Q1,199.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2002Q2,202.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2002Q3,210.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2002Q4,206.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2003Q1,208.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2003Q2,213.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2003Q3,212.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2003Q4,212.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2004Q1,213.0
