Statistic,Nationality,ILO Economic Status,Quarter,value
Persons aged 15 years and over,All nationalities,All ILO economic status,2008Q1,3561.9
Persons aged 15 years and over,All nationalities,All ILO economic status,2008Q2,3575.0
Persons aged 15 years and over,All nationalities,All ILO economic status,2008Q3,3582.3
Persons aged 15 years and over,All nationalities,All ILO economic status,2008Q4,3589.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2009Q1,3593.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2009Q2,3600.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2009Q3,3599.0
Persons aged 15 years and over,All nationalities,All ILO economic status,2009Q4,3599.4
Persons aged 15 years and over,All nationalities,All ILO economic status,2010Q1,3599.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2010Q2,3598.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2010Q3,3598.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2010Q4,3599.0
Persons aged 15 years and over,All nationalities,All ILO economic status,2011Q1,3599.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2011Q2,3599.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2011Q3,3600.4
Persons aged 15 years and over,All nationalities,All ILO economic status,2011Q4,3602.4
Persons aged 15 years and over,All nationalities,All ILO economic status,2012Q1,3603.4
Persons aged 15 years and over,All nationalities,All ILO economic status,2012Q2,3605.7
Persons aged 15 years and over,All nationalities,All ILO economic status,2012Q3,3610.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2012Q4,3613.7
Persons aged 15 years and over,All nationalities,All ILO economic status,2013Q1,3616.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2013Q2,3620.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2013Q3,3628.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2013Q4,3635.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2014Q1,3640.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2014Q2,3647.9
Persons aged 15 years and over,All nationalities,All ILO economic status,2014Q3,3658.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2014Q4,3667.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2015Q1,3676.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2015Q2,3686.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2015Q3,3699.7
Persons aged 15 years and over,All nationalities,All ILO economic status,2015Q4,3711.9
Persons aged 15 years and over,All nationalities,All ILO economic status,2016Q1,3721.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2016Q2,3734.1
Persons aged 15 years and over,All nationalities,All ILO economic status,2016Q3,3749.7
Persons aged 15 years and over,All nationalities,All ILO economic status,2016Q4,3764.0
Persons aged 15 years and over,All nationalities,All ILO economic status,2017Q1,3775.9
Persons aged 15 years and over,All nationalities,All ILO economic status,2017Q2,3785.5
Persons aged 15 years and over,All nationalities,All ILO economic status,2017Q3,3798.8
Persons aged 15 years and over,All nationalities,All ILO economic status,2017Q4,3818.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2018Q1,3823.9
Persons aged 15 years and over,All nationalities,All ILO economic status,2018Q2,3848.3
Persons aged 15 years and over,All nationalities,All ILO economic status,2018Q3,3860.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2018Q4,3877.2
Persons aged 15 years and over,All nationalities,All ILO economic status,2019Q1,3896.5
Persons aged 15 years and over,All nationalities,All ILO economic status,2019Q2,3912.6
Persons aged 15 years and over,All nationalities,All ILO economic status,2019Q3,3925.6
Persons aged 15 years and over,All nationalities,All ILO economic status,2019Q4,3942.8
Persons aged 15 years and over,All nationalities,In labour force,1998Q1,
Persons aged 15 years and over,All nationalities,In labour force,1998Q2,
Persons aged 15 years and over,All nationalities,In labour force,1998Q3,
Persons aged 15 years and over,All nationalities,In labour force,1998Q4,
Persons aged 15 years and over,All nationalities,In labour force,1999Q1,
Persons aged 15 years and over,All nationalities,In labour force,1999Q2,
Persons aged 15 years and over,All nationalities,In labour force,1999Q3,
Persons aged 15 years and over,All nationalities,In labour force,1999Q4,
Persons aged 15 years and over,All nationalities,In labour force,2000Q1,
Persons aged 15 years and over,All nationalities,In labour force,2000Q2,
Persons aged 15 years and over,All nationalities,In labour force,2000Q3,
Persons aged 15 years and over,All nationalities,In labour force,2000Q4,
Persons aged 15 years and over,All nationalities,In labour force,2001Q1,
Persons aged 15 years and over,All nationalities,In labour force,2001Q2,
Persons aged 15 years and over,All nationalities,In labour force,2001Q3,
Persons aged 15 years and over,All nationalities,In labour force,2001Q4,
Persons aged 15 years and over,All nationalities,In labour force,2002Q1,
Persons aged 15 years and over,All nationalities,In labour force,2002Q2,
Persons aged 15 years and over,All nationalities,In labour force,2002Q3,
Persons aged 15 years and over,All nationalities,In labour force,2002Q4,
Persons aged 15 years and over,All nationalities,In labour force,2003Q1,
Persons aged 15 years and over,All nationalities,In labour force,2003Q2,
Persons aged 15 years and over,All nationalities,In labour force,2003Q3,
Persons aged 15 years and over,All nationalities,In labour force,2003Q4,
Persons aged 15 years and over,All nationalities,In labour force,2004Q1,
Persons aged 15 years and over,All nationalities,In labour force,2004Q2,
Persons aged 15 years and over,All nationalities,In labour force,2004Q3,
Persons aged 15 years and over,All nationalities,In labour force,2004Q4,
Persons aged 15 years and over,All nationalities,In labour force,2005Q1,
Persons aged 15 years and over,All nationalities,In labour force,2005Q2,
Persons aged 15 years and over,All nationalities,In labour force,2005Q3,
Persons aged 15 years and over,All nationalities,In labour force,2005Q4,
Persons aged 15 years and over,All nationalities,In labour force,2006Q1,
Persons aged 15 years and over,All nationalities,In labour force,2006Q2,
Persons aged 15 years and over,All nationalities,In labour force,2006Q3,2276.5
Persons aged 15 years and over,All nationalities,In labour force,2006Q4,2265.9
Persons aged 15 years and over,All nationalities,In labour force,2007Q1,2298.2
Persons aged 15 years and over,All nationalities,In labour force,2007Q2,2333.5
Persons aged 15 years and over,All nationalities,In labour force,2007Q3,2371.9
Persons aged 15 years and over,All nationalities,In labour force,2007Q4,2347.6
Persons aged 15 years and over,All nationalities,In labour force,2008Q1,2343.9
Persons aged 15 years and over,All nationalities,In labour force,2008Q2,2364.6
Persons aged 15 years and over,All nationalities,In labour force,2008Q3,2390.7
Persons aged 15 years and over,All nationalities,In labour force,2008Q4,2336.0
Persons aged 15 years and over,All nationalities,In labour force,2009Q1,2301.8
Persons aged 15 years and over,All nationalities,In labour force,2009Q2,2328.8
Persons aged 15 years and over,All nationalities,In labour force,2009Q3,2321.8
Persons aged 15 years and over,All nationalities,In labour force,2009Q4,2271.3
Persons aged 15 years and over,All nationalities,In labour force,2010Q1,2242.2
Persons aged 15 years and over,All nationalities,In labour force,2010Q2,2269.1
Persons aged 15 years and over,All nationalities,In labour force,2010Q3,2267.4
Persons aged 15 years and over,All nationalities,In labour force,2010Q4,2233.3
Persons aged 15 years and over,All nationalities,In labour force,2011Q1,2211.5
Persons aged 15 years and over,All nationalities,In labour force,2011Q2,2242.7
Persons aged 15 years and over,All nationalities,In labour force,2011Q3,2241.4
Persons aged 15 years and over,All nationalities,In labour force,2011Q4,2228.3
Persons aged 15 years and over,All nationalities,In labour force,2012Q1,2211.3
Persons aged 15 years and over,All nationalities,In labour force,2012Q2,2230.7
Persons aged 15 years and over,All nationalities,In labour force,2012Q3,2241.4
Persons aged 15 years and over,All nationalities,In labour force,2012Q4,2213.0
Persons aged 15 years and over,All nationalities,In labour force,2013Q1,2209.2
Persons aged 15 years and over,All nationalities,In labour force,2013Q2,2256.3
Persons aged 15 years and over,All nationalities,In labour force,2013Q3,2272.0
Persons aged 15 years and over,All nationalities,In labour force,2013Q4,2247.8
Persons aged 15 years and over,All nationalities,In labour force,2014Q1,2232.9
Persons aged 15 years and over,All nationalities,In labour force,2014Q2,2250.2
Persons aged 15 years and over,All nationalities,In labour force,2014Q3,2281.7
Persons aged 15 years and over,All nationalities,In labour force,2014Q4,2260.5
Persons aged 15 years and over,All nationalities,In labour force,2015Q1,2249.5
Persons aged 15 years and over,All nationalities,In labour force,2015Q2,2285.5
Persons aged 15 years and over,All nationalities,In labour force,2015Q3,2307.1
Persons aged 15 years and over,All nationalities,In labour force,2015Q4,2292.2
Persons aged 15 years and over,All nationalities,In labour force,2016Q1,2280.1
Persons aged 15 years and over,All nationalities,In labour force,2016Q2,2338.2
Persons aged 15 years and over,All nationalities,In labour force,2016Q3,2359.1
Persons aged 15 years and over,All nationalities,In labour force,2016Q4,2331.1
Persons aged 15 years and over,All nationalities,In labour force,2017Q1,2321.8
Persons aged 15 years and over,All nationalities,In labour force,2017Q2,2341.4
Persons aged 15 years and over,All nationalities,In labour force,2017Q3,2370.0
Persons aged 15 years and over,All nationalities,In labour force,2017Q4,2374.8
Persons aged 15 years and over,All nationalities,In labour force,2018Q1,2353.7
Persons aged 15 years and over,All nationalities,In labour force,2018Q2,2399.3
Persons aged 15 years and over,All nationalities,In labour force,2018Q3,2417.0
Persons aged 15 years and over,All nationalities,In labour force,2018Q4,2410.1
Persons aged 15 years and over,All nationalities,In labour force,2019Q1,2416.3
Persons aged 15 years and over,All nationalities,In labour force,2019Q2,2430.8
Persons aged 15 years and over,All nationalities,In labour force,2019Q3,2454.9
Persons aged 15 years and over,All nationalities,In labour force,2019Q4,2471.7
Persons aged 15 years and over,All nationalities,In employment,1998Q1,
Persons aged 15 years and over,All nationalities,In employment,1998Q2,
Persons aged 15 years and over,All nationalities,In employment,1998Q3,
Persons aged 15 years and over,All nationalities,In employment,1998Q4,
Persons aged 15 years and over,All nationalities,In employment,1999Q1,
Persons aged 15 years and over,All nationalities,In employment,1999Q2,
Persons aged 15 years and over,All nationalities,In employment,1999Q3,
Persons aged 15 years and over,All nationalities,In employment,1999Q4,
Persons aged 15 years and over,All nationalities,In employment,2000Q1,
Persons aged 15 years and over,All nationalities,In employment,2000Q2,
Persons aged 15 years and over,All nationalities,In employment,2000Q3,
Persons aged 15 years and over,All nationalities,In employment,2000Q4,
Persons aged 15 years and over,All nationalities,In employment,2001Q1,
Persons aged 15 years and over,All nationalities,In employment,2001Q2,
Persons aged 15 years and over,All nationalities,In employment,2001Q3,
Persons aged 15 years and over,All nationalities,In employment,2001Q4,
Persons aged 15 years and over,All nationalities,In employment,2002Q1,
Persons aged 15 years and over,All nationalities,In employment,2002Q2,
Persons aged 15 years and over,All nationalities,In employment,2002Q3,
Persons aged 15 years and over,All nationalities,In employment,2002Q4,
Persons aged 15 years and over,All nationalities,In employment,2003Q1,
Persons aged 15 years and over,All nationalities,In employment,2003Q2,
Persons aged 15 years and over,All nationalities,In employment,2003Q3,
Persons aged 15 years and over,All nationalities,In employment,2003Q4,
Persons aged 15 years and over,All nationalities,In employment,2004Q1,
Persons aged 15 years and over,All nationalities,In employment,2004Q2,
Persons aged 15 years and over,All nationalities,In employment,2004Q3,
Persons aged 15 years and over,All nationalities,In employment,2004Q4,
Persons aged 15 years and over,All nationalities,In employment,2005Q1,
Persons aged 15 years and over,All nationalities,In employment,2005Q2,
Persons aged 15 years and over,All nationalities,In employment,2005Q3,
Persons aged 15 years and over,All nationalities,In employment,2005Q4,
Persons aged 15 years and over,All nationalities,In employment,2006Q1,
Persons aged 15 years and over,All nationalities,In employment,2006Q2,
Persons aged 15 years and over,All nationalities,In employment,2006Q3,2159.6
Persons aged 15 years and over,All nationalities,In employment,2006Q4,2167.6
Persons aged 15 years and over,All nationalities,In employment,2007Q1,2186.9
Persons aged 15 years and over,All nationalities,In employment,2007Q2,2213.4
Persons aged 15 years and over,All nationalities,In employment,2007Q3,2252.2
Persons aged 15 years and over,All nationalities,In employment,2007Q4,2232.9
Persons aged 15 years and over,All nationalities,In employment,2008Q1,2219.5
Persons aged 15 years and over,All nationalities,In employment,2008Q2,2220.1
Persons aged 15 years and over,All nationalities,In employment,2008Q3,2209.8
Persons aged 15 years and over,All nationalities,In employment,2008Q4,2146.6
Persons aged 15 years and over,All nationalities,In employment,2009Q1,2054.1
Persons aged 15 years and over,All nationalities,In employment,2009Q2,2029.3
Persons aged 15 years and over,All nationalities,In employment,2009Q3,2006.8
Persons aged 15 years and over,All nationalities,In employment,2009Q4,1970.4
Persons aged 15 years and over,All nationalities,In employment,2010Q1,1936.0
Persons aged 15 years and over,All nationalities,In employment,2010Q2,1938.0
Persons aged 15 years and over,All nationalities,In employment,2010Q3,1930.6
Persons aged 15 years and over,All nationalities,In employment,2010Q4,1897.7
Persons aged 15 years and over,All nationalities,In employment,2011Q1,1880.4
Persons aged 15 years and over,All nationalities,In employment,2011Q2,1900.1
Persons aged 15 years and over,All nationalities,In employment,2011Q3,1885.2
Persons aged 15 years and over,All nationalities,In employment,2011Q4,1888.2
Persons aged 15 years and over,All nationalities,In employment,2012Q1,1863.2
Persons aged 15 years and over,All nationalities,In employment,2012Q2,1878.0
Persons aged 15 years and over,All nationalities,In employment,2012Q3,1887.0
Persons aged 15 years and over,All nationalities,In employment,2012Q4,1893.6
Persons aged 15 years and over,All nationalities,In employment,2013Q1,1892.0
Persons aged 15 years and over,All nationalities,In employment,2013Q2,1926.3
Persons aged 15 years and over,All nationalities,In employment,2013Q3,1961.8
Persons aged 15 years and over,All nationalities,In employment,2013Q4,1971.0
Persons aged 15 years and over,All nationalities,In employment,2014Q1,1950.7
Persons aged 15 years and over,All nationalities,In employment,2014Q2,1970.3
Persons aged 15 years and over,All nationalities,In employment,2014Q3,2008.9
Persons aged 15 years and over,All nationalities,In employment,2014Q4,2025.2
Persons aged 15 years and over,All nationalities,In employment,2015Q1,2014.4
Persons aged 15 years and over,All nationalities,In employment,2015Q2,2049.7
Persons aged 15 years and over,All nationalities,In employment,2015Q3,2079.9
Persons aged 15 years and over,All nationalities,In employment,2015Q4,2085.4
Persons aged 15 years and over,All nationalities,In employment,2016Q1,2080.8
Persons aged 15 years and over,All nationalities,In employment,2016Q2,2126.7
Persons aged 15 years and over,All nationalities,In employment,2016Q3,2158.0
Persons aged 15 years and over,All nationalities,In employment,2016Q4,2163.5
Persons aged 15 years and over,All nationalities,In employment,2017Q1,2158.4
Persons aged 15 years and over,All nationalities,In employment,2017Q2,2180.9
Persons aged 15 years and over,All nationalities,In employment,2017Q3,2206.5
Persons aged 15 years and over,All nationalities,In employment,2017Q4,2230.8
Persons aged 15 years and over,All nationalities,In employment,2018Q1,2220.7
Persons aged 15 years and over,All nationalities,In employment,2018Q2,2255.0
Persons aged 15 years and over,All nationalities,In employment,2018Q3,2273.2
Persons aged 15 years and over,All nationalities,In employment,2018Q4,2281.3
Persons aged 15 years and over,All nationalities,In employment,2019Q1,2301.9
Persons aged 15 years and over,All nationalities,In employment,2019Q2,2300.0
Persons aged 15 years and over,All nationalities,In employment,2019Q3,2326.9
Persons aged 15 years and over,All nationalities,In employment,2019Q4,2361.2
Persons aged 15 years and over,All nationalities,Unemployed,1998Q1,
Persons aged 15 years and over,All nationalities,Unemployed,1998Q2,
Persons aged 15 years and over,All nationalities,Unemployed,1998Q3,
Persons aged 15 years and over,All nationalities,Unemployed,1998Q4,
Persons aged 15 years and over,All nationalities,Unemployed,1999Q1,
Persons aged 15 years and over,All nationalities,Unemployed,1999Q2,
Persons aged 15 years and over,All nationalities,Unemployed,1999Q3,
Persons aged 15 years and over,All nationalities,Unemployed,1999Q4,
Persons aged 15 years and over,All nationalities,Unemployed,2000Q1,
Persons aged 15 years and over,All nationalities,Unemployed,2000Q2,
Persons aged 15 years and over,All nationalities,Unemployed,2000Q3,
Persons aged 15 years and over,All nationalities,Unemployed,2000Q4,
Persons aged 15 years and over,All nationalities,Unemployed,2001Q1,
Persons aged 15 years and over,All nationalities,Unemployed,2001Q2,
Persons aged 15 years and over,All nationalities,Unemployed,2001Q3,
Persons aged 15 years and over,All nationalities,Unemployed,2001Q4,
Persons aged 15 years and over,All nationalities,Unemployed,2002Q1,
Persons aged 15 years and over,All nationalities,Unemployed,2002Q2,
Persons aged 15 years and over,All nationalities,Unemployed,2002Q3,
Persons aged 15 years and over,All nationalities,Unemployed,2002Q4,
Persons aged 15 years and over,All nationalities,Unemployed,2003Q1,
Persons aged 15 years and over,All nationalities,Unemployed,2003Q2,
Persons aged 15 years and over,All nationalities,Unemployed,2003Q3,
Persons aged 15 years and over,All nationalities,Unemployed,2003Q4,
Persons aged 15 years and over,All nationalities,Unemployed,2004Q1,
Persons aged 15 years and over,All nationalities,Unemployed,2004Q2,
Persons aged 15 years and over,All nationalities,Unemployed,2004Q3,
Persons aged 15 years and over,All nationalities,Unemployed,2004Q4,
Persons aged 15 years and over,All nationalities,Unemployed,2005Q1,
Persons aged 15 years and over,All nationalities,Unemployed,2005Q2,
Persons aged 15 years and over,All nationalities,Unemployed,2005Q3,
Persons aged 15 years and over,All nationalities,Unemployed,2005Q4,
Persons aged 15 years and over,All nationalities,Unemployed,2006Q1,
Persons aged 15 years and over,All nationalities,Unemployed,2006Q2,
Persons aged 15 years and over,All nationalities,Unemployed,2006Q3,116.8
Persons aged 15 years and over,All nationalities,Unemployed,2006Q4,98.3
Persons aged 15 years and over,All nationalities,Unemployed,2007Q1,111.2
Persons aged 15 years and over,All nationalities,Unemployed,2007Q2,120.1
Persons aged 15 years and over,All nationalities,Unemployed,2007Q3,119.7
Persons aged 15 years and over,All nationalities,Unemployed,2007Q4,114.7
Persons aged 15 years and over,All nationalities,Unemployed,2008Q1,124.4
Persons aged 15 years and over,All nationalities,Unemployed,2008Q2,144.5
Persons aged 15 years and over,All nationalities,Unemployed,2008Q3,180.9
Persons aged 15 years and over,All nationalities,Unemployed,2008Q4,189.4
Persons aged 15 years and over,All nationalities,Unemployed,2009Q1,247.6
Persons aged 15 years and over,All nationalities,Unemployed,2009Q2,299.4
Persons aged 15 years and over,All nationalities,Unemployed,2009Q3,315.1
Persons aged 15 years and over,All nationalities,Unemployed,2009Q4,300.9
Persons aged 15 years and over,All nationalities,Unemployed,2010Q1,306.2
Persons aged 15 years and over,All nationalities,Unemployed,2010Q2,331.0
Persons aged 15 years and over,All nationalities,Unemployed,2010Q3,336.8
Persons aged 15 years and over,All nationalities,Unemployed,2010Q4,335.7
Persons aged 15 years and over,All nationalities,Unemployed,2011Q1,331.1
Persons aged 15 years and over,All nationalities,Unemployed,2011Q2,342.6
Persons aged 15 years and over,All nationalities,Unemployed,2011Q3,356.2
Persons aged 15 years and over,All nationalities,Unemployed,2011Q4,340.1
Persons aged 15 years and over,All nationalities,Unemployed,2012Q1,348.1
Persons aged 15 years and over,All nationalities,Unemployed,2012Q2,352.7
Persons aged 15 years and over,All nationalities,Unemployed,2012Q3,354.3
Persons aged 15 years and over,All nationalities,Unemployed,2012Q4,319.5
Persons aged 15 years and over,All nationalities,Unemployed,2013Q1,317.2
Persons aged 15 years and over,All nationalities,Unemployed,2013Q2,329.9
Persons aged 15 years and over,All nationalities,Unemployed,2013Q3,310.1
Persons aged 15 years and over,All nationalities,Unemployed,2013Q4,276.8
Persons aged 15 years and over,All nationalities,Unemployed,2014Q1,282.2
Persons aged 15 years and over,All nationalities,Unemployed,2014Q2,279.8
Persons aged 15 years and over,All nationalities,Unemployed,2014Q3,272.8
Persons aged 15 years and over,All nationalities,Unemployed,2014Q4,235.3
Persons aged 15 years and over,All nationalities,Unemployed,2015Q1,235.2
Persons aged 15 years and over,All nationalities,Unemployed,2015Q2,235.8
Persons aged 15 years and over,All nationalities,Unemployed,2015Q3,227.1
Persons aged 15 years and over,All nationalities,Unemployed,2015Q4,206.8
Persons aged 15 years and over,All nationalities,Unemployed,2016Q1,199.3
Persons aged 15 years and over,All nationalities,Unemployed,2016Q2,211.5
Persons aged 15 years and over,All nationalities,Unemployed,2016Q3,201.1
Persons aged 15 years and over,All nationalities,Unemployed,2016Q4,167.6
Persons aged 15 years and over,All nationalities,Unemployed,2017Q1,163.4
Persons aged 15 years and over,All nationalities,Unemployed,2017Q2,160.5
Persons aged 15 years and over,All nationalities,Unemployed,2017Q3,163.5
Persons aged 15 years and over,All nationalities,Unemployed,2017Q4,144.0
Persons aged 15 years and over,All nationalities,Unemployed,2018Q1,132.9
Persons aged 15 years and over,All nationalities,Unemployed,2018Q2,144.3
Persons aged 15 years and over,All nationalities,Unemployed,2018Q3,143.8
Persons aged 15 years and over,All nationalities,Unemployed,2018Q4,128.8
Persons aged 15 years and over,All nationalities,Unemployed,2019Q1,114.4
Persons aged 15 years and over,All nationalities,Unemployed,2019Q2,130.8
Persons aged 15 years and over,All nationalities,Unemployed,2019Q3,128.0
Persons aged 15 years and over,All nationalities,Unemployed,2019Q4,110.6
Persons aged 15 years and over,All nationalities,Not in labour force,1998Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,1998Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,1998Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,1998Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,1999Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,1999Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,1999Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,1999Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,2000Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,2000Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,2000Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,2000Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,2001Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,2001Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,2001Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,2001Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,2002Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,2002Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,2002Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,2002Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,2003Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,2003Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,2003Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,2003Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,2004Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,2004Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,2004Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,2004Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,2005Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,2005Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,2005Q3,
Persons aged 15 years and over,All nationalities,Not in labour force,2005Q4,
Persons aged 15 years and over,All nationalities,Not in labour force,2006Q1,
Persons aged 15 years and over,All nationalities,Not in labour force,2006Q2,
Persons aged 15 years and over,All nationalities,Not in labour force,2006Q3,1138.1
Persons aged 15 years and over,All nationalities,Not in labour force,2006Q4,1180.4
Persons aged 15 years and over,All nationalities,Not in labour force,2007Q1,1174.6
Persons aged 15 years and over,All nationalities,Not in labour force,2007Q2,1164.7
Persons aged 15 years and over,All nationalities,Not in labour force,2007Q3,1148.6
Persons aged 15 years and over,All nationalities,Not in labour force,2007Q4,1196.1
Persons aged 15 years and over,All nationalities,Not in labour force,2008Q1,1218.0
Persons aged 15 years and over,All nationalities,Not in labour force,2008Q2,1210.4
Persons aged 15 years and over,All nationalities,Not in labour force,2008Q3,1191.6
Persons aged 15 years and over,All nationalities,Not in labour force,2008Q4,1253.1
Persons aged 15 years and over,All nationalities,Not in labour force,2009Q1,1292.0
Persons aged 15 years and over,All nationalities,Not in labour force,2009Q2,1271.4
Persons aged 15 years and over,All nationalities,Not in labour force,2009Q3,1277.1
Persons aged 15 years and over,All nationalities,Not in labour force,2009Q4,1328.1
Persons aged 15 years and over,All nationalities,Not in labour force,2010Q1,1356.9
Persons aged 15 years and over,All nationalities,Not in labour force,2010Q2,1329.2
Persons aged 15 years and over,All nationalities,Not in labour force,2010Q3,1331.4
Persons aged 15 years and over,All nationalities,Not in labour force,2010Q4,1365.7
Persons aged 15 years and over,All nationalities,Not in labour force,2011Q1,1387.6
Persons aged 15 years and over,All nationalities,Not in labour force,2011Q2,1356.4
Persons aged 15 years and over,All nationalities,Not in labour force,2011Q3,1359.0
Persons aged 15 years and over,All nationalities,Not in labour force,2011Q4,1374.1
Persons aged 15 years and over,All nationalities,Not in labour force,2012Q1,1392.1
Persons aged 15 years and over,All nationalities,Not in labour force,2012Q2,1375.0
Persons aged 15 years and over,All nationalities,Not in labour force,2012Q3,1368.8
Persons aged 15 years and over,All nationalities,Not in labour force,2012Q4,1400.7
Persons aged 15 years and over,All nationalities,Not in labour force,2013Q1,1407.7
Persons aged 15 years and over,All nationalities,Not in labour force,2013Q2,1364.5
Persons aged 15 years and over,All nationalities,Not in labour force,2013Q3,1356.2
Persons aged 15 years and over,All nationalities,Not in labour force,2013Q4,1387.3
Persons aged 15 years and over,All nationalities,Not in labour force,2014Q1,1407.9
Persons aged 15 years and over,All nationalities,Not in labour force,2014Q2,1397.7
Persons aged 15 years and over,All nationalities,Not in labour force,2014Q3,1376.4
Persons aged 15 years and over,All nationalities,Not in labour force,2014Q4,1407.3
