Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,"1 Managers, directors and senior officials",Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,2 Professional,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,3 Associate professional and technical,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,4 Administrative and secreterial,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,5 Skilled trades,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,"6 Caring, leisure and other services",Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,7 Sales and customer service,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,"8 Process, plant and machine operatives",Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q1,9 Elementary,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,All NACE economic sectors,1550.3
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,"Agriculture, forestry and fishing (A)",135.6
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Construction (F),103.7
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),219.5
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Transportation and storage (H),65.6
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Accommodation and food service activities (I),99.6
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Information and communication (J),60.9
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,"Professional, scientific and technical activities (M)",71.4
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Administrative and support service activities (N),49.0
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Public administration and defence; compulsory social security (O),67.7
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Education (P),93.9
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Human health and social work activities (Q),121.7
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Industry (B to E),313.2
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,"Financial, insurance and real estate activities (K, L)",62.6
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Other NACE activities (R to U),78.1
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Industry and Construction (B to F),416.9
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Services (G to U),989.8
Persons aged 15 years and over in Employment (ILO),1998Q1,X1 Other/Not stated,Not stated,7.9
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,All NACE economic sectors,1572.0
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,"Agriculture, forestry and fishing (A)",135.2
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Construction (F),105.0
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),222.1
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Transportation and storage (H),65.9
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Accommodation and food service activities (I),104.2
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Information and communication (J),63.3
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,"Professional, scientific and technical activities (M)",73.0
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Administrative and support service activities (N),50.6
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Public administration and defence; compulsory social security (O),66.9
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Education (P),93.6
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Human health and social work activities (Q),122.7
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Industry (B to E),319.1
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,"Financial, insurance and real estate activities (K, L)",63.6
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Other NACE activities (R to U),78.2
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Industry and Construction (B to F),424.1
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Services (G to U),1004.3
Persons aged 15 years and over in Employment (ILO),1998Q2,All occupational groups,Not stated,8.4
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,"1 Managers, directors and senior officials",Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,2 Professional,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,3 Associate professional and technical,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Accommodation and food service activities (I),
