Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Other reasons,Male,19.2
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,Other reasons,Female,146.7
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,No answer given,Both sexes,8.5
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,No answer given,Male,1.8
Persons aged 15 years and over in Part-Time Employment (ILO),1999Q4,No answer given,Female,6.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,All reasons for being in part-time employment,Both sexes,299.0
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,All reasons for being in part-time employment,Male,80.9
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,All reasons for being in part-time employment,Female,218.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,"School, education or training",Both sexes,71.4
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,"School, education or training",Male,31.9
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,"School, education or training",Female,39.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Illness or disability,Both sexes,5.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Illness or disability,Male,3.4
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Illness or disability,Female,1.7
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Could not find full-time employment,Both sexes,48.2
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Could not find full-time employment,Male,23.7
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Could not find full-time employment,Female,24.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Other reasons,Both sexes,166.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Other reasons,Male,19.8
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,Other reasons,Female,146.3
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,No answer given,Both sexes,8.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,No answer given,Male,2.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q1,No answer given,Female,6.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,All reasons for being in part-time employment,Both sexes,301.7
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,All reasons for being in part-time employment,Male,80.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,All reasons for being in part-time employment,Female,221.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,"School, education or training",Both sexes,71.2
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,"School, education or training",Male,33.9
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,"School, education or training",Female,37.4
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Illness or disability,Both sexes,4.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Illness or disability,Male,2.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Illness or disability,Female,2.0
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Could not find full-time employment,Both sexes,47.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Could not find full-time employment,Male,22.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Could not find full-time employment,Female,25.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Other reasons,Both sexes,173.7
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Other reasons,Male,20.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,Other reasons,Female,153.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,No answer given,Both sexes,4.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q2,No answer given,Female,3.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,All reasons for being in part-time employment,Both sexes,306.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,All reasons for being in part-time employment,Male,81.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,All reasons for being in part-time employment,Female,224.9
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,"School, education or training",Both sexes,77.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,"School, education or training",Male,35.8
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,"School, education or training",Female,41.3
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Illness or disability,Both sexes,4.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Illness or disability,Male,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Illness or disability,Female,1.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Could not find full-time employment,Both sexes,45.9
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Could not find full-time employment,Male,22.0
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Could not find full-time employment,Female,23.9
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Other reasons,Both sexes,172.5
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Other reasons,Male,19.4
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,Other reasons,Female,153.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,No answer given,Both sexes,6.3
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,No answer given,Male,1.2
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q3,No answer given,Female,5.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,All reasons for being in part-time employment,Both sexes,303.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,All reasons for being in part-time employment,Male,78.8
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,All reasons for being in part-time employment,Female,224.8
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,"School, education or training",Both sexes,71.2
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,"School, education or training",Male,33.2
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,"School, education or training",Female,38.0
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Illness or disability,Both sexes,4.7
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Illness or disability,Male,3.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Illness or disability,Female,1.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Could not find full-time employment,Both sexes,44.9
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Could not find full-time employment,Male,21.3
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Could not find full-time employment,Female,23.6
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Other reasons,Both sexes,173.4
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Other reasons,Male,19.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,Other reasons,Female,154.3
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,No answer given,Both sexes,9.4
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,No answer given,Male,2.1
Persons aged 15 years and over in Part-Time Employment (ILO),2000Q4,No answer given,Female,7.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,All reasons for being in part-time employment,Both sexes,305.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,All reasons for being in part-time employment,Male,77.7
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,All reasons for being in part-time employment,Female,227.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,"School, education or training",Both sexes,71.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,"School, education or training",Male,33.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,"School, education or training",Female,38.6
