Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2003Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2003Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2003Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2004Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2004Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2004Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2004Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2005Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2005Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2005Q3,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2005Q4,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2006Q1,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2006Q2,
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2006Q3,115.1
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2006Q4,110.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2007Q1,109.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2007Q2,109.8
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2007Q3,113.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2007Q4,115.3
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2008Q1,117.0
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2008Q2,116.7
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2008Q3,113.1
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2008Q4,116.6
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2009Q1,110.3
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2009Q2,114.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2009Q3,114.0
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2009Q4,110.4
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2010Q1,104.8
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2010Q2,111.0
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2010Q3,114.4
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2010Q4,111.0
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2011Q1,107.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2011Q2,112.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2011Q3,107.8
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2011Q4,103.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2012Q1,103.8
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2012Q2,113.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2012Q3,110.1
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2012Q4,107.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2013Q1,106.7
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2013Q2,112.8
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2013Q3,112.4
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2013Q4,115.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2014Q1,109.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2014Q2,108.7
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2014Q3,108.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2014Q4,105.1
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2015Q1,107.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2015Q2,111.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2015Q3,112.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2015Q4,106.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2016Q1,108.1
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2016Q2,115.4
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2016Q3,115.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2016Q4,109.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2017Q1,107.7
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2017Q2,110.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2017Q3,111.2
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2017Q4,111.7
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2018Q1,113.3
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2018Q2,106.5
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2018Q3,104.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2018Q4,104.6
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2019Q1,103.8
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2019Q2,100.9
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2019Q3,99.4
Persons aged 15 years and over in Employment,All nationalities,"Agriculture, forestry and fishing (A)",2019Q4,106.9
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1998Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1998Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1998Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1998Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1999Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1999Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1999Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),1999Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2000Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2000Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2000Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2000Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2001Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2001Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2001Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2001Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2002Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2002Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2002Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2002Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2003Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2003Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2003Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2003Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2004Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2004Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2004Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2004Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2005Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2005Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2005Q3,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2005Q4,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2006Q1,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2006Q2,
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2006Q3,237.1
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2006Q4,237.3
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2007Q1,237.2
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2007Q2,240.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2007Q3,237.1
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2007Q4,232.6
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2008Q1,222.8
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2008Q2,214.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2008Q3,204.7
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2008Q4,189.9
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2009Q1,156.1
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2009Q2,132.8
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2009Q3,128.7
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2009Q4,115.6
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2010Q1,107.9
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2010Q2,104.4
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2010Q3,95.7
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2010Q4,91.1
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2011Q1,89.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2011Q2,86.8
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2011Q3,88.6
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2011Q4,88.3
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2012Q1,84.4
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2012Q2,81.3
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2012Q3,82.8
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2012Q4,85.1
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2013Q1,80.3
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2013Q2,86.2
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2013Q3,89.2
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2013Q4,88.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2014Q1,87.1
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2014Q2,90.8
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2014Q3,96.8
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2014Q4,100.4
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2015Q1,105.4
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2015Q2,109.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2015Q3,110.8
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2015Q4,109.9
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2016Q1,114.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2016Q2,119.4
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2016Q3,119.9
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2016Q4,121.1
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2017Q1,124.9
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2017Q2,128.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2017Q3,128.5
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2017Q4,133.4
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2018Q1,137.3
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2018Q2,145.7
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2018Q3,146.5
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2018Q4,144.0
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2019Q1,144.6
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2019Q2,146.3
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2019Q3,149.9
Persons aged 15 years and over in Employment,All nationalities,Construction (F),2019Q4,147.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1998Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1998Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1998Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1998Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1999Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1999Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1999Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1999Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2000Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2000Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2000Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2000Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2001Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2001Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2001Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2001Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2002Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2002Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2002Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2002Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2003Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2003Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2003Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2003Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2004Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2004Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2004Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2004Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2005Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2005Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2005Q3,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2005Q4,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2006Q1,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2006Q2,
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2006Q3,307.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2006Q4,305.8
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2007Q1,314.0
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2007Q2,318.2
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2007Q3,328.4
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2007Q4,333.8
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2008Q1,335.8
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2008Q2,330.6
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2008Q3,325.5
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2008Q4,312.5
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2009Q1,303.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2009Q2,294.8
