STATISTIC,Quarter,Sex,Usual Hours Worked,value
Persons aged 15-89 years in Employment,1998Q3,Male,35-39 hours,242.5
Persons aged 15-89 years in Employment,1998Q3,Male,40-44 hours,259.6
Persons aged 15-89 years in Employment,1998Q3,Male,45 hours and over,236.5
Persons aged 15-89 years in Employment,1998Q3,Male,Variable hours (see note),157.6
Persons aged 15-89 years in Employment,1998Q3,Female,1-9 hours,14.8
Persons aged 15-89 years in Employment,1998Q3,Female,10-19 hours,58.0
Persons aged 15-89 years in Employment,1998Q3,Female,20-29 hours,109.4
Persons aged 15-89 years in Employment,1998Q3,Female,30-34 hours,34.6
Persons aged 15-89 years in Employment,1998Q3,Female,35-39 hours,219.8
Persons aged 15-89 years in Employment,1998Q3,Female,40-44 hours,130.5
Persons aged 15-89 years in Employment,1998Q3,Female,45 hours and over,41.1
Persons aged 15-89 years in Employment,1998Q3,Female,Variable hours (see note),45.3
Persons aged 15-89 years in Employment,1998Q4,Both sexes,1-9 hours,25.7
Persons aged 15-89 years in Employment,1998Q4,Both sexes,10-19 hours,81.7
Persons aged 15-89 years in Employment,1998Q4,Both sexes,20-29 hours,147.8
Persons aged 15-89 years in Employment,1998Q4,Both sexes,30-34 hours,50.9
Persons aged 15-89 years in Employment,1998Q4,Both sexes,35-39 hours,464.8
Persons aged 15-89 years in Employment,1998Q4,Both sexes,40-44 hours,377.2
Persons aged 15-89 years in Employment,1998Q4,Both sexes,45 hours and over,267.6
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Variable hours (see note),200.0
Persons aged 15-89 years in Employment,1998Q4,Male,1-9 hours,7.8
Persons aged 15-89 years in Employment,1998Q4,Male,10-19 hours,20.6
Persons aged 15-89 years in Employment,1998Q4,Male,20-29 hours,36.5
Persons aged 15-89 years in Employment,1998Q4,Male,30-34 hours,17.7
Persons aged 15-89 years in Employment,1998Q4,Male,35-39 hours,246.4
Persons aged 15-89 years in Employment,1998Q4,Male,40-44 hours,255.3
Persons aged 15-89 years in Employment,1998Q4,Male,45 hours and over,228.8
Persons aged 15-89 years in Employment,1998Q4,Male,Variable hours (see note),160.8
Persons aged 15-89 years in Employment,1998Q4,Female,1-9 hours,18.0
Persons aged 15-89 years in Employment,1998Q4,Female,10-19 hours,61.1
Persons aged 15-89 years in Employment,1998Q4,Female,20-29 hours,111.2
Persons aged 15-89 years in Employment,1998Q4,Female,30-34 hours,33.2
Persons aged 15-89 years in Employment,1998Q4,Female,35-39 hours,218.5
Persons aged 15-89 years in Employment,1998Q4,Female,40-44 hours,121.9
Persons aged 15-89 years in Employment,1998Q4,Female,45 hours and over,38.8
Persons aged 15-89 years in Employment,1998Q4,Female,Variable hours (see note),39.2
Persons aged 15-89 years in Employment,1999Q1,Both sexes,1-9 hours,33.8
Persons aged 15-89 years in Employment,1999Q1,Both sexes,10-19 hours,88.4
Persons aged 15-89 years in Employment,1999Q1,Both sexes,20-29 hours,144.8
Persons aged 15-89 years in Employment,1999Q1,Both sexes,30-34 hours,51.3
Persons aged 15-89 years in Employment,1999Q1,Both sexes,35-39 hours,486.9
Persons aged 15-89 years in Employment,1999Q1,Both sexes,40-44 hours,367.8
Persons aged 15-89 years in Employment,1999Q1,Both sexes,45 hours and over,250.6
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Variable hours (see note),220.6
Persons aged 15-89 years in Employment,1999Q1,Male,1-9 hours,11.9
Persons aged 15-89 years in Employment,1999Q1,Male,10-19 hours,23.5
Persons aged 15-89 years in Employment,1999Q1,Male,20-29 hours,35.0
Persons aged 15-89 years in Employment,1999Q1,Male,30-34 hours,17.6
Persons aged 15-89 years in Employment,1999Q1,Male,35-39 hours,259.6
Persons aged 15-89 years in Employment,1999Q1,Male,40-44 hours,247.6
Persons aged 15-89 years in Employment,1999Q1,Male,45 hours and over,213.3
Persons aged 15-89 years in Employment,1999Q1,Male,Variable hours (see note),174.6
Persons aged 15-89 years in Employment,1999Q1,Female,1-9 hours,21.9
Persons aged 15-89 years in Employment,1999Q1,Female,10-19 hours,65.0
Persons aged 15-89 years in Employment,1999Q1,Female,20-29 hours,109.9
Persons aged 15-89 years in Employment,1999Q1,Female,30-34 hours,33.7
Persons aged 15-89 years in Employment,1999Q1,Female,35-39 hours,227.3
Persons aged 15-89 years in Employment,1999Q1,Female,40-44 hours,120.2
Persons aged 15-89 years in Employment,1999Q1,Female,45 hours and over,37.3
Persons aged 15-89 years in Employment,1999Q1,Female,Variable hours (see note),46.1
Persons aged 15-89 years in Employment,1999Q2,Both sexes,1-9 hours,29.6
Persons aged 15-89 years in Employment,1999Q2,Both sexes,10-19 hours,86.2
Persons aged 15-89 years in Employment,1999Q2,Both sexes,20-29 hours,154.6
Persons aged 15-89 years in Employment,1999Q2,Both sexes,30-34 hours,51.7
Persons aged 15-89 years in Employment,1999Q2,Both sexes,35-39 hours,506.4
Persons aged 15-89 years in Employment,1999Q2,Both sexes,40-44 hours,374.6
Persons aged 15-89 years in Employment,1999Q2,Both sexes,45 hours and over,252.9
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Variable hours (see note),223.3
Persons aged 15-89 years in Employment,1999Q2,Male,1-9 hours,9.0
Persons aged 15-89 years in Employment,1999Q2,Male,10-19 hours,22.4
Persons aged 15-89 years in Employment,1999Q2,Male,20-29 hours,37.4
Persons aged 15-89 years in Employment,1999Q2,Male,30-34 hours,18.9
Persons aged 15-89 years in Employment,1999Q2,Male,35-39 hours,273.4
Persons aged 15-89 years in Employment,1999Q2,Male,40-44 hours,249.7
Persons aged 15-89 years in Employment,1999Q2,Male,45 hours and over,214.9
Persons aged 15-89 years in Employment,1999Q2,Male,Variable hours (see note),176.0
Persons aged 15-89 years in Employment,1999Q2,Female,1-9 hours,20.6
Persons aged 15-89 years in Employment,1999Q2,Female,10-19 hours,63.8
Persons aged 15-89 years in Employment,1999Q2,Female,20-29 hours,117.2
Persons aged 15-89 years in Employment,1999Q2,Female,30-34 hours,32.7
Persons aged 15-89 years in Employment,1999Q2,Female,35-39 hours,233.0
Persons aged 15-89 years in Employment,1999Q2,Female,40-44 hours,124.9
Persons aged 15-89 years in Employment,1999Q2,Female,45 hours and over,37.9
Persons aged 15-89 years in Employment,1999Q2,Female,Variable hours (see note),47.2
Persons aged 15-89 years in Employment,1999Q3,Both sexes,1-9 hours,21.1
Persons aged 15-89 years in Employment,1999Q3,Both sexes,10-19 hours,78.3
Persons aged 15-89 years in Employment,1999Q3,Both sexes,20-29 hours,165.1
Persons aged 15-89 years in Employment,1999Q3,Both sexes,30-34 hours,56.9
Persons aged 15-89 years in Employment,1999Q3,Both sexes,35-39 hours,546.4
Persons aged 15-89 years in Employment,1999Q3,Both sexes,40-44 hours,390.5
Persons aged 15-89 years in Employment,1999Q3,Both sexes,45 hours and over,260.3
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Variable hours (see note),228.2
Persons aged 15-89 years in Employment,1999Q3,Male,1-9 hours,5.8
Persons aged 15-89 years in Employment,1999Q3,Male,10-19 hours,18.4
Persons aged 15-89 years in Employment,1999Q3,Male,20-29 hours,41.8
Persons aged 15-89 years in Employment,1999Q3,Male,30-34 hours,20.6
Persons aged 15-89 years in Employment,1999Q3,Male,35-39 hours,295.0
Persons aged 15-89 years in Employment,1999Q3,Male,40-44 hours,260.5
Persons aged 15-89 years in Employment,1999Q3,Male,45 hours and over,221.6
Persons aged 15-89 years in Employment,1999Q3,Male,Variable hours (see note),175.7
Persons aged 15-89 years in Employment,1999Q3,Female,1-9 hours,15.3
Persons aged 15-89 years in Employment,1999Q3,Female,10-19 hours,59.9
Persons aged 15-89 years in Employment,1999Q3,Female,20-29 hours,123.3
Persons aged 15-89 years in Employment,1999Q3,Female,30-34 hours,36.3
Persons aged 15-89 years in Employment,1999Q3,Female,35-39 hours,251.5
Persons aged 15-89 years in Employment,1999Q3,Female,40-44 hours,130.0
Persons aged 15-89 years in Employment,1999Q3,Female,45 hours and over,38.7
Persons aged 15-89 years in Employment,1999Q3,Female,Variable hours (see note),52.5
Persons aged 15-89 years in Employment,1999Q4,Both sexes,1-9 hours,32.6
Persons aged 15-89 years in Employment,1999Q4,Both sexes,10-19 hours,87.5
Persons aged 15-89 years in Employment,1999Q4,Both sexes,20-29 hours,162.2
Persons aged 15-89 years in Employment,1999Q4,Both sexes,30-34 hours,52.0
Persons aged 15-89 years in Employment,1999Q4,Both sexes,35-39 hours,541.1
Persons aged 15-89 years in Employment,1999Q4,Both sexes,40-44 hours,372.3
Persons aged 15-89 years in Employment,1999Q4,Both sexes,45 hours and over,253.9
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Variable hours (see note),221.6
Persons aged 15-89 years in Employment,1999Q4,Male,1-9 hours,10.3
Persons aged 15-89 years in Employment,1999Q4,Male,10-19 hours,20.7
Persons aged 15-89 years in Employment,1999Q4,Male,20-29 hours,39.2
Persons aged 15-89 years in Employment,1999Q4,Male,30-34 hours,18.0
Persons aged 15-89 years in Employment,1999Q4,Male,35-39 hours,292.9
Persons aged 15-89 years in Employment,1999Q4,Male,40-44 hours,254.2
Persons aged 15-89 years in Employment,1999Q4,Male,45 hours and over,216.0
Persons aged 15-89 years in Employment,1999Q4,Male,Variable hours (see note),174.8
Persons aged 15-89 years in Employment,1999Q4,Female,1-9 hours,22.3
Persons aged 15-89 years in Employment,1999Q4,Female,10-19 hours,66.8
Persons aged 15-89 years in Employment,1999Q4,Female,20-29 hours,123.0
Persons aged 15-89 years in Employment,1999Q4,Female,30-34 hours,34.0
Persons aged 15-89 years in Employment,1999Q4,Female,35-39 hours,248.1
Persons aged 15-89 years in Employment,1999Q4,Female,40-44 hours,118.0
Persons aged 15-89 years in Employment,1999Q4,Female,45 hours and over,38.0
Persons aged 15-89 years in Employment,1999Q4,Female,Variable hours (see note),46.7
Persons aged 15-89 years in Employment,2000Q1,Both sexes,1-9 hours,34.4
Persons aged 15-89 years in Employment,2000Q1,Both sexes,10-19 hours,92.7
Persons aged 15-89 years in Employment,2000Q1,Both sexes,20-29 hours,161.7
Persons aged 15-89 years in Employment,2000Q1,Both sexes,30-34 hours,50.3
Persons aged 15-89 years in Employment,2000Q1,Both sexes,35-39 hours,547.0
Persons aged 15-89 years in Employment,2000Q1,Both sexes,40-44 hours,368.5
Persons aged 15-89 years in Employment,2000Q1,Both sexes,45 hours and over,257.2
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Variable hours (see note),215.0
Persons aged 15-89 years in Employment,2000Q1,Male,1-9 hours,10.7
Persons aged 15-89 years in Employment,2000Q1,Male,10-19 hours,24.0
Persons aged 15-89 years in Employment,2000Q1,Male,20-29 hours,38.6
Persons aged 15-89 years in Employment,2000Q1,Male,30-34 hours,18.4
Persons aged 15-89 years in Employment,2000Q1,Male,35-39 hours,298.0
Persons aged 15-89 years in Employment,2000Q1,Male,40-44 hours,253.7
Persons aged 15-89 years in Employment,2000Q1,Male,45 hours and over,216.4
Persons aged 15-89 years in Employment,2000Q1,Male,Variable hours (see note),169.4
Persons aged 15-89 years in Employment,2000Q1,Female,1-9 hours,23.8
Persons aged 15-89 years in Employment,2000Q1,Female,10-19 hours,68.7
Persons aged 15-89 years in Employment,2000Q1,Female,20-29 hours,123.1
Persons aged 15-89 years in Employment,2000Q1,Female,30-34 hours,31.9
Persons aged 15-89 years in Employment,2000Q1,Female,35-39 hours,249.0
Persons aged 15-89 years in Employment,2000Q1,Female,40-44 hours,114.8
Persons aged 15-89 years in Employment,2000Q1,Female,45 hours and over,40.8
Persons aged 15-89 years in Employment,2000Q1,Female,Variable hours (see note),45.5
Persons aged 15-89 years in Employment,2000Q2,Both sexes,1-9 hours,28.7
Persons aged 15-89 years in Employment,2000Q2,Both sexes,10-19 hours,90.6
Persons aged 15-89 years in Employment,2000Q2,Both sexes,20-29 hours,163.7
Persons aged 15-89 years in Employment,2000Q2,Both sexes,30-34 hours,50.2
Persons aged 15-89 years in Employment,2000Q2,Both sexes,35-39 hours,567.9
Persons aged 15-89 years in Employment,2000Q2,Both sexes,40-44 hours,375.3
Persons aged 15-89 years in Employment,2000Q2,Both sexes,45 hours and over,245.8
Persons aged 15-89 years in Employment,2000Q2,Both sexes,Variable hours (see note),235.9
Persons aged 15-89 years in Employment,2000Q2,Male,1-9 hours,9.1
Persons aged 15-89 years in Employment,2000Q2,Male,10-19 hours,21.9
Persons aged 15-89 years in Employment,2000Q2,Male,20-29 hours,37.0
Persons aged 15-89 years in Employment,2000Q2,Male,30-34 hours,18.2
Persons aged 15-89 years in Employment,2000Q2,Male,35-39 hours,309.2
Persons aged 15-89 years in Employment,2000Q2,Male,40-44 hours,253.6
Persons aged 15-89 years in Employment,2000Q2,Male,45 hours and over,206.3
Persons aged 15-89 years in Employment,2000Q2,Male,Variable hours (see note),186.4
Persons aged 15-89 years in Employment,2000Q2,Female,1-9 hours,19.6
Persons aged 15-89 years in Employment,2000Q2,Female,10-19 hours,68.7
Persons aged 15-89 years in Employment,2000Q2,Female,20-29 hours,126.7
Persons aged 15-89 years in Employment,2000Q2,Female,30-34 hours,32.1
Persons aged 15-89 years in Employment,2000Q2,Female,35-39 hours,258.7
Persons aged 15-89 years in Employment,2000Q2,Female,40-44 hours,121.7
Persons aged 15-89 years in Employment,2000Q2,Female,45 hours and over,39.5
Persons aged 15-89 years in Employment,2000Q2,Female,Variable hours (see note),49.5
Persons aged 15-89 years in Employment,2000Q3,Both sexes,1-9 hours,20.7
Persons aged 15-89 years in Employment,2000Q3,Both sexes,10-19 hours,83.6
Persons aged 15-89 years in Employment,2000Q3,Both sexes,20-29 hours,177.0
Persons aged 15-89 years in Employment,2000Q3,Both sexes,30-34 hours,54.8
Persons aged 15-89 years in Employment,2000Q3,Both sexes,35-39 hours,610.7
Persons aged 15-89 years in Employment,2000Q3,Both sexes,40-44 hours,395.8
Persons aged 15-89 years in Employment,2000Q3,Both sexes,45 hours and over,256.1
Persons aged 15-89 years in Employment,2000Q3,Both sexes,Variable hours (see note),219.8
Persons aged 15-89 years in Employment,2000Q3,Male,1-9 hours,5.8
Persons aged 15-89 years in Employment,2000Q3,Male,10-19 hours,17.7
Persons aged 15-89 years in Employment,2000Q3,Male,20-29 hours,41.2
Persons aged 15-89 years in Employment,2000Q3,Male,30-34 hours,19.8
Persons aged 15-89 years in Employment,2000Q3,Male,35-39 hours,331.5
Persons aged 15-89 years in Employment,2000Q3,Male,40-44 hours,266.0
Persons aged 15-89 years in Employment,2000Q3,Male,45 hours and over,217.0
Persons aged 15-89 years in Employment,2000Q3,Male,Variable hours (see note),174.3
Persons aged 15-89 years in Employment,2000Q3,Female,1-9 hours,14.9
Persons aged 15-89 years in Employment,2000Q3,Female,10-19 hours,65.8
Persons aged 15-89 years in Employment,2000Q3,Female,20-29 hours,135.8
Persons aged 15-89 years in Employment,2000Q3,Female,30-34 hours,35.0
Persons aged 15-89 years in Employment,2000Q3,Female,35-39 hours,279.3
Persons aged 15-89 years in Employment,2000Q3,Female,40-44 hours,129.8
Persons aged 15-89 years in Employment,2000Q3,Female,45 hours and over,39.2
Persons aged 15-89 years in Employment,2000Q3,Female,Variable hours (see note),45.5
Persons aged 15-89 years in Employment,2000Q4,Both sexes,1-9 hours,30.7
Persons aged 15-89 years in Employment,2000Q4,Both sexes,10-19 hours,95.3
Persons aged 15-89 years in Employment,2000Q4,Both sexes,20-29 hours,172.7
Persons aged 15-89 years in Employment,2000Q4,Both sexes,30-34 hours,49.6
Persons aged 15-89 years in Employment,2000Q4,Both sexes,35-39 hours,600.8
Persons aged 15-89 years in Employment,2000Q4,Both sexes,40-44 hours,381.7
Persons aged 15-89 years in Employment,2000Q4,Both sexes,45 hours and over,247.7
Persons aged 15-89 years in Employment,2000Q4,Both sexes,Variable hours (see note),209.1
Persons aged 15-89 years in Employment,2000Q4,Male,1-9 hours,9.7
Persons aged 15-89 years in Employment,2000Q4,Male,10-19 hours,23.2
Persons aged 15-89 years in Employment,2000Q4,Male,20-29 hours,39.8
Persons aged 15-89 years in Employment,2000Q4,Male,30-34 hours,16.8
Persons aged 15-89 years in Employment,2000Q4,Male,35-39 hours,329.2
Persons aged 15-89 years in Employment,2000Q4,Male,40-44 hours,260.2
Persons aged 15-89 years in Employment,2000Q4,Male,45 hours and over,209.8
Persons aged 15-89 years in Employment,2000Q4,Male,Variable hours (see note),169.0
Persons aged 15-89 years in Employment,2000Q4,Female,1-9 hours,20.9
Persons aged 15-89 years in Employment,2000Q4,Female,10-19 hours,72.1
Persons aged 15-89 years in Employment,2000Q4,Female,20-29 hours,132.9
Persons aged 15-89 years in Employment,2000Q4,Female,30-34 hours,32.8
Persons aged 15-89 years in Employment,2000Q4,Female,35-39 hours,271.6
Persons aged 15-89 years in Employment,2000Q4,Female,40-44 hours,121.5
Persons aged 15-89 years in Employment,2000Q4,Female,45 hours and over,37.9
Persons aged 15-89 years in Employment,2000Q4,Female,Variable hours (see note),40.1
Persons aged 15-89 years in Employment,2001Q1,Both sexes,1-9 hours,31.0
Persons aged 15-89 years in Employment,2001Q1,Both sexes,10-19 hours,96.1
Persons aged 15-89 years in Employment,2001Q1,Both sexes,20-29 hours,173.2
Persons aged 15-89 years in Employment,2001Q1,Both sexes,30-34 hours,51.6
Persons aged 15-89 years in Employment,2001Q1,Both sexes,35-39 hours,598.4
Persons aged 15-89 years in Employment,2001Q1,Both sexes,40-44 hours,377.6
Persons aged 15-89 years in Employment,2001Q1,Both sexes,45 hours and over,250.0
Persons aged 15-89 years in Employment,2001Q1,Both sexes,Variable hours (see note),202.5
Persons aged 15-89 years in Employment,2001Q1,Male,1-9 hours,10.5
Persons aged 15-89 years in Employment,2001Q1,Male,10-19 hours,24.3
Persons aged 15-89 years in Employment,2001Q1,Male,20-29 hours,37.4
Persons aged 15-89 years in Employment,2001Q1,Male,30-34 hours,16.7
Persons aged 15-89 years in Employment,2001Q1,Male,35-39 hours,330.8
Persons aged 15-89 years in Employment,2001Q1,Male,40-44 hours,260.7
Persons aged 15-89 years in Employment,2001Q1,Male,45 hours and over,212.1
Persons aged 15-89 years in Employment,2001Q1,Male,Variable hours (see note),161.3
Persons aged 15-89 years in Employment,2001Q1,Female,1-9 hours,20.5
Persons aged 15-89 years in Employment,2001Q1,Female,10-19 hours,71.8
Persons aged 15-89 years in Employment,2001Q1,Female,20-29 hours,135.8
Persons aged 15-89 years in Employment,2001Q1,Female,30-34 hours,34.8
Persons aged 15-89 years in Employment,2001Q1,Female,35-39 hours,267.5
Persons aged 15-89 years in Employment,2001Q1,Female,40-44 hours,116.9
Persons aged 15-89 years in Employment,2001Q1,Female,45 hours and over,37.9
Persons aged 15-89 years in Employment,2001Q1,Female,Variable hours (see note),41.2
Persons aged 15-89 years in Employment,2001Q2,Both sexes,1-9 hours,27.3
Persons aged 15-89 years in Employment,2001Q2,Both sexes,10-19 hours,92.7
Persons aged 15-89 years in Employment,2001Q2,Both sexes,20-29 hours,178.6
Persons aged 15-89 years in Employment,2001Q2,Both sexes,30-34 hours,55.3
Persons aged 15-89 years in Employment,2001Q2,Both sexes,35-39 hours,615.8
Persons aged 15-89 years in Employment,2001Q2,Both sexes,40-44 hours,377.2
Persons aged 15-89 years in Employment,2001Q2,Both sexes,45 hours and over,248.5
Persons aged 15-89 years in Employment,2001Q2,Both sexes,Variable hours (see note),214.3
Persons aged 15-89 years in Employment,2001Q2,Male,1-9 hours,8.3
Persons aged 15-89 years in Employment,2001Q2,Male,10-19 hours,22.2
Persons aged 15-89 years in Employment,2001Q2,Male,20-29 hours,37.9
Persons aged 15-89 years in Employment,2001Q2,Male,30-34 hours,18.1
Persons aged 15-89 years in Employment,2001Q2,Male,35-39 hours,340.3
Persons aged 15-89 years in Employment,2001Q2,Male,40-44 hours,259.2
Persons aged 15-89 years in Employment,2001Q2,Male,45 hours and over,212.1
Persons aged 15-89 years in Employment,2001Q2,Male,Variable hours (see note),170.6
Persons aged 15-89 years in Employment,2001Q2,Female,1-9 hours,19.0
Persons aged 15-89 years in Employment,2001Q2,Female,10-19 hours,70.5
Persons aged 15-89 years in Employment,2001Q2,Female,20-29 hours,140.7
Persons aged 15-89 years in Employment,2001Q2,Female,30-34 hours,37.2
Persons aged 15-89 years in Employment,2001Q2,Female,35-39 hours,275.5
Persons aged 15-89 years in Employment,2001Q2,Female,40-44 hours,118.0
Persons aged 15-89 years in Employment,2001Q2,Female,45 hours and over,36.3
Persons aged 15-89 years in Employment,2001Q2,Female,Variable hours (see note),43.7
Persons aged 15-89 years in Employment,2001Q3,Both sexes,1-9 hours,21.4
Persons aged 15-89 years in Employment,2001Q3,Both sexes,10-19 hours,82.9
Persons aged 15-89 years in Employment,2001Q3,Both sexes,20-29 hours,185.7
Persons aged 15-89 years in Employment,2001Q3,Both sexes,30-34 hours,62.9
Persons aged 15-89 years in Employment,2001Q3,Both sexes,35-39 hours,647.5
Persons aged 15-89 years in Employment,2001Q3,Both sexes,40-44 hours,386.7
Persons aged 15-89 years in Employment,2001Q3,Both sexes,45 hours and over,246.9
Persons aged 15-89 years in Employment,2001Q3,Both sexes,Variable hours (see note),232.9
Persons aged 15-89 years in Employment,2001Q3,Male,1-9 hours,5.6
Persons aged 15-89 years in Employment,2001Q3,Male,10-19 hours,17.0
Persons aged 15-89 years in Employment,2001Q3,Male,20-29 hours,43.0
Persons aged 15-89 years in Employment,2001Q3,Male,30-34 hours,20.7
Persons aged 15-89 years in Employment,2001Q3,Male,35-39 hours,351.8
Persons aged 15-89 years in Employment,2001Q3,Male,40-44 hours,264.3
Persons aged 15-89 years in Employment,2001Q3,Male,45 hours and over,210.9
Persons aged 15-89 years in Employment,2001Q3,Male,Variable hours (see note),181.4
Persons aged 15-89 years in Employment,2001Q3,Female,1-9 hours,15.8
Persons aged 15-89 years in Employment,2001Q3,Female,10-19 hours,65.9
Persons aged 15-89 years in Employment,2001Q3,Female,20-29 hours,142.7
Persons aged 15-89 years in Employment,2001Q3,Female,30-34 hours,42.2
Persons aged 15-89 years in Employment,2001Q3,Female,35-39 hours,295.7
Persons aged 15-89 years in Employment,2001Q3,Female,40-44 hours,122.4
Persons aged 15-89 years in Employment,2001Q3,Female,45 hours and over,36.0
Persons aged 15-89 years in Employment,2001Q3,Female,Variable hours (see note),51.5
Persons aged 15-89 years in Employment,2001Q4,Both sexes,1-9 hours,32.2
Persons aged 15-89 years in Employment,2001Q4,Both sexes,10-19 hours,97.2
Persons aged 15-89 years in Employment,2001Q4,Both sexes,20-29 hours,177.7
Persons aged 15-89 years in Employment,2001Q4,Both sexes,30-34 hours,58.9
Persons aged 15-89 years in Employment,2001Q4,Both sexes,35-39 hours,641.4
Persons aged 15-89 years in Employment,2001Q4,Both sexes,40-44 hours,366.7
Persons aged 15-89 years in Employment,2001Q4,Both sexes,45 hours and over,241.7
Persons aged 15-89 years in Employment,2001Q4,Both sexes,Variable hours (see note),217.3
Persons aged 15-89 years in Employment,2001Q4,Male,1-9 hours,9.8
Persons aged 15-89 years in Employment,2001Q4,Male,10-19 hours,22.6
Persons aged 15-89 years in Employment,2001Q4,Male,20-29 hours,38.5
Persons aged 15-89 years in Employment,2001Q4,Male,30-34 hours,19.4
Persons aged 15-89 years in Employment,2001Q4,Male,35-39 hours,349.5
Persons aged 15-89 years in Employment,2001Q4,Male,40-44 hours,251.7
