Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment,1998Q1,Male,Transportation and storage (H),52.9
Persons aged 15-89 years in Employment,1998Q1,Male,Accommodation and food service activities (I),45.7
Persons aged 15-89 years in Employment,1998Q1,Male,Information and communication (J),38.5
Persons aged 15-89 years in Employment,1998Q1,Male,"Professional, scientific and technical activities (M)",44.2
Persons aged 15-89 years in Employment,1998Q1,Male,Administrative and support service activities (N),24.3
Persons aged 15-89 years in Employment,1998Q1,Male,"Public administration and defence, compulsory social security (O)",43.6
Persons aged 15-89 years in Employment,1998Q1,Male,Education (P),32.7
Persons aged 15-89 years in Employment,1998Q1,Male,Human health and social work activities (Q),28.7
Persons aged 15-89 years in Employment,1998Q1,Male,Industry (B to E),219.3
Persons aged 15-89 years in Employment,1998Q1,Male,Industry and Construction (B to F),320.0
Persons aged 15-89 years in Employment,1998Q1,Male,Services (G to U),492.6
Persons aged 15-89 years in Employment,1998Q1,Male,"Financial, insurance and real estate activities (K,L)",27.9
Persons aged 15-89 years in Employment,1998Q1,Male,Other NACE activities (R to U),35.8
Persons aged 15-89 years in Employment,1998Q1,Male,Not stated,4.7
Persons aged 15-89 years in Employment,1998Q1,Female,All NACE economic sectors,615.4
Persons aged 15-89 years in Employment,1998Q1,Female,"Agriculture, forestry and fishing (A)",18.1
Persons aged 15-89 years in Employment,1998Q1,Female,Construction (F),3.0
Persons aged 15-89 years in Employment,1998Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",101.1
Persons aged 15-89 years in Employment,1998Q1,Female,Transportation and storage (H),12.7
Persons aged 15-89 years in Employment,1998Q1,Female,Accommodation and food service activities (I),53.9
Persons aged 15-89 years in Employment,1998Q1,Female,Information and communication (J),22.4
Persons aged 15-89 years in Employment,1998Q1,Female,"Professional, scientific and technical activities (M)",27.2
Persons aged 15-89 years in Employment,1998Q1,Female,Administrative and support service activities (N),24.6
Persons aged 15-89 years in Employment,1998Q1,Female,"Public administration and defence, compulsory social security (O)",24.1
Persons aged 15-89 years in Employment,1998Q1,Female,Education (P),61.2
Persons aged 15-89 years in Employment,1998Q1,Female,Human health and social work activities (Q),93.0
Persons aged 15-89 years in Employment,1998Q1,Female,Industry (B to E),93.9
Persons aged 15-89 years in Employment,1998Q1,Female,Industry and Construction (B to F),96.9
Persons aged 15-89 years in Employment,1998Q1,Female,Services (G to U),497.2
Persons aged 15-89 years in Employment,1998Q1,Female,"Financial, insurance and real estate activities (K,L)",34.7
Persons aged 15-89 years in Employment,1998Q1,Female,Other NACE activities (R to U),42.3
Persons aged 15-89 years in Employment,1998Q1,Female,Not stated,3.2
Persons aged 15-89 years in Employment,1998Q2,Both sexes,All NACE economic sectors,1572.0
Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Agriculture, forestry and fishing (A)",135.2
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Construction (F),105.0
Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",222.1
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Transportation and storage (H),65.9
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Accommodation and food service activities (I),104.2
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Information and communication (J),63.3
Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Professional, scientific and technical activities (M)",73.0
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Administrative and support service activities (N),50.6
Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Public administration and defence, compulsory social security (O)",66.9
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Education (P),93.6
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Human health and social work activities (Q),122.7
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Industry (B to E),319.1
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Industry and Construction (B to F),424.1
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Services (G to U),1004.3
Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",63.6
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Other NACE activities (R to U),78.2
Persons aged 15-89 years in Employment,1998Q2,Both sexes,Not stated,8.4
Persons aged 15-89 years in Employment,1998Q2,Male,All NACE economic sectors,948.2
Persons aged 15-89 years in Employment,1998Q2,Male,"Agriculture, forestry and fishing (A)",117.3
Persons aged 15-89 years in Employment,1998Q2,Male,Construction (F),101.8
Persons aged 15-89 years in Employment,1998Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",119.3
Persons aged 15-89 years in Employment,1998Q2,Male,Transportation and storage (H),53.0
Persons aged 15-89 years in Employment,1998Q2,Male,Accommodation and food service activities (I),46.9
Persons aged 15-89 years in Employment,1998Q2,Male,Information and communication (J),40.4
Persons aged 15-89 years in Employment,1998Q2,Male,"Professional, scientific and technical activities (M)",45.8
Persons aged 15-89 years in Employment,1998Q2,Male,Administrative and support service activities (N),24.7
Persons aged 15-89 years in Employment,1998Q2,Male,"Public administration and defence, compulsory social security (O)",43.1
Persons aged 15-89 years in Employment,1998Q2,Male,Education (P),32.8
Persons aged 15-89 years in Employment,1998Q2,Male,Human health and social work activities (Q),30.4
Persons aged 15-89 years in Employment,1998Q2,Male,Industry (B to E),222.7
Persons aged 15-89 years in Employment,1998Q2,Male,Industry and Construction (B to F),324.5
Persons aged 15-89 years in Employment,1998Q2,Male,Services (G to U),501.6
Persons aged 15-89 years in Employment,1998Q2,Male,"Financial, insurance and real estate activities (K,L)",28.3
Persons aged 15-89 years in Employment,1998Q2,Male,Other NACE activities (R to U),36.9
Persons aged 15-89 years in Employment,1998Q2,Male,Not stated,4.8
Persons aged 15-89 years in Employment,1998Q2,Female,All NACE economic sectors,623.8
Persons aged 15-89 years in Employment,1998Q2,Female,"Agriculture, forestry and fishing (A)",17.9
Persons aged 15-89 years in Employment,1998Q2,Female,Construction (F),3.2
Persons aged 15-89 years in Employment,1998Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",102.7
Persons aged 15-89 years in Employment,1998Q2,Female,Transportation and storage (H),12.9
Persons aged 15-89 years in Employment,1998Q2,Female,Accommodation and food service activities (I),57.3
Persons aged 15-89 years in Employment,1998Q2,Female,Information and communication (J),22.9
Persons aged 15-89 years in Employment,1998Q2,Female,"Professional, scientific and technical activities (M)",27.2
Persons aged 15-89 years in Employment,1998Q2,Female,Administrative and support service activities (N),25.9
Persons aged 15-89 years in Employment,1998Q2,Female,"Public administration and defence, compulsory social security (O)",23.8
Persons aged 15-89 years in Employment,1998Q2,Female,Education (P),60.8
Persons aged 15-89 years in Employment,1998Q2,Female,Human health and social work activities (Q),92.4
Persons aged 15-89 years in Employment,1998Q2,Female,Industry (B to E),96.4
Persons aged 15-89 years in Employment,1998Q2,Female,Industry and Construction (B to F),99.6
Persons aged 15-89 years in Employment,1998Q2,Female,Services (G to U),502.7
Persons aged 15-89 years in Employment,1998Q2,Female,"Financial, insurance and real estate activities (K,L)",35.3
Persons aged 15-89 years in Employment,1998Q2,Female,Other NACE activities (R to U),41.3
Persons aged 15-89 years in Employment,1998Q2,Female,Not stated,3.5
Persons aged 15-89 years in Employment,1998Q3,Both sexes,All NACE economic sectors,1636.3
Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Agriculture, forestry and fishing (A)",137.4
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Construction (F),112.0
Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",233.6
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Transportation and storage (H),68.3
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Accommodation and food service activities (I),113.4
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Information and communication (J),68.0
Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Professional, scientific and technical activities (M)",74.8
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Administrative and support service activities (N),52.7
Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Public administration and defence, compulsory social security (O)",67.7
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Education (P),91.7
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Human health and social work activities (Q),127.0
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Industry (B to E),329.3
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Industry and Construction (B to F),441.3
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Services (G to U),1048.4
Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",67.6
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Other NACE activities (R to U),83.7
Persons aged 15-89 years in Employment,1998Q3,Both sexes,Not stated,9.1
Persons aged 15-89 years in Employment,1998Q3,Male,All NACE economic sectors,982.8
Persons aged 15-89 years in Employment,1998Q3,Male,"Agriculture, forestry and fishing (A)",119.4
Persons aged 15-89 years in Employment,1998Q3,Male,Construction (F),108.4
Persons aged 15-89 years in Employment,1998Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",123.1
Persons aged 15-89 years in Employment,1998Q3,Male,Transportation and storage (H),55.3
Persons aged 15-89 years in Employment,1998Q3,Male,Accommodation and food service activities (I),50.4
Persons aged 15-89 years in Employment,1998Q3,Male,Information and communication (J),42.6
Persons aged 15-89 years in Employment,1998Q3,Male,"Professional, scientific and technical activities (M)",45.5
Persons aged 15-89 years in Employment,1998Q3,Male,Administrative and support service activities (N),26.1
Persons aged 15-89 years in Employment,1998Q3,Male,"Public administration and defence, compulsory social security (O)",43.8
Persons aged 15-89 years in Employment,1998Q3,Male,Education (P),32.8
Persons aged 15-89 years in Employment,1998Q3,Male,Human health and social work activities (Q),29.5
Persons aged 15-89 years in Employment,1998Q3,Male,Industry (B to E),231.0
Persons aged 15-89 years in Employment,1998Q3,Male,Industry and Construction (B to F),339.4
Persons aged 15-89 years in Employment,1998Q3,Male,Services (G to U),518.6
Persons aged 15-89 years in Employment,1998Q3,Male,"Financial, insurance and real estate activities (K,L)",30.7
Persons aged 15-89 years in Employment,1998Q3,Male,Other NACE activities (R to U),38.7
Persons aged 15-89 years in Employment,1998Q3,Male,Not stated,5.4
Persons aged 15-89 years in Employment,1998Q3,Female,All NACE economic sectors,653.5
Persons aged 15-89 years in Employment,1998Q3,Female,"Agriculture, forestry and fishing (A)",18.0
Persons aged 15-89 years in Employment,1998Q3,Female,Construction (F),3.6
Persons aged 15-89 years in Employment,1998Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",110.5
Persons aged 15-89 years in Employment,1998Q3,Female,Transportation and storage (H),13.0
Persons aged 15-89 years in Employment,1998Q3,Female,Accommodation and food service activities (I),63.0
Persons aged 15-89 years in Employment,1998Q3,Female,Information and communication (J),25.4
Persons aged 15-89 years in Employment,1998Q3,Female,"Professional, scientific and technical activities (M)",29.3
Persons aged 15-89 years in Employment,1998Q3,Female,Administrative and support service activities (N),26.6
Persons aged 15-89 years in Employment,1998Q3,Female,"Public administration and defence, compulsory social security (O)",23.9
Persons aged 15-89 years in Employment,1998Q3,Female,Education (P),58.9
Persons aged 15-89 years in Employment,1998Q3,Female,Human health and social work activities (Q),97.5
Persons aged 15-89 years in Employment,1998Q3,Female,Industry (B to E),98.3
Persons aged 15-89 years in Employment,1998Q3,Female,Industry and Construction (B to F),101.9
Persons aged 15-89 years in Employment,1998Q3,Female,Services (G to U),529.9
Persons aged 15-89 years in Employment,1998Q3,Female,"Financial, insurance and real estate activities (K,L)",36.8
Persons aged 15-89 years in Employment,1998Q3,Female,Other NACE activities (R to U),45.1
Persons aged 15-89 years in Employment,1998Q3,Female,Not stated,3.7
Persons aged 15-89 years in Employment,1998Q4,Both sexes,All NACE economic sectors,1615.7
Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Agriculture, forestry and fishing (A)",137.0
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Construction (F),115.1
Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",227.5
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Transportation and storage (H),70.4
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Accommodation and food service activities (I),104.5
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Information and communication (J),67.7
Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Professional, scientific and technical activities (M)",75.2
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Administrative and support service activities (N),53.3
Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Public administration and defence, compulsory social security (O)",66.1
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Education (P),97.0
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Human health and social work activities (Q),123.3
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Industry (B to E),321.1
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Industry and Construction (B to F),436.2
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Services (G to U),1031.1
Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",67.0
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Other NACE activities (R to U),79.1
Persons aged 15-89 years in Employment,1998Q4,Both sexes,Not stated,11.5
Persons aged 15-89 years in Employment,1998Q4,Male,All NACE economic sectors,973.9
Persons aged 15-89 years in Employment,1998Q4,Male,"Agriculture, forestry and fishing (A)",119.9
Persons aged 15-89 years in Employment,1998Q4,Male,Construction (F),111.2
Persons aged 15-89 years in Employment,1998Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",118.6
Persons aged 15-89 years in Employment,1998Q4,Male,Transportation and storage (H),56.3
Persons aged 15-89 years in Employment,1998Q4,Male,Accommodation and food service activities (I),46.0
Persons aged 15-89 years in Employment,1998Q4,Male,Information and communication (J),42.3
Persons aged 15-89 years in Employment,1998Q4,Male,"Professional, scientific and technical activities (M)",45.2
Persons aged 15-89 years in Employment,1998Q4,Male,Administrative and support service activities (N),27.0
Persons aged 15-89 years in Employment,1998Q4,Male,"Public administration and defence, compulsory social security (O)",43.0
Persons aged 15-89 years in Employment,1998Q4,Male,Education (P),33.4
Persons aged 15-89 years in Employment,1998Q4,Male,Human health and social work activities (Q),28.5
Persons aged 15-89 years in Employment,1998Q4,Male,Industry (B to E),229.1
Persons aged 15-89 years in Employment,1998Q4,Male,Industry and Construction (B to F),340.3
Persons aged 15-89 years in Employment,1998Q4,Male,Services (G to U),506.7
Persons aged 15-89 years in Employment,1998Q4,Male,"Financial, insurance and real estate activities (K,L)",30.4
Persons aged 15-89 years in Employment,1998Q4,Male,Other NACE activities (R to U),36.0
Persons aged 15-89 years in Employment,1998Q4,Male,Not stated,7.0
Persons aged 15-89 years in Employment,1998Q4,Female,All NACE economic sectors,641.8
Persons aged 15-89 years in Employment,1998Q4,Female,"Agriculture, forestry and fishing (A)",17.1
Persons aged 15-89 years in Employment,1998Q4,Female,Construction (F),3.9
Persons aged 15-89 years in Employment,1998Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",108.9
Persons aged 15-89 years in Employment,1998Q4,Female,Transportation and storage (H),14.1
Persons aged 15-89 years in Employment,1998Q4,Female,Accommodation and food service activities (I),58.5
Persons aged 15-89 years in Employment,1998Q4,Female,Information and communication (J),25.4
Persons aged 15-89 years in Employment,1998Q4,Female,"Professional, scientific and technical activities (M)",30.1
Persons aged 15-89 years in Employment,1998Q4,Female,Administrative and support service activities (N),26.3
Persons aged 15-89 years in Employment,1998Q4,Female,"Public administration and defence, compulsory social security (O)",23.1
Persons aged 15-89 years in Employment,1998Q4,Female,Education (P),63.6
Persons aged 15-89 years in Employment,1998Q4,Female,Human health and social work activities (Q),94.8
Persons aged 15-89 years in Employment,1998Q4,Female,Industry (B to E),91.9
Persons aged 15-89 years in Employment,1998Q4,Female,Industry and Construction (B to F),95.9
Persons aged 15-89 years in Employment,1998Q4,Female,Services (G to U),524.4
Persons aged 15-89 years in Employment,1998Q4,Female,"Financial, insurance and real estate activities (K,L)",36.5
Persons aged 15-89 years in Employment,1998Q4,Female,Other NACE activities (R to U),43.1
Persons aged 15-89 years in Employment,1998Q4,Female,Not stated,4.5
Persons aged 15-89 years in Employment,1999Q1,Both sexes,All NACE economic sectors,1644.4
Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Agriculture, forestry and fishing (A)",139.7
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Construction (F),117.5
Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",230.3
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Transportation and storage (H),72.3
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Accommodation and food service activities (I),104.0
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Information and communication (J),71.4
Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Professional, scientific and technical activities (M)",76.9
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Administrative and support service activities (N),54.8
Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Public administration and defence, compulsory social security (O)",70.0
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Education (P),101.1
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Human health and social work activities (Q),125.2
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Industry (B to E),321.0
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Industry and Construction (B to F),438.5
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Services (G to U),1056.8
Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",70.4
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Other NACE activities (R to U),80.4
Persons aged 15-89 years in Employment,1999Q1,Both sexes,Not stated,9.4
Persons aged 15-89 years in Employment,1999Q1,Male,All NACE economic sectors,982.9
Persons aged 15-89 years in Employment,1999Q1,Male,"Agriculture, forestry and fishing (A)",120.2
Persons aged 15-89 years in Employment,1999Q1,Male,Construction (F),113.5
Persons aged 15-89 years in Employment,1999Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",120.6
Persons aged 15-89 years in Employment,1999Q1,Male,Transportation and storage (H),57.5
Persons aged 15-89 years in Employment,1999Q1,Male,Accommodation and food service activities (I),47.0
Persons aged 15-89 years in Employment,1999Q1,Male,Information and communication (J),44.7
Persons aged 15-89 years in Employment,1999Q1,Male,"Professional, scientific and technical activities (M)",46.6
Persons aged 15-89 years in Employment,1999Q1,Male,Administrative and support service activities (N),27.7
Persons aged 15-89 years in Employment,1999Q1,Male,"Public administration and defence, compulsory social security (O)",45.0
Persons aged 15-89 years in Employment,1999Q1,Male,Education (P),33.2
Persons aged 15-89 years in Employment,1999Q1,Male,Human health and social work activities (Q),26.8
Persons aged 15-89 years in Employment,1999Q1,Male,Industry (B to E),225.7
Persons aged 15-89 years in Employment,1999Q1,Male,Industry and Construction (B to F),339.1
Persons aged 15-89 years in Employment,1999Q1,Male,Services (G to U),518.1
Persons aged 15-89 years in Employment,1999Q1,Male,"Financial, insurance and real estate activities (K,L)",32.9
Persons aged 15-89 years in Employment,1999Q1,Male,Other NACE activities (R to U),36.1
Persons aged 15-89 years in Employment,1999Q1,Male,Not stated,5.5
Persons aged 15-89 years in Employment,1999Q1,Female,All NACE economic sectors,661.5
Persons aged 15-89 years in Employment,1999Q1,Female,"Agriculture, forestry and fishing (A)",19.5
Persons aged 15-89 years in Employment,1999Q1,Female,Construction (F),4.1
Persons aged 15-89 years in Employment,1999Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",109.7
Persons aged 15-89 years in Employment,1999Q1,Female,Transportation and storage (H),14.8
Persons aged 15-89 years in Employment,1999Q1,Female,Accommodation and food service activities (I),57.0
Persons aged 15-89 years in Employment,1999Q1,Female,Information and communication (J),26.7
Persons aged 15-89 years in Employment,1999Q1,Female,"Professional, scientific and technical activities (M)",30.3
Persons aged 15-89 years in Employment,1999Q1,Female,Administrative and support service activities (N),27.1
Persons aged 15-89 years in Employment,1999Q1,Female,"Public administration and defence, compulsory social security (O)",25.1
Persons aged 15-89 years in Employment,1999Q1,Female,Education (P),67.9
Persons aged 15-89 years in Employment,1999Q1,Female,Human health and social work activities (Q),98.4
Persons aged 15-89 years in Employment,1999Q1,Female,Industry (B to E),95.3
Persons aged 15-89 years in Employment,1999Q1,Female,Industry and Construction (B to F),99.4
Persons aged 15-89 years in Employment,1999Q1,Female,Services (G to U),538.7
Persons aged 15-89 years in Employment,1999Q1,Female,"Financial, insurance and real estate activities (K,L)",37.5
Persons aged 15-89 years in Employment,1999Q1,Female,Other NACE activities (R to U),44.3
Persons aged 15-89 years in Employment,1999Q1,Female,Not stated,3.9
Persons aged 15-89 years in Employment,1999Q2,Both sexes,All NACE economic sectors,1679.2
Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Agriculture, forestry and fishing (A)",138.3
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Construction (F),120.5
Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",234.1
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Transportation and storage (H),73.8
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Accommodation and food service activities (I),110.5
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Information and communication (J),73.9
Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Professional, scientific and technical activities (M)",82.2
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Administrative and support service activities (N),55.5
Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Public administration and defence, compulsory social security (O)",71.5
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Education (P),100.3
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Human health and social work activities (Q),129.4
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Industry (B to E),326.4
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Industry and Construction (B to F),446.8
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Services (G to U),1084.1
Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",72.4
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Other NACE activities (R to U),80.5
Persons aged 15-89 years in Employment,1999Q2,Both sexes,Not stated,10.0
Persons aged 15-89 years in Employment,1999Q2,Male,All NACE economic sectors,1001.8
Persons aged 15-89 years in Employment,1999Q2,Male,"Agriculture, forestry and fishing (A)",119.8
Persons aged 15-89 years in Employment,1999Q2,Male,Construction (F),116.3
Persons aged 15-89 years in Employment,1999Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",120.7
Persons aged 15-89 years in Employment,1999Q2,Male,Transportation and storage (H),58.7
Persons aged 15-89 years in Employment,1999Q2,Male,Accommodation and food service activities (I),49.5
Persons aged 15-89 years in Employment,1999Q2,Male,Information and communication (J),47.0
Persons aged 15-89 years in Employment,1999Q2,Male,"Professional, scientific and technical activities (M)",49.4
Persons aged 15-89 years in Employment,1999Q2,Male,Administrative and support service activities (N),28.1
Persons aged 15-89 years in Employment,1999Q2,Male,"Public administration and defence, compulsory social security (O)",46.1
Persons aged 15-89 years in Employment,1999Q2,Male,Education (P),32.6
Persons aged 15-89 years in Employment,1999Q2,Male,Human health and social work activities (Q),28.9
Persons aged 15-89 years in Employment,1999Q2,Male,Industry (B to E),228.9
Persons aged 15-89 years in Employment,1999Q2,Male,Industry and Construction (B to F),345.2
Persons aged 15-89 years in Employment,1999Q2,Male,Services (G to U),531.1
Persons aged 15-89 years in Employment,1999Q2,Male,"Financial, insurance and real estate activities (K,L)",33.8
Persons aged 15-89 years in Employment,1999Q2,Male,Other NACE activities (R to U),36.1
Persons aged 15-89 years in Employment,1999Q2,Male,Not stated,5.8
Persons aged 15-89 years in Employment,1999Q2,Female,All NACE economic sectors,677.4
Persons aged 15-89 years in Employment,1999Q2,Female,"Agriculture, forestry and fishing (A)",18.5
Persons aged 15-89 years in Employment,1999Q2,Female,Construction (F),4.2
Persons aged 15-89 years in Employment,1999Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",113.3
Persons aged 15-89 years in Employment,1999Q2,Female,Transportation and storage (H),15.1
Persons aged 15-89 years in Employment,1999Q2,Female,Accommodation and food service activities (I),61.0
Persons aged 15-89 years in Employment,1999Q2,Female,Information and communication (J),26.9
Persons aged 15-89 years in Employment,1999Q2,Female,"Professional, scientific and technical activities (M)",32.8
Persons aged 15-89 years in Employment,1999Q2,Female,Administrative and support service activities (N),27.4
Persons aged 15-89 years in Employment,1999Q2,Female,"Public administration and defence, compulsory social security (O)",25.3
Persons aged 15-89 years in Employment,1999Q2,Female,Education (P),67.7
Persons aged 15-89 years in Employment,1999Q2,Female,Human health and social work activities (Q),100.5
Persons aged 15-89 years in Employment,1999Q2,Female,Industry (B to E),97.4
Persons aged 15-89 years in Employment,1999Q2,Female,Industry and Construction (B to F),101.6
Persons aged 15-89 years in Employment,1999Q2,Female,Services (G to U),553.0
Persons aged 15-89 years in Employment,1999Q2,Female,"Financial, insurance and real estate activities (K,L)",38.5
Persons aged 15-89 years in Employment,1999Q2,Female,Other NACE activities (R to U),44.4
Persons aged 15-89 years in Employment,1999Q2,Female,Not stated,4.2
Persons aged 15-89 years in Employment,1999Q3,Both sexes,All NACE economic sectors,1746.8
Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Agriculture, forestry and fishing (A)",143.3
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Construction (F),126.8
