STATISTIC,Quarter,Broad NACE Rev 2 Economic Sector,Sex,value
Persons aged 15-89 years in Employment,1999Q3,"Agriculture, forestry and fishing (A)",Male,124.8
Persons aged 15-89 years in Employment,1999Q3,"Agriculture, forestry and fishing (A)",Female,18.6
Persons aged 15-89 years in Employment,1999Q3,Industry and Construction (B to F),Both sexes,464.1
Persons aged 15-89 years in Employment,1999Q3,Industry and Construction (B to F),Male,358.4
Persons aged 15-89 years in Employment,1999Q3,Industry and Construction (B to F),Female,105.7
Persons aged 15-89 years in Employment,1999Q3,Services (G to U),Both sexes,1127.1
Persons aged 15-89 years in Employment,1999Q3,Services (G to U),Male,549.4
Persons aged 15-89 years in Employment,1999Q3,Services (G to U),Female,577.8
Persons aged 15-89 years in Employment,1999Q4,All NACE economic sectors,Both sexes,1723.1
Persons aged 15-89 years in Employment,1999Q4,All NACE economic sectors,Male,1026.1
Persons aged 15-89 years in Employment,1999Q4,All NACE economic sectors,Female,696.9
Persons aged 15-89 years in Employment,1999Q4,"Agriculture, forestry and fishing (A)",Both sexes,140.6
Persons aged 15-89 years in Employment,1999Q4,"Agriculture, forestry and fishing (A)",Male,122.3
Persons aged 15-89 years in Employment,1999Q4,"Agriculture, forestry and fishing (A)",Female,18.2
Persons aged 15-89 years in Employment,1999Q4,Industry and Construction (B to F),Both sexes,458.3
Persons aged 15-89 years in Employment,1999Q4,Industry and Construction (B to F),Male,353.8
Persons aged 15-89 years in Employment,1999Q4,Industry and Construction (B to F),Female,104.5
Persons aged 15-89 years in Employment,1999Q4,Services (G to U),Both sexes,1113.6
Persons aged 15-89 years in Employment,1999Q4,Services (G to U),Male,543.7
Persons aged 15-89 years in Employment,1999Q4,Services (G to U),Female,569.8
Persons aged 15-89 years in Employment,2000Q1,All NACE economic sectors,Both sexes,1726.8
Persons aged 15-89 years in Employment,2000Q1,All NACE economic sectors,Male,1029.2
Persons aged 15-89 years in Employment,2000Q1,All NACE economic sectors,Female,697.6
Persons aged 15-89 years in Employment,2000Q1,"Agriculture, forestry and fishing (A)",Both sexes,134.5
Persons aged 15-89 years in Employment,2000Q1,"Agriculture, forestry and fishing (A)",Male,116.9
Persons aged 15-89 years in Employment,2000Q1,"Agriculture, forestry and fishing (A)",Female,17.7
Persons aged 15-89 years in Employment,2000Q1,Industry and Construction (B to F),Both sexes,463.1
Persons aged 15-89 years in Employment,2000Q1,Industry and Construction (B to F),Male,356.6
Persons aged 15-89 years in Employment,2000Q1,Industry and Construction (B to F),Female,106.5
Persons aged 15-89 years in Employment,2000Q1,Services (G to U),Both sexes,1118.8
Persons aged 15-89 years in Employment,2000Q1,Services (G to U),Male,549.4
Persons aged 15-89 years in Employment,2000Q1,Services (G to U),Female,569.4
Persons aged 15-89 years in Employment,2000Q2,All NACE economic sectors,Both sexes,1758.2
Persons aged 15-89 years in Employment,2000Q2,All NACE economic sectors,Male,1041.8
Persons aged 15-89 years in Employment,2000Q2,All NACE economic sectors,Female,716.4
Persons aged 15-89 years in Employment,2000Q2,"Agriculture, forestry and fishing (A)",Both sexes,128.9
Persons aged 15-89 years in Employment,2000Q2,"Agriculture, forestry and fishing (A)",Male,112.3
Persons aged 15-89 years in Employment,2000Q2,"Agriculture, forestry and fishing (A)",Female,16.7
Persons aged 15-89 years in Employment,2000Q2,Industry and Construction (B to F),Both sexes,471.5
Persons aged 15-89 years in Employment,2000Q2,Industry and Construction (B to F),Male,365.3
Persons aged 15-89 years in Employment,2000Q2,Industry and Construction (B to F),Female,106.1
Persons aged 15-89 years in Employment,2000Q2,Services (G to U),Both sexes,1144.2
Persons aged 15-89 years in Employment,2000Q2,Services (G to U),Male,556.4
Persons aged 15-89 years in Employment,2000Q2,Services (G to U),Female,587.7
Persons aged 15-89 years in Employment,2000Q3,All NACE economic sectors,Both sexes,1818.4
Persons aged 15-89 years in Employment,2000Q3,All NACE economic sectors,Male,1073.3
Persons aged 15-89 years in Employment,2000Q3,All NACE economic sectors,Female,745.2
Persons aged 15-89 years in Employment,2000Q3,"Agriculture, forestry and fishing (A)",Both sexes,129.4
Persons aged 15-89 years in Employment,2000Q3,"Agriculture, forestry and fishing (A)",Male,113.1
Persons aged 15-89 years in Employment,2000Q3,"Agriculture, forestry and fishing (A)",Female,16.3
Persons aged 15-89 years in Employment,2000Q3,Industry and Construction (B to F),Both sexes,491.7
Persons aged 15-89 years in Employment,2000Q3,Industry and Construction (B to F),Male,380.2
Persons aged 15-89 years in Employment,2000Q3,Industry and Construction (B to F),Female,111.5
Persons aged 15-89 years in Employment,2000Q3,Services (G to U),Both sexes,1184.7
Persons aged 15-89 years in Employment,2000Q3,Services (G to U),Male,572.7
Persons aged 15-89 years in Employment,2000Q3,Services (G to U),Female,612.0
Persons aged 15-89 years in Employment,2000Q4,All NACE economic sectors,Both sexes,1787.6
Persons aged 15-89 years in Employment,2000Q4,All NACE economic sectors,Male,1057.7
Persons aged 15-89 years in Employment,2000Q4,All NACE economic sectors,Female,729.9
Persons aged 15-89 years in Employment,2000Q4,"Agriculture, forestry and fishing (A)",Both sexes,122.5
Persons aged 15-89 years in Employment,2000Q4,"Agriculture, forestry and fishing (A)",Male,107.3
Persons aged 15-89 years in Employment,2000Q4,"Agriculture, forestry and fishing (A)",Female,15.2
Persons aged 15-89 years in Employment,2000Q4,Industry and Construction (B to F),Both sexes,486.1
Persons aged 15-89 years in Employment,2000Q4,Industry and Construction (B to F),Male,377.4
Persons aged 15-89 years in Employment,2000Q4,Industry and Construction (B to F),Female,108.7
Persons aged 15-89 years in Employment,2000Q4,Services (G to U),Both sexes,1168.3
Persons aged 15-89 years in Employment,2000Q4,Services (G to U),Male,566.9
Persons aged 15-89 years in Employment,2000Q4,Services (G to U),Female,601.4
Persons aged 15-89 years in Employment,2001Q1,All NACE economic sectors,Both sexes,1780.4
Persons aged 15-89 years in Employment,2001Q1,All NACE economic sectors,Male,1053.9
Persons aged 15-89 years in Employment,2001Q1,All NACE economic sectors,Female,726.5
Persons aged 15-89 years in Employment,2001Q1,"Agriculture, forestry and fishing (A)",Both sexes,122.6
Persons aged 15-89 years in Employment,2001Q1,"Agriculture, forestry and fishing (A)",Male,106.9
Persons aged 15-89 years in Employment,2001Q1,"Agriculture, forestry and fishing (A)",Female,15.8
Persons aged 15-89 years in Employment,2001Q1,Industry and Construction (B to F),Both sexes,483.6
Persons aged 15-89 years in Employment,2001Q1,Industry and Construction (B to F),Male,377.6
Persons aged 15-89 years in Employment,2001Q1,Industry and Construction (B to F),Female,106.0
Persons aged 15-89 years in Employment,2001Q1,Services (G to U),Both sexes,1164.9
Persons aged 15-89 years in Employment,2001Q1,Services (G to U),Male,564.3
Persons aged 15-89 years in Employment,2001Q1,Services (G to U),Female,600.6
Persons aged 15-89 years in Employment,2001Q2,All NACE economic sectors,Both sexes,1809.7
Persons aged 15-89 years in Employment,2001Q2,All NACE economic sectors,Male,1068.7
Persons aged 15-89 years in Employment,2001Q2,All NACE economic sectors,Female,741.0
Persons aged 15-89 years in Employment,2001Q2,"Agriculture, forestry and fishing (A)",Both sexes,121.2
Persons aged 15-89 years in Employment,2001Q2,"Agriculture, forestry and fishing (A)",Male,105.8
Persons aged 15-89 years in Employment,2001Q2,"Agriculture, forestry and fishing (A)",Female,15.3
Persons aged 15-89 years in Employment,2001Q2,Industry and Construction (B to F),Both sexes,489.1
Persons aged 15-89 years in Employment,2001Q2,Industry and Construction (B to F),Male,383.4
Persons aged 15-89 years in Employment,2001Q2,Industry and Construction (B to F),Female,105.8
Persons aged 15-89 years in Employment,2001Q2,Services (G to U),Both sexes,1190.6
Persons aged 15-89 years in Employment,2001Q2,Services (G to U),Male,574.9
Persons aged 15-89 years in Employment,2001Q2,Services (G to U),Female,615.7
Persons aged 15-89 years in Employment,2001Q3,All NACE economic sectors,Both sexes,1866.8
Persons aged 15-89 years in Employment,2001Q3,All NACE economic sectors,Male,1094.8
Persons aged 15-89 years in Employment,2001Q3,All NACE economic sectors,Female,772.0
Persons aged 15-89 years in Employment,2001Q3,"Agriculture, forestry and fishing (A)",Both sexes,129.2
Persons aged 15-89 years in Employment,2001Q3,"Agriculture, forestry and fishing (A)",Male,114.3
Persons aged 15-89 years in Employment,2001Q3,"Agriculture, forestry and fishing (A)",Female,14.9
Persons aged 15-89 years in Employment,2001Q3,Industry and Construction (B to F),Both sexes,499.3
Persons aged 15-89 years in Employment,2001Q3,Industry and Construction (B to F),Male,389.7
Persons aged 15-89 years in Employment,2001Q3,Industry and Construction (B to F),Female,109.6
Persons aged 15-89 years in Employment,2001Q3,Services (G to U),Both sexes,1228.3
Persons aged 15-89 years in Employment,2001Q3,Services (G to U),Male,584.7
Persons aged 15-89 years in Employment,2001Q3,Services (G to U),Female,643.7
Persons aged 15-89 years in Employment,2001Q4,All NACE economic sectors,Both sexes,1833.1
Persons aged 15-89 years in Employment,2001Q4,All NACE economic sectors,Male,1071.6
Persons aged 15-89 years in Employment,2001Q4,All NACE economic sectors,Female,761.5
Persons aged 15-89 years in Employment,2001Q4,"Agriculture, forestry and fishing (A)",Both sexes,124.9
Persons aged 15-89 years in Employment,2001Q4,"Agriculture, forestry and fishing (A)",Male,110.0
Persons aged 15-89 years in Employment,2001Q4,"Agriculture, forestry and fishing (A)",Female,14.9
Persons aged 15-89 years in Employment,2001Q4,Industry and Construction (B to F),Both sexes,489.1
Persons aged 15-89 years in Employment,2001Q4,Industry and Construction (B to F),Male,381.6
Persons aged 15-89 years in Employment,2001Q4,Industry and Construction (B to F),Female,107.5
Persons aged 15-89 years in Employment,2001Q4,Services (G to U),Both sexes,1210.3
Persons aged 15-89 years in Employment,2001Q4,Services (G to U),Male,574.7
Persons aged 15-89 years in Employment,2001Q4,Services (G to U),Female,635.6
Persons aged 15-89 years in Employment,2002Q1,All NACE economic sectors,Both sexes,1825.1
Persons aged 15-89 years in Employment,2002Q1,All NACE economic sectors,Male,1064.5
Persons aged 15-89 years in Employment,2002Q1,All NACE economic sectors,Female,760.6
Persons aged 15-89 years in Employment,2002Q1,"Agriculture, forestry and fishing (A)",Both sexes,121.3
Persons aged 15-89 years in Employment,2002Q1,"Agriculture, forestry and fishing (A)",Male,107.2
Persons aged 15-89 years in Employment,2002Q1,"Agriculture, forestry and fishing (A)",Female,14.1
Persons aged 15-89 years in Employment,2002Q1,Industry and Construction (B to F),Both sexes,479.0
Persons aged 15-89 years in Employment,2002Q1,Industry and Construction (B to F),Male,376.6
Persons aged 15-89 years in Employment,2002Q1,Industry and Construction (B to F),Female,102.4
Persons aged 15-89 years in Employment,2002Q1,Services (G to U),Both sexes,1215.6
Persons aged 15-89 years in Employment,2002Q1,Services (G to U),Male,575.5
Persons aged 15-89 years in Employment,2002Q1,Services (G to U),Female,640.1
Persons aged 15-89 years in Employment,2002Q2,All NACE economic sectors,Both sexes,1840.3
Persons aged 15-89 years in Employment,2002Q2,All NACE economic sectors,Male,1072.1
Persons aged 15-89 years in Employment,2002Q2,All NACE economic sectors,Female,768.2
Persons aged 15-89 years in Employment,2002Q2,"Agriculture, forestry and fishing (A)",Both sexes,123.1
Persons aged 15-89 years in Employment,2002Q2,"Agriculture, forestry and fishing (A)",Male,108.1
Persons aged 15-89 years in Employment,2002Q2,"Agriculture, forestry and fishing (A)",Female,15.0
Persons aged 15-89 years in Employment,2002Q2,Industry and Construction (B to F),Both sexes,475.1
Persons aged 15-89 years in Employment,2002Q2,Industry and Construction (B to F),Male,375.4
Persons aged 15-89 years in Employment,2002Q2,Industry and Construction (B to F),Female,99.7
Persons aged 15-89 years in Employment,2002Q2,Services (G to U),Both sexes,1231.2
Persons aged 15-89 years in Employment,2002Q2,Services (G to U),Male,582.1
Persons aged 15-89 years in Employment,2002Q2,Services (G to U),Female,649.1
Persons aged 15-89 years in Employment,2002Q3,All NACE economic sectors,Both sexes,1883.6
Persons aged 15-89 years in Employment,2002Q3,All NACE economic sectors,Male,1095.2
Persons aged 15-89 years in Employment,2002Q3,All NACE economic sectors,Female,788.4
Persons aged 15-89 years in Employment,2002Q3,"Agriculture, forestry and fishing (A)",Both sexes,124.2
Persons aged 15-89 years in Employment,2002Q3,"Agriculture, forestry and fishing (A)",Male,109.2
Persons aged 15-89 years in Employment,2002Q3,"Agriculture, forestry and fishing (A)",Female,15.0
Persons aged 15-89 years in Employment,2002Q3,Industry and Construction (B to F),Both sexes,491.1
Persons aged 15-89 years in Employment,2002Q3,Industry and Construction (B to F),Male,389.2
Persons aged 15-89 years in Employment,2002Q3,Industry and Construction (B to F),Female,101.9
Persons aged 15-89 years in Employment,2002Q3,Services (G to U),Both sexes,1258.6
Persons aged 15-89 years in Employment,2002Q3,Services (G to U),Male,590.7
Persons aged 15-89 years in Employment,2002Q3,Services (G to U),Female,667.9
Persons aged 15-89 years in Employment,2002Q4,All NACE economic sectors,Both sexes,1850.3
Persons aged 15-89 years in Employment,2002Q4,All NACE economic sectors,Male,1075.2
Persons aged 15-89 years in Employment,2002Q4,All NACE economic sectors,Female,775.1
Persons aged 15-89 years in Employment,2002Q4,"Agriculture, forestry and fishing (A)",Both sexes,114.0
Persons aged 15-89 years in Employment,2002Q4,"Agriculture, forestry and fishing (A)",Male,99.5
Persons aged 15-89 years in Employment,2002Q4,"Agriculture, forestry and fishing (A)",Female,14.4
Persons aged 15-89 years in Employment,2002Q4,Industry and Construction (B to F),Both sexes,473.4
Persons aged 15-89 years in Employment,2002Q4,Industry and Construction (B to F),Male,377.8
Persons aged 15-89 years in Employment,2002Q4,Industry and Construction (B to F),Female,95.6
Persons aged 15-89 years in Employment,2002Q4,Services (G to U),Both sexes,1254.3
Persons aged 15-89 years in Employment,2002Q4,Services (G to U),Male,592.7
Persons aged 15-89 years in Employment,2002Q4,Services (G to U),Female,661.6
Persons aged 15-89 years in Employment,2003Q1,All NACE economic sectors,Both sexes,1855.6
Persons aged 15-89 years in Employment,2003Q1,All NACE economic sectors,Male,1078.1
Persons aged 15-89 years in Employment,2003Q1,All NACE economic sectors,Female,777.6
Persons aged 15-89 years in Employment,2003Q1,"Agriculture, forestry and fishing (A)",Both sexes,114.4
Persons aged 15-89 years in Employment,2003Q1,"Agriculture, forestry and fishing (A)",Male,98.9
Persons aged 15-89 years in Employment,2003Q1,"Agriculture, forestry and fishing (A)",Female,15.5
Persons aged 15-89 years in Employment,2003Q1,Industry and Construction (B to F),Both sexes,475.1
Persons aged 15-89 years in Employment,2003Q1,Industry and Construction (B to F),Male,378.4
Persons aged 15-89 years in Employment,2003Q1,Industry and Construction (B to F),Female,96.7
Persons aged 15-89 years in Employment,2003Q1,Services (G to U),Both sexes,1258.2
Persons aged 15-89 years in Employment,2003Q1,Services (G to U),Male,595.9
Persons aged 15-89 years in Employment,2003Q1,Services (G to U),Female,662.4
Persons aged 15-89 years in Employment,2003Q2,All NACE economic sectors,Both sexes,1874.0
Persons aged 15-89 years in Employment,2003Q2,All NACE economic sectors,Male,1086.5
Persons aged 15-89 years in Employment,2003Q2,All NACE economic sectors,Female,787.4
Persons aged 15-89 years in Employment,2003Q2,"Agriculture, forestry and fishing (A)",Both sexes,114.7
Persons aged 15-89 years in Employment,2003Q2,"Agriculture, forestry and fishing (A)",Male,98.9
Persons aged 15-89 years in Employment,2003Q2,"Agriculture, forestry and fishing (A)",Female,15.9
Persons aged 15-89 years in Employment,2003Q2,Industry and Construction (B to F),Both sexes,479.1
Persons aged 15-89 years in Employment,2003Q2,Industry and Construction (B to F),Male,381.3
Persons aged 15-89 years in Employment,2003Q2,Industry and Construction (B to F),Female,97.8
Persons aged 15-89 years in Employment,2003Q2,Services (G to U),Both sexes,1269.4
Persons aged 15-89 years in Employment,2003Q2,Services (G to U),Male,599.3
Persons aged 15-89 years in Employment,2003Q2,Services (G to U),Female,670.1
Persons aged 15-89 years in Employment,2003Q3,All NACE economic sectors,Both sexes,1912.8
Persons aged 15-89 years in Employment,2003Q3,All NACE economic sectors,Male,1110.3
Persons aged 15-89 years in Employment,2003Q3,All NACE economic sectors,Female,802.5
Persons aged 15-89 years in Employment,2003Q3,"Agriculture, forestry and fishing (A)",Both sexes,117.7
Persons aged 15-89 years in Employment,2003Q3,"Agriculture, forestry and fishing (A)",Male,102.4
Persons aged 15-89 years in Employment,2003Q3,"Agriculture, forestry and fishing (A)",Female,15.4
Persons aged 15-89 years in Employment,2003Q3,Industry and Construction (B to F),Both sexes,484.7
Persons aged 15-89 years in Employment,2003Q3,Industry and Construction (B to F),Male,384.8
Persons aged 15-89 years in Employment,2003Q3,Industry and Construction (B to F),Female,99.9
Persons aged 15-89 years in Employment,2003Q3,Services (G to U),Both sexes,1301.9
Persons aged 15-89 years in Employment,2003Q3,Services (G to U),Male,617.9
Persons aged 15-89 years in Employment,2003Q3,Services (G to U),Female,684.0
Persons aged 15-89 years in Employment,2003Q4,All NACE economic sectors,Both sexes,1899.4
Persons aged 15-89 years in Employment,2003Q4,All NACE economic sectors,Male,1101.0
Persons aged 15-89 years in Employment,2003Q4,All NACE economic sectors,Female,798.4
Persons aged 15-89 years in Employment,2003Q4,"Agriculture, forestry and fishing (A)",Both sexes,119.5
Persons aged 15-89 years in Employment,2003Q4,"Agriculture, forestry and fishing (A)",Male,105.6
Persons aged 15-89 years in Employment,2003Q4,"Agriculture, forestry and fishing (A)",Female,13.9
Persons aged 15-89 years in Employment,2003Q4,Industry and Construction (B to F),Both sexes,472.4
Persons aged 15-89 years in Employment,2003Q4,Industry and Construction (B to F),Male,376.9
Persons aged 15-89 years in Employment,2003Q4,Industry and Construction (B to F),Female,95.6
Persons aged 15-89 years in Employment,2003Q4,Services (G to U),Both sexes,1299.2
Persons aged 15-89 years in Employment,2003Q4,Services (G to U),Male,613.2
Persons aged 15-89 years in Employment,2003Q4,Services (G to U),Female,685.9
Persons aged 15-89 years in Employment,2004Q1,All NACE economic sectors,Both sexes,1902.3
Persons aged 15-89 years in Employment,2004Q1,All NACE economic sectors,Male,1102.8
Persons aged 15-89 years in Employment,2004Q1,All NACE economic sectors,Female,799.5
Persons aged 15-89 years in Employment,2004Q1,"Agriculture, forestry and fishing (A)",Both sexes,115.6
Persons aged 15-89 years in Employment,2004Q1,"Agriculture, forestry and fishing (A)",Male,102.6
Persons aged 15-89 years in Employment,2004Q1,"Agriculture, forestry and fishing (A)",Female,13.0
Persons aged 15-89 years in Employment,2004Q1,Industry and Construction (B to F),Both sexes,479.5
Persons aged 15-89 years in Employment,2004Q1,Industry and Construction (B to F),Male,381.9
Persons aged 15-89 years in Employment,2004Q1,Industry and Construction (B to F),Female,97.6
Persons aged 15-89 years in Employment,2004Q1,Services (G to U),Both sexes,1299.9
Persons aged 15-89 years in Employment,2004Q1,Services (G to U),Male,613.4
Persons aged 15-89 years in Employment,2004Q1,Services (G to U),Female,686.4
Persons aged 15-89 years in Employment,2004Q2,All NACE economic sectors,Both sexes,1925.8
Persons aged 15-89 years in Employment,2004Q2,All NACE economic sectors,Male,1116.7
Persons aged 15-89 years in Employment,2004Q2,All NACE economic sectors,Female,809.0
Persons aged 15-89 years in Employment,2004Q2,"Agriculture, forestry and fishing (A)",Both sexes,115.4
Persons aged 15-89 years in Employment,2004Q2,"Agriculture, forestry and fishing (A)",Male,102.4
Persons aged 15-89 years in Employment,2004Q2,"Agriculture, forestry and fishing (A)",Female,13.0
Persons aged 15-89 years in Employment,2004Q2,Industry and Construction (B to F),Both sexes,484.8
Persons aged 15-89 years in Employment,2004Q2,Industry and Construction (B to F),Male,384.5
Persons aged 15-89 years in Employment,2004Q2,Industry and Construction (B to F),Female,100.2
Persons aged 15-89 years in Employment,2004Q2,Services (G to U),Both sexes,1319.3
Persons aged 15-89 years in Employment,2004Q2,Services (G to U),Male,625.7
Persons aged 15-89 years in Employment,2004Q2,Services (G to U),Female,693.6
Persons aged 15-89 years in Employment,2004Q3,All NACE economic sectors,Both sexes,1984.1
Persons aged 15-89 years in Employment,2004Q3,All NACE economic sectors,Male,1148.6
Persons aged 15-89 years in Employment,2004Q3,All NACE economic sectors,Female,835.5
Persons aged 15-89 years in Employment,2004Q3,"Agriculture, forestry and fishing (A)",Both sexes,118.5
Persons aged 15-89 years in Employment,2004Q3,"Agriculture, forestry and fishing (A)",Male,105.3
Persons aged 15-89 years in Employment,2004Q3,"Agriculture, forestry and fishing (A)",Female,13.2
Persons aged 15-89 years in Employment,2004Q3,Industry and Construction (B to F),Both sexes,504.5
Persons aged 15-89 years in Employment,2004Q3,Industry and Construction (B to F),Male,402.7
Persons aged 15-89 years in Employment,2004Q3,Industry and Construction (B to F),Female,101.8
Persons aged 15-89 years in Employment,2004Q3,Services (G to U),Both sexes,1350.2
Persons aged 15-89 years in Employment,2004Q3,Services (G to U),Male,633.8
Persons aged 15-89 years in Employment,2004Q3,Services (G to U),Female,716.4
Persons aged 15-89 years in Employment,2004Q4,All NACE economic sectors,Both sexes,1973.8
Persons aged 15-89 years in Employment,2004Q4,All NACE economic sectors,Male,1138.4
Persons aged 15-89 years in Employment,2004Q4,All NACE economic sectors,Female,835.4
Persons aged 15-89 years in Employment,2004Q4,"Agriculture, forestry and fishing (A)",Both sexes,110.6
Persons aged 15-89 years in Employment,2004Q4,"Agriculture, forestry and fishing (A)",Male,98.5
Persons aged 15-89 years in Employment,2004Q4,"Agriculture, forestry and fishing (A)",Female,12.1
Persons aged 15-89 years in Employment,2004Q4,Industry and Construction (B to F),Both sexes,501.4
