Statistic,Quarter,Age Group,Sex,value
Person aged 15 years and over in the Labour Force,1998Q2,15 - 19 years,Both sexes,145.7
Person aged 15 years and over in the Labour Force,1998Q2,15 - 19 years,Male,86.2
Person aged 15 years and over in the Labour Force,1998Q2,15 - 19 years,Female,59.5
Person aged 15 years and over in the Labour Force,1998Q2,15 - 24 years,Both sexes,399.1
Person aged 15 years and over in the Labour Force,1998Q2,15 - 24 years,Male,220.4
Person aged 15 years and over in the Labour Force,1998Q2,15 - 24 years,Female,178.6
Person aged 15 years and over in the Labour Force,1998Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1998Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1998Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1998Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1998Q2,15 years and over,Both sexes,1710.7
Person aged 15 years and over in the Labour Force,1998Q2,15 years and over,Male,1029.0
Person aged 15 years and over in the Labour Force,1998Q2,15 years and over,Female,681.8
Person aged 15 years and over in the Labour Force,1998Q2,20 - 24 years,Both sexes,253.4
Person aged 15 years and over in the Labour Force,1998Q2,20 - 24 years,Male,134.2
Person aged 15 years and over in the Labour Force,1998Q2,20 - 24 years,Female,119.2
Person aged 15 years and over in the Labour Force,1998Q2,25 - 34 years,Both sexes,451.5
Person aged 15 years and over in the Labour Force,1998Q2,25 - 34 years,Male,251.6
Person aged 15 years and over in the Labour Force,1998Q2,25 - 34 years,Female,199.8
Person aged 15 years and over in the Labour Force,1998Q2,35 - 44 years,Both sexes,396.6
Person aged 15 years and over in the Labour Force,1998Q2,35 - 44 years,Male,240.3
Person aged 15 years and over in the Labour Force,1998Q2,35 - 44 years,Female,156.3
Person aged 15 years and over in the Labour Force,1998Q2,45 - 54 years,Both sexes,297.0
Person aged 15 years and over in the Labour Force,1998Q2,45 - 54 years,Male,194.2
Person aged 15 years and over in the Labour Force,1998Q2,45 - 54 years,Female,102.9
Person aged 15 years and over in the Labour Force,1998Q2,55 - 59 years,Both sexes,83.1
Person aged 15 years and over in the Labour Force,1998Q2,55 - 59 years,Male,58.3
Person aged 15 years and over in the Labour Force,1998Q2,55 - 59 years,Female,24.8
Person aged 15 years and over in the Labour Force,1998Q2,60 - 64 years,Both sexes,49.2
Person aged 15 years and over in the Labour Force,1998Q2,60 - 64 years,Male,37.1
Person aged 15 years and over in the Labour Force,1998Q2,60 - 64 years,Female,12.1
Person aged 15 years and over in the Labour Force,1998Q2,65 years and over,Both sexes,34.2
Person aged 15 years and over in the Labour Force,1998Q2,65 years and over,Male,27.0
Person aged 15 years and over in the Labour Force,1998Q2,65 years and over,Female,7.2
Person aged 15 years and over in the Labour Force,1998Q2,25 - 74 years,Both sexes,1305.5
Person aged 15 years and over in the Labour Force,1998Q2,25 - 74 years,Male,803.6
Person aged 15 years and over in the Labour Force,1998Q2,25 - 74 years,Female,501.9
Person aged 15 years and over in the Labour Force,1998Q3,15 - 19 years,Both sexes,175.3
Person aged 15 years and over in the Labour Force,1998Q3,15 - 19 years,Male,102.6
Person aged 15 years and over in the Labour Force,1998Q3,15 - 19 years,Female,72.7
Person aged 15 years and over in the Labour Force,1998Q3,15 - 24 years,Both sexes,443.9
Person aged 15 years and over in the Labour Force,1998Q3,15 - 24 years,Male,243.7
Person aged 15 years and over in the Labour Force,1998Q3,15 - 24 years,Female,200.2
Person aged 15 years and over in the Labour Force,1998Q3,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q3,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1998Q3,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1998Q3,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q3,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1998Q3,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1998Q3,15 years and over,Both sexes,1766.7
Person aged 15 years and over in the Labour Force,1998Q3,15 years and over,Male,1059.0
Person aged 15 years and over in the Labour Force,1998Q3,15 years and over,Female,707.7
Person aged 15 years and over in the Labour Force,1998Q3,20 - 24 years,Both sexes,268.6
Person aged 15 years and over in the Labour Force,1998Q3,20 - 24 years,Male,141.1
Person aged 15 years and over in the Labour Force,1998Q3,20 - 24 years,Female,127.5
Person aged 15 years and over in the Labour Force,1998Q3,25 - 34 years,Both sexes,457.5
Person aged 15 years and over in the Labour Force,1998Q3,25 - 34 years,Male,254.6
Person aged 15 years and over in the Labour Force,1998Q3,25 - 34 years,Female,203.0
Person aged 15 years and over in the Labour Force,1998Q3,35 - 44 years,Both sexes,399.9
Person aged 15 years and over in the Labour Force,1998Q3,35 - 44 years,Male,242.7
Person aged 15 years and over in the Labour Force,1998Q3,35 - 44 years,Female,157.3
Person aged 15 years and over in the Labour Force,1998Q3,45 - 54 years,Both sexes,298.3
Person aged 15 years and over in the Labour Force,1998Q3,45 - 54 years,Male,194.9
Person aged 15 years and over in the Labour Force,1998Q3,45 - 54 years,Female,103.5
Person aged 15 years and over in the Labour Force,1998Q3,55 - 59 years,Both sexes,84.2
Person aged 15 years and over in the Labour Force,1998Q3,55 - 59 years,Male,59.7
Person aged 15 years and over in the Labour Force,1998Q3,55 - 59 years,Female,24.4
Person aged 15 years and over in the Labour Force,1998Q3,60 - 64 years,Both sexes,49.5
Person aged 15 years and over in the Labour Force,1998Q3,60 - 64 years,Male,37.6
Person aged 15 years and over in the Labour Force,1998Q3,60 - 64 years,Female,12.0
Person aged 15 years and over in the Labour Force,1998Q3,65 years and over,Both sexes,33.4
Person aged 15 years and over in the Labour Force,1998Q3,65 years and over,Male,26.0
Person aged 15 years and over in the Labour Force,1998Q3,65 years and over,Female,7.4
Person aged 15 years and over in the Labour Force,1998Q3,25 - 74 years,Both sexes,1316.7
Person aged 15 years and over in the Labour Force,1998Q3,25 - 74 years,Male,810.7
Person aged 15 years and over in the Labour Force,1998Q3,25 - 74 years,Female,506.0
Person aged 15 years and over in the Labour Force,1998Q4,15 - 19 years,Both sexes,137.1
Person aged 15 years and over in the Labour Force,1998Q4,15 - 19 years,Male,82.4
Person aged 15 years and over in the Labour Force,1998Q4,15 - 19 years,Female,54.7
Person aged 15 years and over in the Labour Force,1998Q4,15 - 24 years,Both sexes,393.4
Person aged 15 years and over in the Labour Force,1998Q4,15 - 24 years,Male,218.4
Person aged 15 years and over in the Labour Force,1998Q4,15 - 24 years,Female,175.0
Person aged 15 years and over in the Labour Force,1998Q4,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q4,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1998Q4,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1998Q4,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1998Q4,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1998Q4,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1998Q4,15 years and over,Both sexes,1724.6
Person aged 15 years and over in the Labour Force,1998Q4,15 years and over,Male,1038.3
Person aged 15 years and over in the Labour Force,1998Q4,15 years and over,Female,686.3
Person aged 15 years and over in the Labour Force,1998Q4,20 - 24 years,Both sexes,256.3
Person aged 15 years and over in the Labour Force,1998Q4,20 - 24 years,Male,136.0
Person aged 15 years and over in the Labour Force,1998Q4,20 - 24 years,Female,120.4
Person aged 15 years and over in the Labour Force,1998Q4,25 - 34 years,Both sexes,458.5
Person aged 15 years and over in the Labour Force,1998Q4,25 - 34 years,Male,254.9
Person aged 15 years and over in the Labour Force,1998Q4,25 - 34 years,Female,203.6
Person aged 15 years and over in the Labour Force,1998Q4,35 - 44 years,Both sexes,402.7
Person aged 15 years and over in the Labour Force,1998Q4,35 - 44 years,Male,243.4
Person aged 15 years and over in the Labour Force,1998Q4,35 - 44 years,Female,159.3
Person aged 15 years and over in the Labour Force,1998Q4,45 - 54 years,Both sexes,301.3
Person aged 15 years and over in the Labour Force,1998Q4,45 - 54 years,Male,196.5
Person aged 15 years and over in the Labour Force,1998Q4,45 - 54 years,Female,104.8
Person aged 15 years and over in the Labour Force,1998Q4,55 - 59 years,Both sexes,85.0
Person aged 15 years and over in the Labour Force,1998Q4,55 - 59 years,Male,61.0
Person aged 15 years and over in the Labour Force,1998Q4,55 - 59 years,Female,24.0
Person aged 15 years and over in the Labour Force,1998Q4,60 - 64 years,Both sexes,50.5
Person aged 15 years and over in the Labour Force,1998Q4,60 - 64 years,Male,37.9
Person aged 15 years and over in the Labour Force,1998Q4,60 - 64 years,Female,12.6
Person aged 15 years and over in the Labour Force,1998Q4,65 years and over,Both sexes,33.2
Person aged 15 years and over in the Labour Force,1998Q4,65 years and over,Male,26.2
Person aged 15 years and over in the Labour Force,1998Q4,65 years and over,Female,7.0
Person aged 15 years and over in the Labour Force,1998Q4,25 - 74 years,Both sexes,1325.1
Person aged 15 years and over in the Labour Force,1998Q4,25 - 74 years,Male,815.3
Person aged 15 years and over in the Labour Force,1998Q4,25 - 74 years,Female,509.8
Person aged 15 years and over in the Labour Force,1999Q1,15 - 19 years,Both sexes,142.3
Person aged 15 years and over in the Labour Force,1999Q1,15 - 19 years,Male,85.7
Person aged 15 years and over in the Labour Force,1999Q1,15 - 19 years,Female,56.6
Person aged 15 years and over in the Labour Force,1999Q1,15 - 24 years,Both sexes,397.8
Person aged 15 years and over in the Labour Force,1999Q1,15 - 24 years,Male,220.6
Person aged 15 years and over in the Labour Force,1999Q1,15 - 24 years,Female,177.2
Person aged 15 years and over in the Labour Force,1999Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1999Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1999Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1999Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1999Q1,15 years and over,Both sexes,1753.6
Person aged 15 years and over in the Labour Force,1999Q1,15 years and over,Male,1045.6
Person aged 15 years and over in the Labour Force,1999Q1,15 years and over,Female,708.0
Person aged 15 years and over in the Labour Force,1999Q1,20 - 24 years,Both sexes,255.4
Person aged 15 years and over in the Labour Force,1999Q1,20 - 24 years,Male,134.8
Person aged 15 years and over in the Labour Force,1999Q1,20 - 24 years,Female,120.6
Person aged 15 years and over in the Labour Force,1999Q1,25 - 34 years,Both sexes,463.5
Person aged 15 years and over in the Labour Force,1999Q1,25 - 34 years,Male,255.6
Person aged 15 years and over in the Labour Force,1999Q1,25 - 34 years,Female,207.9
Person aged 15 years and over in the Labour Force,1999Q1,35 - 44 years,Both sexes,408.9
Person aged 15 years and over in the Labour Force,1999Q1,35 - 44 years,Male,244.6
Person aged 15 years and over in the Labour Force,1999Q1,35 - 44 years,Female,164.3
Person aged 15 years and over in the Labour Force,1999Q1,45 - 54 years,Both sexes,308.4
Person aged 15 years and over in the Labour Force,1999Q1,45 - 54 years,Male,198.2
Person aged 15 years and over in the Labour Force,1999Q1,45 - 54 years,Female,110.2
Person aged 15 years and over in the Labour Force,1999Q1,55 - 59 years,Both sexes,88.3
Person aged 15 years and over in the Labour Force,1999Q1,55 - 59 years,Male,61.1
Person aged 15 years and over in the Labour Force,1999Q1,55 - 59 years,Female,27.2
Person aged 15 years and over in the Labour Force,1999Q1,60 - 64 years,Both sexes,53.1
Person aged 15 years and over in the Labour Force,1999Q1,60 - 64 years,Male,39.0
Person aged 15 years and over in the Labour Force,1999Q1,60 - 64 years,Female,14.1
Person aged 15 years and over in the Labour Force,1999Q1,65 years and over,Both sexes,33.7
Person aged 15 years and over in the Labour Force,1999Q1,65 years and over,Male,26.7
Person aged 15 years and over in the Labour Force,1999Q1,65 years and over,Female,7.1
Person aged 15 years and over in the Labour Force,1999Q1,25 - 74 years,Both sexes,1349.4
Person aged 15 years and over in the Labour Force,1999Q1,25 - 74 years,Male,820.2
Person aged 15 years and over in the Labour Force,1999Q1,25 - 74 years,Female,529.2
Person aged 15 years and over in the Labour Force,1999Q2,15 - 19 years,Both sexes,161.7
Person aged 15 years and over in the Labour Force,1999Q2,15 - 19 years,Male,95.3
Person aged 15 years and over in the Labour Force,1999Q2,15 - 19 years,Female,66.4
Person aged 15 years and over in the Labour Force,1999Q2,15 - 24 years,Both sexes,423.9
Person aged 15 years and over in the Labour Force,1999Q2,15 - 24 years,Male,233.5
Person aged 15 years and over in the Labour Force,1999Q2,15 - 24 years,Female,190.4
Person aged 15 years and over in the Labour Force,1999Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1999Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1999Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1999Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1999Q2,15 years and over,Both sexes,1789.8
Person aged 15 years and over in the Labour Force,1999Q2,15 years and over,Male,1065.8
Person aged 15 years and over in the Labour Force,1999Q2,15 years and over,Female,724.0
Person aged 15 years and over in the Labour Force,1999Q2,20 - 24 years,Both sexes,262.2
Person aged 15 years and over in the Labour Force,1999Q2,20 - 24 years,Male,138.1
Person aged 15 years and over in the Labour Force,1999Q2,20 - 24 years,Female,124.0
Person aged 15 years and over in the Labour Force,1999Q2,25 - 34 years,Both sexes,467.7
Person aged 15 years and over in the Labour Force,1999Q2,25 - 34 years,Male,258.8
Person aged 15 years and over in the Labour Force,1999Q2,25 - 34 years,Female,208.9
Person aged 15 years and over in the Labour Force,1999Q2,35 - 44 years,Both sexes,411.5
Person aged 15 years and over in the Labour Force,1999Q2,35 - 44 years,Male,246.4
Person aged 15 years and over in the Labour Force,1999Q2,35 - 44 years,Female,165.1
Person aged 15 years and over in the Labour Force,1999Q2,45 - 54 years,Both sexes,309.1
Person aged 15 years and over in the Labour Force,1999Q2,45 - 54 years,Male,199.1
Person aged 15 years and over in the Labour Force,1999Q2,45 - 54 years,Female,110.0
Person aged 15 years and over in the Labour Force,1999Q2,55 - 59 years,Both sexes,90.0
Person aged 15 years and over in the Labour Force,1999Q2,55 - 59 years,Male,62.0
Person aged 15 years and over in the Labour Force,1999Q2,55 - 59 years,Female,27.9
Person aged 15 years and over in the Labour Force,1999Q2,60 - 64 years,Both sexes,53.5
Person aged 15 years and over in the Labour Force,1999Q2,60 - 64 years,Male,38.8
Person aged 15 years and over in the Labour Force,1999Q2,60 - 64 years,Female,14.7
Person aged 15 years and over in the Labour Force,1999Q2,65 years and over,Both sexes,34.1
Person aged 15 years and over in the Labour Force,1999Q2,65 years and over,Male,27.2
Person aged 15 years and over in the Labour Force,1999Q2,65 years and over,Female,6.9
Person aged 15 years and over in the Labour Force,1999Q2,25 - 74 years,Both sexes,1359.6
Person aged 15 years and over in the Labour Force,1999Q2,25 - 74 years,Male,827.5
Person aged 15 years and over in the Labour Force,1999Q2,25 - 74 years,Female,532.1
Person aged 15 years and over in the Labour Force,1999Q3,15 - 19 years,Both sexes,193.4
Person aged 15 years and over in the Labour Force,1999Q3,15 - 19 years,Male,110.4
Person aged 15 years and over in the Labour Force,1999Q3,15 - 19 years,Female,83.0
Person aged 15 years and over in the Labour Force,1999Q3,15 - 24 years,Both sexes,469.6
Person aged 15 years and over in the Labour Force,1999Q3,15 - 24 years,Male,254.9
Person aged 15 years and over in the Labour Force,1999Q3,15 - 24 years,Female,214.7
Person aged 15 years and over in the Labour Force,1999Q3,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q3,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1999Q3,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1999Q3,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q3,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1999Q3,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1999Q3,15 years and over,Both sexes,1849.0
Person aged 15 years and over in the Labour Force,1999Q3,15 years and over,Male,1097.1
Person aged 15 years and over in the Labour Force,1999Q3,15 years and over,Female,751.9
Person aged 15 years and over in the Labour Force,1999Q3,20 - 24 years,Both sexes,276.2
Person aged 15 years and over in the Labour Force,1999Q3,20 - 24 years,Male,144.5
Person aged 15 years and over in the Labour Force,1999Q3,20 - 24 years,Female,131.8
Person aged 15 years and over in the Labour Force,1999Q3,25 - 34 years,Both sexes,472.8
Person aged 15 years and over in the Labour Force,1999Q3,25 - 34 years,Male,262.9
Person aged 15 years and over in the Labour Force,1999Q3,25 - 34 years,Female,209.9
Person aged 15 years and over in the Labour Force,1999Q3,35 - 44 years,Both sexes,412.0
Person aged 15 years and over in the Labour Force,1999Q3,35 - 44 years,Male,246.9
Person aged 15 years and over in the Labour Force,1999Q3,35 - 44 years,Female,165.1
Person aged 15 years and over in the Labour Force,1999Q3,45 - 54 years,Both sexes,314.8
Person aged 15 years and over in the Labour Force,1999Q3,45 - 54 years,Male,202.6
Person aged 15 years and over in the Labour Force,1999Q3,45 - 54 years,Female,112.2
Person aged 15 years and over in the Labour Force,1999Q3,55 - 59 years,Both sexes,91.6
Person aged 15 years and over in the Labour Force,1999Q3,55 - 59 years,Male,63.0
Person aged 15 years and over in the Labour Force,1999Q3,55 - 59 years,Female,28.6
Person aged 15 years and over in the Labour Force,1999Q3,60 - 64 years,Both sexes,53.7
Person aged 15 years and over in the Labour Force,1999Q3,60 - 64 years,Male,39.2
Person aged 15 years and over in the Labour Force,1999Q3,60 - 64 years,Female,14.5
Person aged 15 years and over in the Labour Force,1999Q3,65 years and over,Both sexes,34.5
Person aged 15 years and over in the Labour Force,1999Q3,65 years and over,Male,27.6
Person aged 15 years and over in the Labour Force,1999Q3,65 years and over,Female,6.9
Person aged 15 years and over in the Labour Force,1999Q3,25 - 74 years,Both sexes,1373.2
Person aged 15 years and over in the Labour Force,1999Q3,25 - 74 years,Male,837.3
Person aged 15 years and over in the Labour Force,1999Q3,25 - 74 years,Female,535.9
Person aged 15 years and over in the Labour Force,1999Q4,15 - 19 years,Both sexes,149.0
Person aged 15 years and over in the Labour Force,1999Q4,15 - 19 years,Male,87.3
Person aged 15 years and over in the Labour Force,1999Q4,15 - 19 years,Female,61.6
Person aged 15 years and over in the Labour Force,1999Q4,15 - 24 years,Both sexes,413.8
Person aged 15 years and over in the Labour Force,1999Q4,15 - 24 years,Male,227.2
Person aged 15 years and over in the Labour Force,1999Q4,15 - 24 years,Female,186.7
Person aged 15 years and over in the Labour Force,1999Q4,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q4,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,1999Q4,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,1999Q4,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,1999Q4,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,1999Q4,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,1999Q4,15 years and over,Both sexes,1813.9
Person aged 15 years and over in the Labour Force,1999Q4,15 years and over,Male,1077.3
Person aged 15 years and over in the Labour Force,1999Q4,15 years and over,Female,736.6
Person aged 15 years and over in the Labour Force,1999Q4,20 - 24 years,Both sexes,264.8
Person aged 15 years and over in the Labour Force,1999Q4,20 - 24 years,Male,139.8
Person aged 15 years and over in the Labour Force,1999Q4,20 - 24 years,Female,125.0
Person aged 15 years and over in the Labour Force,1999Q4,25 - 34 years,Both sexes,478.9
Person aged 15 years and over in the Labour Force,1999Q4,25 - 34 years,Male,263.9
Person aged 15 years and over in the Labour Force,1999Q4,25 - 34 years,Female,215.0
Person aged 15 years and over in the Labour Force,1999Q4,35 - 44 years,Both sexes,417.8
Person aged 15 years and over in the Labour Force,1999Q4,35 - 44 years,Male,248.6
Person aged 15 years and over in the Labour Force,1999Q4,35 - 44 years,Female,169.2
Person aged 15 years and over in the Labour Force,1999Q4,45 - 54 years,Both sexes,320.7
Person aged 15 years and over in the Labour Force,1999Q4,45 - 54 years,Male,205.4
Person aged 15 years and over in the Labour Force,1999Q4,45 - 54 years,Female,115.2
Person aged 15 years and over in the Labour Force,1999Q4,55 - 59 years,Both sexes,94.1
Person aged 15 years and over in the Labour Force,1999Q4,55 - 59 years,Male,64.9
Person aged 15 years and over in the Labour Force,1999Q4,55 - 59 years,Female,29.2
Person aged 15 years and over in the Labour Force,1999Q4,60 - 64 years,Both sexes,54.2
Person aged 15 years and over in the Labour Force,1999Q4,60 - 64 years,Male,39.5
Person aged 15 years and over in the Labour Force,1999Q4,60 - 64 years,Female,14.6
Person aged 15 years and over in the Labour Force,1999Q4,65 years and over,Both sexes,34.5
Person aged 15 years and over in the Labour Force,1999Q4,65 years and over,Male,27.9
Person aged 15 years and over in the Labour Force,1999Q4,65 years and over,Female,6.6
Person aged 15 years and over in the Labour Force,1999Q4,25 - 74 years,Both sexes,1394.1
Person aged 15 years and over in the Labour Force,1999Q4,25 - 74 years,Male,845.3
Person aged 15 years and over in the Labour Force,1999Q4,25 - 74 years,Female,548.8
Person aged 15 years and over in the Labour Force,2000Q1,15 - 19 years,Both sexes,143.1
Person aged 15 years and over in the Labour Force,2000Q1,15 - 19 years,Male,85.5
Person aged 15 years and over in the Labour Force,2000Q1,15 - 19 years,Female,57.6
Person aged 15 years and over in the Labour Force,2000Q1,15 - 24 years,Both sexes,405.0
Person aged 15 years and over in the Labour Force,2000Q1,15 - 24 years,Male,224.6
Person aged 15 years and over in the Labour Force,2000Q1,15 - 24 years,Female,180.4
Person aged 15 years and over in the Labour Force,2000Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2000Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2000Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2000Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2000Q1,15 years and over,Both sexes,1813.2
Person aged 15 years and over in the Labour Force,2000Q1,15 years and over,Male,1077.5
Person aged 15 years and over in the Labour Force,2000Q1,15 years and over,Female,735.7
Person aged 15 years and over in the Labour Force,2000Q1,20 - 24 years,Both sexes,261.9
Person aged 15 years and over in the Labour Force,2000Q1,20 - 24 years,Male,139.1
Person aged 15 years and over in the Labour Force,2000Q1,20 - 24 years,Female,122.8
Person aged 15 years and over in the Labour Force,2000Q1,25 - 34 years,Both sexes,481.0
Person aged 15 years and over in the Labour Force,2000Q1,25 - 34 years,Male,265.7
Person aged 15 years and over in the Labour Force,2000Q1,25 - 34 years,Female,215.3
Person aged 15 years and over in the Labour Force,2000Q1,35 - 44 years,Both sexes,419.4
Person aged 15 years and over in the Labour Force,2000Q1,35 - 44 years,Male,249.7
Person aged 15 years and over in the Labour Force,2000Q1,35 - 44 years,Female,169.7
Person aged 15 years and over in the Labour Force,2000Q1,45 - 54 years,Both sexes,324.5
Person aged 15 years and over in the Labour Force,2000Q1,45 - 54 years,Male,205.3
Person aged 15 years and over in the Labour Force,2000Q1,45 - 54 years,Female,119.2
Person aged 15 years and over in the Labour Force,2000Q1,55 - 59 years,Both sexes,96.3
Person aged 15 years and over in the Labour Force,2000Q1,55 - 59 years,Male,65.9
Person aged 15 years and over in the Labour Force,2000Q1,55 - 59 years,Female,30.4
Person aged 15 years and over in the Labour Force,2000Q1,60 - 64 years,Both sexes,53.7
Person aged 15 years and over in the Labour Force,2000Q1,60 - 64 years,Male,39.2
Person aged 15 years and over in the Labour Force,2000Q1,60 - 64 years,Female,14.5
Person aged 15 years and over in the Labour Force,2000Q1,65 years and over,Both sexes,33.4
Person aged 15 years and over in the Labour Force,2000Q1,65 years and over,Male,27.2
Person aged 15 years and over in the Labour Force,2000Q1,65 years and over,Female,6.2
Person aged 15 years and over in the Labour Force,2000Q1,25 - 74 years,Both sexes,1402.1
Person aged 15 years and over in the Labour Force,2000Q1,25 - 74 years,Male,847.9
Person aged 15 years and over in the Labour Force,2000Q1,25 - 74 years,Female,554.3
Person aged 15 years and over in the Labour Force,2000Q2,15 - 19 years,Both sexes,158.7
Person aged 15 years and over in the Labour Force,2000Q2,15 - 19 years,Male,93.3
Person aged 15 years and over in the Labour Force,2000Q2,15 - 19 years,Female,65.4
