Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Construction (F),7.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1.7
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Accommodation and food service activities (I),1.3
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Administrative and support service activities (N),2.6
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Education (P),9.1
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Human health and social work activities (Q),5.1
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Industry (B to E),4.2
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Other NACE activities (R to U),8.5
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Industry and Construction (B to F),11.7
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Services (G to U),31.8
Employees aged 15 years and over in Employment (ILO),1998Q1,Not stated,Not stated,2.6
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,All NACE economic sectors,1269.9
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,"Agriculture, forestry and fishing (A)",25.4
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Construction (F),77.9
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),179.8
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Transportation and storage (H),50.7
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Accommodation and food service activities (I),85.2
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Information and communication (J),57.9
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,"Professional, scientific and technical activities (M)",50.8
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Administrative and support service activities (N),44.4
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Public administration and defence; compulsory social security (O),66.7
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Education (P),89.3
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Human health and social work activities (Q),114.6
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Industry (B to E),298.7
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,"Financial, insurance and real estate activities (K, L)",59.1
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Other NACE activities (R to U),61.7
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Industry and Construction (B to F),376.6
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Services (G to U),860.1
Employees aged 15 years and over in Employment (ILO),1998Q2,All employees,Not stated,7.9
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,All NACE economic sectors,1093.2
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,"Agriculture, forestry and fishing (A)",20.9
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Construction (F),63.0
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),156.6
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Transportation and storage (H),47.0
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Accommodation and food service activities (I),65.7
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Information and communication (J),53.1
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,"Professional, scientific and technical activities (M)",44.4
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Administrative and support service activities (N),36.5
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Public administration and defence; compulsory social security (O),64.2
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Education (P),69.1
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Human health and social work activities (Q),95.6
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Industry (B to E),276.3
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,"Financial, insurance and real estate activities (K, L)",54.1
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Other NACE activities (R to U),42.8
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Industry and Construction (B to F),339.3
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Services (G to U),729.2
Employees aged 15 years and over in Employment (ILO),1998Q2,Permanent employees,Not stated,3.9
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,All NACE economic sectors,128.2
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,"Agriculture, forestry and fishing (A)",3.5
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Construction (F),7.8
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.6
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Transportation and storage (H),2.7
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Accommodation and food service activities (I),18.5
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Information and communication (J),3.9
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,"Professional, scientific and technical activities (M)",5.0
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Administrative and support service activities (N),5.0
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Public administration and defence; compulsory social security (O),1.9
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Education (P),11.4
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Human health and social work activities (Q),13.7
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Industry (B to E),18.3
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,"Financial, insurance and real estate activities (K, L)",5.0
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Other NACE activities (R to U),9.1
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Industry and Construction (B to F),26.1
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Services (G to U),97.8
Employees aged 15 years and over in Employment (ILO),1998Q2,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,All NACE economic sectors,48.5
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Construction (F),7.2
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1.6
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,"Professional, scientific and technical activities (M)",1.3
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Administrative and support service activities (N),2.8
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Education (P),8.8
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Human health and social work activities (Q),5.4
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Industry (B to E),4.1
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Other NACE activities (R to U),9.7
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Industry and Construction (B to F),11.3
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Services (G to U),33.1
Employees aged 15 years and over in Employment (ILO),1998Q2,Not stated,Not stated,3.1
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,All NACE economic sectors,1334.5
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,"Agriculture, forestry and fishing (A)",28.9
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Construction (F),85.1
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),192.0
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Transportation and storage (H),52.5
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Accommodation and food service activities (I),92.9
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Information and communication (J),62.9
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,"Professional, scientific and technical activities (M)",53.2
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Administrative and support service activities (N),46.0
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Public administration and defence; compulsory social security (O),67.5
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Education (P),87.7
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Human health and social work activities (Q),119.2
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Industry (B to E),309.4
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,"Financial, insurance and real estate activities (K, L)",62.9
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Other NACE activities (R to U),65.8
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Industry and Construction (B to F),394.5
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Services (G to U),902.7
Employees aged 15 years and over in Employment (ILO),1998Q3,All employees,Not stated,8.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,All NACE economic sectors,1121.6
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,"Agriculture, forestry and fishing (A)",21.8
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Construction (F),67.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),158.8
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Transportation and storage (H),48.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Accommodation and food service activities (I),65.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Information and communication (J),57.8
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,"Professional, scientific and technical activities (M)",46.2
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Administrative and support service activities (N),37.9
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Public administration and defence; compulsory social security (O),64.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Education (P),70.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Human health and social work activities (Q),97.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Industry (B to E),281.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,"Financial, insurance and real estate activities (K, L)",56.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Other NACE activities (R to U),44.7
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Industry and Construction (B to F),348.5
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Services (G to U),747.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Permanent employees,Not stated,4.0
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,All NACE economic sectors,161.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,"Agriculture, forestry and fishing (A)",5.6
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Construction (F),10.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.2
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Transportation and storage (H),3.5
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Accommodation and food service activities (I),26.2
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Information and communication (J),4.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,"Professional, scientific and technical activities (M)",6.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Administrative and support service activities (N),5.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Public administration and defence; compulsory social security (O),2.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Education (P),9.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Human health and social work activities (Q),15.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Industry (B to E),24.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,"Financial, insurance and real estate activities (K, L)",6.5
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Other NACE activities (R to U),11.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Industry and Construction (B to F),34.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Services (G to U),120.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,All NACE economic sectors,51.6
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,"Agriculture, forestry and fishing (A)",1.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Construction (F),7.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.0
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Accommodation and food service activities (I),1.4
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Administrative and support service activities (N),2.8
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Education (P),8.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Human health and social work activities (Q),6.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Industry (B to E),4.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Other NACE activities (R to U),10.1
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Industry and Construction (B to F),11.7
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Services (G to U),35.3
Employees aged 15 years and over in Employment (ILO),1998Q3,Not stated,Not stated,3.2
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,All NACE economic sectors,1313.1
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,"Agriculture, forestry and fishing (A)",26.1
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Construction (F),86.5
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),186.9
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Transportation and storage (H),54.7
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Accommodation and food service activities (I),85.7
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Information and communication (J),62.5
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,"Professional, scientific and technical activities (M)",54.8
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Administrative and support service activities (N),46.4
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Public administration and defence; compulsory social security (O),66.0
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Education (P),93.0
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Human health and social work activities (Q),115.7
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Industry (B to E),299.9
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,"Financial, insurance and real estate activities (K, L)",62.2
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Other NACE activities (R to U),62.5
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Industry and Construction (B to F),386.4
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Services (G to U),890.3
Employees aged 15 years and over in Employment (ILO),1998Q4,All employees,Not stated,10.3
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,All NACE economic sectors,1146.4
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,"Agriculture, forestry and fishing (A)",21.9
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Construction (F),71.3
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),164.1
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Transportation and storage (H),51.4
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Accommodation and food service activities (I),69.2
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Information and communication (J),57.4
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,"Professional, scientific and technical activities (M)",48.9
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Administrative and support service activities (N),39.2
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Public administration and defence; compulsory social security (O),63.6
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Education (P),74.2
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Human health and social work activities (Q),96.9
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Industry (B to E),278.2
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,"Financial, insurance and real estate activities (K, L)",58.2
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Other NACE activities (R to U),46.0
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Industry and Construction (B to F),349.5
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Services (G to U),769.1
Employees aged 15 years and over in Employment (ILO),1998Q4,Permanent employees,Not stated,5.9
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,All NACE economic sectors,116.3
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,"Agriculture, forestry and fishing (A)",2.8
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Construction (F),8.2
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),20.1
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Transportation and storage (H),2.8
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Accommodation and food service activities (I),15.0
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Information and communication (J),4.0
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,"Professional, scientific and technical activities (M)",4.5
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Administrative and support service activities (N),3.9
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Public administration and defence; compulsory social security (O),1.8
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Education (P),10.4
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Human health and social work activities (Q),13.5
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Industry (B to E),17.6
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,"Financial, insurance and real estate activities (K, L)",3.5
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Other NACE activities (R to U),7.2
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Industry and Construction (B to F),25.9
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Services (G to U),86.5
Employees aged 15 years and over in Employment (ILO),1998Q4,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,All NACE economic sectors,50.4
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,"Agriculture, forestry and fishing (A)",1.4
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Construction (F),7.0
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2.7
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Accommodation and food service activities (I),1.5
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,"Professional, scientific and technical activities (M)",1.3
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Administrative and support service activities (N),3.3
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Education (P),8.3
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Human health and social work activities (Q),5.4
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Industry (B to E),4.1
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Other NACE activities (R to U),9.3
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Industry and Construction (B to F),11.0
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Services (G to U),34.7
Employees aged 15 years and over in Employment (ILO),1998Q4,Not stated,Not stated,3.3
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,All NACE economic sectors,1332.7
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,"Agriculture, forestry and fishing (A)",26.1
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Construction (F),87.2
