Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),2001Q2,Dublin,Person usually works at home,20.5
Persons aged 15 years and over in employment (ILO),2001Q2,Dublin,Person sometimes works at home,45.1
Persons aged 15 years and over in employment (ILO),2001Q2,Dublin,Person never works at home,437.1
Persons aged 15 years and over in employment (ILO),2001Q2,Dublin,Not stated,57.9
Persons aged 15 years and over in employment (ILO),2001Q2,Dublin,All persons in employment,560.6
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-East,Person usually works at home,16.3
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-East,Person sometimes works at home,13.6
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-East,Person never works at home,149.8
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-East,Not stated,17.7
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-East,All persons in employment,197.5
Persons aged 15 years and over in employment (ILO),2001Q2,Midland,Person usually works at home,13.3
Persons aged 15 years and over in employment (ILO),2001Q2,Midland,Person sometimes works at home,2.0
Persons aged 15 years and over in employment (ILO),2001Q2,Midland,Person never works at home,66.8
Persons aged 15 years and over in employment (ILO),2001Q2,Midland,Not stated,7.2
Persons aged 15 years and over in employment (ILO),2001Q2,Midland,All persons in employment,89.3
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-West,Person usually works at home,20.0
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-West,Person sometimes works at home,6.9
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-West,Person never works at home,111.8
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-West,Not stated,14.6
Persons aged 15 years and over in employment (ILO),2001Q2,Mid-West,All persons in employment,153.3
Persons aged 15 years and over in employment (ILO),2001Q2,South-East,Person usually works at home,28.6
Persons aged 15 years and over in employment (ILO),2001Q2,South-East,Person sometimes works at home,5.1
Persons aged 15 years and over in employment (ILO),2001Q2,South-East,Person never works at home,138.4
Persons aged 15 years and over in employment (ILO),2001Q2,South-East,Not stated,13.6
Persons aged 15 years and over in employment (ILO),2001Q2,South-East,All persons in employment,185.7
Persons aged 15 years and over in employment (ILO),2001Q2,South-West,Person usually works at home,31.4
Persons aged 15 years and over in employment (ILO),2001Q2,South-West,Person sometimes works at home,7.6
Persons aged 15 years and over in employment (ILO),2001Q2,South-West,Person never works at home,195.0
Persons aged 15 years and over in employment (ILO),2001Q2,South-West,Not stated,30.7
Persons aged 15 years and over in employment (ILO),2001Q2,South-West,All persons in employment,264.7
Persons aged 15 years and over in employment (ILO),2001Q2,West,Person usually works at home,30.0
Persons aged 15 years and over in employment (ILO),2001Q2,West,Person sometimes works at home,5.4
Persons aged 15 years and over in employment (ILO),2001Q2,West,Person never works at home,110.7
Persons aged 15 years and over in employment (ILO),2001Q2,West,Not stated,17.2
Persons aged 15 years and over in employment (ILO),2001Q2,West,All persons in employment,163.3
Persons aged 15 years and over in employment (ILO),2001Q2,Ireland,Person usually works at home,186.8
Persons aged 15 years and over in employment (ILO),2001Q2,Ireland,Person sometimes works at home,101.7
Persons aged 15 years and over in employment (ILO),2001Q2,Ireland,Person never works at home,1348.1
Persons aged 15 years and over in employment (ILO),2001Q2,Ireland,Not stated,173.0
Persons aged 15 years and over in employment (ILO),2001Q2,Ireland,All persons in employment,1809.7
Persons aged 15 years and over in employment (ILO),2001Q3,Border,Person usually works at home,27.6
Persons aged 15 years and over in employment (ILO),2001Q3,Border,Person sometimes works at home,15.2
Persons aged 15 years and over in employment (ILO),2001Q3,Border,Person never works at home,139.7
Persons aged 15 years and over in employment (ILO),2001Q3,Border,Not stated,14.9
Persons aged 15 years and over in employment (ILO),2001Q3,Border,All persons in employment,197.4
Persons aged 15 years and over in employment (ILO),2001Q3,Dublin,Person usually works at home,20.5
Persons aged 15 years and over in employment (ILO),2001Q3,Dublin,Person sometimes works at home,42.8
Persons aged 15 years and over in employment (ILO),2001Q3,Dublin,Person never works at home,445.5
Persons aged 15 years and over in employment (ILO),2001Q3,Dublin,Not stated,65.1
Persons aged 15 years and over in employment (ILO),2001Q3,Dublin,All persons in employment,573.9
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-East,Person usually works at home,17.5
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-East,Person sometimes works at home,11.5
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-East,Person never works at home,153.1
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-East,Not stated,19.9
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-East,All persons in employment,202.0
Persons aged 15 years and over in employment (ILO),2001Q3,Midland,Person usually works at home,14.3
Persons aged 15 years and over in employment (ILO),2001Q3,Midland,Person sometimes works at home,1.3
Persons aged 15 years and over in employment (ILO),2001Q3,Midland,Person never works at home,68.5
Persons aged 15 years and over in employment (ILO),2001Q3,Midland,Not stated,6.8
Persons aged 15 years and over in employment (ILO),2001Q3,Midland,All persons in employment,90.9
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-West,Person usually works at home,21.6
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-West,Person sometimes works at home,8.0
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-West,Person never works at home,115.2
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-West,Not stated,16.5
Persons aged 15 years and over in employment (ILO),2001Q3,Mid-West,All persons in employment,161.2
Persons aged 15 years and over in employment (ILO),2001Q3,South-East,Person usually works at home,28.5
Persons aged 15 years and over in employment (ILO),2001Q3,South-East,Person sometimes works at home,6.5
Persons aged 15 years and over in employment (ILO),2001Q3,South-East,Person never works at home,142.8
Persons aged 15 years and over in employment (ILO),2001Q3,South-East,Not stated,18.5
Persons aged 15 years and over in employment (ILO),2001Q3,South-East,All persons in employment,196.4
Persons aged 15 years and over in employment (ILO),2001Q3,South-West,Person usually works at home,29.7
Persons aged 15 years and over in employment (ILO),2001Q3,South-West,Person sometimes works at home,7.4
Persons aged 15 years and over in employment (ILO),2001Q3,South-West,Person never works at home,199.4
Persons aged 15 years and over in employment (ILO),2001Q3,South-West,Not stated,36.5
Persons aged 15 years and over in employment (ILO),2001Q3,South-West,All persons in employment,272.9
Persons aged 15 years and over in employment (ILO),2001Q3,West,Person usually works at home,28.9
Persons aged 15 years and over in employment (ILO),2001Q3,West,Person sometimes works at home,6.1
Persons aged 15 years and over in employment (ILO),2001Q3,West,Person never works at home,119.9
Persons aged 15 years and over in employment (ILO),2001Q3,West,Not stated,17.2
Persons aged 15 years and over in employment (ILO),2001Q3,West,All persons in employment,172.0
Persons aged 15 years and over in employment (ILO),2001Q3,Ireland,Person usually works at home,188.6
Persons aged 15 years and over in employment (ILO),2001Q3,Ireland,Person sometimes works at home,98.8
Persons aged 15 years and over in employment (ILO),2001Q3,Ireland,Person never works at home,1384.0
Persons aged 15 years and over in employment (ILO),2001Q3,Ireland,Not stated,195.5
Persons aged 15 years and over in employment (ILO),2001Q3,Ireland,All persons in employment,1866.8
Persons aged 15 years and over in employment (ILO),2001Q4,Border,Person usually works at home,28.5
Persons aged 15 years and over in employment (ILO),2001Q4,Border,Person sometimes works at home,15.3
Persons aged 15 years and over in employment (ILO),2001Q4,Border,Person never works at home,139.0
Persons aged 15 years and over in employment (ILO),2001Q4,Border,Not stated,12.3
Persons aged 15 years and over in employment (ILO),2001Q4,Border,All persons in employment,195.1
Persons aged 15 years and over in employment (ILO),2001Q4,Dublin,Person usually works at home,20.7
Persons aged 15 years and over in employment (ILO),2001Q4,Dublin,Person sometimes works at home,41.2
Persons aged 15 years and over in employment (ILO),2001Q4,Dublin,Person never works at home,446.5
Persons aged 15 years and over in employment (ILO),2001Q4,Dublin,Not stated,57.9
Persons aged 15 years and over in employment (ILO),2001Q4,Dublin,All persons in employment,566.3
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-East,Person usually works at home,18.4
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-East,Person sometimes works at home,11.8
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-East,Person never works at home,152.8
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-East,Not stated,17.1
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-East,All persons in employment,200.1
Persons aged 15 years and over in employment (ILO),2001Q4,Midland,Person usually works at home,14.2
Persons aged 15 years and over in employment (ILO),2001Q4,Midland,Person sometimes works at home,1.3
Persons aged 15 years and over in employment (ILO),2001Q4,Midland,Person never works at home,68.8
Persons aged 15 years and over in employment (ILO),2001Q4,Midland,Not stated,5.5
Persons aged 15 years and over in employment (ILO),2001Q4,Midland,All persons in employment,89.8
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-West,Person usually works at home,22.6
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-West,Person sometimes works at home,8.3
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-West,Person never works at home,114.5
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-West,Not stated,13.1
Persons aged 15 years and over in employment (ILO),2001Q4,Mid-West,All persons in employment,158.5
Persons aged 15 years and over in employment (ILO),2001Q4,South-East,Person usually works at home,29.6
Persons aged 15 years and over in employment (ILO),2001Q4,South-East,Person sometimes works at home,7.1
Persons aged 15 years and over in employment (ILO),2001Q4,South-East,Person never works at home,140.8
Persons aged 15 years and over in employment (ILO),2001Q4,South-East,Not stated,13.7
Persons aged 15 years and over in employment (ILO),2001Q4,South-East,All persons in employment,191.2
Persons aged 15 years and over in employment (ILO),2001Q4,South-West,Person usually works at home,28.8
Persons aged 15 years and over in employment (ILO),2001Q4,South-West,Person sometimes works at home,7.2
Persons aged 15 years and over in employment (ILO),2001Q4,South-West,Person never works at home,199.7
Persons aged 15 years and over in employment (ILO),2001Q4,South-West,Not stated,27.8
Persons aged 15 years and over in employment (ILO),2001Q4,South-West,All persons in employment,263.5
Persons aged 15 years and over in employment (ILO),2001Q4,West,Person usually works at home,27.3
Persons aged 15 years and over in employment (ILO),2001Q4,West,Person sometimes works at home,6.0
Persons aged 15 years and over in employment (ILO),2001Q4,West,Person never works at home,123.2
Persons aged 15 years and over in employment (ILO),2001Q4,West,Not stated,12.1
Persons aged 15 years and over in employment (ILO),2001Q4,West,All persons in employment,168.6
Persons aged 15 years and over in employment (ILO),2001Q4,Ireland,Person usually works at home,190.1
Persons aged 15 years and over in employment (ILO),2001Q4,Ireland,Person sometimes works at home,98.2
Persons aged 15 years and over in employment (ILO),2001Q4,Ireland,Person never works at home,1385.4
Persons aged 15 years and over in employment (ILO),2001Q4,Ireland,Not stated,159.4
Persons aged 15 years and over in employment (ILO),2001Q4,Ireland,All persons in employment,1833.1
Persons aged 15 years and over in employment (ILO),2002Q1,Border,Person usually works at home,27.4
Persons aged 15 years and over in employment (ILO),2002Q1,Border,Person sometimes works at home,15.7
Persons aged 15 years and over in employment (ILO),2002Q1,Border,Person never works at home,137.5
Persons aged 15 years and over in employment (ILO),2002Q1,Border,Not stated,12.4
Persons aged 15 years and over in employment (ILO),2002Q1,Border,All persons in employment,193.1
Persons aged 15 years and over in employment (ILO),2002Q1,Dublin,Person usually works at home,21.1
Persons aged 15 years and over in employment (ILO),2002Q1,Dublin,Person sometimes works at home,42.9
Persons aged 15 years and over in employment (ILO),2002Q1,Dublin,Person never works at home,442.9
Persons aged 15 years and over in employment (ILO),2002Q1,Dublin,Not stated,54.4
Persons aged 15 years and over in employment (ILO),2002Q1,Dublin,All persons in employment,561.3
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-East,Person usually works at home,18.0
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-East,Person sometimes works at home,11.9
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-East,Person never works at home,153.0
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-East,Not stated,16.0
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-East,All persons in employment,199.0
Persons aged 15 years and over in employment (ILO),2002Q1,Midland,Person usually works at home,14.2
Persons aged 15 years and over in employment (ILO),2002Q1,Midland,Person sometimes works at home,1.1
Persons aged 15 years and over in employment (ILO),2002Q1,Midland,Person never works at home,69.7
Persons aged 15 years and over in employment (ILO),2002Q1,Midland,Not stated,5.8
Persons aged 15 years and over in employment (ILO),2002Q1,Midland,All persons in employment,90.9
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-West,Person usually works at home,21.8
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-West,Person sometimes works at home,7.4
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-West,Person never works at home,115.5
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-West,Not stated,13.3
Persons aged 15 years and over in employment (ILO),2002Q1,Mid-West,All persons in employment,158.1
Persons aged 15 years and over in employment (ILO),2002Q1,South-East,Person usually works at home,28.8
Persons aged 15 years and over in employment (ILO),2002Q1,South-East,Person sometimes works at home,7.1
Persons aged 15 years and over in employment (ILO),2002Q1,South-East,Person never works at home,142.0
Persons aged 15 years and over in employment (ILO),2002Q1,South-East,Not stated,13.6
Persons aged 15 years and over in employment (ILO),2002Q1,South-East,All persons in employment,191.5
Persons aged 15 years and over in employment (ILO),2002Q1,South-West,Person usually works at home,29.0
Persons aged 15 years and over in employment (ILO),2002Q1,South-West,Person sometimes works at home,7.8
Persons aged 15 years and over in employment (ILO),2002Q1,South-West,Person never works at home,201.8
Persons aged 15 years and over in employment (ILO),2002Q1,South-West,Not stated,24.7
Persons aged 15 years and over in employment (ILO),2002Q1,South-West,All persons in employment,263.3
Persons aged 15 years and over in employment (ILO),2002Q1,West,Person usually works at home,27.0
Persons aged 15 years and over in employment (ILO),2002Q1,West,Person sometimes works at home,5.7
Persons aged 15 years and over in employment (ILO),2002Q1,West,Person never works at home,123.6
Persons aged 15 years and over in employment (ILO),2002Q1,West,Not stated,11.6
Persons aged 15 years and over in employment (ILO),2002Q1,West,All persons in employment,168.0
Persons aged 15 years and over in employment (ILO),2002Q1,Ireland,Person usually works at home,187.5
Persons aged 15 years and over in employment (ILO),2002Q1,Ireland,Person sometimes works at home,99.6
Persons aged 15 years and over in employment (ILO),2002Q1,Ireland,Person never works at home,1386.1
Persons aged 15 years and over in employment (ILO),2002Q1,Ireland,Not stated,151.9
Persons aged 15 years and over in employment (ILO),2002Q1,Ireland,All persons in employment,1825.1
Persons aged 15 years and over in employment (ILO),2002Q2,Border,Person usually works at home,26.6
Persons aged 15 years and over in employment (ILO),2002Q2,Border,Person sometimes works at home,13.5
Persons aged 15 years and over in employment (ILO),2002Q2,Border,Person never works at home,147.9
Persons aged 15 years and over in employment (ILO),2002Q2,Border,Not stated,6.8
Persons aged 15 years and over in employment (ILO),2002Q2,Border,All persons in employment,194.9
Persons aged 15 years and over in employment (ILO),2002Q2,Dublin,Person usually works at home,19.1
Persons aged 15 years and over in employment (ILO),2002Q2,Dublin,Person sometimes works at home,37.7
Persons aged 15 years and over in employment (ILO),2002Q2,Dublin,Person never works at home,477.2
Persons aged 15 years and over in employment (ILO),2002Q2,Dublin,Not stated,26.4
Persons aged 15 years and over in employment (ILO),2002Q2,Dublin,All persons in employment,560.3
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-East,Person usually works at home,16.8
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-East,Person sometimes works at home,12.5
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-East,Person never works at home,163.7
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-East,Not stated,9.7
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-East,All persons in employment,202.7
Persons aged 15 years and over in employment (ILO),2002Q2,Midland,Person usually works at home,13.3
Persons aged 15 years and over in employment (ILO),2002Q2,Midland,Person sometimes works at home,1.2
Persons aged 15 years and over in employment (ILO),2002Q2,Midland,Person never works at home,77.6
Persons aged 15 years and over in employment (ILO),2002Q2,Midland,Not stated,3.3
Persons aged 15 years and over in employment (ILO),2002Q2,Midland,All persons in employment,95.4
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-West,Person usually works at home,22.8
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-West,Person sometimes works at home,5.2
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-West,Person never works at home,123.8
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-West,Not stated,7.2
Persons aged 15 years and over in employment (ILO),2002Q2,Mid-West,All persons in employment,159.0
Persons aged 15 years and over in employment (ILO),2002Q2,South-East,Person usually works at home,27.6
Persons aged 15 years and over in employment (ILO),2002Q2,South-East,Person sometimes works at home,7.1
Persons aged 15 years and over in employment (ILO),2002Q2,South-East,Person never works at home,150.9
Persons aged 15 years and over in employment (ILO),2002Q2,South-East,Not stated,7.3
Persons aged 15 years and over in employment (ILO),2002Q2,South-East,All persons in employment,192.9
Persons aged 15 years and over in employment (ILO),2002Q2,South-West,Person usually works at home,30.1
Persons aged 15 years and over in employment (ILO),2002Q2,South-West,Person sometimes works at home,9.3
Persons aged 15 years and over in employment (ILO),2002Q2,South-West,Person never works at home,214.8
Persons aged 15 years and over in employment (ILO),2002Q2,South-West,Not stated,12.2
Persons aged 15 years and over in employment (ILO),2002Q2,South-West,All persons in employment,266.3
Persons aged 15 years and over in employment (ILO),2002Q2,West,Person usually works at home,25.8
Persons aged 15 years and over in employment (ILO),2002Q2,West,Person sometimes works at home,6.3
Persons aged 15 years and over in employment (ILO),2002Q2,West,Person never works at home,130.5
Persons aged 15 years and over in employment (ILO),2002Q2,West,Not stated,6.2
Persons aged 15 years and over in employment (ILO),2002Q2,West,All persons in employment,168.8
Persons aged 15 years and over in employment (ILO),2002Q2,Ireland,Person usually works at home,182.1
Persons aged 15 years and over in employment (ILO),2002Q2,Ireland,Person sometimes works at home,92.7
Persons aged 15 years and over in employment (ILO),2002Q2,Ireland,Person never works at home,1486.4
Persons aged 15 years and over in employment (ILO),2002Q2,Ireland,Not stated,79.1
Persons aged 15 years and over in employment (ILO),2002Q2,Ireland,All persons in employment,1840.3
Persons aged 15 years and over in employment (ILO),2002Q3,Border,Person usually works at home,24.6
Persons aged 15 years and over in employment (ILO),2002Q3,Border,Person sometimes works at home,6.6
Persons aged 15 years and over in employment (ILO),2002Q3,Border,Person never works at home,165.6
Persons aged 15 years and over in employment (ILO),2002Q3,Border,Not stated,2.3
Persons aged 15 years and over in employment (ILO),2002Q3,Border,All persons in employment,199.1
Persons aged 15 years and over in employment (ILO),2002Q3,Dublin,Person usually works at home,15.0
Persons aged 15 years and over in employment (ILO),2002Q3,Dublin,Person sometimes works at home,25.7
Persons aged 15 years and over in employment (ILO),2002Q3,Dublin,Person never works at home,520.5
Persons aged 15 years and over in employment (ILO),2002Q3,Dublin,Not stated,6.8
Persons aged 15 years and over in employment (ILO),2002Q3,Dublin,All persons in employment,568.0
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-East,Person usually works at home,17.1
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-East,Person sometimes works at home,13.8
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-East,Person never works at home,177.4
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-East,Not stated,2.2
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-East,All persons in employment,210.4
Persons aged 15 years and over in employment (ILO),2002Q3,Midland,Person usually works at home,12.7
Persons aged 15 years and over in employment (ILO),2002Q3,Midland,Person sometimes works at home,1.3
Persons aged 15 years and over in employment (ILO),2002Q3,Midland,Person never works at home,79.3
Persons aged 15 years and over in employment (ILO),2002Q3,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2002Q3,Midland,All persons in employment,94.1
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-West,Person usually works at home,22.6
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-West,Person sometimes works at home,3.8
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-West,Person never works at home,135.3
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2002Q3,Mid-West,All persons in employment,163.3
Persons aged 15 years and over in employment (ILO),2002Q3,South-East,Person usually works at home,26.2
Persons aged 15 years and over in employment (ILO),2002Q3,South-East,Person sometimes works at home,6.7
Persons aged 15 years and over in employment (ILO),2002Q3,South-East,Person never works at home,164.4
Persons aged 15 years and over in employment (ILO),2002Q3,South-East,Not stated,2.1
Persons aged 15 years and over in employment (ILO),2002Q3,South-East,All persons in employment,199.4
Persons aged 15 years and over in employment (ILO),2002Q3,South-West,Person usually works at home,30.0
Persons aged 15 years and over in employment (ILO),2002Q3,South-West,Person sometimes works at home,8.5
Persons aged 15 years and over in employment (ILO),2002Q3,South-West,Person never works at home,233.3
Persons aged 15 years and over in employment (ILO),2002Q3,South-West,Not stated,2.9
Persons aged 15 years and over in employment (ILO),2002Q3,South-West,All persons in employment,274.8
Persons aged 15 years and over in employment (ILO),2002Q3,West,Person usually works at home,27.0
Persons aged 15 years and over in employment (ILO),2002Q3,West,Person sometimes works at home,6.6
Persons aged 15 years and over in employment (ILO),2002Q3,West,Person never works at home,140.0
Persons aged 15 years and over in employment (ILO),2002Q3,West,Not stated,
Persons aged 15 years and over in employment (ILO),2002Q3,West,All persons in employment,174.5
Persons aged 15 years and over in employment (ILO),2002Q3,Ireland,Person usually works at home,175.3
Persons aged 15 years and over in employment (ILO),2002Q3,Ireland,Person sometimes works at home,73.0
Persons aged 15 years and over in employment (ILO),2002Q3,Ireland,Person never works at home,1615.8
Persons aged 15 years and over in employment (ILO),2002Q3,Ireland,Not stated,19.5
Persons aged 15 years and over in employment (ILO),2002Q3,Ireland,All persons in employment,1883.6
Persons aged 15 years and over in employment (ILO),2002Q4,Border,Person usually works at home,25.2
Persons aged 15 years and over in employment (ILO),2002Q4,Border,Person sometimes works at home,7.6
Persons aged 15 years and over in employment (ILO),2002Q4,Border,Person never works at home,162.2
Persons aged 15 years and over in employment (ILO),2002Q4,Border,Not stated,4.1
Persons aged 15 years and over in employment (ILO),2002Q4,Border,All persons in employment,199.1
Persons aged 15 years and over in employment (ILO),2002Q4,Dublin,Person usually works at home,18.8
Persons aged 15 years and over in employment (ILO),2002Q4,Dublin,Person sometimes works at home,38.5
Persons aged 15 years and over in employment (ILO),2002Q4,Dublin,Person never works at home,491.3
Persons aged 15 years and over in employment (ILO),2002Q4,Dublin,Not stated,13.8
Persons aged 15 years and over in employment (ILO),2002Q4,Dublin,All persons in employment,562.4
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-East,Person usually works at home,17.6
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-East,Person sometimes works at home,13.8
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-East,Person never works at home,170.3
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-East,Not stated,4.5
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-East,All persons in employment,206.3
Persons aged 15 years and over in employment (ILO),2002Q4,Midland,Person usually works at home,13.5
Persons aged 15 years and over in employment (ILO),2002Q4,Midland,Person sometimes works at home,1.3
Persons aged 15 years and over in employment (ILO),2002Q4,Midland,Person never works at home,78.5
Persons aged 15 years and over in employment (ILO),2002Q4,Midland,Not stated,1.5
Persons aged 15 years and over in employment (ILO),2002Q4,Midland,All persons in employment,94.7
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-West,Person usually works at home,22.7
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-West,Person sometimes works at home,4.6
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-West,Person never works at home,126.8
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-West,Not stated,3.1
Persons aged 15 years and over in employment (ILO),2002Q4,Mid-West,All persons in employment,157.1
Persons aged 15 years and over in employment (ILO),2002Q4,South-East,Person usually works at home,24.1
