Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Accommodation and food service activities (I),61.7
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Information and communication (J),56.5
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,"Professional, scientific and technical activities (M)",64.2
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Administrative and support service activities (N),35.3
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Public administration and defence; compulsory social security (O),62.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Education (P),71.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Human health and social work activities (Q),86.4
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Industry (B to E),294.6
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,"Financial, insurance and real estate activities (K, L)",56.6
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Other NACE activities (R to U),53.2
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Industry and Construction (B to F),389.6
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Services (G to U),769.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Full-time,Not stated,6.0
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,All NACE economic sectors,267.7
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,"Agriculture, forestry and fishing (A)",18.5
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Construction (F),8.8
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),57.5
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Transportation and storage (H),6.4
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Accommodation and food service activities (I),37.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Information and communication (J),4.4
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,"Professional, scientific and technical activities (M)",7.2
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Administrative and support service activities (N),13.7
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Public administration and defence; compulsory social security (O),4.8
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Education (P),21.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Human health and social work activities (Q),35.3
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Industry (B to E),18.6
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,"Financial, insurance and real estate activities (K, L)",6.0
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Other NACE activities (R to U),24.8
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Industry and Construction (B to F),27.4
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Services (G to U),219.9
Persons aged 15 years and over in Employment (ILO),1998Q1,Part-time,Not stated,1.9
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,All NACE economic sectors,1572.0
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,"Agriculture, forestry and fishing (A)",135.2
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Construction (F),105.0
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),222.1
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Transportation and storage (H),65.9
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Accommodation and food service activities (I),104.2
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Information and communication (J),63.3
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,"Professional, scientific and technical activities (M)",73.0
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Administrative and support service activities (N),50.6
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Public administration and defence; compulsory social security (O),66.9
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Education (P),93.6
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Human health and social work activities (Q),122.7
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Industry (B to E),319.1
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,"Financial, insurance and real estate activities (K, L)",63.6
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Other NACE activities (R to U),78.2
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Industry and Construction (B to F),424.1
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Services (G to U),1004.3
Persons aged 15 years and over in Employment (ILO),1998Q2,All employment status,Not stated,8.4
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,All NACE economic sectors,1301.9
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,"Agriculture, forestry and fishing (A)",116.8
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Construction (F),97.2
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),162.9
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Transportation and storage (H),59.0
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Accommodation and food service activities (I),66.1
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Information and communication (J),59.5
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,"Professional, scientific and technical activities (M)",66.2
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Administrative and support service activities (N),36.8
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Public administration and defence; compulsory social security (O),61.9
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Education (P),71.5
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Human health and social work activities (Q),88.0
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Industry (B to E),300.9
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,"Financial, insurance and real estate activities (K, L)",57.4
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Other NACE activities (R to U),51.4
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Industry and Construction (B to F),398.1
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Services (G to U),780.7
Persons aged 15 years and over in Employment (ILO),1998Q2,Full-time,Not stated,6.3
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,All NACE economic sectors,270.0
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,"Agriculture, forestry and fishing (A)",18.4
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Construction (F),7.8
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),59.2
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Transportation and storage (H),6.9
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Accommodation and food service activities (I),38.1
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Information and communication (J),3.8
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,"Professional, scientific and technical activities (M)",6.8
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Administrative and support service activities (N),13.8
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Public administration and defence; compulsory social security (O),5.1
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Education (P),22.1
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Human health and social work activities (Q),34.7
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Industry (B to E),18.2
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,"Financial, insurance and real estate activities (K, L)",6.2
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Other NACE activities (R to U),26.8
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Industry and Construction (B to F),26.1
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Services (G to U),223.6
Persons aged 15 years and over in Employment (ILO),1998Q2,Part-time,Not stated,2.0
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,All NACE economic sectors,1636.3
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,"Agriculture, forestry and fishing (A)",137.4
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Construction (F),112.0
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),233.6
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Transportation and storage (H),68.3
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Accommodation and food service activities (I),113.4
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Information and communication (J),68.0
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,"Professional, scientific and technical activities (M)",74.8
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Administrative and support service activities (N),52.7
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Public administration and defence; compulsory social security (O),67.7
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Education (P),91.7
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Human health and social work activities (Q),127.0
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Industry (B to E),329.3
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,"Financial, insurance and real estate activities (K, L)",67.6
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Other NACE activities (R to U),83.7
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Industry and Construction (B to F),441.3
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Services (G to U),1048.4
Persons aged 15 years and over in Employment (ILO),1998Q3,All employment status,Not stated,9.1
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,All NACE economic sectors,1361.0
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,"Agriculture, forestry and fishing (A)",118.5
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Construction (F),103.5
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),172.1
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Transportation and storage (H),61.9
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Accommodation and food service activities (I),73.0
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Information and communication (J),64.7
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,"Professional, scientific and technical activities (M)",67.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Administrative and support service activities (N),39.1
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Public administration and defence; compulsory social security (O),63.0
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Education (P),71.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Human health and social work activities (Q),92.1
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Industry (B to E),310.0
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,"Financial, insurance and real estate activities (K, L)",61.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Other NACE activities (R to U),55.9
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Industry and Construction (B to F),413.6
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Services (G to U),821.9
Persons aged 15 years and over in Employment (ILO),1998Q3,Full-time,Not stated,7.1
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,All NACE economic sectors,275.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,"Agriculture, forestry and fishing (A)",18.9
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Construction (F),8.4
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),61.4
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Transportation and storage (H),6.4
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Accommodation and food service activities (I),40.4
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Information and communication (J),3.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,"Professional, scientific and technical activities (M)",7.5
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Administrative and support service activities (N),13.6
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Public administration and defence; compulsory social security (O),4.7
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Education (P),20.4
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Human health and social work activities (Q),34.8
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Industry (B to E),19.3
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,"Financial, insurance and real estate activities (K, L)",6.2
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Other NACE activities (R to U),27.8
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Industry and Construction (B to F),27.7
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Services (G to U),226.6
Persons aged 15 years and over in Employment (ILO),1998Q3,Part-time,Not stated,2.0
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,All NACE economic sectors,1615.7
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,"Agriculture, forestry and fishing (A)",137.0
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Construction (F),115.1
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),227.5
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Transportation and storage (H),70.4
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Accommodation and food service activities (I),104.5
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Information and communication (J),67.7
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,"Professional, scientific and technical activities (M)",75.2
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Administrative and support service activities (N),53.3
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Public administration and defence; compulsory social security (O),66.1
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Education (P),97.0
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Human health and social work activities (Q),123.3
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Industry (B to E),321.1
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,"Financial, insurance and real estate activities (K, L)",67.0
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Other NACE activities (R to U),79.1
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Industry and Construction (B to F),436.2
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Services (G to U),1031.1
Persons aged 15 years and over in Employment (ILO),1998Q4,All employment status,Not stated,11.5
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,All NACE economic sectors,1346.7
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,"Agriculture, forestry and fishing (A)",119.4
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Construction (F),107.2
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),167.1
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Transportation and storage (H),64.0
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Accommodation and food service activities (I),66.6
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Information and communication (J),63.3
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,"Professional, scientific and technical activities (M)",67.0
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Administrative and support service activities (N),39.3
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Public administration and defence; compulsory social security (O),61.5
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Education (P),75.4
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Human health and social work activities (Q),89.7
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Industry (B to E),303.6
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,"Financial, insurance and real estate activities (K, L)",60.8
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Other NACE activities (R to U),52.3
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Industry and Construction (B to F),410.8
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Services (G to U),807.1
Persons aged 15 years and over in Employment (ILO),1998Q4,Full-time,Not stated,9.4
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,All NACE economic sectors,269.0
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,"Agriculture, forestry and fishing (A)",17.6
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Construction (F),7.9
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),60.4
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Transportation and storage (H),6.3
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Accommodation and food service activities (I),37.9
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Information and communication (J),4.5
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,"Professional, scientific and technical activities (M)",8.2
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Administrative and support service activities (N),14.0
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Public administration and defence; compulsory social security (O),4.6
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Education (P),21.5
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Human health and social work activities (Q),33.5
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Industry (B to E),17.5
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,"Financial, insurance and real estate activities (K, L)",6.2
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Other NACE activities (R to U),26.8
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Industry and Construction (B to F),25.4
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Services (G to U),224.0
Persons aged 15 years and over in Employment (ILO),1998Q4,Part-time,Not stated,2.1
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,All NACE economic sectors,1644.4
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,"Agriculture, forestry and fishing (A)",139.7
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Construction (F),117.5
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),230.3
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Transportation and storage (H),72.3
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Accommodation and food service activities (I),104.0
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Information and communication (J),71.4
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,"Professional, scientific and technical activities (M)",76.9
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Administrative and support service activities (N),54.8
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Public administration and defence; compulsory social security (O),70.0
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Education (P),101.1
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Human health and social work activities (Q),125.2
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Industry (B to E),321.0
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,"Financial, insurance and real estate activities (K, L)",70.4
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Other NACE activities (R to U),80.4
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Industry and Construction (B to F),438.5
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Services (G to U),1056.8
Persons aged 15 years and over in Employment (ILO),1999Q1,All employment status,Not stated,9.4
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,All NACE economic sectors,1363.7
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,"Agriculture, forestry and fishing (A)",120.3
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Construction (F),110.0
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),166.8
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Transportation and storage (H),65.5
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Accommodation and food service activities (I),64.4
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Information and communication (J),66.8
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,"Professional, scientific and technical activities (M)",68.4
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Administrative and support service activities (N),40.8
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Public administration and defence; compulsory social security (O),64.9
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Education (P),77.8
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Human health and social work activities (Q),90.1
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Industry (B to E),303.5
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,"Financial, insurance and real estate activities (K, L)",63.7
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Other NACE activities (R to U),53.4
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Industry and Construction (B to F),413.5
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Services (G to U),822.8
Persons aged 15 years and over in Employment (ILO),1999Q1,Full-time,Not stated,7.1
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,All NACE economic sectors,280.7
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,"Agriculture, forestry and fishing (A)",19.4
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Construction (F),7.5
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),63.6
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Transportation and storage (H),6.8
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Accommodation and food service activities (I),39.6
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Information and communication (J),4.6
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,"Professional, scientific and technical activities (M)",8.5
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Administrative and support service activities (N),14.0
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Public administration and defence; compulsory social security (O),5.1
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Education (P),23.3
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Human health and social work activities (Q),35.1
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Industry (B to E),17.5
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,"Financial, insurance and real estate activities (K, L)",6.7
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Other NACE activities (R to U),27.0
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Industry and Construction (B to F),25.0
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Services (G to U),234.0
Persons aged 15 years and over in Employment (ILO),1999Q1,Part-time,Not stated,2.3
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,All NACE economic sectors,1679.2
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,"Agriculture, forestry and fishing (A)",138.3
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Construction (F),120.5
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),234.1
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Transportation and storage (H),73.8
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Accommodation and food service activities (I),110.5
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Information and communication (J),73.9
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,"Professional, scientific and technical activities (M)",82.2
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Administrative and support service activities (N),55.5
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Public administration and defence; compulsory social security (O),71.5
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Education (P),100.3
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Human health and social work activities (Q),129.4
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Industry (B to E),326.4
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,"Financial, insurance and real estate activities (K, L)",72.4
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Other NACE activities (R to U),80.5
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Industry and Construction (B to F),446.8
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Services (G to U),1084.1
Persons aged 15 years and over in Employment (ILO),1999Q2,All employment status,Not stated,10.0
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,All NACE economic sectors,1389.8
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,"Agriculture, forestry and fishing (A)",119.0
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Construction (F),112.9
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),168.6
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Transportation and storage (H),67.1
